id,timestamp,author,likeCount,text
Ugwxwd3lAMbSOMRhGQJ4AaABAg,1648735560,匿名 希望,0,😅
UgyhiNjlO6SIZTmykfN4AaABAg,1648731600,仮面ライダーKG,1,今までありがとう……
Ugx5WFUkJbCVlf6BiTB4AaABAg,1648731600,緋村抜刀斎,0,"え？なんて言ったの？

あ、最後かわいい"
UgzylxEXEXRJrKc-tex4AaABAg,1648720800,ねこまる,0,えへへかわいい
UgwprlmdbMtG4LN2gEN4AaABAg,1648720800,滿臉豆漿,0,🤣
UgwHXDg565O9-xSDJyx4AaABAg,1648713600,Just_Jerry,2,Goodbye Rushia 😢
Ugy83nn9dZw83xF2L554AaABAg,1648713600,Igor César Madruga,1,Bye Rushia
UgzfT9UJcUWsnndDS1l4AaABAg,1648706400,こうだい【Kodai】,0,Good bye 潤羽るしあ.
UgyjUi6ICVi8iNnpbVt4AaABAg,1648684800,Sal Shoker,1,That Giggles At The End All Ways Gets Me Thank You For Everything Rushia
UgxIqkifcsixoSFY-zd4AaABAg,1648684800,ぴ,0,この動画ほんとに好き
UgyEEbosVC83KRJKfVd4AaABAg,1647561600,ピクルス大佐,0,うるせーカス
UgyEEbosVC83KRJKfVd4AaABAg.9ZZ-S2aRhUP9ZueZrH2oZo,1648080000,びちゃ,0,くさ
UgzJEieLEx-NqMiEQrF4AaABAg,1647561600,Omilote_14,0,Well she definitely saw it coming did she?
UgwtGLYnR6iKBonVYgt4AaABAg,1646956800,F-86　セイバー二号,1,？なんで？
UgxtGdDGcEwavTas8_B4AaABAg,1646956800,一味,3,さようならか、、、、前々からやったんかな。お疲れ様
Ugwgq5MuMr1bfXQOK3V4AaABAg,1646956800,七人の七深,18,"34570は、ポケベルで　""さようなら""を意味するとのこと。　この頃から契約解除を匂わせていた？"
UgxlK4-0WC4E2mreW6V4AaABAg,1646956800,ヘルメスプテラトス,2,はい、オワオワリ
UgzvUZlfs-LHg2TpK7V4AaABAg,1646956800,TBMA3 SENPAI,2,"She was saying sa yo u na ra
Or sayounara or goodbye forever













She seen this coming
Did she?"
UgzvUZlfs-LHg2TpK7V4AaABAg.9Z8oBF-9PYN9ZDUKJwXr_O,1646956800,Zhind,2,No but yeah
UgzvUZlfs-LHg2TpK7V4AaABAg.9Z8oBF-9PYN9_8lhp8cEbb,1648598400,董浩然Hatura_Deca,0,Or she planned?
UgzvUZlfs-LHg2TpK7V4AaABAg.9Z8oBF-9PYN9_E4Nf5Gcft,1648710000,Allen-Royce,0, @Zhind  damn she got infected by Gura's jinx virus... pain peko
Ugy8lEBonANTNzLNwCh4AaABAg,1646956800,창화,0,뭐야 뮌데 나한테 왜그래요 마나이타
UgyA-QWrgmPZL6wZL194AaABAg,1646352000,宜宜遊戲頻道,0,"like now...
i miss you..."
UgxygET8F2mw8rq3db94AaABAg,1646352000,unfound error404,6,"Me a month ago: heh scary but cute
Me now: literally drowning in pools of tears"
UgwxWj-4t9DKRJNWqmR4AaABAg,1646352000,JN9,4,Sayonara
Ugz8F4QmkfAHpfG_8L14AaABAg,1646092800,Noc,2,Sayonara rushia 😢😢😢
UgyEA-WWqvI3VcpVoHl4AaABAg,1646092800,"R. A. I'm Green ID [God, I wish I was Bazo]",11,At least she says sayonara in 34570 before her termination.
UgxdCdA7jh9ZQ4jQ7BB4AaABAg,1646092800,Guillaume Galienne,5,That didn't age well...
UgzpCRb5PCniv9n3x8t4AaABAg,1646092800,Tory,6,"Haha.... 
Who thought this will happen?"
UgznUBwOt2Wdt2wW5Zl4AaABAg,1646092800,オウイ,3,沒關係...謝謝妳......
UgzpwElo2eInfEyAelB4AaABAg,1646092800,h ✤ 春,2,I'll make this my password
UgyCN7D1Iv4RYilCVER4AaABAg,1646092800,knuckles perron,3,sayonara
UgxPELWvD5ZO6fEWAgl4AaABAg,1646092800,meon,4,it feels different when rushia is gone..
UgzBN8Kt5urcEfDrPA14AaABAg,1646092800,帝王,1,NO 😢😢😢
UgwpVjbMA0bCVWgKeu94AaABAg,1646092800,蔡正修,2,哀傷
Ugzv659OOHgBdyYfTC94AaABAg,1646092800,Ryuwy,2,No...
Ugwz-Ina_WAzuzm9VJl4AaABAg,1646092800,고길동 gogildong ゴギルドング,2,かわいいいい‼️
UgzHRS8d6gvqS2_nEdR4AaABAg,1646092800,ーPeach,2,😭
Ugy4VAtvZPEybyvNjhB4AaABAg,1646092800,gaMing Boi,10,I will never forget you...... QAQ
UgxcUqN1WMtzemYnEnl4AaABAg,1646092800,Nenehonda,5,Ha
Ugy6R_OnpGHxREmpuAx4AaABAg,1646092800,pewdie pie,12,We will always remember you rushia sama
UgyjD2iRNk42QpoT4L94AaABAg,1646092800,구보왕워킹,5,실환가 ㅋ
UgyfwAmyKWmn2e3ZFIV4AaABAg,1646092800,dezzznuts,8,rushia we love u... pls comeback
Ugx6qE83ItJ4CgLkT_54AaABAg,1646092800,yameteee~,4,I love you rushia
UgyQW3biWVDs8hmAtrp4AaABAg,1646092800,Richie Demo,7,"34570 to you too, Rushia o7"
Ugwl-FhOmOW6CDlWgMZ4AaABAg,1646092800,Rax,15,"goodbye queen, thank you for everything."
UgwP5piAXY_exF-z88Z4AaABAg,1646092800,Clark,5,闇堕ちみーちゃん
Ugz0-nIaqj_BCZwJnZB4AaABAg,1646092800,古屋勇登,6,この時から覚悟していたら少しは傷つかずにすんだのかなぁ………。
Ugx8CZSvenGKFgehh914AaABAg,1646092800,Rylia,6,"3 - bye
4 - guys
5 - sorry
7 - fandead
0 -
Maybe the meaning of this number?"
Ugx8CZSvenGKFgehh914AaABAg.9YpE25q0Olo9YqSATJt2aO,1646092800,Gustavo Yamamoto,2,"In Japanese, it means ""Sayonara."""
Ugx8CZSvenGKFgehh914AaABAg.9YpE25q0Olo9Ysdt0dhfvg,1646092800,Duck,1,Oh f
Ugx8CZSvenGKFgehh914AaABAg.9YpE25q0Olo9YzJkXaVeQc,1646092800,春長,0, @Gustavo Yamamoto  Sayonara is supposed to be 3470 not 34570.
Ugx8CZSvenGKFgehh914AaABAg.9YpE25q0Olo9Z3_R9TEUN4,1646352000,Gustavo Yamamoto,0," @春長  they pronounce goodbye as sayonara, but the spelling is ""sa yo u na ra"""
Ugx8CZSvenGKFgehh914AaABAg.9YpE25q0Olo9Z3u24pv7tg,1646352000,春長,0,What kind of coding is it that allow you to get to that result？
Ugx8CZSvenGKFgehh914AaABAg.9YpE25q0Olo9Z4236N4aYn,1646352000,Gustavo Yamamoto,0," @春長 
3 = さ
4 = よ
5 = う
7 = な
0 = ら
さようなら, it reads ""sayōnara"".
Meaning, ""Goodbye"".
 It's the way of reading of each number. for example, number three in Japanese it is read
as ""san"" (さん) which means that, if you take the first letter, you can read as ""Sa."" but there's an other way to read it. is ""mi"" from ""mittsu"" (三つ - three when counting something). that aplies to almost every letter in Japanese of hiragana."
Ugx8CZSvenGKFgehh914AaABAg.9YpE25q0Olo9Z43ZzQW5Le,1646352000,Gustavo Yamamoto,0,"the only problem is, if there's consecutive numbers like, this:
3 3 3 (misami,sasami,misasa,etc.)
you'll have to try every kind of reading pattern possible XD"
Ugx08FRMeWO7Ib_K9gN4AaABAg,1646092800,Kyla Dimaculangan,11,さようなら
Ugzwz0BLzgTAF26hTLl4AaABAg,1646092800,Bruh,3,We love rushia!!! <3
UgxNCtVPVqkS6pCexhh4AaABAg,1646092800,kuro suke,17,伏線だったってことか...
UgxNCtVPVqkS6pCexhh4AaABAg.9YOgpfHkw9z9YQwxH1liG-,1646092800,ZER,1,そう思います
UgxNCtVPVqkS6pCexhh4AaABAg.9YOgpfHkw9z9Yb86BKhVwJ,1646092800,右肩にブルーベリーを埋め込まれたボブ,1,そうだと思います٩(ˊᗜˋ*)و
Ugx3t2KKhItL-2ItW-R4AaABAg,1646092800,あかぱん,1,ポケベルの語呂合わせ？📟
Ugx3t2KKhItL-2ItW-R4AaABAg.9YNrp9L-Frg9Yuc0XB10Dq,1646092800,BLZww,0,まふまふと…？
UgzSMUaYeG2ByzgVHJF4AaABAg,1646092800,亥成王*稻荷一號,31,この-34570-はポケベルの時代で「さようなら」を意味しているみたいです
UgzSMUaYeG2ByzgVHJF4AaABAg.9YM59Im4UIW9YtzL2pT94H,1646092800,ーPeach,0,she alr predicted it huh.. 🥲
UgzSMUaYeG2ByzgVHJF4AaABAg.9YM59Im4UIW9YxLSUEy94V,1646092800,skyrimAyaたびびと,0,うそだろ、そこまでも…か
UgzSMUaYeG2ByzgVHJF4AaABAg.9YM59Im4UIW9Z82SGlXYgG,1646956800,ろうこた,0,ぽけべるとかなつかしいな
Ugw29QayqNNvR3zrzyF4AaABAg,1646092800,Hoàng pêp,0,KonRushia -!!
UgzwFTnGYhPsHNM18Ip4AaABAg,1646092800,That Time I Got Reincarnated by 🦋🦋,0,Cuutee!!!
UgzRJo9Rh8N862FOwn94AaABAg,1646092800,kone,1,"なんか考察要素とかあるんだろうかこの動画ｗ
可愛い声なのになんかそれが逆に怖く感じるのがいいｗ"
UgzZ7PvKNtInQooNTsx4AaABAg,1646092800,ZONE美味いッ!!,3,声が聞こえないので、もう少し大きな声でお話をしては頂けませんか？
UgxYZQpKZDUhi4oZhRt4AaABAg,1646092800,まーさん,0,かわいい！！
UgxXbdL2V6RYCbgrzN94AaABAg,1646092800,汪家狗 🐕 紅犬,1,如果特效再，或者戲劇再多一點會更好
UgzPzgsw0GMBMn_AEUF4AaABAg,1646092800,黃琮欽,0,結界 展開
UgxV5kS8DQuJkT4nVxh4AaABAg,1643673600,Correa尾符,0,:_やんでれ:
Ugzehc_1B2PqRQZxCvl4AaABAg,1643673600,Natsu。,0,Rusian: adios
UgznFsCgMEa8n_HVCmZ4AaABAg,1643673600,Natsuki Subaru,7,"Rushia will always be adorable, she's not gonna be scary if you don't call her pett-"
Ugy-4fZM2sgJUYBuP8B4AaABAg,1643673600,さんぴん！🦋,1,真っ暗な部屋でこの動画見たらまじでホラーなんだがwフツーに可愛いwww
UgyENwiPMi9HEJltHG54AaABAg,1643673600,Noob The President #saveukraine🇺🇦,0,GŁĮTÇHÈD RÜÇHÍÄ
UgxLnnxpmGF2VN8-6M14AaABAg,1643673600,Muh Hidayat,0,What code is that?
Ugz4moQHrIIbq7FgpKp4AaABAg,1643673600,Kershy,0,shes lagging wait
UgySO3zLCrtXe44VA_14AaABAg,1643673600,J A,0,"Had there been another number, I would have gotten the wrong idea."
Ugy8MdHor-OKB8klBuV4AaABAg,1643673600,レアエク,1,まさかこれが今後のホロライブの伏線になるなんてな…
Ugy8MdHor-OKB8klBuV4AaABAg.9X5hBQkJpTv9ZBI1RvuVpf,1646956800,シュウ,0,ほんとにそうなったんだよな、、、
UgyIKHPir2AV2iKaPA54AaABAg,1643673600,Arklados,0,Cool?
UgxEqlzcLAkpJdTV_jt4AaABAg,1643673600,うさ太郎2号,1,なるほど。つまりえへへが可愛いということだな。完全に理解した
UgxX2yXeclQRrtducEl4AaABAg,1643673600,キャットキイ,0,レイン、
UgwZ-JK2ieh9gE8nKBZ4AaABAg,1643673600,Moral Truth,0,Blank
UgxCfwgGUa5t45anPcd4AaABAg,1643673600,けんじゃ,6,"When I First Read the Title I was like ""okay""

Then when i looked at it again, It gave me ""Goosebumps"""
Ugy8UF0EGmKvMTvz7MB4AaABAg,1643673600,Mimikkun!,0,甥っ子泣いた
UgzPchVwQKXJN3-K2SB4AaABAg,1643673600,Friedrich der Große,0,Nuclear Code leads to 20yr old work.
UgxG3YJoBVVFE7g8I-Z4AaABAg,1643673600,Hill Hank,0,"THE NUMBERS, MASON

WHAT DO THEY MEAN"
Ugy8fPjB69JBmg-iwpl4AaABAg,1643673600,Ammy SunGod,0,"Ah Yes
Rushia's mic"
Ugy0MpftPf4aVygKtXh4AaABAg,1643673600,Giantdark272,0,I want to head pat the child but it’s a death wish
UgyuZPU1Tf5rmInACIR4AaABAg,1643673600,Giantdark272,0,Hold up the title is my password to anime
Ugx5WvKwr7OTyWgSkOF4AaABAg,1643673600,Storm and Dreg,0,I wonder what happens if I type those numbers in a certain site.
UgwP-XeY1njReDTqyYp4AaABAg,1643673600,Hetaku,0,sounds like the start of steins;gate opening lol
UgxjMoFvQXis1qVJwYB4AaABAg,1643673600,Kay Thanh,0,"Huh???
Vietnamese spoted."
UgyPEJv7fwXwqLRaoeN4AaABAg,1643673600,Zhen Wei Lai,0,"Doujin sauce  , wow"
UgztfxLGmTYE66SXwt94AaABAg,1643673600,Yuuta Kazuki,0,Rushia..? Are you okay? Are you done counting my dead body over there? Hm? Not yet? Well okay.
UgyXS7IkLDdwWK6OORF4AaABAg,1643673600,Xshadowx32 HD,0,"THE NUMBERS MASON
WHAT DO THEY MEAN?"
UgyFA2B80mV_iqIbKUJ4AaABAg,1643673600,Raiden Tatsunoko,0,Earth was cool
