id,timestamp,author,likeCount,text
UgyXeL5kn0BEIRyygMh4AaABAg,1648731600,仮面ライダーKG,0,今までありがとう……るしゃ
UgxKHzTETsn8H8anNb54AaABAg,1646092800,고길동 gogildong ゴギルドング,0,"I want to see you smile again
we are always on your side"
Ugzp-YSCB8wCh16eXGB4AaABAg,1646092800,enzolt,0,rushia
UgwqBAmYq-fGChMX1IN4AaABAg,1646092800,Yes Man,0,no one will forget this legendary necromancer
UgxnFyDVDv5IaIa5Bv94AaABAg,1646092800,yameteee~,2,I love you rushia!!!
Ugyyirk21cpGJUoKaVZ4AaABAg,1646092800,将棋しようぜお前駒な,0,ポケ鹿のパクり❕😠
UgxkZeXFp2p5uQwA-Ll4AaABAg,1646092800,That Time I Got Reincarnated by 🦋🦋,0,8 Gym Badges!!!  Congratulations Rushia!
UgyJgm5WwGBWy6l_YUh4AaABAg,1643673600,世界最弱のサーモントラウト,0,自分用　7:40
UgwQLIAXjUowzu5H24N4AaABAg,1640995200,ホロライブだいすき,0,お疲れ様！アーカイブで見たけど楽しかったです
Ugwyme4mh8rhGM86EY14AaABAg,1640995200,بيبليدر boy,1,I LOVE THIS HAIR STYLE 😍❤️❤️😍❤️😍😍❤️😍😍😍❤️😍❤️😍❤️😍❤️😍❤️😍❤️😍❤️😍😍❤️😍❤️😍😍❤️😍
UgxcAQ-hGZc-gqPX-gF4AaABAg,1640995200,Daaa뭅OMG,0,얘 방송안킨거 보니깐 파코구나
UgzGqGrxvVn3oEC8vWd4AaABAg,1640995200,Eshki123,1,I love Her soft voice so much it helps me relax from the stress of the day. The comedy is top notch. :_ハート::_ハート::_ハート:
UgxclVbvYdw9c0tQs_p4AaABAg,1640995200,Raduga pul,0,Насвай
UgyfXYyYwo-y9xToNe14AaABAg,1640995200,에이스,0,Merry Christmas~~
UgzXuutnFhXd4CTjbB94AaABAg,1640995200,배틀그라운드,1,전설의포켓몬빨리잡아조
UgwyuHagkaVKg-iHixN4AaABAg,1640995200,ちー,0,"おつるし〜!　見れなかったところアーカイブ見てきたよ～!　長時間配信お疲れ様だよ!　私が居ない間にボコりんが手放されていた事を知って流石にあれは自分も悲しく感じた。そんな中でも最後のジムリーダーまで勝てたのすごい!　全部バッチが揃ったね!　ゲリラではあったけれど結構リアタイできたの嬉しかった!　ただ一部脳死コメントがあるかもしれん〜　次のポケモンストーリーも楽しみ!
見られるかは別だけれど深夜ゲリラ大歓迎だからね!"
Ugwiv3bmf_lpAbLEbHl4AaABAg,1640995200,Tu sol,0,Boing Boing😈🙏🙏
UgwhtIpCRdJ88NsmRnp4AaABAg,1640995200,ダイ,0,"ヤる⁉️
だと⁉️"
Ugy69wb6HKUby7P4DeR4AaABAg,1640995200,わかば,0,"ルシアさん　生放送お疲れ様でした！
58:42笑顔が素敵なルシアさん01
1:40:00 笑顔が素敵なルシアさん02
1:47:00 笑顔が素敵なルシアさん03
3:33:46 笑顔が素敵なルシアさん04"
Ugz3HBcUUtfId7U5m4p4AaABAg,1640995200,なつなつ,0,46:20
Ugw3QFeq7kdhVLXTd-N4AaABAg,1640995200,なつなつ,0,初めてコメント読んでくれて嬉しかったです＾＾
Ugz9BgkBKmm92_pqXOF4AaABAg,1640995200,Vyse,0,"Rushia's love for Pokemon is cute, watching Rushia have so much fun with a 6 hour stream training to become the very best Pokemon Trainer there ever was.:_るんるん::_ハート:"
Ugy6IkfVSNBhVLBbDEN4AaABAg,1640995200,早川みかん,0,ポケモンクリアしたすぎて、頑張りすぎちゃうるーちゃん可愛い
UgxHhHcpJufj5fVjR1p4AaABAg,1640995200,茸田ロートレク,0,長時間一緒にいられて楽しかった。やっぱりポケモンは面白いし、それを心から楽しむるしあの姿も愛おしい。辛いシーンもあったけど、まずはジム制覇おめでとう。
UgxmJUucFX_wfEhhMXp4AaABAg,1640995200,がぶX_X,0,るーちゃんの配信聞きながら寝落ちできたの:_きゅん:
UgwsiNPvv2rZKPVU0fl4AaABAg,1640995200,まっちゃ,5,12:33
UgybBO1nF5lOyXMxGcF4AaABAg,1640995200,久遠-くおん-,0,3:41:05 鼻すする音助かる
UgxhuL3D2qQo8p9HunR4AaABAg,1640995200,holoカプ,0,"おつるし～
途中までしかリアタイできなかったけど、アーカイブで全部観ました！！
出会いと別れを繰り返しながら遂にバッジも８つ揃いましたね～:_きゅん:
次回はチャンピオンリーグ編楽しみにしてます！！
るしあさん！！大大大好き～:_ハート:"
UgxcmZVA2Svd6zzwjfJ4AaABAg,1640995200,yohei y,0,明け方でも声がほぼ変わってないのが、とんでもないモンスター級の喉なんだワ🍎(´・ω・`)ｼｮﾎﾞｰﾝ
Ugyo_Nz65zjcwypKd9p4AaABAg,1640995200,🌙赤月雪人⛄️,0,:_おつるしのお::_おつるしのつ::_おつるしのる::_おつるしのし::_るしあのあ:
Ugxon6gH82mUrS_YGu54AaABAg,1640995200,イチマサモノクローム,0,バッチコンプリートおめでとう🎊長時間配信お疲れ様でしたm(_ _)m
UgwYRroqxfpOADGhUot4AaABAg,1640995200,とーま【犬もどき】,0,長時間配信お疲れ様！次はついに四天王だね。野生に帰っていったみんなの想いものせて負けない様にがんばろ！熱い戦い楽しみにしてる:_きゅん:
UgzuZKAOAamwVcZF2bx4AaABAg,1640995200,がおくん!,0,ゲリラ楽しかった！最後寝ちゃったからお仕事終わったらアーカイブみます！(   ｰ̀֊ｰ́ )੭
UgxfiNyGeJONkgG5pxt4AaABAg,1640995200,Him,0,るーちゃん第八ジムチャレンジ成功おめでとう🎉🎉
UgyjvwBNe3PM7vLbUM54AaABAg,1640995200,てんか,0,"おつるし〜
バッジコンプおめでとう！！:_きゅん:
四天王戦も応援してる:_るんるん:"
UgxyCbP2xwui_9kR-154AaABAg,1640995200,シカ金魚,0,「チョウのように舞い、ハチのように刺す。」有名なプロボクサーの言葉です。m(_ _)m
UgyAL8Ybn9AoOOvPbNx4AaABAg,1640995200,カノちゃ,0,"ゲリラおつるし!!
途中から寝ちゃっててアーカイブみた!!
いよいよ次はリーグ!!頑張ってね!!:_るんるん:"
