id,timestamp,author,likeCount,text
UgwU42Y_U3FFdtmKnXh4AaABAg,1646956800,ワールドヴァンキッシャ,0,アーカイブ周回中
UgxKEE5mICmfAHzsgCl4AaABAg,1646352000,ko-suke,0,:_サイリウム碧::_おこなのです::_サイリウム紫:
UgwxyA1LaK0wLhhFncx4AaABAg,1646352000,ko-suke,0,るーちゃんの歌声ほんとに好き
UgxFyoAP0-BiJ4Te4z14AaABAg,1646092800,D Dragon,0,:_ハート:
UgxWnzvhi4-U2OL7Iop4AaABAg,1633046400,琴浦リキ,0,"いつも聞かせてもらってます！
本当にいつも可愛いです！"
UgzgOhXT9cFusAKjD414AaABAg,1627776000,小安3•31,0,好棒:_きゅん::_きゅん::_きゅん:
Ugy5US6PbjgcAlEeQzp4AaABAg,1622505600,Him,0,るーちゃんの歌声すごく綺麗だいすき:_きゅん:
UgwbNJ6SWVvRBPU1LD14AaABAg,1622505600,ぼぼらぶ,0,"桃色片想いの可愛さ爆発で破壊力抜群です。
アニメやゲームの曲だけに縛られずに、可愛いアイドルソングや大森靖子やヨルシカの様に心にズンとくる歌をもっともっと歌って欲しいです。
かなたそと一緒にアイドルソングユニットを作ってもらうのが私の夢。"
Ugx5e6fTQ9wsp6Cp_Qx4AaABAg,1622505600,autistic retard,0,naisu
UgyawFcIyxNrdufYmT54AaABAg,1622505600,Hale,1,Can't get over how beautiful rushias voice is
UgydLfMStInuvY4fZ1Z4AaABAg,1622505600,Ena Nebres,0,Rushia-taaaan
UgyKCSw_UQcoizreOPh4AaABAg,1622505600,YAGOO単推しりゅうちゃん,0,"3:33:27
ルシアのチュッチュッチュッが可愛すぎる"
UgwAKfQKAowO3tUAFMF4AaABAg,1622505600,リブラス・マックイーン,0,"るしあの歌声最高やなぁ…
特にタバコ歌ってる時が1番好き
しっとりしてて切なくて…"
UgxqFmo0_-8aPz29yqV4AaABAg,1622505600,くまねこ,1,"2:30:58 自分用
手紙のことめっちゃ褒めてくれてありがとうございます。とても嬉しいです:_きゅん:"
UgzNrUzlctVWJGl9_AZ4AaABAg,1622505600,オマール海老,0,"るしあちゃんが歌う可愛い曲もかっこいい曲もどっち好き

ずっと聴いていたくなる"
UgxkkoIyci-gkC_m95l4AaABAg,1622505600,Yūki,1,29:33 鳥肌が立った。その声すごく好き
UgwtC0l6vfIkMnoBggZ4AaABAg,1622505600,ホロライブ台湾DD部所屬フラグが立つ部長フラグを感じる,0,何て初號機なのか？とあるダイヤモンド全lossと大乱闘スマッシュブラザーズ聞きたら多分わかるよう(๑•̀ᄇ•́)و ✧
UgwBMOyyWwuukN-xol54AaABAg,1622505600,Josh,0,The way she said Stevo bread was so cuuuuuuuuuuute
UgymHyJnmZgbjn8_WCh4AaABAg,1622505600,玖禅,0,るしあちゃんとReoNaさんの声の相性良すぎですね！！他の曲も聞いてみたくなりました(●´ω`●)
UgzGnT9ccIbV6Shu8pZ4AaABAg,1622505600,Sugarist0,0,Anohana: the onions we chopped that day
Ugwfo8SfmPNWvnei-vN4AaABAg,1622505600,Lum Yai,0,I dont understand japan but i like you. Rosia boing boing 🤪
UgwCccq_IHhUmbG1n1h4AaABAg,1622505600,TheXPfighter,1,"I love your singing so much, Rushia! I'll watch the video as many times as it takes to find where you read my superchat ❤️"
UgyEEaB4e2n1VOgCQ9B4AaABAg,1622505600,スペルマフラペティーノ,1,37:02 雨とカプチーノ
UgwqSQPwQlAmotuWptl4AaABAg,1622505600,服部康雄,0,浮ついた「好き」に痛んでいて繊細だね。大事にしないといけない心だけど、大衆の前に出るのなら、傷つかないようにしないといけないね。
Ugzu0DuI0eEDxgqPmKp4AaABAg,1622505600,一般リスナームンゲーナ,0,やっぱりるしあちゃんの歌枠って最高なんだァ…最高…
UgzlK8Z5LM81UCzSeIN4AaABAg,1622505600,バキバキの人,0,"歌枠初めて見たけどめちゃくちゃ声綺麗...





あらためて結婚したいと思った"
UgxehNWBzBSE11gc3Nd4AaABAg,1622505600,Matt Tomato,0,.
UgzqLco8b2JI5HW_qZF4AaABAg,1622505600,M_ M,1,イヴさんのことエヴェさんっていってる自分も間違えてた憶えてたからから何か嬉しい
UgwaIOT9HxEb5e2yL0B4AaABAg,1622505600,M_ M,2,"マジでヤバい






上手すぎ。"
UgzLarGKWoesn4FicmZ4AaABAg,1622505600,ぷにまる,0,"るしあちゃんの歌はいつ聴いても飽きないな〜(  '-' )
ずっと聴いてられる。"
UgxN4NP6EwknHi6vYcR4AaABAg,1622505600,Koholos,0,Rushia’s voice is like a mother singing lullabies to a little kid.
Ugzy7t_auq4-ubjNq-h4AaABAg,1622505600,- nyupoyu,0,1:15:17
Ugzg0tsp0u5ux6FsCLZ4AaABAg,1622505600,こんにちは,1,チャンネルに嫌がらせをしたことをお詫びします🙏🙏🙏
UgyFRi-P62z0fxiNC1R4AaABAg,1622505600,Khiem Pham,0,(┬┬﹏┬┬)
Ugwz0t7-jJ50zZo_hyx4AaABAg,1622505600,ろいろい,0,"るしあちゃんの歌声は何度聞いても最高に可愛くて素敵😌✨

遅くまでお疲れ様！"
UgwRibX0K2us8ic3ZPd4AaABAg,1622505600,Black Ling777,0,8:40 is my favorite part of this stream lol
UgxkJD-wvwZmUHk0ANR4AaABAg,1622505600,SuzuNa,0,"｢虹の彼方に｣を歌ってくれたのは凄く嬉しかったしるしあちゃんに合ってて泣いた！(リクエストは別の人だったと思うw)
46:08 3:34:09"
Ugw9XMh9TmU0cLXzOQ94AaABAg,1622505600,タイキチ,2,"るしあの声が柔らかくなり
me夜泣きます(இωஇ )
大好き大好き大好き大好き大好き"
UgzamDX7aMju-DqktjZ4AaABAg,1622505600,[AONOKU],0,"Rushia hits different world when she sang slow/sad songs. Reona and Koresawa really got me so damn hard. Amazing utau, Rushii. Thank you!"
UgydVxh4PNmZMucov_J4AaABAg,1622505600,Motoyo Makoto,0,"Hey I came late but I enjoyed your stream anyway
Thank youuuuuu
-Persian boi"
UgxK_4Z-F38n2gqVKx54AaABAg,1622505600,MeowTarded,0,Noooo im late to the party
UgxweuM2-vyohpiUkRN4AaABAg,1622505600,猫乃わんこ,0,"るしあちゃんの歌枠のおかげで
気持ちよく休めました！
ありがとーっ✨
るしあちゃんもゆっくり休んでね！
今度一緒にダイヤモンド探しに行こうね:_きゅん:"
UgxuaIqLnIieR3WAXIN4AaABAg,1622505600,こね子koneko,0,歌枠ありがとう:_きゅん::_きゅん::_きゅん:
Ugwfu9xeZV_aWAZNSI94AaABAg,1622505600,【星野カービィ】,1,アーカイブ残ってる　やた〜！！！！！！！
UgzzcroCXtHw9R5KFw94AaABAg,1622505600,ざぶとん,0,4:01:00
UgwZN5XWrRf0KwKXQNV4AaABAg,1622505600,GreenTea_Chッ,0,OMG Rushia. That Reina and Tabako 😭😭 So Beautiful!!
UgzLUN_C4PDtbcInWBp4AaABAg,1622505600,れっさー,0,いつも可愛いけど昨日はいつも以上に可愛かった
UgwUCBa_M7apa22D39Z4AaABAg,1622505600,Andira Farras Syafiq,0,Thank you Rushia
UgzXWsof2EYMG6xVdR94AaABAg,1622505600,ちゃん黒,0,"I know I'm late but let me say this,
Your voice is getting clearer everytime i hear you sing and it feels so chill to hear your voice that it makes me calm and happy at the same time so in short I'm falling deeper into this kind of stuff 😊"
UgyoRxSgJP5s3RtiV2l4AaABAg,1622505600,Amazing Andy,0,2:54:08 I CAN DO IT!!!!!THANK YOU RUSHIA❤️
UgzUqHHm416HabQ91nR4AaABAg,1622505600,Shouma Ch.,0,Rushia has such a lovely voice.
UgzQ2dIP5KK0gPpKYjR4AaABAg,1622505600,キタリ,0,久しぶりにるしあちゃんの歌配信見れてほんとに楽しかった！
UgzL2UyjrphqOPF2D6p4AaABAg,1622505600,らきむ08,0,るしあってホントに好きになれるよね、見てるとこちらこそありがとって気持ちが溢れます:_大泣き:
UgyfwFry6DBCjla2yXp4AaABAg,1622505600,ちゃんちゃん麺,0,虹の彼方にがReoNaそっくりでびっくり
UgyexCruX95mZPn9uc54AaABAg,1622505600,Riel04,0,Thank you for the stream Ru Chan!!!
UgzFqc5FAVfwLjMGYjN4AaABAg,1622505600,いつも体育座り,0,可愛い！好き！(語彙力即死感)
UgwXB2KWq8QRNo1NKZR4AaABAg,1622505600,うるはヴァジラ,0,"歌枠おつるし！
るしあちゃんの歌声にはほんと聴き惚れる…アイドルにして歌姫！
無限に聴いてられる。
今も上手なのに、さらに上を目指してるからるしあちゃんの成長は止まらないんよな
次回もるしあちゃんお歌楽しみにしてるね！大好き！"
UgycNVhuWWGZ-CS2y2h4AaABAg,1622505600,マルコ,0,最高
UgzvOS3bpF5h8ZyUwZd4AaABAg,1622505600,Akathin,0,Cute rushia♡
UgwO8JbJ3Y_al0eE-594AaABAg,1622505600,해성(haeseong),1,韓国で見ています。 声がすごくいいですね。 応援してます。
