id,timestamp,author,likeCount,text
Ugw4ecQplFuopSET8l94AaABAg,1648425600,靚仔哥,1,"I love you, Rushia!💌😢😭"
Ugxc57ozWRP99Up7sux4AaABAg,1648425600,テーブルマロン,1,👏👏👏👏👏👏
UgwoVAVUW-Ws1O8rlGt4AaABAg,1647561600,♡みけねこ♡,2,可惡的演算法
UgwBz1sErN6Dq9Uhwb14AaABAg,1646092800,Black Ling777,0,Just watching all the old singing streams before they disappear hope to her sing some of these songs again not as Rushia of course
UgxHwF1W8oeuKWw_lGl4AaABAg,1633046400,🧢RIZ Ch.ライザー軍曹（raiza-Sergeant）🧢,0,feel my soul嬉しい！
UgwtbMQzegEPl6_SXBt4AaABAg,1633046400,🧢RIZ Ch.ライザー軍曹（raiza-Sergeant）🧢,0,【 誰にも見えないところで頑張ってる 】
UgwdagxVg7zgEzdKMVR4AaABAg,1617235200,サン汰さん,0,るしるし歌上手い
Ugym90F5Hcm2WWDN3Hx4AaABAg,1617235200,K oai,0,nice
Ugyp_4UIprSOtRRoQaF4AaABAg,1617235200,Tec PhIn,0,"Listen, I might die"
UgwklGz86pJ3s9aAMx54AaABAg,1617235200,Cosmo,1,2:42:04
UgxyOYwWCnszhvSEGZV4AaABAg,1617235200,ディアウスピター(ФωФ),0,アーカイブ何とか見れた～
UgwTvHCxPMqdmOenaSF4AaABAg,1617235200,Diegoシ Fernandez Diego,0,ロボット後は足りますかね
UgzkRNV-K1d4IbFthJN4AaABAg,1617235200,たかきの,0,オープニングの曲って何ですか？
UgzIYslJarazUN-7hLl4AaABAg,1617235200,孫ごくん,2,もののけ姫の曲って前世を思い出させるような不思議な雰囲気のある曲。(個人の意見)だから、この曲をるしあが知っているっていうのが勝手に嬉しい
UgySXWMAw9acncDKEht4AaABAg,1617235200,駄々猫,0,るしあの声ってめっちゃ癖になるよね、、
Ugz60-VPq0qexXhfZEt4AaABAg,1617235200,なむりん0624,0,もう87万なんだけどん
UgzmDkBjwn25iL_qrTJ4AaABAg,1617235200,Mikuo Lazarte,0,after her lasagna beam suddenly a old spice commercial with exploding planet came out
Ugyqc6qCi4frj16GDZR4AaABAg,1617235200,Jesús Gonzalez,0,こんにちは、私はアルゼンチンから来ました、そして私は私の卵を通り抜けます日本語
UgzDZk0bihl7NkOD9gh4AaABAg,1617235200,Troggz93,0,LASAGNA BEEEEAAAMM!!!
Ugwkb988YNcG971jqKF4AaABAg,1617235200,Some Skills,0,Wait did it go from 800k to 862k in one day?
Ugwdnno7O-EFZVbMvTt4AaABAg,1617235200,Toudou Aoi,1,2:42:08 new alarm
UgyrzRDSZM33Dix8sQh4AaABAg,1617235200,ゆりか。,0,声すごく綺麗で聴いてると安心する
Ugw9fU8KNfCjo6or7id4AaABAg,1617235200,ゆりか。,0,"80万人おめでとうございます🎉🎉🎉
最近好きになったばかりだけど、るしあのことが大好きです！！！
これからも頑張って下さい️💪✨"
Ugy5gDhNISfq2TdyWSN4AaABAg,1617235200,O,0,"I so scare earlier I found something that should not be found and it's probaly forbidden....... 
(I'm very sorry for you RUSHIA-chan) and it's 1 hour long video............."
UgyHX9B2Zlg2i-pB3kd4AaABAg,1617235200,うちゅうじん,0,:_るんるん::_サイリウム碧::_サイリウム碧:
Ugzn3CQ4x5c4RDE42sh4AaABAg,1617235200,アキヒト,2,もののけ姫の歌声があまりに綺麗でビビり散らした
UgwzMsnW6Z1RT7P9Fwt4AaABAg,1617235200,ひなみざわ,4,36:09 好きな曲を好きな推しが歌ってくれるという幸せ
UgwKgV0VvjchIB2MucZ4AaABAg,1617235200,Collin1877,0,Thanks for the stream Rushia!
UgydwcEbTVWl2veQp8B4AaABAg,1617235200,スプラウト,0,うっせえわ歌って欲しい
Ugw1aBJkJdlraQTA3bV4AaABAg,1617235200,ガンギマリ古のWata-mate,29,2:42:08 the lasagna you might be looking for
Ugw1aBJkJdlraQTA3bV4AaABAg.9IXAacHToSP9IeeJa0qeI_,1617235200,MINICUBANT,0,bruh
Ugw1aBJkJdlraQTA3bV4AaABAg.9IXAacHToSP9IoelInggf9,1617235200,xiangling honkai,1,It sounds like an anime magical girl attack
Ugw1aBJkJdlraQTA3bV4AaABAg.9IXAacHToSP9Ipy7-HMBhy,1617235200,MINICUBANT,0, @xiangling honkai  Or a Garfield meme
Ugx5qRnCo5hsw2ZLNvx4AaABAg,1617235200,Benito Flakes,0,LASAGNA BEEEEAAAAAMMMM
UgxtNXkqgKkKWjPkLFR4AaABAg,1617235200,シアネッド,0,1:41:00
UgxMS-Yyl5J7nyHVylx4AaABAg,1617235200,tiến thành trần,0,"yesterday she 800k and now she 860k
Well 900k is sooner than I expect"
Ugzx_erkVyBStCZecad4AaABAg,1617235200,Solid Snake,2,LASAGNA BEAAAAAAM!!!
UgySCgrOBvZuti0trIZ4AaABAg,1617235200,RTCSU,0,楊傑森 楊爺爺別搞事阿~
UgwimhoZePGgOiQMNH94AaABAg,1617235200,レオ,2,"2:12:58
読んでもらえるのって本当に嬉しいよな"
Ugx1QPKufc5dRmx2OUp4AaABAg,1617235200,Handi Dwi,0,I am here because I wanna hear her sing anima because her voice kinda like reona
UgzLHjGv3r61M95Lh3J4AaABAg,1617235200,DIY,3,もののけ姫聴いてると、凄い落ち着く
UgzhsSvjtS5sNm19IhJ4AaABAg,1617235200,Big Chungus,0,2:58:44
Ugy917qiJlruCLZAG9V4AaABAg,1617235200,ANDREW,0,LASAGNA BEAM!!!! 2:42:03
Ugw2UV8DU-Zwuc1Phi54AaABAg,1617235200,るしあの單推信者,0,お疲れ様、ゆっくり休んでください
UgwXVvlo40Tr7HAvdcl4AaABAg,1617235200,Nexcell Pride,0,"Once (Twice... Thrice...) again a great delivery... :_ちょうちょ:
(And personally talking, finally celebrating the 800000 subs)

Well... This time was short, but also passionated utawaku.
Really Rushia is great at singing, not only at high notes, also low notes. :_るんるん:
At singing ""Mononoke-hime"", I was starting to fall asleep due to her relaxing voice. 😌💤 (This is also because there are 12 hour difference between Japan and where I live, at that hour I would be sleeping, but with wanting to watch Rushia-daitenshi...)

And at Supaachaato Orei Time, it was raining game recommendations... Various fans at LiveChat were recommendating APEX, but Rushia had a not good experience at First Person Shooter games.
Someone said, inside Hololive... Matsuri-san, Botan-chan and Towa-chan are accurated.
I was thinking in someone outside Hololive, a ""half twin sister"" who was APEX tournament's champion about few days ago.
(Rushia's half Twin sister, because her designer is the same Yasuyuki-sensei) 
Well, forget my idea...

2:52:40, talking about videogame recommendations... One of them was sent via Naisupa already read by Rushia... Videogame's name is ""Yakiniku Bugyou"" (焼肉奉行), it's a Puzzle videogame, also a cooking videogame, totally accurated. :_きゅん:

2:42:07 ""Lasagna Beam"" (I'm hungry) :_ハート:"
UgxCn31r0jpcfh0cCO94AaABAg,1617235200,Taoutes,1,"Great singing

Also, lasagna beam?"
