id,timestamp,author,likeCount,text
UgxjZfvHKEZmQ-8XT4Z4AaABAg,1646092800,カタカナ,1,約2年前このスパチャ読みからホロライブにハマりました。これからもホロライブを推しるしあを推します。頑張ってください
UgwiYYnW0u7hlwcQ_jV4AaABAg,1640995200,ぜりー,0,めちゃくちゃ攻撃的なバーサーカーミミズで草
UgxSyeewlpgQXg_82QJ4AaABAg,1630454400,AHYAI,0,"このゲーム懐かしい…w
パッションで戦えるゲームだからめちゃくちゃ楽しいよねw
るーちゃんが囲まれた時誰かこいつを〇してくれ！左下に来てくれ！忖度してくれ！っていったのめっちゃ笑ったw
他の配信でも聞いたけどにゃんこの為の足の座布団ガードの話もすごくすきw
るーちゃん知ってから色んなにゃんこの動画よく見るようになってすごく飼いたくなりました。
毛づくろいし合ってるとことか見たい…尊い…° ✧ (*´ `*) ✧ °♥️"
Ugz6Pn0YsrJ1XzPI5KJ4AaABAg,1627776000,Lago Forte,0,Kỉ niệm 1 năm xem chị
Ugz_K_vDhtLYEgoMZrt4AaABAg,1627776000,Lago Forte,0,Kỉ niệm
Ugzlb2wRencmSUvka0N4AaABAg,1619827200,灰色,0,このころ何かあったの？cn炎上の関係とか？
UgyJryF4cNMD1YMUHyp4AaABAg,1617235200,BOY ESKM,0,BGMなんていうんでか¿
Ugwuyiuq8LOFiDi_0F14AaABAg,1617235200,aing heker mhank:V,0,Sub indo hey:v
Ugzfn3hPvrbNCdZtd4N4AaABAg,1617235200,Buko.X3 S,3,"English subtitles please 
英語字幕お願いします"
UgzPc0DHnSwc7djR8vp4AaABAg,1617235200,ちるり,1,初見です！！！！！ﾎｷﾞｬｰｰｰｯｯｯ可愛い…応援してます💥💥💥💥💥
Ugzboj_p_1WWl_Igya54AaABAg,1617235200,Xx_PepitoGamer_XxYt,3,Holaa UwU me encanta como hablas en español también me gusta tu voz es muy tierna :3 (espero que de alguna forma puedas leer lo que escribí lo traduciría pero algunas veces las traducciones no son las correctas xd)
Ugw-Gpslm-yTnTQ16x94AaABAg,1617235200,Minpz,0,amei cara obrigado por existir
UgyDURZ0Odc1XyaG4ed4AaABAg,1617235200,WSB Cay,0,hello I M VIET NAM (☆_☆)
UgxhHM8X-yav41EPOCt4AaABAg,1617235200,SmolPrinny,4,I hope everything will be ok :( Rushia I love all you girls and none of you deserve whats going on to you.
Ugy08dDXs0mzz2zTawp4AaABAg,1617235200,Davki Z,0,Y los subtítulos?
UgxXsvwuK45pQlgZ-pB4AaABAg,1617235200,Towaマジ 天使 [SSRB^35P^星詠み],2,"Thank you for this wonderful stream Rushia we love you ❤
Don't push yourself to hard 😁"
UgydhaJnLgGLyUchdnR4AaABAg,1617235200,Khai khai S5,6,Ion even kno Japanese but this is still better then morgz
UgydhaJnLgGLyUchdnR4AaABAg.9BnCkgBs8s39Bto2t4OnN5,1617235200,Esarrti,1,"i mean, anything and everything is better than morgz lol"
UgydhaJnLgGLyUchdnR4AaABAg.9BnCkgBs8s39Bu3jE2HR1r,1617235200,Yobama,1,comment of the year
Ugxc6XQj8lLiUW9x6D54AaABAg,1617235200,コルツ Ch.,0,Petan
Ugwuug_TWuKqso1YYxV4AaABAg,1617235200,ViMon,0,とても悲しい
Ugx0sGf_S1KveIMVaIp4AaABAg,1617235200,ViMon,0,ちょっとルシア ベトナム語の字幕がないのはなぜですか? :((
UgxwX8-nLMKTKmY9S7Z4AaABAg,1617235200,franco vidella,3,SAQUENME DE LATINOAMÉRICAAAAAA!!!
UgxCvHsmCF-mbywFwC94AaABAg,1617235200,Lương Hoàng,0,Hello
UgzryfB0MNuB4Zejdqx4AaABAg,1617235200,methanoia,0,u dont understand a single word but i still love her
Ugwmqe27CZR_6gGWyQV4AaABAg,1617235200,Mr.rogue♻️,0,Hello What are you doing with Michael what
UgxTxLxKY6B4i8Qf6R14AaABAg,1617235200,Alberto Caballero,1,deciaria poder aprender todos los idiomas;fácilmente 😭
UgztnMFXhZ5f8bIrkJd4AaABAg,1617235200,Rodrigo Alexis Huerta Torres,0,<3
UgzmSHQxeoTTMWQTq3p4AaABAg,1617235200,Xumless,0,Cutting Board > BOING BOING
UgwlZhsbPzNVsQDAFHh4AaABAg,1617235200,チキンChikin,0,Missed the stream(╥﹏╥)
Ugylbzv89SE57r-vdeR4AaABAg,1617235200,AKAMiNE,0,cute mouse cursor😊
UgwrlUcO-sw3Kr6iuVx4AaABAg,1617235200,MomonKusa,0,"12:31 Yamero!!
12:45 Rushia rage"
Ugz59UQ04-xYZ4LvV5Z4AaABAg,1617235200,Pan Salado,0,"Maaan it's been so long since I've been able to catch a stream, Rushia has grown so much since then, I'm happy!"
UgyfFe7AS38Pu2p46354AaABAg,1617235200,ShiftEnd,0,あい
UgzrKCNAIqfYcQgyQed4AaABAg,1617235200,yeezhenchong,1,Im here and im happy
Ugw_2BnQvHjtf1TQu2x4AaABAg,1617235200,Mario Bros,0,Hola
UgwHOB_lwQOnGQIqir94AaABAg,1617235200,유호성11,0,かわい！！
UgzEzGripFwvt2CowqB4AaABAg,1617235200,Degenerate 6975,1,"Ah yes my favorite game, sliter.
Love the content!"
UgzvIMH29AbuShpR0uh4AaABAg,1617235200,アンハッピーリフレイン,0,"おつるし🦋
るしあちゃんの配信は、いつも楽しそうで見てる自分も凄く楽しくなります。
るしあちゃんに出会えた私は、本当に幸せなんだなといつも思っています。
この思い続く限りずっと応援していきます。
でも、世の中一寸先は闇と言うのでいつ別れが来るかわかりません。
だから伝えておきます。

私に出会ってくれてありがとう😊"
Ugw0l0kpufBPEZgC3aF4AaABAg,1617235200,ちょむ,1,"まだ題名のスペルまちごうとる……w
ないすプレーもちょくちょくあって2位の貫禄を見せれたのでは(｀･ω･´)ﾉ
色々大変だけどもるしあちゃんが頑張って活動するのなら全力で応援に応えたい
ずっと一緒やで〜"
Ugxnfud6fQPTXT85cup4AaABAg,1617235200,Kemski,0,仕事終わったけど、遅かったか。。。
UgxjYPZ6naarjBd0PkN4AaABAg,1617235200,OtakuWibu Nichijou,0,こんばんはぺったんこ、きょもかわいいですね
UgyNlTt6B2yaYMGdWH94AaABAg,1617235200,steven xdz,1,Free fire
UgwlJQS8oi97gnYf7vl4AaABAg,1617235200,マーボー,0,笑わないでって言われてもぷるぷるしあは笑っちゃうw
UgxMs1utRbAVqBsDnjd4AaABAg,1617235200,柊,1,"るしあなりにふぁんでっどの皆を元気付けようとしてるのはずっと伝わってますよ、しんみりした話聞いて改めてるしあに命救われてたんだなあと再実感しました
 
他のふぁんでっどの方もめちゃくちゃ言ってますが喉の事がただただ心配です。
るしあの笑顔だけでなく発狂も台パンも正直かなりめっちゃ好きだし、めちゃくちゃ元気もらえます色んな気持ちすっ飛ばしてくれるような感じがしてすごく助かってますはい、。．"
Ugwn5FbknynLtqG5RsV4AaABAg,1617235200,Kyuya Seivenstein,0,"[WARNING SPEAKER]
Take care of your eardrums"
Ugwn5FbknynLtqG5RsV4AaABAg.9BjajECziFe9BjieHXMijx,1617235200,nazrin992,0,"My thanks for the warning, good sir. 

starts watching archive with MAX Volume with Audiophile Headphone on"
Ugwn5FbknynLtqG5RsV4AaABAg.9BjajECziFe9BkSY-ElAsN,1617235200,Keaton,0,WHAT?!
