id,timestamp,author,likeCount,text
Ugz9nsqRc3eO9BuJral4AaABAg,1640995200,mato kuroi,0,why she has here pink hair...i thought she has green hair ?
Ugy2-7bc-85O7cRiym94AaABAg,1638316800,Rico,0,"0:10:32 台パン
0:14:01 「えぇ！？」（※バイオ8冒頭のベビーカーのくだりでも似たような反応をしている）
0:26:27 アンドレとの対面
0:28:29 水の中から"
UgyLSqj_3xwDIR7ZVpR4AaABAg,1638316800,drakke125,2,"8:00 ""Let's have fun together"" (uses translator)"
Ugwe55YJdTxljij4XhZ4AaABAg,1633046400,lvi,0,可愛すぎる...
UgxmZFZXUWEiE8WxP1F4AaABAg,1627776000,ふぁんでっどA,0,1:37:45
UgzSix4gYRp7zeCzTf54AaABAg,1625097600,Naufal,0,2:47:51
UgxF9OJU8V4MVvWMVXp4AaABAg,1625097600,AshKirby,7,1:49:58 She did a spot on impression of Kuroko!😄🤩😎👌
UgxOUpePpOkvNtKYEO94AaABAg,1622505600,RiskInstinct,0,"O-O


Never thought I saw the demonic form of rushia"
UgzzjuAsPUgWblyNkI14AaABAg,1622505600,Jose Manuel Alfonso,1,rushia soy tu simp
UgxwNLOKJrKfLUKkAAR4AaABAg,1622505600,Turos Kensei,1,"Rushia getting stabbed by crazed Mia

Rushia: ""IS THIS WHAT I'VE BEEN DOING TO PEOPLE?!"""
UgwMZcYzSnzpVAe--VB4AaABAg,1622505600,BLACKIESBOY,1,52:38 I need that entire part translated it's so good
UgyRXKn2bf4d6nRb5p14AaABAg,1622505600,수노,0,1:18:10 so cute
UgzJX7Db-13msGqC6ZF4AaABAg,1622505600,憲哉 宮下,0,v、l
Ugx4-Mzz8F_pwMerbTt4AaABAg,1622505600,霊犬草太郎,0,緑よりプラチナピンクがくそかわいい
UgyFEZVMPW7TBW4wNlR4AaABAg,1622505600,albert park,0,11:45 pe-tan? no pe-tan? よくわからない🤔
UgwqHGiuWaMQyaA_4iB4AaABAg,1622505600,元皮付き,4,"1:17:48
体より先に精神を壊すぞって言う暗示"
UgwYbtFvUBNbOZtUmhN4AaABAg,1622505600,zen,2,1:49:56 1:49:56
Ugy7S9K4mEWaZI3ro1d4AaABAg,1622505600,ブイザ―Neru,0,"59:23
るしあちゃんにお疲れ様っていわれました。
あと1年は頑張れます"
Ugy3hN5A5YcankUztM94AaABAg,1622505600,katudo2nn,1,"52:33　ノーノーノー！ノォォォォォ！！！
58:21　ノーノーノーノー！ノォォォォォアァ”ッ
1:07:50　ア”ァッッ
1:12:43　グサグサ！浮気したら皆こうだよ！グサー！わかった？
1:38:40　ちょっとママになった
1:50:28　余裕の逃げ。しーらんぺったんきゅーうーり～いやぁ！ごめんなさい嘘です！
2:17:35　よお！ア”ッ　ひぃっ…あーん
2:41:35　ヒィ～エ”ェッ何！？なんなのあんた達！
::"
Ugzr_DyrdyI8GhmrgoV4AaABAg,1622505600,aitom,55,"1:49:52
「ジャッジメントですの」を聞きに来た人はこちらから。
時間ある人は、1:46:00 ここら辺から。
さらに時間ある人は3:20こちらから。"
Ugyoa6CaEguwyX2Vz7N4AaABAg,1622505600,パンダとキツネ,0,ルシアがナイスバディだと・・・冗談が上手いんだね！
UgxjRPbgMFeGHRA8uRJ4AaABAg,1622505600,Gustavo Ch.グスタボCh,1,Rushia fue asombroso directo de [RESIDENT EVIL 7 biohazard] ¡No puedo hacerlo sola...!AYUDAME;; [Uruha Rushia/Hololive] y vaya realmente sufriste pasando esas partes linda rushia-chan.
UgzyjBnBWj2wYFSs2qJ4AaABAg,1622505600,gawgawgimic,0,"しーらん、ぺったんパンダ
じゃないっけ？"
UgyWWX_AP0MPJ9GQio54AaABAg,1622505600,種田未来,0,イーサンは一般人なのに強い？
UgzuX12rL5sebdd01MR4AaABAg,1622505600,桜餅おにぎり,5,1:17:37 鍛えられてるんで
UgzD50B2P_iSD0nx16Z4AaABAg,1622505600,そこら辺の車好き,1,1:41:59
UgwAcT3jJ6pAb_Q64gt4AaABAg,1622505600,HACHI,8,1:53:35 あ♡
Ugyzb8BwiG3pcm4Q9Ft4AaABAg,1622505600,dhimas nugraha,0,i hope there isn't many puberty boys here. the content is awfully gore
UgyJgCrvTunVfG9TMYB4AaABAg,1622505600,Jon Balleck,0,"Wait, why did she start all over again?"
UgyS5Xv3bzFnZnWue3p4AaABAg,1622505600,Félix A.G,0,Love Rushia!!
UgyqWDRdr7dIkNjJB6h4AaABAg,1622505600,ペイン ジョジョ松,4,サムネが好きすぎる
Ugx39y9GoNcNitBaMTB4AaABAg,1619827200,傍に居るの地縛霊 HNMR Jack,6,2:44:30
UgxVhE8pOZsD348OioN4AaABAg,1619827200,めんらー,2,1:50:00
Ugwv5Xf6GHaX-FCB6XR4AaABAg,1619827200,pUTOha,0,私はあなたのデスメタルの悲鳴が大好きです！
UgzoKyFTm2EyCNuxxhV4AaABAg,1619827200,Scott Knight,0,Extremely cute
UgxIrnw2iYsIQna9YC94AaABAg,1619827200,The WanderingWind,1,"2:28:42 yes Rushia is always very fun. I love you chuu
Cute winks!:_ハート:Rushia always makes me happy ^-^

3:04:30 Enjoy Rushia :)
Chou meccha yasashii 
Kawaii!:_ハート:"
Ugy7FTcCmhPEq6huYml4AaABAg,1619827200,A Simple It,2,POV: you came for 1:45:06
UgyYoS_728FWMOoDIqZ4AaABAg,1619827200,Antwaine Horton,5,"You did an amazing job Ru-Chan, your English has gotten alot better as well.:_きゅん::_きゅん::_きゅん::_きゅん:"
Ugyz0b6UMv7vEDi9hld4AaABAg,1619827200,Salokin Noraa,5,"また「バイオハザード7」をプレイしてくれるなんて嬉しいですね。ストリームをありがとうございました。-海外ニキ

DeepL で翻訳されています。"
UgzVJgGnIare__SH_Fl4AaABAg,1619827200,ɴᴇᴘᴛᴜɴᴇ,3,2:28:43
Ugx4Dp7AAlahGKNsRZF4AaABAg,1619827200,metalgear210,0,She is lovely the best when she happy I sure everyone feels the same way
UgxOcA0g-6rfBpPqq894AaABAg,1619827200,King Dovachief,0,"1:09:35 I'm gonna take for a ride (saxophone noises)

-Also i wish the girls could play the uncensored version, it's way cooler and fun."
