id,timestamp,author,likeCount,text
UgzxUGQnJqxmfgjdS8F4AaABAg,1646092800,しゅーと🦋,0,まだGルート終わってないのに。。😭😭😭
UgxDcYBZZZkr2toKv-l4AaABAg,1643673600,さつきかしく,1,サンズ戦ちゃんとセリフ読んで欲しい。
UgwOf0jywzSNNy1laFF4AaABAg,1633046400,蒼い鳥,0,"おつるしです！
アンダイン戦おめでとう🎉
ここから始まるのね、サンズ戦が。
次のアーカイブも楽しみ:_きゅん:

自分用

2:54:32     アンダイン戦終了

3:22:39     マフェット戦

3:27:37     バガパン

3:45:53     メタトンNEO

3:57:18     ニューホーム　フラウィと遭遇

4:10:23     タイトル回収

4:11:54     るっに怯えるフラウィ

4:13:16     サンズ戦

4:14:44     サンズの攻撃で興奮する、るっ

4:14:55     サンズ戦2

4:15:42     サンズ戦3

4:17:47     サンズ戦4

4:19:34     サンズ戦5

4:21:26     サンズ戦6

4:22:16     サンズ戦7

4:24:25     サンズ戦8

4:27:08     サンズ戦9

4:30:14     サンズ戦10

4:33:30     サンズ戦11

4:35:02     サンズ戦12

4:53:56     ここ気付くの良いね！"
Ugw6XfqOVfQ00GZaEOR4AaABAg,1630454400,じゃがいもくん,2,文をいちいち読まないあたりリアルGルートと言われるだけある
UgxaOesPGwPGY96JNZF4AaABAg,1630454400,ZERO.B-ぜろびー,0,"アンダインリベンジできてよかった！
思わず叫んでしまったよ:_きゅん:
サンズ戦も頑張るしあ！"
UgxJPHIGvjs3hw9BaI94AaABAg,1630454400,ぐ!,0,"ネタバレと指示厨がめちゃめちゃうるさかった



配信は面白かった！"
Ugzl3eywuqwNN83Gy-l4AaABAg,1627776000,9 9,3,"サンズ『ごめんよ、おばさん』
るしあ『え、るしあのこと？』
ここ草"
Ugzl3eywuqwNN83Gy-l4AaABAg.9QT1ha_eR1k9QmaZugln3K,1630454400,Dahlia,0,それな
UgyBhBcIH_2ScNoqHWZ4AaABAg,1627776000,しるふ,2,"3:40:59 3:41:18
prpr

サンズの４回目の会話のフェイントとるしあの会話が噛み合うw気付いてないけどw
4:17:55"
UgzhmkUlPjrrqLr2KDx4AaABAg,1627776000,シャハラン ハリル,0,チャットのリプレイを見てたらこがね---さんが「サンズは他の人の動画観てパターン覚えないと勝てないと思う」って言っててそれ本当にそう僕だってほかの人の動画見まくってやっと最後の洗濯機ブラスターまで行けたもん　ただし洗濯機ブラスター突破できない　誰かよける方法(アドバイス)頂戴
UgzcwZrszH_SOHgUS6J4AaABAg,1625097600,板チョコブラックサンダー,0,4:13:14
Ugxge_sSnC0GaBsyaTp4AaABAg,1622505600,ペタテラ、,0,アンダインは攻略見れば秒だよな...
UgwaglSgJWEwDcDmN4J4AaABAg,1622505600,アイちゃん,1,4:14:22 そこまでは言ってない
UgzoWD5hChOQyzgKVsR4AaABAg,1622505600,김남규,0,wa! sans!
Ugz7K8eXoVu_upLXZk94AaABAg,1622505600,Toaster Oven,0,4:21:43 timestamp funny moment for myself
UgyV-_aOQobZSsg9ctp4AaABAg,1619827200,瞿麦,2,14:35 わため「恐ろしいねぇ…」
UgxZ7T8MRQX0GS1UjMV4AaABAg,1617235200,hon imbalance,0,2:47:14 timestamp for myself
UgwuckmUrLIDd1t9JwN4AaABAg,1617235200,骨折治りかけのルディア,1,るしあっておばさんって呼ばれて気にしちゃう年齢なんやな
UgwK5m6X5jFildl9SYV4AaABAg,1617235200,GabFNin 0,0,Congrats on 1mil
Ugwr_ZWO1AlHB3y1MoZ4AaABAg,1617235200,Edgar Rodriguez Kuroda,2,"2:54:06〜2:54:20
身勝手の極意!?
Ultra instinct!?"
Ugy6SZtRUbRjyiSr1_l4AaABAg,1617235200,Keywiz,1,1:12:10
