id,timestamp,author,likeCount,text
UgywqVyzhTIbvKnSmhR4AaABAg,1646092800,まろん,0,またぺんた捕まえてほしかったな
Ugx2Rx-6p17SU5guDVN4AaABAg,1640995200,ワラソティス,1,ぺんたが心を取り戻したと思ったら、目の前でぶりゃあ！！されて笑った
UgwyJ4n4SsWtVwt4bD94AaABAg,1640995200,AYU/こってりさん,1,すきです
Ugx_fwuOBQaokRgv0pt4AaABAg,1617235200,Iscream Lifa,0,thx 4 the stream !!!
UgzIEQc58O3RYtTC5Pd4AaABAg,1617235200,Night Sky,0,ありがとぅ、るしあーたん
UgztMJzzPMG8owBGItd4AaABAg,1617235200,バームクーヘン,1,ぺんたが一瞬ぺたんにみえた……
UgyEHXxwBJTJGmAo7G94AaABAg,1617235200,八木良幸,0,ぺったんファミリー作ったんですねおめでとうございます。
UgzuImJlqJtQLWXortB4AaABAg,1617235200,MomonKusa,0,Chill stream with rushia was a bless
Ugw6bVDue3gPbto8oYF4AaABAg,1617235200,甘夏ゆずき,0,ぺんたんがペッタンに見えた
Ugx_HE66SB-NsIjokLF4AaABAg,1617235200,Josue García Pérez,2,Hola y te amo saludos desde mexico
UgwVQhAUiry1DblrxqN4AaABAg,1617235200,tty 0715,1,パチパチなるわたあめみたいなお菓子あるよねそれのASMR聞きたいな
UgxHqNhcUFUTiSAbIT14AaABAg,1617235200,シャノン,2,"ぺんた…ぺんた、ぺんた…




ぺったん♪ぺったん♪つるぺっt(殴"
UgxZt3sUCsc_FrNDRkJ4AaABAg,1617235200,りなぽん,0,37:36 よ゛し っ゛!!
UgzY4rhPlAgZq0qtZAN4AaABAg,1617235200,メランコリィ,19,"2:24 開始 / start
6:48 ぺんたじゃない / not Penta
12:52 ぺんた、行ってきます / Penta,I'm going.
13:40 ぶりゃあぁ / ahh
15:22 我慢できない / can't endure
17:38 ラーメン / ramen
19:40 ぺんたに見える / look like Penta
20:14 親知らず / wisdom tooth
23:45 水玉 / water ball
27:01 夜に駆ける / Racing into the Night
28:25 かっさらう / kidnap
30:09 おへそ / belly button
31:17 ひよこ饅頭 / hiyoko Manju
32:51 るしあママ / Rushia's mother
34:16 るしあパパ / Rushia's father
34:50 発見 / discovery
36:30 ぺんたに似てる / face like Penta
37:54 テイム開始 / tame start
42:05 逃げる場所なし / no place to escape
43:09 ぺんたの嫁 / penta's bride
45:21 ウがない / not psycho(サイコ) but the best(サイコウ)
46:03 UFO / UFO
48:16 よっわ～ / weak
48:49 タイガーちゃん / tiger
50:58 かゆい / itch
51:54 充血 / hyperemia
52:40 悲劇 / tragedy
54:19 ティラコレオ / thylacoleo
57:33 ぺんた、ただいま / Penta,I'm back.
59:16 お嫁さん / bride
1:00:23 感情 / emotion
1:01:39 ヤキモチ / gealousy
1:02:47 たまご / egg
1:05:21 生まれた / born
1:07:33 ぺんたファミリー / Penta's family
1:09:26 何かを探しに / look for something
1:10:38 アルファ戦 / alpha creature
1:16:27 敗北者 / loser
1:24:57 ポケモン / Pokemon
1:25:10 逃走 / escape
1:27:04 今日はしない / don't steal eggs ""today""
1:29:10 謝罪 / apology
1:33:13 ED / ED
--------------------------------------------------
1:33:53 ED後トーク / talk after ED
1:34:44 安心した / rellief
1:35:38 スパチャお礼タイム / supercaht reading start
1:36:53 あくび / yawn
1:46:07 ちゅきちゅきぷりぃ / love,love
1:46:26 先生がるしあ推し① / fandead's teacher loves Rushia①
1:48:19 先生がるしあ推し② / fandead's teacher loves Rushia②
2:01:56 正月衣装 / costume change
2:04:30 表情 / face expression
2:05:03 先生がるしあ推し③ / fandead's teacher loves Rushia③
2:10:01 ぴよこ移動 / Piyoko move
2:18:09 ご飯配信 / meal stream
2:23:57 他の娘を見るの？ / watch other girls?
2:28:17 コメント音読します / read comment aloud
2:33:36 スーパーへ行く / go to supermarket
2:37:38 大好きだよ / I love you.
2:37:43 ED / ED
2:38:19 Cパート / C part

いつもの人の代わりに簡単に作成しました。
I want you to forgive me even if my English is strange.
Thank you for Google Translate."
UgzY4rhPlAgZq0qtZAN4AaABAg.9DCv-v8ZM2a9DMETXJbgeC,1617235200,Shizu,0,気にしないで！完璧な英語じゃなくてもすごく助かる。
UgxbDfDZ4yFppd6T12N4AaABAg,1617235200,リオンアルド,1,50万人おめでとうございます🎉
Ugx3ftBFJ71SfTIk80Z4AaABAg,1617235200,alice,1,ぺんたの仲間おめでとう！家族ができてよかったね！！
Ugx_iWr3o1mBVGpz2r54AaABAg,1617235200,BATIFICº Caza,2,Habla en español UwU
UgytLFbJ14dhqcjW-wV4AaABAg,1617235200,BATIFICº Caza,1,Eusio
UgyvAN904v1A-ZEJHc54AaABAg,1617235200,ChunchunmaruBRs,4,Grandioso directo soy de latinoameria y invitare a otros de aca para crecer a esta comunidad tan agradable.
Ugw8yz6cwkdn60M9bMN4AaABAg,1617235200,Elias .G,2,"Rushia for some , a vtuber, for me, a crazy girl😎👌"
UgzM6hYV79ZMpfs56Gp4AaABAg,1617235200,Diana Isa,0,Rushia te amo ❤ saludos desde perú
Ugw-bdIE19t46FF01T14AaABAg,1617235200,Motoyo Makoto,8,"For ppl who call rushia chan ""cutter board""
LOOK
The smaller the chest a girl has
The closer you are to her heart"
Ugw-bdIE19t46FF01T14AaABAg.9DBg2vamT-m9DCfDH8ahKu,1617235200,Sufference,2,This is such an underrated comment HAHA
Ugw-bdIE19t46FF01T14AaABAg.9DBg2vamT-m9DClp8sXUJ-,1617235200,Orange Hair Guy,0,This comment true
UgyBgPIgMEadzU-nwFl4AaABAg,1617235200,ろいろい,1,"改めて50万人おめでとう！
ここまで登録者数が増えたのはるしあちゃんの努力の賜物だよ✨
更なる高み目指して皆で頑張ろう！"
Ugzrki3r3DKEOP7jOHd4AaABAg,1617235200,Talon,3,"daamn 500,000k subs, it actually feels like it hasn't been that long ago when you were in 100k subs lol, congrats"
UgwFpgfpiJ5X_p8EvBh4AaABAg,1617235200,アンハッピーリフレイン,3,"るしアークおつるし😄

ぺんた🐧がどんどん幸せになっていくね🎶

今後の展開も楽しみ✨"
UgylP800DYud-B1e16x4AaABAg,1617235200,Dereck Chen,1,Comfy stream
UgwwTZhB49TA8AXj79F4AaABAg,1617235200,SeisukaKawaru,2,"2:15:55
2:28:14
2:30:15
Some personal time stamps"
UgxOaU7eHIj-_4omEDp4AaABAg,1617235200,Alex Venthem,17,"1:45:10 don’t mind me, just a personal timestamp for when im sad"
Ugyc4Z6NY_0-YxJmfx94AaABAg,1617235200,Hamburgesaurio 2,3,"how, did i ended, on a goddamm Japanase direct, i kinda like it tho"
UgyGTdyScCGBNSAfxyl4AaABAg,1617235200,ぴかもん,3,"今日の学校物語読んでくれてありがとだよ〜 2:04:50

また次回も楽しみにしてるね！"
UgwW6KyG6WoMA3k2QV94AaABAg,1617235200,ちょむ,5,"50万人改めておめでとう〜！
ぺんたも嬉しそう？でよかったw
ぺんたろうかわいかったわね🐧"
UgxKMnT_CIPfPzlDjuF4AaABAg,1617235200,"fire,",2,"おつるし～
ぺんたのお嫁さん&子供おめでとう！
ぺんたに感情がもどって？よかったね"
UgxijDTN90UqFX_FETV4AaABAg,1617235200,むはにたあ,13,"スパチャのコメントに「おめでとう」を入れ忘れる痛恨のミス。
なのでここで改めて。
50万人おめでとうございます！

調子乗って上限投げたけど、毎度財布と相談しながら額決めてるので大丈夫です。
逆に気を使わせてしまってる可能性もあるので一応…。"
UgzZ7SmzlZV3eaIH4px4AaABAg,1617235200,RIZKY,4,2:26 開始
UgzZ7SmzlZV3eaIH4px4AaABAg.9DBEf-Og9BR9DCVv9h_118,1617235200,TheDustyMuffinsss,2,"cant read that and i still knew what it was, thank you friend"
Ugww-Ei7Yw_WNpABuAR4AaABAg,1617235200,MOBA 101 Yt,2,Loved it❤️
UgyWGCmjxVwIr_Wzvj94AaABAg,1617235200,夜勤りん ご,4,"改めて50万人おめでとう🦋
記念配信とかは考えてるのかな？
達成の瞬間以降見れてないので、今からアーカイブ2つとも確認してきます〜"
UgxYq8D7aa2wHydZ5ix4AaABAg,1617235200,Retsu,3,るしあ　50万人おめでとう
UgzZMvLdBttPXvsYJWV4AaABAg,1617235200,啓司,10,"正月衣装有り難うヽ( ・∀・)ﾉ
後、お帰りなさいもサンキューです！

自分用
2:27:34"
Ugza5At01OeIL7n31-B4AaABAg,1617235200,Zach Yu,12,"I personally LOVE this stream. Relaxing gameplay, Rushia doing cute things, and mostly an unexpected surprise at the end.  Rushia I LOVE YOU!!"
Ugza5At01OeIL7n31-B4AaABAg.9DBAcmMdWO49DBBz3s0t5c,1617235200,Hysterically Hysterical,3,Too bad I cant join the stream because of online classes. I'll be hanging in the archive then 💖
UgxEeEHonLkf89zTSjh4AaABAg,1617235200,Alex,3,Penta finally has a family so he wont look dead inside anymore
UgzWKXU3mIqNqsMF0Dd4AaABAg,1617235200,_かみな,2,クーラーでやろう
