id,timestamp,author,likeCount,text
Ugz8hkXw2dwd2U_Q9C14AaABAg,1648684800,Berto,0,Bruh 😭
UgxKdFPNPLJtaJM1Vy14AaABAg,1648684800,Manuel Francisco Garcia Robles,0,7:27 B-RUH Clip
UgzmUVH2QCRnkSwdC9t4AaABAg,1646956800,Milk N Waffles,0,gonna miss her soo much man.....
UgxBOKKMkrSL4psjrgR4AaABAg,1646352000,Duong Nguyen,1,7:34 Mission failed successfully
UgwXuIeZHM0RbnFW-IN4AaABAg,1646092800,dani wijaya,4,The legendary Bruh by Rushia
Ugy1tjr6gBHE2j6EL654AaABAg,1646092800,みりむ／Minooon,0,"当時リアタイで見てたな〜....
もうるしあのマイクラ配信が見れないのは悲しい....."
UgwJ0_HTEwbt_K9K5np4AaABAg,1646092800,just a seal ✔,0,Man 😔
UgxIWgaqjLBOG9ujD4R4AaABAg,1646092800,SaibaZerro,0,bruh indeed.
Ugz4Hmeae4PVCYtDJdN4AaABAg,1646092800,Tsukasa Watanabe,0,"Bruh 

Rushia:Buruh"
UgyKTlC-wtuE2BKRdQZ4AaABAg,1640995200,Red?,0,7:27 ... 😅
UgyZZh7MKNdJGtQPnZ94AaABAg,1627776000,BlackopsVocaloid 39,0,I came for the special Rushia bruh but I didn't expected to happen so early in the archive.
UgwMy1rsbq9HW2ktVX94AaABAg,1625097600,Saya Aqew,0,るーちゃんってかっこいい
UgzndZ8gMO29czoBest4AaABAg,1622505600,Aguus H,0,Bruh 7:30
UgzUpreX4kj-otZt91N4AaABAg,1619827200,Ken Royce Batan,0,"Marine: Wheres the baby

Russia: 9:29"
Ugz1F9TC7zYPbVimLQl4AaABAg,1617235200,どやんす。A.K.A. 夕立POI,0,BRUH~
Ugw7NOIg8JBYA9LRuaB4AaABAg,1617235200,Asmodeus Gaming,0,bruh.
UgwQt1mRobvcUxYI6454AaABAg,1617235200,MARU,1,"初見です！ 
27:04 ~ 天然かな？wくそ可愛いんだけどぉぉ！！無限にアイテム回収してキレるるしあ💀耐久お疲れ様です！チャンネル登録しました！"
UgyObMJ8qv9rSt_jkOV4AaABAg,1617235200,Justin R.,68,"maybe rushia thought ""bruh"" was a bad word so she said ""i love you"" instead"
UgyObMJ8qv9rSt_jkOV4AaABAg.9J2msvGOV6m9OegLaCtbAp,1625097600,come on me,0,yeah that's what I think
Ugy9kktwC9A_zrUXwNF4AaABAg,1617235200,click bait,0,Does anyone know which song is playing in the intro?
UgwMwjymxuxyfCY97y94AaABAg,1617235200,Emilia Sensei,0,7:30 buruh.
UgztJnTxZQvnRTY2P8F4AaABAg,1617235200,Kaiz,0,Bruh
Ugwyq0_ROeF8Qd9ve1l4AaABAg,1617235200,呑んべぇさん,0,:_おつるしのお::_おつるしのつ::_るしあのる::_るしあの:
