id,timestamp,author,likeCount,text
Ugx5gSKXGm-Mn4kFICt4AaABAg,1648720800,Bima Fauzi Aria Wibowo,0,Bye rushia
UgwrD-QAWI9NkE56d-V4AaABAg,1648702800,あげは,0,愛してます:_ハート:
Ugw_Kait8vq57FgEIRN4AaABAg,1648659600,龍牙神,0,🦋
Ugw4uMiUU3nfXqiChNN4AaABAg,1648339200,m0us31,1,thank you for everything and keep looking foward
UgwSsrGjZJTTc2yV_TJ4AaABAg,1647561600,AMJ,1,"cry ,cry ,cry ,cry ,and cry"
UgzPPLwyGX-Bm3BNXOl4AaABAg,1646956800,ささ,0,急におすすめ流れてきた、やっぱり綺麗な声してるし可愛い。ずっと大好きです！
UgwCjvhNPaMQJf9Aqwx4AaABAg,1646956800,chester,1,❤️🦋
UgwOGmF9fqfcbjDfHmN4AaABAg,1646956800,chester,0,ありがとう るちゃん
UgzqhNoUgiKpi-oX5Pt4AaABAg,1646352000,Alex Wer,6,"I’m going to cry
Thank you 🦋"
UgyCSBO27jB5P1nzv_B4AaABAg,1646352000,John Brawls,1,"Well, this is painful"
UgxQyR30oo8ZxZcollZ4AaABAg,1646092800,Maple May,3,See you again Rushia I love you so much:_ハート:
UgyfpbNpCTC5brjn7SN4AaABAg,1646092800,0 Yeah,1,thx
UgzOew3kqw__B4Q6XSB4AaABAg,1646092800,Black Ling777,3,ありがとう😭
UgyVnOnCVnBy7JJX5NV4AaABAg,1646092800,_ren,1,i miss you already
UgxaCYbK8QbFR_yvJcF4AaABAg,1646092800,W1NG_,2,"I will miss you, my favorite Vtuber."
UgymADpLW_MvJY1GkpB4AaABAg,1646092800,Tsuki Riri,38,"im sad that i didnt watch your streams sooner, i really love your voice 😭"
UgymADpLW_MvJY1GkpB4AaABAg.9YsnLT6eZFI9Z46xzoyLm6,1646352000,Migaru,0,same
UgymhOibz5K4A6Xq2VV4AaABAg,1646092800,winter,44,Rushia 他のところで引き続き応援します。あなたを忘れません。覚えておきます。台湾から来た女性ファンです。❤️❤️❤️
UgxgnL5v1mrrLvvE8Gd4AaABAg,1646092800,Monocrozz5772,2,please wake me up TwT
Ugy65NhZI5jYPmjhncp4AaABAg,1646092800,YaBoyHuntee,0,うわーこれは違う感じ
UgweVnuoW6zJ2pB2tHN4AaABAg,1646092800,中澤,0,"こんなおもろい歌枠なかなかないで
でもしっかり上手いから見応え凄かった"
Ugx4-0L2IoGjQ4mBSJ94AaABAg,1646092800,暗黒魔界のぉぉおおお ぉおぉぉおおおドラキュラデーモンサタンでびるショー君草www!!タマネギかw何,1,るしあ氏最高❤❤❤❤❤❤❤❤
UgwYAKm48We8gONxYbR4AaABAg,1640995200,よしわら: yoshiwara,3,"このときは登録者数56万人ぴったんこカンカンやったんかー毎日がんばったんだね！！今となっては150万人突破して、るしあちゃん自身も成長を実感しているくらいですものねd(^_^o)
ヨルシカさんときゃりーぱみゅぱみゅが十八番って感じなのかね〜
特にきゃりーさんの歌はるーちゃんの可愛いくポップな雰囲気にあってて良いね！（にんじゃりばんばん聴いてみたい、、、！）
シャルル、カッコいい歌ですね〜また聴きたいです
白日やロキあたりの難しい曲にも果敢に挑戦していて楽しい歌枠でした！ありがとう♪(๑ᴖ◡ᴖ๑)♪"
UgzJP-wFhujfOOGCff94AaABAg,1638316800,God Guzzlord,0,3:49:00 instant diabetes
UgzPaYLPGDkVUz7VUEB4AaABAg,1638316800,雫達,2,歌枠めっちゃ可愛い。最近ルシア見たけど、見て良かった〜！
Ugyvt8IRlmTOogfkcK94AaABAg,1630454400,こー,2,"るしあの歌声ほんまに好き。
どの曲も素晴らしかった☺️

家族の話も聞けて楽しかった！:_きゅん:"
Ugx6oYdsGfroRmYinhR4AaABAg,1622505600,oh man,0,1:14:10 don't mind me
Ugzf86guNo6ipphc08J4AaABAg,1622505600,技師愛好家RG,0,1:32:42 るしあちゃんの喉越し
Ugy2TgkdXPnSq8qJjeh4AaABAg,1619827200,Eon Limpiado,0,"00:57:08  8. たぶん / YOASOBI
i like her voice <3"
Ugwn0cIpUQCgS--Nq3h4AaABAg,1617235200,幻刃,0,a i si de ru
UgwN81JaEG79qfeBFih4AaABAg,1617235200,Arisen九 —Winzki十四,0,Cute
UgyQZW_hc-5DXftLq514AaABAg,1617235200,Ferzousフェルゾス,0,1:14:10 me everytime i wake up
UgyZwnwz_R1UTtmNrC54AaABAg,1617235200,nope yes,0,im here for this 1:14:09
UgxH8GXsSH5P2zVNIWl4AaABAg,1617235200,Gabriel Bortoletti,3,"Ironicaly, you have an angelical voice"
Ugxp4X7xijMjfECpaDh4AaABAg,1617235200,タイキチ,0,"Enjoy the joy of singing like me,☺"
UgzXHTR6XZ7F1eKZQF54AaABAg,1617235200,Truc Thanh,0,rushia when someone called her pettan
Ugzenq5glGFfIXAofCx4AaABAg,1617235200,Gallaelwyd -,0,"Nice, Rushia :D"
UgzFSWKZLn_D4-PYWsV4AaABAg,1617235200,Ez Khel,3,Woah she sang a lot of my favorite songs in this stream. I'll be adding this to my playlist
UgwFigl6X6418qzs_4x4AaABAg,1617235200,夜星,49,"00:01:53  ★Start
00:08:07  1. PONPONPON / Kyaru Pamyu Pamyu
00:16:02  2. Dakara Boku wa Ongaku wo Yameta (That's Why I Gave Up on Music) / Yorushika
00:23:49  3. Sarishinohara / MikitoP
00:31:55  4. Plagiarism / Yorushika
00:37:36  5. Renai Circulation / Kana Hanazawa
00:45:25  6. Kiritorisen / 40mP
00:51:19  7. Amy / Yorushika
00:57:08  8. Tabun / YOASOBI
01:05:50  9. Kawaki wo Ameku / Minami
01:12:11  10. Unravel / TK from Ling Tosite Sigure
01:18:50  11. Inochi ni Kirawarete Iru (Hated by Life Itself) / Kanzaki Iori 
01:22:41  12. Kimi ni 100% / Kyaru Pamyu Pamyu
01:28:07  13. Hakujitsu / King Gnu
01:35:44  14. Kataomoi / Miwa
01:45:51  15. Charles / Balloon
01:51:18  16. Roki / MikitoP
01:56:25  17. Nautilus / Yorushika
02:13:52  ★Chat
03:57:30  ★ED

00:01:53  ★開始
00:08:07  1. PONPONPON / きゃりーぱみゅぱみゅ
00:16:02  2. だから僕は音楽を辞めた / ヨルシカ
00:23:49  3. サリシノハラ / みきとP
00:31:55  4. 盗作 / ヨルシカ
00:37:36  5. 恋愛サーキュレーション / 花澤香菜
00:45:25  6. キリトリセン / 40mP
00:51:19  7. エイミー / ヨルシカ
00:57:08  8. たぶん / YOASOBI
01:05:50  9. カワキヲアメク / 美波
01:12:11  10. unravel / TK from 凛として時雨
01:18:50  11. 命に嫌われている / カンザキイオリ
01:22:41  12. 君に100% / きゃりーぱみゅぱみゅ
01:28:07  13. 白日 / King Gnu
01:35:44  14. 片思い / miwa
01:45:51  15. シャルル / balloon
01:51:18  16. ロキ / みきとP
01:56:25  17. ノーチラス / ヨルシカ
02:13:52  ★雑談
03:57:30  ★ED"
UgwFigl6X6418qzs_4x4AaABAg.9Ht0GQtJUYq9_CYa6YQZB2,1648659600,龍牙神,1,Thanks
UgyteZROj_jhdYhy1BV4AaABAg,1617235200,tuan ding kang,0,i came from unravel clip but seeing the list of yorushika song i knew i had to come here
UgzABTJCNv2b09eNdGR4AaABAg,1617235200,Ena Nebres,0,Rushia is the best
UgzeMe3J4sP2LGaPkyJ4AaABAg,1617235200,Sam Narrowriver,0,るしあ氏も魔都来たことだし、３期合同練習捗るんちゃいます～
UgxrC7jTE7xAkwBx8Bp4AaABAg,1617235200,ｓｕｎッ,15,01:6:25 wow i first time hear that voice from her
UgzetNS4SmXfYnn0n1V4AaABAg,1617235200,Lord gaming,1,best ponponpon ever
UgwzvREF9_j8iRA_y8d4AaABAg,1617235200,Kopie,0,1:14:10 Yeah yeah yeahhhh!
UgwSBztLVCP9AWCwHPh4AaABAg,1617235200,ラテウル,1,るしあちゃん可愛いー!!オープニングのBGM気になんのやけど曲名なんだろ?
UgwSBztLVCP9AWCwHPh4AaABAg.9GEhFZXrTNo9GSHQsncD9n,1617235200,定員に向かってスパーキング,0,Be Happy【希望と幸せのピアノ曲】ってやつだと思います！
UgxBn8vl9kQ21yPw4mt4AaABAg,1617235200,deacba87,0,Rushia-chan is so cute :)
