id,timestamp,author,likeCount,text
UgyF6mqr1GgjQsikiax4AaABAg,1648735800,匿名 希望,0,😋
Ugy4Ndxg6_i5A0XyyUV4AaABAg,1648735380,Faris Daffa,0,LOVE
Ugy22-fbS5dAFSRZ-n94AaABAg,1647561600,Mine Mine,1,kawaii…<3
UgwsHXeR7qIeKP9sxkJ4AaABAg,1646352000,Max_ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ・_・,1,o7
UgyK13H3lJUGh6UAmyR4AaABAg,1646092800,Darklord,0,o7
UgxWG5Bzx1P29dI6VeN4AaABAg,1646092800,Portable trap,0,o7
UgzJLR-R3LPyrefvFbV4AaABAg,1646092800,happy goodies,0,o7
UgzTdkb2iyqIe0caVAZ4AaABAg,1646092800,たれぽっくる,1,かなしい
UgwEfyMN1pteAhWPne54AaABAg,1646092800,Jack Der Hauptmann💀,0,O7
UgzXi2oSK9MDmdgOuIF4AaABAg,1646092800,Michael Rhett,3,o7
UgxvRTgfMq5hGa8So014AaABAg,1646092800,Manuel de Jesús Rojas Sandí,8,"Damn, now this is sad. . ."
UgyOMr6_tIY7H8zhCxl4AaABAg,1646092800,yameteee~,10,I love you rushia!!!!!!!!!
UgxWHLf9zxEGUaI5rgl4AaABAg,1646092800,arumu Yuzuki,5,さよなら。
Ugx6qhOFbkpMTTlND094AaABAg,1646092800,エルアザル Fooo0p,2,"why is this happening
noooo"
UgztRigGg24-ijx7H2l4AaABAg,1646092800,盛猫れのあいがん告白,2,るしやおね醬さま，告白醬會把深藏告白自身の秘密心意，請讓我告白醬獻給るしやおね醬の話，るしやおね醬の情緒非常掛念いま，告白貓醬遇到讓しそぬめ不安定の時光，告白貓醬想向るしやおねさまの內心說わたし告白醬遇見到妳是告白貓醬一路最重要喜歡妳更幸福特別の一天，おねさま像きれ又かわいいの笑容迷人，告白醬心動噗通著，告白醬不太會表達出自身の話語，るしやおねさま妳現在還在可能不太看見這段に/15/24:00寫給おねさまの話，告白醬繼續支持尊重おねさの想法，請るしやおね醬更加珍惜粉屍一直以來經歷過各種不同的事情有高興、難過、傷心、生氣等等，全部るしやおねさま最重要の回憶，未來可能會讓粉屍感受るしや姊姊大人獨特の魅力，各位還請多多抱涵露西婭私人事情，更不用要讓告白醬再加提醒各位大大。
UgztRigGg24-ijx7H2l4AaABAg.9YTns2Y3viF9YTo5dGVoNP,1646092800,盛猫れのあいがん告白,0,告白醬最喜翻著露西婭おねさま我愛妳
Ugzkfc0zpNiLUXRQNCZ4AaABAg,1643673600,餅,0,前の配信のサムネとちょっと被ってて草
UgyWURyHO0RXezka__N4AaABAg,1643673600,高田健志,0,あ！！！！
Ugys8zImaMDpuvyFpah4AaABAg,1640995200,SlimeYHY,0,"可愛い:_きゅん:
No regret to simp:_くさｗ:"
UgxQC9ABW2PNmGJJDPx4AaABAg,1640995200,ミコト・るしあ専用,0,あまりにも可愛すぎる
UgxFHkLK6tEoWRAOkwR4AaABAg,1640995200,卿 チーズケーキ,0,不治の病とかの死に際に側で言ってほしいNO.1
UgxFzPHE6O__V6MpjUt4AaABAg,1640995200,Nua / roblox,0,Cute
Ugz35DEihrhkUzy4bO14AaABAg,1638316800,毎日ホロライブ!,0,生きてる意味:_るんるん:
Ugyux3GAtsq8_6YkRhp4AaABAg,1638316800,빙빙 돌아가는 솜사탕,0,?
UgyrrC8ns11i6t_Et6x4AaABAg,1638316800,JanF Karel,0,Please someone what’s the music? It sounds like from a movie
UgwqN-57ubj_lQ8lkEN4AaABAg,1638316800,Jeetz69,0,a
Ugw-IogVnCIvXah_d7N4AaABAg,1638316800,林聖威,0,：群青
UgwPgtpDTPZ6qpowV6d4AaABAg,1638316800,Minh Đỗ,0,?
UgxwuCSOt971j97ERXN4AaABAg,1638316800,clearskyy,0,This is the emotional pick me up that I need to watch everyday. I'm glad you've come to visit me.
UgzEnctfDhV_gM0a6614AaABAg,1638316800,09 8u,0,あ??
Ugz0qifoH5Mh2v3Cv7t4AaABAg,1638316800,Nguyen Josh,0,POV : you're in a fridge
Ugz-Z-SKyF2roBXd1lx4AaABAg,1638316800,Chad Thundercock,0,Rushia DDLC DLC
UgzCYiq1RyBijg46HOl4AaABAg,1638316800,Lucius Gaming,0,I came here bc its tell me okayu had watched this
UgxsUHrSkLobPZgAn-R4AaABAg,1638316800,희철씨 죄송합니다,0,주ㄱ어버린거신가
UgzpMu78JLalp42o_Vh4AaABAg,1638316800,один,0,Хай Никита?
UgyzI1JXf1nvaaC29Od4AaABAg,1638316800,IM BLOOD TO DISAPEAR,0,a
UgwiBhE0DDWWhgJetb54AaABAg,1638316800,Relj_1,0,Lol
Ugx1ZrBJqyiZCCIth554AaABAg,1638316800,"Kronii's 4th Clockhand, Moji [Hoshi-Tako-Kronie]",0,a
UgxtxAREPUvp5KpxOLl4AaABAg,1638316800,しんごじShingojikung,0,"あ pe-
I mean peko"
UgysniS6YQsndXjXdwl4AaABAg,1638316800,つきかげ,0,まさに絶景
Ugwzp_xpfmvidgEj_a54AaABAg,1638316800,S.M.はやぶさ号,0,"物悲しげなBGMも相まって良き、、、

そうか、、、
これがファンデッドさんと出会う儀式なのか、、、"
UgzAH_WAt-CZTdPR8d94AaABAg,1638316800,Kenyi S,0,Kiuto
UgzMskgLx1q_wjC_O154AaABAg,1638316800,gOod_tRoller999,0,🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪
UgwmDmoAGkJFjTsCV194AaABAg,1638316800,潤羽百鬼が双推し,0,"I am dead, thank you forever"
UgwiSh1VjuxQIbemfYl4AaABAg,1638316800,man Diamond,0,Have I come to heaven?
UgyaJcv7rFbfQsNDOt54AaABAg,1638316800,Tamed,0,You have beautiful eyes
Ugwo6Wk2S3tCZg4gYYV4AaABAg,1638316800,DD Project,0,Chu (❤´艸｀❤)
UgxKEm7OzvwjEkauPjp4AaABAg,1638316800,Irbis,0,冷蔵庫の中で聞ける言葉
Ugy9lUYqU0rEyf_HIT54AaABAg,1638316800,Mark,0,"Welcome to yugoslavia, bye, your not here you japanese imperialist"
UgyjeCs2BGjEoLLlOoJ4AaABAg,1638316800,no body,0,Sad anime be like
UgwNaDGBYK9Pu_NCLv54AaABAg,1638316800,B14John daniell Manuzon,0,agh my heart dies
UgwaZWjrkX9957CJLkx4AaABAg,1638316800,Meteoraチャリる,0,Waifu not real
Ugyg9qMuaOgYJJUCStd4AaABAg,1638316800,Dahlia_ダリア,1,よし。今日も一日頑張ろう。
UgwQwvviBMfQhrv7M5Z4AaABAg,1638316800,얌꿍이,0,What the fuck is she doing?
UgwmQIxSA5Y_ACwai0F4AaABAg,1638316800,Reilicarp Guide,0,Rusia en error me agrada a dónde va esto 😃
