id,timestamp,author,likeCount,text
UgyCIzmERXW8If68lyB4AaABAg,1648737000,匿名 希望,0,😄
UgwW0A3Ta19sKZkkhXR4AaABAg,1648735200,kounosueki,1,"もうこの動画を朝に観ることが二度と無いと思うと寂しい。
最後の笑顔を心の中に留め、明日もまた朝を迎える事が出来たら幸いです。"
Ugy8lzFx2O0mQVWT3w54AaABAg,1648728000,龍牙神,0,🦋
UgyrQBWlInUcog-WS5N4AaABAg,1648663200,Felix,3,One last video to archive ...
Ugw9osyKyEpkPrFO7kx4AaABAg,1648684800,あおいちゃん,2,:_大泣き::_大泣き::_大泣き::_大泣き:
Ugyt2oUakB5kRAsmUmR4AaABAg,1648684800,William Yip,2,😭
UgxbRU31e2MT0hTmoGl4AaABAg,1647561600,louae v,1,“Goodnight”
UgyPAqPB4lsODcq0jrd4AaABAg,1646956800,おぐら,1,"ほんと大好き。
ずっと見ていたかった景色。"
UgyCG4jOpGeWgfDGIh54AaABAg,1646956800,"Ζ-Α, KFP Gnosis",4,おはよう🥺 Good morning
UgxXK9n5BvdnoEFItZR4AaABAg,1646352000,まろん,0,☀️
UgxsWYgCcPk8kKT7O_54AaABAg,1646092800,Ran Mew,2,Goodmorningn't
Ugz9caGJKkiXkr45Cm14AaABAg,1646092800,Hoàng Anh Ngô,6,Anyone drink this kind of coffee every morning like me?
UgzZc8FdFdWAC8VsX394AaABAg,1646092800,Ben Lin,3,That's why I'm still alive
Ugy1CJ7e4aNmKRremJ54AaABAg,1646092800,Gladius,5,"Damn, this hits hard."
UgzmecPMhHVcpsbPoq14AaABAg,1646092800,Katsuragi,2,: (
UgxcevqZ2yeS93aYszJ4AaABAg,1646092800,Vtuber Clips ,2,Yey! Im so im so happy you greet me a good morning </3
Ugy8zh5vzoPYPlUazPx4AaABAg,1646092800,William Johnson,2,Ohayo rushia we will support you forevermore
UgxfgldBj-AMvzp0f914AaABAg,1646092800,Cross君,1,これだけは保存しておかなくては…！
