id,timestamp,author,likeCount,text
Ugx6-242wgJeFqYR0P14AaABAg,1647561600,Iburamv,1,33:43 very beautiful memories... :)
UgwptKHyaqellX9-PZt4AaABAg,1646092800,Salty,1,ollie and rushia interraction in this stream.... watching for reminisce their interraction...
UgzbqlM6xkdlM3XvHaJ4AaABAg,1646092800,クロード,0,お世話になりました。今までありがとう
UgxpbWMhtNkSMMion4N4AaABAg,1643673600,sugar,0,めちゃくちゃ緊張してるオリー可愛いな笑
Ugxmf5M3XcJmp4OSoKZ4AaABAg,1635724800,NamRoN,0,11:50
Ugxi_6no3M9RwmsBiXB4AaABAg,1630454400,Sechs Neun,0,I hope Yunyun will come to Rushia's birthday too
UgzKp-96tdL507wuLRx4AaABAg,1617235200,めそ,0,"自分用
28:10"
Ugwucc7wqXHW-o0O3TR4AaABAg,1617235200,rand_username,1,Ollie-Rushia collab when?
UgxhNQ8KGepAyaOUxHN4AaABAg,1617235200,SenpaiAspect,0,Kawaii~
UgwE_yD5ZBSG-Ee1KpJ4AaABAg,1617235200,Golden910,0,Happy birthday sorry im late
Ugy6ZIdWmXC4IAe0RlN4AaABAg,1617235200,エフガン,0,25:06ここで エヴァンゲリオン
Ugw1vxTI2DpkIHFv3rl4AaABAg,1617235200,oreha shumide hiiro yatteiru mono da,0,Rushia belated Happy birthday
UgzVmflx9FZZUHcpvzd4AaABAg,1617235200,初心者のなにか,0,"まじでコメント見ねぇっていうか一部の常連のしか見ないしそのコメントが間違ってたりワザップだろうと他大多数のコメント無視してそっちだけ拾って信じるよな
口癖みたいに皆ーって言ってるけど皆じゃなく一部としか会話してないならメン限でやりゃいいのに
あれだけ皆が止めてたのに無視してオリーのダイヤの楽しみ奪ったりしてんだし"
Ugz4QsfM_yQKxRnYAcp4AaABAg,1617235200,友趣人升,0,2:41:02 ❤️❤️❤️❤️
UgyCHqxAoDVsotqUvHV4AaABAg,1617235200,wolf397,0,"I'm here because a certain clip stated that she was celebrating her birthday alone.

I don't watch Rushia but I want to be here for her on this special day, at least just this once."
Ugz7sqyrsuJiuJ8KprZ4AaABAg,1617235200,Natzuu` 雨,0,"Happy birthday rushia, hope you are always healthy and happy 🎉❤️"
UgzhjFBg_EoGs9KUr5p4AaABAg,1617235200,Pankeki,0,Happy Birthday Rushia!!🎉
UgwFv_CJTtm5V36lmVp4AaABAg,1617235200,Raisen-kun,4,"You can't script a moment like what happen with Ollie and Rushia on this stream. It was to much sweet and heartwarming , both for the motiff of Necromance + Zombie, and the fact who Ollie did this right after finish her stream with Iofi, just to congratulate Rushia on her birthday.

Also this one take a more sweet note if you remember Rushia has to stream alone one the server because the other girls where busy or had to rest. So Ollie jumping to Minecraft just to congratulate her and in time get literally called by Rushia got all of us and her inlcluded supriced."
UgwnolIuXOzWjSIaeKp4AaABAg,1617235200,Lo Li,0,Happy Birthday Rushiaaa 🥳
Ugz2n9XuxLGx8y73ZCB4AaABAg,1617235200,[AONOKU],0,"HBD Rushia! Cute moment with Ollie 2. Hopefully everything will be great and more great. More Healthy, Wealthy, and Gudluck for 4 u!"
UgymJM8kDHSV8NEApTx4AaABAg,1617235200,Aprilius Rehnz,0,Happy Birthday Rushia!!!! 🎂🎂🎂
UgyF-hLL3hjXHB2Q4it4AaABAg,1617235200,ZeroToHero,0,58:45 kawaii!
UgyFRjE0eTuP3dA7ROZ4AaABAg,1617235200,Tiranodragon17,0,¡Feliz cumpleaños te desea este Mexicano! :D
UgwvfnjpgAbgjAzSWZl4AaABAg,1617235200,からあげ,1,はぴば:_きゅん:素敵な一年にしてね❣️
Ugzy5gqSxtUYhHrLt114AaABAg,1617235200,Alan09,0,"pekora : rapisu razuri give me 

Rushia : daiya for you

ssg Rushia a good senpai"
Ugw7lkae8bVm0oyoQ8F4AaABAg,1617235200,Shira UwU,0,Hbd for you
UgxcMKr6vfq2Kn8VMFp4AaABAg,1617235200,KMM _HKG,1,Happy Birthday ^^
UgziGfqvBb668S33GO94AaABAg,1617235200,HEISHENHU黑神狐,0,happy birtday 😁
