id,timestamp,author,likeCount,text
UgzTGM5ChQ_mQkJZohN4AaABAg,1646092800,逃げないメタルスライム,23,この配信を見返しにきてる民の人いないかな、色々あっても楽しませてくれたことをとても感謝してる！ほんと、優しいネクロマンサーでした。
UgzSyYfCVClx33GUZSt4AaABAg,1646092800,秋川イリヤ,0,はあるしてえてえ:_きゅん:
UgyyWNI5bySGeklgcvh4AaABAg,1646092800,かわなみどり,0,命がけ……
Ugyw9dP3CL0c8ZlKZSp4AaABAg,1638316800,Tart Kiwi,0,Looks like frittata or smth similar
UgzJDumfGqPZ85nT0md4AaABAg,1635724800,КГБ СССР,0,10:47
UgwyVrclSSOeVZWqyKp4AaABAg,1635724800,ダイヤmond,0,美味しそう
UgypqKLPeEIPjKn_XW94AaABAg,1635724800,Starbeyond,0,13:48 the moment Rushia realized she'd been done dirty
UgwyvYMoUyziPdzsTVl4AaABAg,1635724800,Florentino,0,Đeo hiểu j
UgyApozxcRFF0UZlV8t4AaABAg,1635724800,Vyse,9,Thank you for the collab and cooking session! The food Rushia and Haachama made looked very delicious! You two are master chefs and did a great job!:_るんるん::_ハート:
Ugys9wzacpQ7nZxNXBR4AaABAg,1635724800,Arturo Cuellar,0,Excuse me does anyone know the name of the BGM? pls
Ugxd69NT0Hwg8wh74el4AaABAg,1635724800,Lonesome,3,"10:47
11:57"
Ugz8bLliukVNQiuaqPd4AaABAg,1635724800,いつも体育座り,4,ようやく見れたー！すごく美味しそう＆楽しそうな配信ありがとー！歌コラボも待ってるで！！
UgyXhnT4UziUhB7qer94AaABAg,1635724800,ホーニーアイズ・センシティブドラゴン,0,なかよし女子トークからノーモーションでタランチュラってワード出てくるのヤバイね
UgxDTYUb_GVnO0z0O6l4AaABAg,1635724800,バスケとピカチュー,0,可愛ﾖすぎ〜(^^♪
UgzM5ZV7qwtOQpcDp7J4AaABAg,1635724800,てゃい,0,"ライトグリップで草
安いし使いやすいんよな割と耐久性あるし

ってあれ？これ料理配信……？"
Ugz3XK6BoB0IB_a2NJl4AaABAg,1633046400,ひろとも,0,今回も凄い美味しそう🤤
UgzPO2rEY_ohzB3fuxB4AaABAg,1633046400,Wutthipatr Meeboonlap,0,hi ? i new !!!
UgzTcVLgf4WsvlUwBgV4AaABAg,1633046400,yomuP,0,最高かよw
UgxJHb_7JQuFGQOKZdZ4AaABAg,1633046400,orugana david,0,ルシアお姉ちゃん…はぁちゃまお疲れ様でした♪
UgwH9WSNYAYicBBgxhF4AaABAg,1633046400,フェルマータ,6,"るしあの包丁の音：ﾄﾝﾄﾝﾄﾝﾄﾝ
はあちゃまの包丁の音：ドゴン………ドゴン………
特徴が出てて面白いｗ"
Ugx3KK6BJyi3yp0eC0N4AaABAg,1633046400,Kenyi S,0,Sheeeeeeeeeeeeeesh
Ugzv4tnBuJX5H9NZGgd4AaABAg,1633046400,蒼い鳥,0,"おつはあるし！:_ハート::_るんるん:
双子の姉妹って感じがした。
2人とも楽しそうに料理してて
微笑ましかったね！:_きゅん:
とても楽しかったし、また見たいな♪"
UgzsLqOnu5qrdOGswjd4AaABAg,1633046400,剛田ジャイ子,3,はあちゃまの細部に渡る気遣いを、狂気を上回って強く感じるのが、エガちゃんと同じそれ
Ugy3ppXJyT6Uhcl3N_F4AaABAg,1633046400,MOMO,0,Cute
UgxoYRmXbrpw1Fk49c54AaABAg,1633046400,MJ C,0,The most roundabout way to make this dish. Loved it
UgwXoD8XMsK4eMF6ucB4AaABAg,1633046400,あまねこ,4,すごい楽しそうだったしおいしそうだった！
UgxKR-Lk5KXIGd7-Tzl4AaABAg,1633046400,どす,1,ドタバタクッキング楽しかったです🤣✨
UgwHHC5nBhxaOeXL9Pl4AaABAg,1633046400,Timoshi Itsuka,0,The food looks delicious!! I want to eat one!! :_るんるん::_るんるん:
UgzE9RL_hIj3QwvqlcN4AaABAg,1633046400,ロト,1,27:48　はあとんがアップを始めました。
UgwcyIwe3Nekp8Dv3Zt4AaABAg,1633046400,tunapan,10,53:16 会長助けて
UgxDFLAIUqo8iK0Svwp4AaABAg,1633046400,dani wijaya,0,Insect complete every cooking
Ugzychvr_wpAbes47tV4AaABAg,1633046400,いわしうるめ,6,はあちゃまがいるのに綺麗に仕上げてる！？😳すごない！？
Ugx1hoFtTuk6gngNwbV4AaABAg,1633046400,十里「じゅうり」,1,見てたら突然、会社でお世話になってるゴム手先輩出てきてビビった。
UgwoqGwJEPCGV8gEneZ4AaABAg,1633046400,surarin,0,It's fun to watch the cooking stream of two people：○)
UgwVfLPSNum67rmZ_kt4AaABAg,1633046400,れもん はあとん 飼育員,4,"ホロメンの皆と料理コラボしまくってはあちゃまを更生させて下さい…
ふぁんでっどの皆さんお邪魔しました！
はあちゃまもるしあちゃんもお疲れ〜！"
Ugx-YCsFXwgcJQoTbGF4AaABAg,1633046400,山本マロニー,0,るしはぁクッキングまたやって欲しい
Ugw0PAQpBYCPomxCBgN4AaABAg,1633046400,デレステの民,4,楽しい時間をありがとうございました！
UgyIavNVjzKqojrofht4AaABAg,1633046400,まて！オレはやってない,5,"お料理コラボ配信めっちゃおもろかった〜
しかし何人の料理ニキが胃潰瘍になったことだろうか"
Ugz1uDKSaPSoho45wlh4AaABAg,1633046400,S級ニート,0,上手すぎ‼️
UgxeACiJ5lug4SbsIzV4AaABAg,1633046400,yohei y,0,"冒頭で、はぁとんとの関係に触れられても曖昧な感じ・・・
そんな、はぁと先輩にファンの大切さ・有り難さを人生の先輩として伝えるために
刀を持ち出して追い詰めて「はぁとん達が黙ってないぞ、それ！」との台詞を、
強制的に、はぁと先輩に吐かせた・・・否、「分からせた」のだとすれば
仲間に嫌われるかもしれないリスクを知りながら敢えてそうしたのだとすれば
これはもう、るしあさんが人として尊いと言わざるを得ない。

いやいや、お前何言ってんの？るしあ信者なの？(｀・ω・´)ｼｬｷｰﾝ
という人も居るだろうけど、ぼくはそう推理している。

＆なんだかんだ言っても先輩は怖い。"
UgzgNEJ1CRgomPM5X5t4AaABAg,1633046400,れっさー,8,調理中はカオスなノリでも料理の出来栄えはしっかりバッチリね！
UgzKqkJigyPOG0hKlp94AaABAg,1633046400,Félix A.G,0,The food looks surprisingly very good!
Ugyh7i3gks8MkpSPl3l4AaABAg,1633046400,Agarokk,7,Thanks for the lively collab. It would be nice to see you collabing again together.
Ugyh7i3gks8MkpSPl3l4AaABAg.9StCt5hb49F9StfUo-i267,1633046400,DELUXE,0,do you know if this was a off collab?
Ugyh7i3gks8MkpSPl3l4AaABAg.9StCt5hb49F9SthViGI0YV,1633046400,R R,0, @DELUXE  Seems like it. Their voices has a similar echo.
Ugyh7i3gks8MkpSPl3l4AaABAg.9StCt5hb49F9Suk_vbxzqQ,1633046400,Rey,0, @DELUXE  i think it is
UgzHskotYmnOVyS5oTp4AaABAg,1633046400,RICKSENICE,16,I’m surprised that it turned out so good! Looks delicious 😋
UgzHskotYmnOVyS5oTp4AaABAg.9St9K8xEtMB9SxO4TBA6Va,1635724800,David,0,the only scary thing about the cooking was haachama wearing those work/gardening gloves.
UgxwEfOnZylwInNC6v14AaABAg,1633046400,amaimon wendear,8,"醤油飲むとか、徴兵逃れ以外で聞く事になるとは…
最近のアイドルは侮れないな"
Ugw8DDWDCGvb7DjneTh4AaABAg,1633046400,suke /,2,"はあちゃまに料理を教えれるなんて
るしあちゃん実はすごい人？
あくたんにも教えてあげて欲しいなw"
UgzVNbsNGpNNqvkEj-14AaABAg,1633046400,オタク,0,すげーもん見ちまったよ
UgxEL9qVDd4N1KAW5Zp4AaABAg,1633046400,モブ見習い,1,"お菓子でもないのに甘いのは、ちょっと
まぁでも、デスソース入りでなくて良かった"
Ugxj6HFKtR7ZyyIN3jd4AaABAg,1633046400,jello『ゼリー』🖤💜,18,"oh wow, it actually turned out very yummy looking!"
UgxCqk1gAeZdpP9ew-N4AaABAg,1633046400,Mayaz Xavier,2,Lucky the chaotic energy didn't destroy us.
UgwJRe9tL-STWOmZ5Q54AaABAg,1633046400,K T,25,炒めてる時のはあちゃまのかき混ぜ方なんかちょっと面白いw
UgwzwKkIT1wZGwBZUYN4AaABAg,1633046400,リリー,7,start 6:00
UgxwfoSA-tK9KcJGc_l4AaABAg,1633046400,TszHim Felix フェリクス,10,"The most dangerous stream ever.

Yagoo san can have food from ru Chan and Hachama……., Although the cost is his life, I am now so jealous."
UgyK7KZ6ayp8GJgtLTp4AaABAg,1633046400,暗黒魔界のぉぉおおお ぉおぉぉおおおドラキュラデーモンサタンでびるショー君草www!!タマネギかw何,0,るしあちゃん  配信、おつかれさまあああ
Ugya79jCh0tjvprCEH94AaABAg,1633046400,mouns,12,"グラタン美味しそう…！
料理中のやり取りやトークがとても楽しかったよ！2人の仲良し感を感じられて嬉しい！
はあちゃまにツッコミつつ笑いの止まらないるしあがかわいかった…！
配信ありがとう！また2人のコラボがあれば楽しみにしているよ！"
UgyDBH07jLuc1mj0sU54AaABAg,1633046400,Meh,0,sasuga haachama ... strongest idol !
Ugwrm5vp4wg2z9Yxh4l4AaABAg,1633046400,matcha green,1,"Bruh, i read オフ as o7 kekw..."
UgyZCF67gXzXT95HSwd4AaABAg,1633046400,"Tsubaki Ch. 椿カナヱ JP, EN",5,最後、美味しそうなグラタン！が歩き出すシーンが見たかったです🔨
UgwGOyGv6JhQTHY3rJN4AaABAg,1633046400,Neo Arcon,0,Great Chaotic Collab
UgyU38_lsPS0mY6wHol4AaABAg,1633046400,ホロ切り抜き師,12,混ぜるな危険‼︎ やっぱりはあ×るしコラボ最高でした‼︎🤗また見たいです！
UgzRzcxHD1t7ka5-_r94AaABAg,1633046400,qfeuille3⚓🥐,1,That gratin came out really nice~  looks yummy!
Ugxf1pXXg6Q4fQ5vWA54AaABAg,1633046400,もるげんろーと,6,"おつはあるし！
最初に油ひかなかったりメープル入れたりわちゃわちゃやったねw この2人のコラボすき"
UgysTLWVqbng6RhY-WB4AaABAg,1633046400,逃げないメタルスライム,37,"清楚×清楚の最高のコラボだった笑
今度あくたんも混ぜて、あてぃし流石に三人前も食べれない。。ってなるの待ってます！

追記
ほんとーにこのコラボ嬉しかったしだいすきでした。沢山の笑顔をありがとう😭"
UgysTLWVqbng6RhY-WB4AaABAg.9SsTYwg1LlL9SskcAHy23q,1633046400,まるにーに。,0,個人的にはサイコ×サイコ
UgygZ8wjc1dJ1h2fv9N4AaABAg,1633046400,キョロ,5,"おつはあるし～！
最初はどうなることかと思ったけど
無事にクッキングできて良かったよ…
グラタンめっちゃ美味しそうやった！
二人とも終始楽しそうで
こっちも見てて楽しかった！
はあるしてぇてぇ！"
UgxGPpXDAL_scyQTUIR4AaABAg,1633046400,くろねこ／kuroneko,0,いち
Ugy13foU1Djz4iD9oH54AaABAg,1633046400,Gren tree m,0,Ayyy yo the pizza here
Ugwz06vYK6V5p3mnLnt4AaABAg,1633046400,Archdarck,6,"With their powers combined, Haachama and Rushia managed to cook normal good looking food!👏"
UgzWkzPOxn2q-o9rjvx4AaABAg,1633046400,Shiro Ch.,6,Rushia x Haachama ❤❤❤
Ugyubkx3lSsEz24N0eh4AaABAg,1633046400,ボリサムSam★,10,"When Haachama is acting as the sous chef and let Rushia to do the work, they can make a great tasty dinner"
Ugw1b3rLWpwKsL_Je454AaABAg,1633046400,ぽてて,2,ハチミツ結構イッてて怖かったですw
UgxERQbdAkDnm4AMvP94AaABAg,1633046400,とうふてゃ,4,"おつはあるし〜！
すごい美味しそうなグラタンが出来たね！！トークも凄い面白かったよ〜！:_きゅん:今日もありがとうね！"
UgyaeAHWR044J80XYVB4AaABAg,1633046400,Mura Lee,5,Blessed off cooking collab
Ugygrn-nuHdoreHzML14AaABAg,1633046400,Doro,4,I was waiting for this day! Thank You :_ちょうちょ::_ハート:
UgwOeu1Yho_1Y_i27fN4AaABAg,1633046400,守名しづき,4,"グラタンめちゃくちゃ美味しそうに出来たね！
オフコラボならではの二人のやり取り面白かった！ありがとう！"
UgxLXxrae8FfEbKmU3d4AaABAg,1633046400,ゆーすけ ふぁんでっど,10,とっても美味しそうなグラタンだった！！2人の女子力高高トークがすっごい微笑ましかった！！甘いグラタンも美味しそう！！最高にてぇてぇ配信をありがとう！！
UgwJTs9hohmQeCOQrJp4AaABAg,1633046400,さるたろ,5,"美味しそうにできたね！
グラタン最近食べてないなぁ"
UgyXgWxzjhDVHL7wJ_d4AaABAg,1633046400,Black Dragon,1,I made the mistake of eating during the stream now I have leftovers for the next day
UgysIiD3yA7Lu1IZDBh4AaABAg,1633046400,ゆっくりRubyルビー,7,配信おつはあるし！！はあちゃまのネジの飛び具合とるーちゃんの真面目具合が面白すぎて好きでした...美味しそうで良かったし楽しそうで...とりあえず1口ください...w
UgzPUDcJNce_IxRHauV4AaABAg,1633046400,블루라쿤,3,かわいい
Ugxa6JCqPqOdxk0QFy14AaABAg,1633046400,Akumu Ryuu,23,"So... Haachama made something that actually tastes okay or even good... and the world couldn't handle it, so their stream crashed?"
Ugxa6JCqPqOdxk0QFy14AaABAg.9SsTEypcu8W9StbaLABKiI,1633046400,MikaHolic Channel,1,the universes dictated that it shouldn't be allowed to exist hence the crash. xD
Ugx3SZ9KmXA80DBcAmV4AaABAg,1633046400,S.S,5,"おつるし〜:_きゅん:
今日の配信も楽しかったよ
虫がでてこなかったけど美味しそうな料理だったよ〜:_猫耳るしあちゅう::_ハート:
次の配信も楽しみにしてるね〜"
UgyvnqSzg2hsCOJQWrV4AaABAg,1633046400,じゅん【ちゃま】,4,"おつはあるし！
とっても美味しそうなグラタン！たべたいっ！！
:_きゅん::_ハート::_ハート::_ハート:"
UgzHCgSx9M7i-CYS6Rp4AaABAg,1633046400,DXかざま刀,5,最高のコラボや　ライブで見れなかったの悔しい
UgyScWhZriZ09Bbr2SR4AaABAg,1633046400,イチマサモノクローム,3,おつるしでしためちゃくちゃ楽しかった（笑）
Ugy5ZUQey-UWRZLzAlR4AaABAg,1633046400,Fiaru,3,Looks delicious
UgwAUVyPr0K6FordIXd4AaABAg,1633046400,よしお,5,"おつはあるし！
最初はどんなものができるか怖かったけど完成品は美味しそうだったし二人ともわちゃわちゃしててすごい楽しそうだった！"
UgxDJi-kLpWElDPbVEt4AaABAg,1633046400,"fire,",3,"はあるしクッキングおつるし！
最初から賑やかで凄く楽しかった！
不穏なときもあったけど美味しそうなグラタンだったよ！
また遊んでね！"
UgzAFqoaTy1qK8TtNrx4AaABAg,1633046400,That Time I Got Reincarnated by 🦋🦋,16,"I'm glad that Rushia did an off collab again.

It was very fun! Thank you Rushia and Haachama."
UgyMafoKfhcBY_uH9Qp4AaABAg,1633046400,エブリデイ毎日が,6,終わり方雑すぎて好き
Ugxuw1HGVEhDfBgzFSp4AaABAg,1633046400,Heswe 0909,2,Something edible popped out. Congrats?
UgzeiapBSMq7Tv_Y-Gp4AaABAg,1633046400,水谷古雪,2,1
UgxNjnrsycjNEAwlNzN4AaABAg,1633046400,HY,1,Third comment.
UgwbHOU_EAepctZ5TBZ4AaABAg,1633046400,KON,148,"The food that Rushia made together with Haachama, I think it's edible. Because Rushia is part of this cooking too, I'll eat it. For Rushia, it must be delicious:_きゅん::_るんるん::_ハート:"
UgwbHOU_EAepctZ5TBZ4AaABAg.9SsT7NoENNY9SvI_41QxVS,1633046400,Trí Phạm,1,Goodto lucku
UgyIr4NTPShAF3US0lZ4AaABAg,1633046400,Brent Salazar,7,"I don't know about you guys but the dish could've used more cheese. Kidding aside, it actually looked pretty good. 

Haachama cooking normally destroyed Youtube-kun for a bit there"
