id,timestamp,author,likeCount,text
UgxGO8oTYSODv8cEMQp4AaABAg,1619827200,Lim Kheng Sian,1,"finding the bgm at the opening, can anyone tell me?"
UgxGO8oTYSODv8cEMQp4AaABAg.9MHeI16F0zx9MLeKxqq-FX,1619827200,ABCDerek,0,"I’m looking for it as well, nobody can tell me anything. It’s honestly the best BGM ever"
Ugw8wq3k-WLO23qHZ4d4AaABAg,1619827200,コオリッポ,0,"愛してんぞ、










もこたん❤️"
UgxAoykBmra_d4qKDJJ4AaABAg,1617235200,ガグ,0,"( ´,,•ω•,,`)♡可愛い〜（笑）"
UgyekAGqTgQR7M11h0N4AaABAg,1617235200,Roe Chi,1,"Rice Shower (Uma Musume ) no Koe = Uruha Rushia-san yoku nitte iru .. 

Rushia-san Voice Similar with Voice Rice Shower in Uma Musume"
UgzzGtV9okmbJ57O5Zd4AaABAg,1617235200,ブンガハマ松本,3,ウマ娘むずいよなw
UgwzBwAyzEmHhW9ikfF4AaABAg,1617235200,れれ,1,5:17
UgxnjZTFUj63rUnvvdd4AaABAg,1617235200,とあ,1,魔捕盗
UgzZV4vZ9Fb5hcusCbJ4AaABAg,1617235200,Santi _639,0,A
UgzwJfbLb8NZqy1bOFN4AaABAg,1617235200,Hi Honey,0,"I'm here because YouTube recommend me his channel 5yrs ago video! Rushiaa First yt channel I guess! Damn rushiaa real life 5yrs ago she really cute and beauty! Am I the lucky guy who got to see rushiaa old video?? Anyone who knows that channel exis**..?

Edited : remove pett** words"
UgxqDWQMW6_feJcstAJ4AaABAg,1617235200,Stellar,0,Why she transform to purple hair?
UgzouTEk4hKIVKOhLIZ4AaABAg,1617235200,Tôi Đơn Giản Là Quạc,0,Good night ʕっ•ᴥ•ʔっ
UgyzR344fE0x77w2j8Z4AaABAg,1617235200,武者小路葵,0,初見です。踏んだりけったりの切り抜き動画からきました。
UgySpZlGqGTHNI_0vUF4AaABAg,1617235200,ねこめし,2,"URAファイナルで優勝できたからといって、そこで終わりではない。そこから始まりだ。
より因子を厳選し、より強くなり、より最強の推しを育成するための始まりだ。"
Ugyi76hU0qsyW9eG7b94AaABAg,1617235200,Jade Spade,2,Hehe saw rushia’s rage videos there cool and I get rage to when playing games Especially when I’m playing breath of the wild
Ugx6k8KtubBQIX8z0Q54AaABAg,1617235200,Gua va Lu,0,"Rushia itsumoarigatou
:_きゅん::_ハート::_きゅん:"
UgzagO4LzDPZ9ap0IVZ4AaABAg,1617235200,Efaristo,6,るしあちゃん大好き❤
Ugz8tqJCkMCSXLrBEQ54AaABAg,1617235200,ぜりー,0,"毎日のようにたくさん配信してくれてありがとう。
ギャンブるしあ、見ててヒヤヒヤするけどめっちゃ面白いから好き
ウマ娘の育成にスリルを感じられる配信はここだけ！"
Ugz6JRQNNxFg-EUQ3gF4AaABAg,1617235200,LoneLoneさん,2,hard-working and well-spoken girl.Your smile melts my heart.
UgwSMmLxthd8loTh2TN4AaABAg,1617235200,たんたん🛸💜,0,"今日も楽しい配信ありがとう😊
るしあちゃんの育成見てて楽しかったよ！！
レースも楽しくて良いレースでした(๑>◡<๑)"
UgyPUrUeGuA_6i_s4RN4AaABAg,1617235200,貽村亂數我老公,1,るしあちゃん　頑張れ
UgzUuJ8abrwep8M_yhx4AaABAg,1617235200,Steven Shy E,0,!!!!!
UgzNAY-Tse8K-D-WR2B4AaABAg,1617235200,あつき,9,今日の配信も最高だったな
Ugx_1WFFm8-rsEXdA0N4AaABAg,1617235200,うすみどり,0,"ウマ娘配信おつるし〜！
るしあちゃんのスパルタ兼ギャンブラーな一面が見られて面白かったよ！
次こそ優勝を掴み取ろうね！
僕もファミマの争奪戦を制してクリアファイルを掴み取ってくるね！
お互いがんばるしあ！:_るんるん::_きゅん:"
UgxvWrdZrJGLHGc1pDV4AaABAg,1617235200,Kenyi S,1,Me tiene sorprendido...
Ugwz4re09OUhNIwbGb14AaABAg,1617235200,Vyse,6,Thank you Rushia! I always love seeing you do your best in every stream! You're always so funny and cute.:_るんるん::_ハート:
UgxE99oS9tc6tQhyLvR4AaABAg,1617235200,Outrider Knight,9,Rushia is cuteness!
UgxToN-7c0R7-8j9O8x4AaABAg,1617235200,KON,3,I love you :_きゅん::_きゅん:
UgxyVDP8I3sTxfVU1Od4AaABAg,1617235200,alice,0,"るしあちゃんの育成法ハラハラドキドキで楽しかった
レースも本当に楽しい"
UgxuiX_bq0xh-x8lyPx4AaABAg,1617235200,Kyoudai,6,4:10:40
UgyimjHVU2FVulCqiht4AaABAg,1617235200,まお,0,攻め攻めの育成姿勢ハラハラドキドキしたけど面白かったよ！
UgxBYPO_Rz_LeQtssIZ4AaABAg,1617235200,山下タツヤ,32,3:08:57 タツヤマン参上シーン
UgxBYPO_Rz_LeQtssIZ4AaABAg.9KxPM5p1Fk09Kxunyj5h52,1617235200,FINALタツヤ そのための拳,0,今日配信みれなかったんですが、タツヤマンってなんですか汗
UgxBYPO_Rz_LeQtssIZ4AaABAg.9KxPM5p1Fk09LApwWh0qoE,1617235200,ガイア1200,0, @FINALタツヤ そのための拳  タツヤマンは、あの、何て言うか、あの、聖人だよ
UgwS3PBIi9NL3bra2Od4AaABAg,1617235200,Kira Asuka,0,"今日はたくさん叫んだので
初号機素はたっぷりです！"
UgyiA1PrBGnXScFwFmp4AaABAg,1617235200,Doro,5,idk what to say today so thank You for the stream
UgxW_zgwl2Sa2v-sf-x4AaABAg,1617235200,Redan Kenneth Uy,23,"Rice Shower Race
27:16 35:48 42:39 48:19 54:32 1:03:03 1:09:55 1:13:12 1:16:31 1:20:04 1:26:50 1:34:20 1:39:32 1:47:33 2:00:31 
TM Opera O Race
2:13:26 2:21:10 2:27:52 2:31:49 2:36:12 2:42:11 2:47:02 2:56:41 3:05:33 3:13:39 3:16:14 3:20:55 3:23:26 3:26:10 3:32:21
Legend Race
3:38:50 3:44:29 3:48:09

Because of several buffering from Youtube, I have to check every timestamps to be accurate. The rest will be in comment reply. Sorry for the inconvenience and delay. Youtubeからのいくつかのバッファリングのために、私はすべてのタイムスタンプを正確にチェックしなければなりません。残りはコメントの返信になります。ご不便をおかけして申し訳ありません。"
UgxW_zgwl2Sa2v-sf-x4AaABAg.9KxNxC2mtiX9KxQzj68pLa,1617235200,Redan Kenneth Uy,7,"Blessing:
32:55 35:29 1:15:02 1:22:43 1:31:48 1:43:32 1:52:41 1:53:55 2:19:22 2:29:26 2:39:20 2:55:05 3:15:55 3:17:45 3:28:16 3:29:29 3:41:07"
UgxW_zgwl2Sa2v-sf-x4AaABAg.9KxNxC2mtiX9KxR05piPdb,1617235200,Redan Kenneth Uy,7,"Kawaii:
14:01 40:15 42:05 43:54 54:01 54:14 1:28:47 1:33:51 1:34:12 1:36:23 1:37:43 2:18:34 2:22:57 2:49:58 2:52:18 3:29:13 3:36:51 3:40:11 3:40:34 3:45:04 3:45:41"
Ugy9RQR3ZjymLRb-rP54AaABAg,1617235200,岩本りかこ,14,0:21 start
Ugxug8Fb8b5oHPTJKf94AaABAg,1617235200,もぶㄘゃ,5,"今日も長時間配信ありがと！ファミマとのコラボほんとにおめでと！楽しみだぁ！
絶対に手に入れる💪( `ω´ 💪)"
UgwUJANHvdyGMy_bAmh4AaABAg,1617235200,"fire,",0,"スパルタ育成見てて楽しかった！
るしあちゃん流のコーチングで最後までいいレースだった！！"
UgzVYrjcPs8LjSDEK8F4AaABAg,1617235200,Pokemon VGcard,2,"No alcanze  verla a tiempo en directo, a despertarse más temprano."
Ugy-55Qnxptkh6RxFzN4AaABAg,1617235200,Pokemon VGcard,1,I wake up late.
UgyCe5qVYxHYutL9hZx4AaABAg,1617235200,Saku,3,♡
