id,timestamp,author,likeCount,text
Ugz3TLJgBmS2cCXuerJ4AaABAg,1617235200,Gabriel Silva,0,pues... nose como llegue acá
UgydOA5YevYYU8SFkM54AaABAg,1617235200,Heretic,0,39:42 very dangerous rushia noises
Ugw1KgWXkwBIRcqTtb94AaABAg,1617235200,らりるれろ裸行,0,"エリトラ使う時花火使いすぎで遠出出来ない
フレアとかペコラならルシアが飛んだ距離20本あれば充分"
UgywniKA9zX8q0hKMIJ4AaABAg,1617235200,BeanBag,0,2:52:05 what's the song
Ugx4W-w8J-4CqW-gUa14AaABAg,1617235200,Marvelous Iggy,0,Can someone help me translate what Rushia said at 2:23:55
UgzgcLy6cehLwWKRip14AaABAg,1617235200,Kenshi Ch.,1,does anyone know 32:20 bgm?
UgwV8lUyIZBKC1wGv4x4AaABAg,1617235200,えでぃぐろ,1,2:50:18 初めて兄で良かったと実感した
UgzfhI0djH8AYXqecth4AaABAg,1617235200,Levi Pama,12,"Repeat after me Boat! Thank you!
1:25:08 her true voice"
UgyXcaYTu2gN2GsNBKF4AaABAg,1617235200,yura,0,"1:56:17　「ケーキ！るしあのｂっ、ケーキッ！」
ここすこ"
UgyyzL3aty_ErQRZJ-14AaABAg,1617235200,Yofu.mp4,0,I want her BGM
Ugxey2DkFLlGDC7KgcB4AaABAg,1617235200,クルー組,0,これるしあなの?優しいファンデッドの方誰か説明して
Ugxey2DkFLlGDC7KgcB4AaABAg.9JarOq3ZDIV9JbmWjptLq3,1617235200,そこら辺の樹木,0,見た目が変わってるってことを言いたいの？
UgzovvAyv06Ld6OTM5R4AaABAg,1617235200,Gustavo Ch.グスタボCh,1,i´m love so more my litte sister rushia.
UgzEKGXRRxfAkhfjnRp4AaABAg,1617235200,Jiahui Wang,3,Damn she can mimic Emilia’s voice so well
UgyG-N5RaMSwEiejRM94AaABAg,1617235200,Haato Virus,1,Ganbate Rushia Sama
UgyrTM1O_AqCSrceJS54AaABAg,1617235200,# 66,0,耳膜rip
UgzFobzz57FUQPMIyg54AaABAg,1617235200,メンヘラこじらせ丸,2,"53:20 るしあ「運命は定めだと思っている」
るしあちゃんはすごいなぁ。

僕は甘んじて受け入れた現実を前に、抵抗はしていなくとも未だに受け入れられない自分がいる…"
UgzgB-VhiAyZdPNwAl14AaABAg,1617235200,hon imbalance,1,When did Rushia got Elytra? this seems like first time of her using it
UgxyfNKAGMA2I-yd5eB4AaABAg,1617235200,KisseAkiYu,0,"Watching archive 
(Grouping comments, to make it orderly)

I think it is so sad. You have to sing Yesterday.

Drowning Rushia Noises, don't drown please.

Wow snow.

Re:Zero enactment?, really good.

Cute scary hungry lion rushia?  😆


Beako? Is that Beatrice from Re:zero?

Alien alien🎶🎶🎶

Sui-chan? Or am I hearing wrong?

Yabe she really want that trident.

Tell if you are turning into a zombie okay?"
UgzNlUfDQW63z7Av90V4AaABAg,1617235200,Bestow Alternative,0,2:50:19
UgxvpVoJFmZnI-4C1e14AaABAg,1617235200,Himemiya Chikane,3,"Sadly I've missed most of it because I was at work, gomenasai Rushia-sama ;-;
And I'm so happy that you've noticed and readed my superchat :_ハート: aishiteru, totemo totemo aishiteru Rushia-sama:_ハート::_きゅん::_るんるん:"
UgxvpVoJFmZnI-4C1e14AaABAg.9JYhGQw1Drv9KU66CApG9E,1617235200,Ілля Гізун,0,"Мммм,я конечно опоздал,но я нашёл тебя, парень из снг"
UgxvpVoJFmZnI-4C1e14AaABAg.9JYhGQw1Drv9KU67ZIu_5G,1617235200,Ілля Гізун,0,Или девочка
UgxvpVoJFmZnI-4C1e14AaABAg.9JYhGQw1Drv9KUOG37_JPq,1617235200,Himemiya Chikane,0, @Ілля Гізун  и зачем ты меня искал?
UgxvpVoJFmZnI-4C1e14AaABAg.9JYhGQw1Drv9KUPiUNJwjJ,1617235200,Ілля Гізун,0," @Himemiya Chikane  я искал не конкретно тебя,а вообще любого случайного русского и т.д."
UgxlqpSh1kmpaBxOztZ4AaABAg,1617235200,とらたぬ,1,"エリトラ飛べて良かったのぉ
地下行く穴にドアつけたら？
それで庭に敵来なくなるで"
Ugy9u9LdsbW_2YTf_Fp4AaABAg,1617235200,誰かの分身,0,ゲリラ他助かったね！楽しかった！
UgzlzEL718-giKB3ZvF4AaABAg,1617235200,Ricko .A,0,2:50:18
UgyAVLsCfAj3pYrU2oF4AaABAg,1617235200,へっぽこ,2,"1:49:43 ５期生が来たときのぺこみこ花火を見た時を思い出す反応
るしあのこういうとこ可愛い♪"
UgxP4W_OaeN7nfVAc7N4AaABAg,1617235200,J4K3,2,2:50:12 does anyone know the song name
UgxP4W_OaeN7nfVAc7N4AaABAg.9JYOhzeoc6p9JZB_bsjR5c,1617235200,Firaas,0,Just search rushia bgm
UgwcRnNwr0Z4NSsZPmN4AaABAg,1617235200,ZeroToHero,95,2:50:12 Happy onii Chan noise
UgwcRnNwr0Z4NSsZPmN4AaABAg.9JYLK3DbvmE9JYwKWpxSsJ,1617235200,Philip M,3,Guh
UgwcRnNwr0Z4NSsZPmN4AaABAg.9JYLK3DbvmE9J_gBEjmUqT,1617235200,ライオンRyon,4,Thanks
UgwcRnNwr0Z4NSsZPmN4AaABAg.9JYLK3DbvmE9Jb7sSKMZBd,1617235200,ElZamo92,2,MVP
UgwcRnNwr0Z4NSsZPmN4AaABAg.9JYLK3DbvmE9JnuOOKtH5m,1617235200,Wizard Boots,2,FBI OPEN UP
UgzQe_Yb7FUIBYlhur14AaABAg,1617235200,ダイボン,0,"今日は海の冒険と空の冒険の二本立てか！豪華だな！
エリトラがあれば前に断念した白コンタがいるバイオーム見つけるのにも役立ちそう"
UgwVQSGYGtY9qxsfxCx4AaABAg,1617235200,ただの人,1,エリトラで遊んでる時超楽しそうで可愛い
Ugx6gfyX78jWlYVL6e54AaABAg,1617235200,Outrider Knight,1,"Mission failed we'll get em next time

Jokes aside awesome stream you may not have conquered the sea but you have conquered the skies"
UgxRajxmsXqZBvn_tNZ4AaABAg,1617235200,モブ見習い,9,2:45 スタート start
UgydbJAj1_ZLec_T1eF4AaABAg,1617235200,ライオンRyon,20,2:18:57 自用 大好き！
UgwAPMOTV64HEWJmPGx4AaABAg,1617235200,Gren tree m,1,I'm just commenting this because I wanted to comment on a Rushia video
UgxhCP1IcSUZgH1hlGt4AaABAg,1617235200,ざんやん,24,"Rushia: BOAT, repeat after me!
Chat: BOARD"
UgwSAOhZBowetkhlePN4AaABAg,1617235200,Chin Mustache,6,"It’s tough trying to replace a trident, keep fighting on, Rushia!"
Ugys8puw7Dv8Myr2nmt4AaABAg,1617235200,Kira Asuka,2,"1:49:34 そーらーを自由に、飛びたいなぁ～　はーい！エリトラ！
アンアンアン
とってもだいすき　るしあーちゃーん"
Ugxpk1Au_ZrJxK8WjaZ4AaABAg,1617235200,Enterprise,0,Creepah! Awwww man.
Ugwabxrft-p5DzXDc_54AaABAg,1617235200,小松貫之,0,ホロマイクラ配信見てるとJava版のトライデントってガチガチに準備しないといけないレベルで出ないんだ……ｔってなるわ
UgyDokxqTrzinBOKlMV4AaABAg,1617235200,keisuke horota,0,"Awesome!

I'm an app developer and I'm developing a community app.
I recommend it to anyone who is looking for Minecraft friends.
Would anyone like to be my friend?"
UgwqcVIGYY0iecyG_Ch4AaABAg,1617235200,Matrix-San,0,Me and pink Rushia look Some But She Have Pink Hair i Have Red Mask
UgwH6UfpC6p-9pmjdh14AaABAg,1617235200,zaiwex,0,"Timestamp when Rushia uses Elytra to fly with fireworks for the first time

1:49:33-2:01:45"
UgznGLuuzmhXXwzKH6Z4AaABAg,1617235200,勇生也です、マイヤーズマイケル,10,2:44:39 嬉しすぎる
UgznGLuuzmhXXwzKH6Z4AaABAg.9JXp2ufHxW49JXyzfeNTZd,1617235200,xらぴゅせるx,2,ぺったん良きかな(^^)
UgxQt1dLlHj07wTm-Yt4AaABAg,1617235200,dunduk,0,i think im a simp
