id,timestamp,author,likeCount,text
Ugybg-P57X2n_zeoY4t4AaABAg,1648735200,霊似レイニー,0,"今までありがとう。
さようなら"
UgzMFRzDqoVALMZ6rQt4AaABAg,1646956800,ඞ,0,T-T
Ugw3fxHmiy8lyNuLwEB4AaABAg,1646092800,たこ焼き,1,なんだこの可愛い生き物
Ugxn3c5KtysblbP1oEx4AaABAg,1638316800,nissy,0,17:20
UgypHWOEenP23K3GQsh4AaABAg,1638316800,Ryumi,1,너무 귀여워...
UgybGdUAVayzrAY_mTt4AaABAg,1625097600,学徒,2,1:26:35
UgwLX45YDNrzv70ioBB4AaABAg,1622505600,Kololonka,1,Just one symbol: UwU
UgyuOG34AE68EUEyWrR4AaABAg,1617235200,Saccharum sinense,1,Cute
UgwJTgfrXDpsdk7Z8zR4AaABAg,1617235200,Eden Romanov,1,Rushia cho kawaii motto nomu kudasai ww
UgxrJDOsqD7wD6O-igt4AaABAg,1617235200,sentinel,0,16歳じゃなかったのか…
Ugxm9NeW2hQhAUGf7Hd4AaABAg,1617235200,KUSOGAKI,2,25:04 for some cute rushia moment
Ugwa8hw6XI9HyOD5FBp4AaABAg,1617235200,Childe,0,The chick on her head is so lucky
UgzcLjV2ZxbkxKpMh8J4AaABAg,1617235200,あすか,1,"るーちゃん喉に気をつけてね
お酒を飲んで歌ったら、
声が枯れるよ:_あせり:"
UgwgXb1YRpzvmFw8eA14AaABAg,1617235200,Sirakami_R1n,2,1:37
Ugzcg4d3S_yFpI1y-SF4AaABAg,1617235200,シロスミ焼き  業餘烤肉,0,這合法嗎
UgwMytDLRlypWDsL9zR4AaABAg,1617235200,ASHEN SHIELD,1,I only came here for a drunk necromancer
Ugz06JilzVjQpWMwdZJ4AaABAg,1617235200,ryuu8suka,11,That moment where you're really appreciating how a 2D animated model made you learn an entire language.
UgxlNbJvD8MulUPI8hJ4AaABAg,1617235200,Erob,52,1:30:57 She's so cute she almost killed her Mic
UgxlNbJvD8MulUPI8hJ4AaABAg.9Fy7e_xClK29Ju559I1jCB,1617235200,Mikello Babiloza Ch,0,Yes
UgxnuAQJn3KvYpOz0GV4AaABAg,1617235200,折れたきのこの山の復元師,0,"酔っ払いるしあちゃん可愛い。
それにしても、よくアーカイブ残したなｗ"
