id,timestamp,author,likeCount,text
UgzBm8DL0drlJe5XKBZ4AaABAg,1648737660,呆遠,0,ありがとうございました(´⊙ω⊙`)
UgzYy1TBPhEbigJ6nux4AaABAg,1648735080,Trí Trần Hữu,1,o7
UgwYCVxdTXOIyaDq9gN4AaABAg,1648735200,れふ,0,くあ
UgzgglFWQWE0inaZZ6d4AaABAg,1648720800,る推しのゼウス,0,:_おつるしのお::_おつるしのつ::_おつるしのる::_おつるしのし::_サイリウム碧::_やんでれ:
UgwZ6rAqsr4ZFVpzMn54AaABAg,1648717200,Na Be,0,It’s only customary to pay tribute to one of the first videos that pulled me into asmr. o7
UgzxrzYm97-3lm40dnZ4AaABAg,1648706400,IdenityX Unknown,1,"The first ASMR you've ever made:_るんるん::_るんるん: , such a blessing :_ハート::_ハート:, LOVE IT :_きゅん::_きゅん:, Thanks for making these ASMR :_ハート::_ハート:"
UgynN9Knhh7k_JZXIdt4AaABAg,1647561600,IdenityX Unknown,2,"Ah~~~~:_ぴよこ: , COVER CORPORATION PLS DON'T DELETE RUSHI YOUTUBE CHANNEL PRETTY PLSSS:_大泣き::_大泣き:

Such a relaxing ASMR , thanks Rushia :_ハート::_ハート:
(Immediately download and added to my song album)"
UgynN9Knhh7k_JZXIdt4AaABAg.9Zag_5NS4rv9_26gSQLFyt,1648425600,mogumogu,0,"Can u send me the files, please I don't want to loss this relaxing ASMR stream"
UgynN9Knhh7k_JZXIdt4AaABAg.9Zag_5NS4rv9_27kle2AZw,1648425600,IdenityX Unknown,0, @mogumogu  I could but I don't know how to
UgynN9Knhh7k_JZXIdt4AaABAg.9Zag_5NS4rv9_B1Z-VMe2N,1648684800,LE SMACK,0,I also downloaded every single asmr video she has
UgzHGJlOJPIIxJ8WUNZ4AaABAg,1646352000,横山昌人,32,この優しい声もう聴けないのか…😭
UgwqQzaflVbaK7EeEax4AaABAg,1646092800,Light Yagameme,6,This comment won't be here for long... So I just wanna say thank you rushia this night I will sleep while listening to your first asmr... For the last time.
UgyY1Buss24dmRYtAb54AaABAg,1646092800,Phorcus,13,16:13 I wanna hear her laugh again.....
UgyA5OrDbYup_6hs-994AaABAg,1646092800,FilipinoAbuser,3,I cry...
Ugz8o1XaO73p_w2SL7t4AaABAg,1646092800,サカナイト,20,ここがるしあ姫との出会いの場所:_きゅん:今聞いても癒されるな。本当に今までありがとう！
Ugz-fq_vfploTNzTBWN4AaABAg,1646092800,月孤雨伴,1,所以说首次asmr真的在跟别人在sox吗？
Ugw_KAtWPak2PZ6B53l4AaABAg,1646092800,Fandead Forever,3,Rushia's voice is always Relaxing (^v^).
Ugx4_GmRtboiBimJIUJ4AaABAg,1646092800,ふにちゃん💭,1,8:29
UgxlEZq-AyzHeG4U6kN4AaABAg,1643673600,DEF ABC,0,"おつるしー
いつでも癒してくれるるしあの力になりたい
寂しいとき一人しないでね、むせの軽減もできるからいつでも待ってるよ"
UgyXgHqRm1hX7Iiwxql4AaABAg,1643673600,ぜりー,0,"優しみの森…:_猫耳るしあｚｚｚ:
この頃も上手だったけど、今のるーちゃんめっちゃASMR上手になったなあって思ったわ…"
UgwhiT5dViK2bxnh67x4AaABAg,1643673600,men sky,0,ねこおおおぉぉぉぅぅぅ🤣
UgxuVChv10twktR1xUF4AaABAg,1640995200,ワラソティス,2,「今日だけはダメになっていい」その言葉を信じた俺は今、学校の課題を放棄している。多分大丈夫
UgxuQumAwdNhSR_6I7N4AaABAg,1633046400,T Roger,0,あー神回見つけてしまった
Ugy4iAgiBSGNATJUPPZ4AaABAg,1630454400,ジェジュン,1,"I have very good sleep, ありがとうございます!:_きゅん::_きゅん:"
UgyTr0HENYkryWSs-tZ4AaABAg,1630454400,koolabuum,0,Nice:_ハート::_ハート:
UgwlyhpCCw34F8oq2PR4AaABAg,1630454400,まじまじま,0,ヒノノニトンで腹筋崩壊した
Ugwjg_D2m3cfonPLbvx4AaABAg,1627776000,Jr. Bushman222,0,"lol this aint it, screaming anf laughing i feel like im bleeding"
UgwoC67iR5dhPqwrEJd4AaABAg,1627776000,BLAZE'えんが,0,"これより前から知ってはいたけど、でもこの配信で推しになった。
そんな思い出の配信"
Ugwy9MyzKS1YkpofaDl4AaABAg,1625097600,이채린,0,"0:00 

what is the name of the music??"
UgzwryIKCd0ltu4OFZV4AaABAg,1625097600,くれーぷ🍙🎣,0,1:50:00
UgxbgfFj9Qnd6mOu-F14AaABAg,1622505600,ちゃかげ,0,"本当に愛しそうにかわいいかわいい言いながら
抱きしめてもらえて泣きそうになってしまった
ありがとう…"
UgzQZLu4Duogs9L5qLN4AaABAg,1622505600,ココヤ,0,:_ハート:
UgzBlPPBUsE2SNffjKF4AaABAg,1619827200,リモコン,0,12:10
UgxA2_fAI1u-WG_uoel4AaABAg,1619827200,くみいん,0,2:24:26
UgwcQ2PFQETnji32BwJ4AaABAg,1617235200,キノコの墓🍃,0,はい！目がギンギンになりましたありがとうございます
Ugx098kiAc54s4rH37Z4AaABAg,1617235200,スコーン,0,ホント寝れるわ
