id,timestamp,author,likeCount,text
UgxvcMc7Ni2dfeS6mwJ4AaABAg,1646092800,YesuYesu,0,大好き
Ugyu3ZuxhwNJWka8ZX94AaABAg,1617235200,俺は悪くねぇ!,0,"おつるしー！
早くswitch買いたい！笑
3期生対決期待してます！"
Ugzk6mVjG3ifEpI39I94AaABAg,1617235200,ふわっとぅ,1,37:27 名前付け 予測変換
UgxW0YrGkHxazjMqhAh4AaABAg,1617235200,"fire,",0,"元気そうで安心した～
いろいろハプニングあったけど楽しかった！"
Ugw1zcA_ouAtWZ9QIjF4AaABAg,1617235200,tirox00,1,No entiendo nada pero la veo igual 😎👊
Ugxg0biv-XNQ4vFsBrV4AaABAg,1617235200,HaesslichG,4,I'm here for cute Rushia noises.
UgyG3R-4RE88Pa0JV0V4AaABAg,1617235200,Illyasviel von Einzbern,2,Congratulations on reached 600k sub!!!
UgzAWUm-RqmwKy2FvfF4AaABAg,1617235200,FBI,2,"Man, ngl this girl is f*cking cute uwu"
UgzAWUm-RqmwKy2FvfF4AaABAg.9F5r9e3l-2v9F64IX-tFAo,1617235200,Constabriel Bell,1,So the FBI has fallen as well
Ugy230tZNqaLbA2GGw94AaABAg,1617235200,Mior Zharif 1986,0,"Ruhchan remember, check some program at task manager,maybe some program not close completely, or some program who make bug"
Ugxu5YO24vanp_x2aeh4AaABAg,1617235200,Ivan 324,0,:_るんるん::_おこおこ::_しょぼん::_ぺったん:
UgyAJNjjLrwknxAPP554AaABAg,1617235200,氷深ルセ,0,"練習しないと3期生の中じゃ船長に勝てる人いないから
身体や配信を無理しない程度にして練習してほしいと贅沢いってみる
この際船長にハンデつけてもらうしかないな！"
UgzugCfMa8EgbVA1wF14AaABAg,1617235200,おんおんおんでぃー**,0,おつるしー！いまからアーカイブみるしあ！
UgwsajY5tyLGTiC75-l4AaABAg,1617235200,Reaper Soul,0,Rushia in Smash Bros: LOSEshia.
Ugy-fqqLzp-YATpM4b94AaABAg,1617235200,こはくん,0,"元気そうでよかった！！でも絶対に無理はしないでね…
3:07:42 最高すぎたしいい笑顔で配信終了になるの最高だわさ…（好き）"
UgzJfZecx8O36UyBaMZ4AaABAg,1617235200,Sato Akihito,0,Pls make english captions in the endd
Ugx0odRRm-ldS5OfmEN4AaABAg,1617235200,_ keffer _,0,ALL who see replay : you see ads end? Is time start arigato time = see this 1:27:00 end
UgwhpTZyzLj-cUswWF54AaABAg,1617235200,Hiryū Ran 草,3,"I did not get to be in the stream because I fell asleep, sorry for that, but I can tell you something, thank you for doing a stream and I hope you are well uwu"
UgzBXrltjuyd8Mz3TtZ4AaABAg,1617235200,柊,2,"毎度クソコメすいませんるしあさんと出会う前の日々に戻りヤンデレASMR毎日聞いて適当に愛を補給します愛の押し付けすいません消えます

メンバーは12月31日に抜けます

出会ってくれてありがとうございます"
Ugwb1dIlFViZ-3K6vF14AaABAg,1617235200,TASaJP 131,0,"元気で良かった…
ハプニングあったけどスマブラ楽しかったよ！これからどんどん学んでいこう！次の配信も楽しみにしてるね〜"
UgzeYE8bd8QVU2lKbKR4AaABAg,1617235200,19. Trần Bá Khoa Hakato,1,0w0
UgzRalfoPADuIeHnEtR4AaABAg,1617235200,Morales モラレスCarlos カルロス,0,素晴らしいゲーム、それをプレイする良い方法！ 正直「おかえり」はすごいゲームです 👌👌👍👍
UgzOsqsB79lDQ5EB8hl4AaABAg,1617235200,グリフォン,2,"身体冷やさないように気をつけて下さいまし(^ ^)
休める時はしっかり休みましょうᕙ(  ˙꒳​˙  )ᕗ
症状が目の疲れから来てそうな感じがするので、配信中とかもブルーライトカットのメガネかけた方がいいかも知れないね"
