id,timestamp,author,likeCount,text
Ugx9rBSoXSErNFb6NAB4AaABAg,1647907200,IdenityX Unknown,1,"Konichiwa :_こんるーー::_こんるーー::_なのです:, COVER CORPORATION PLS DON'T DELETE RUSHIA YOUTUBE CHANNEL PLSSS:_大泣き::_大泣き:

9:45 Just Rushia Vibing :_きゅん::_サイリウム碧::_るんるん::_サイリウム紫::_きゅん:
16:00 Best laugh ever :_くさｗ::_くさｗ::_くさｗ:
19:30 the atmosphere is getting intense :_あせり::_あせり:
21:21 it was at this moment that she knew , she fuck up :_ドクロ::_ドクロ:"
UgyHW1Fj9pB2QW1fe8t4AaABAg,1617235200,Young,0,16:00 16:28 16:46 17:23 17:57 22:38 25:15 31:42 1:31:11 1:36:05
UgxlP8Ca2XF64ayBDa94AaABAg,1617235200,nahomi vegas,1,"No sé japonés, pero igual entiendo lo que dicen y las amo <3"
Ugy8aiJhCeBVR44_Hc54AaABAg,1617235200,MomonKusa,1,I love that thumbnail so much
Ugz9JLUehpfn98TtP6F4AaABAg,1617235200,Kenneth Reyes,0,hello
Ugyrnw6g5Ba1NnxyeZ94AaABAg,1617235200,阿奇阿奇,0,字幕暴走
Ugx2w_etHgNxCZ3fiSB4AaABAg,1617235200,yamako,0,サムネすき
UgyZCsRHWwGEFFZNUsh4AaABAg,1617235200,MADARA 2.0,0,F POR LOS QUE HABLAN ESPAÑOL Y NO ENTIENDEN NADA
UgxwUvG-Z6I5FFd5sYV4AaABAg,1617235200,ŦR3D3R& 73,2,Por lo que se Rushian...se llama un personaje masculino en un anime que ví por casualidad..(θ‿θ)Saludos a Latinoamérica
Ugyc3VrmybKA5tp-qD14AaABAg,1617235200,Ricks Deiker,1,vine a suscribirme luego de verla hablar español.
Ugyc3VrmybKA5tp-qD14AaABAg.9DBIjKDEm9w9DM1Gd_k0FJ,1617235200,nahomi vegas,0,Ya somos dos
UgymsS2u3AR-hyuebBp4AaABAg,1617235200,Maria Rosa,1,hola se que no me entenderan pero bueno queria perdile a la youtuber si esque me puede dar un saludo en sus stream yo no tengo dinero para la membresia y nunca recibi un saludo en ningún stream si fuera tan amable de saludarme en los directos por favor ¿si?
UgymsS2u3AR-hyuebBp4AaABAg.9D9jRwMDbAD9D9zhJfjCX_,1617235200,34jdkxo33,0,Que onda pana latino
Ugz4JrVOUGT6MHE3Hpd4AaABAg,1617235200,Average Corn Enjoyer,6,26:08 you know the rules and so do I
UgzUfxteQsm_imZv0SR4AaABAg,1617235200,CPU【台湾二キ】,0,チーター滅
Ugzz5J8K9WBC67oxI6p4AaABAg,1617235200,no6 kiến,0,NICE
Ugy0tK_OLHkpewP3QTx4AaABAg,1617235200,レベ,10,"12:14 ╰⋃╯ﾁﾝｯ
26:07 ｱﾘｶﾞﾄｳ"
UgwTkUI091ckkUfwxPZ4AaABAg,1617235200,啓司,2,"リラックスしてるるしあのスパ茶読み可愛い。夕方とまた違って良いですね。

自分用
2:22:56
2:39:18"
Ugz8HOSkFxewKRkY0lZ4AaABAg,1617235200,Jose De Jesus Martinez Enriquez,2,"24:10 please, stop being so cute, ill gona die!!"
Ugz8HOSkFxewKRkY0lZ4AaABAg.9D8FJwyWpNm9D8FdvWsejw,1617235200,Jose De Jesus Martinez Enriquez,0,26:09
UgxrMr_XEt9rwz9bvGx4AaABAg,1617235200,はあちゃまの ぼにゅう,3,"7:34 This is requiem.

Rushia entered a loop of defeats in fall guys"
UgxrMr_XEt9rwz9bvGx4AaABAg.9D7xIJ-0W3M9D8HnPOaZ94,1617235200,Eileen Vehembrist,1,Wha-
UgwO9RCguck4vu5Ay494AaABAg,1617235200,none,0,サムネめちゃ好き
Ugw_STValDSgPNd8OfB4AaABAg,1617235200,sergeant NNN,0,Sorry to rushia from Vietnamese
UgyUr_a0pkG3XYKw9f14AaABAg,1617235200,本条なつの,0,るしあちゃん大好きなのです！・゜・(つД｀)・゜・
Ugy7h-qEqkgbVJ6oJt54AaABAg,1617235200,FLOREZ. :D,0,S.nxkdmd.smalsmdl
Ugy7h-qEqkgbVJ6oJt54AaABAg.9D7gCAr4tlZ9D7ggOgekmD,1617235200,FLOREZ. :D,0,Xd xd xd xd xd xd s
UgwYq6Yoc-kC-m_jvSV4AaABAg,1617235200,Mieru Nichijou,0,33:16 iwanna eat rushia's budo
UgwWiYBD1T5925_Vknh4AaABAg,1617235200,にゃんこ星人/ nyanko seijin,0,この時間るしあちゃんの他のフォールガイズのアーカイブ見てたー😭😭配信してるの気が付かなかった、、、リアルタイムで見たかった、、、
UgwxEVQqC0QAq_xSi1Z4AaABAg,1617235200,Cute99 Lol,0,こんにちは姉
UgwR9Ncwwsy8FA5DVG14AaABAg,1617235200,Antonicruk 89,3,Saludos desde España
Ugx6dmsNJ-_njihCF2F4AaABAg,1617235200,Eol,0,Epic thumbnail.
Ugw2am_zrWECtpO9eP54AaABAg,1617235200,サザラシ,1,"動画開いた瞬間「あーもうホントごみ」って言われて満たされました
ごちそうさまでした(‐人‐)"
Ugylf4JNk-s4yFMZOrN4AaABAg,1617235200,ろいろい,0,"2回行動ありがとう！そしてお疲れ様！
50万人まであと少しだよ✨
皆で迎えられるといいなぁ"
Ugx8XRhfSU9SK__jfAB4AaABAg,1617235200,𝑲𝒂𝒍𝒎𝒊𝒂,17,寝てたのでアーカイブ感謝
Ugx8XRhfSU9SK__jfAB4AaABAg.9D7HoWX2-iD9D7LzaQ9VV4,1617235200,Wolfie,2,同じく！
UgyxvJ2LFpSFWWl4O-Z4AaABAg,1617235200,魂魄妖夢,0,"るしあちゃんありがとう(*´ω｀*)　
とても可愛かったよ👍"
UgyxL-bVxR65JIM1f9t4AaABAg,1617235200,Maro Ch. マロ・デ・オジャル,0,すまんなキッズ寝てたわ
Ugz6PXXZBCa68MZfhBB4AaABAg,1617235200,46 62 65 68 75 42 78 75 68,0,I couldn't tune into the livestream but the thumbnail is just golden 😂
Ugyn3rQ9HoTSeXmtPhl4AaABAg,1617235200,"fire,",0,"深夜おつるし～
途中で寝落ちしたけどふわふわなるしあちゃんかわいかった！
フォールガイズも上手くなってるよ"
Ugyn3rQ9HoTSeXmtPhl4AaABAg.9D72ZHMmRJU9D77yUOLLBX,1617235200,Angelily Ch.,0,私は外国人です。49:20に何て言ってたの？
