id,timestamp,author,likeCount,text
Ugy6Vd5Lseqkg4ItYt54AaABAg,1648737480,しゅな,0,"見納めしに来た!
るしあとしての活動乙!!"
UgxS0c7ckBeVICoKQjd4AaABAg,1648735200,STER,1,o7
Ugwtns0x4nlpbZtxVAx4AaABAg,1648684800,黃智揚,3,":_るんるん::_おこおこ::_しょぼん::_ぺったん::_ちょうちょ::_ドクロ::_きゅん::_あせり::_るしあのる::_るしあの::_るしあのあ::_おつるしのお::_おつるしのつ::_おつるしのる::_おつるしのし::_なのです::_こんるーー::_ハート::_えはてな::_くさｗ::_ふぁんちゃん::_待機中::_おこなのです::_ばんっ::_どんっ::_サイリウム碧::_サイリウム紫::_大泣き::_やんでれ::_猫耳るしあちゅう::_猫耳るしあｚｚｚ::_ぴよこ::_姫るしあジト目:
一開始會踏入HOLOLIVE這個圈子是因為你的影片 
你是我第一個加入會員的V
感謝你這一路帶給我們歡笑"
UgywWqjnZNyRhkZqSTp4AaABAg,1646092800,NgeL from Heaven♏,3,"it was a great run, goodbye ! goodluck on what ever you do in the future ❤️ tc"
UgyzxxXMgc6ab2t2Pf14AaABAg,1646092800,Tampy,3,We will miss you :(
UgwfWgnBR8sQ15bCmNp4AaABAg,1646092800,Juliano Uchoa,3,I will watch Rushia now until my eyes fall down
UgxJShqaHFkTPCXiGpZ4AaABAg,1646092800,SmolPrinny,3,Here to archive.....minasan ganbatte
UgxJShqaHFkTPCXiGpZ4AaABAg.9Ypyc2DP5I49Yq2bSUL8ZA,1646092800,Vinh Nguyen,3,"Hey there brother, we shall not let her legacy deleted from the internet
(Prepared 1TB hard drive, i doubt it will be enough)"
UgxJShqaHFkTPCXiGpZ4AaABAg.9Ypyc2DP5I49Yq94raBWSA,1646092800,Apiet,0, @Vinh Nguyen  yall need to send me a copy😭 I don't have wifi...
UgxJShqaHFkTPCXiGpZ4AaABAg.9Ypyc2DP5I49YrKo6a7Av6,1646092800,Tampy,0, @Vinh Nguyen  If you have plans to share it somewhere at the social media please tell me :<
UgxJShqaHFkTPCXiGpZ4AaABAg.9Ypyc2DP5I49Z6iMnUJu8G,1646352000,Zikri Flanery,0, @Vinh Nguyen  You must share them or I won't forgive you
UgxJShqaHFkTPCXiGpZ4AaABAg.9Ypyc2DP5I49Z6j77WHHwg,1646352000,Vinh Nguyen,0," @Zikri Flanery  Already did, but my comment got deleted. Search google for ""ragtag archive"", that guy did a better job than me"
