id,timestamp,author,likeCount,text
UgwrMYh84WsTJKkuJ6h4AaABAg,1648737000,V,0,"初めてしっかり見た配信はこれが初めてでした。
ありがとうございました(´；ω；｀)"
Ugyp0piTwoyY4cs38PJ4AaABAg,1648735200,ウーパールーパー,0,るしあ、めっちゃ面白いからもったいないな〜
UgyUkLeqbESQqQqaCi54AaABAg,1648735200,koko,0,見れんくなんのか…
UgyEEprwuHGacUsI1814AaABAg,1648512000,tang roro,4,This is part of history
Ugz5Qoi3Y-jjzStfLLR4AaABAg,1648425600,夜 葵,2,"これアーカイブ消えるんだよな...残念
あの中身の外見でこの声出してんのマジでヤバいw"
Ugwwb5RDOrkoUDlcyIx4AaABAg,1648080000,ザップ / ZapMinty-!,11,Well... I guess this is the closest I'll ever get to see Rushia in a hololive Smash tournament... I'll cherish what she left us
Ugw-9zoVnzFbNJ_NYgN4AaABAg,1646956800,ちひろ,5,22:10 ぶーん
UgzTvaJQdtRGFu-x-o94AaABAg,1646956800,りちりち,13,この配信わちゃわちゃしてて楽しいし観戦の回線落ちが発覚した時の盛り上がってる感じが大好き笑このアーカイブまで消えちゃうのは本当に残念だ...
UgzTvaJQdtRGFu-x-o94AaABAg.9ZBfvRhg4BP9ZBgd4pJyXe,1646956800,aku i,3,"切り抜き師さんに期待するしかないですね・・・
チャンネル消えるのは避けられないですし・・・"
UgxYKJOz_X2c0hgxr094AaABAg,1646352000,できん,6,3期生コラボは本当に好きなコンテンツだったので、無くなるのは残念です。
UgwSLmuoe_6OljpHxrJ4AaABAg,1646352000,Time Seeker,5,"21:12 ～
27:48 ～"
UgwQKlxfb3dV4Bzn1SF4AaABAg,1646092800,まろん,11,やっぱ1番好きだなぁ...3期生...
Ugyjqtv7ocVr1g4AeuV4AaABAg,1646092800,りーぐん,8,23:33
Ugx368dMwnoA4IKRAKp4AaABAg,1646092800,陽,7,やっぱ3期生なんだよなぁって…
UgyrSqPjTSjTscY3-nx4AaABAg,1646092800,ホロ箱推し【目指せアヒージョ】,5,この動画も来月いっぱいで無くなるのか……
UgyrSqPjTSjTscY3-nx4AaABAg.9Yx1jvne9FQ9YxTazvMATl,1646092800,。み茶,1,アロエも残ってるから残るんじゃないの？
UgyrSqPjTSjTscY3-nx4AaABAg.9Yx1jvne9FQ9Yx_KItKNep,1646092800,陽,3, @。み茶  運営が消すって言ってるのでチャンネルごと消えますね
UgyrSqPjTSjTscY3-nx4AaABAg.9Yx1jvne9FQ9Yxa9lvUhTx,1646092800,。み茶,0, @陽  ああ〜あのメンバーシップ消すみたいな奴？
UgyrSqPjTSjTscY3-nx4AaABAg.9Yx1jvne9FQ9YxbMaYl4zh,1646092800,陽,1," @。み茶  ん〜まぁそんな感じで
潤羽るしあのアカウントが消えるってことですね"
UgyrSqPjTSjTscY3-nx4AaABAg.9Yx1jvne9FQ9YxfbaknALy,1646092800,。み茶,2, @陽  誰か全部アーカイブ保管してないかなぁ…ちょくちょくとこういうの見るから
UgzutRTIDcmAieEz93h4AaABAg,1646092800,きょん,7,こういうコラボ動画が消えるのが惜しすぎる
UgzutRTIDcmAieEz93h4AaABAg.9Yu7z9_xgOw9YxTZbjmPft,1646092800,。み茶,0,アロエも残ってるから残るんじゃね？
UgzutRTIDcmAieEz93h4AaABAg.9Yu7z9_xgOw9ZJbsCZ99ni,1646956800,きょん,0, @。み茶  カバー株式会社が「契約解除のお知らせ」でチャンネルを消すと言っていたので消えると思います。
Ugyi--lEB0ks6zusEaF4AaABAg,1646092800,Holoホロ,4,本当楽しかったなぁ。
UgzW6oyPY6N-J8nN1BV4AaABAg,1646092800,Yuuyake Ch.  マントゆうやけ,12,そして、私の友人はまた、あなたに将来の幸せで良い人生を願っています。彼はまたあなたに会いたいと思っています。 あなたが私たちに戻ってくることを願っています:(
UgyhxLlR7aWA6eInSXx4AaABAg,1646092800,Yuuyake Ch.  マントゆうやけ,6,"こんにちは、私はベトナム人であり、あなたのファンでもあります。あなたのニュースを聞いた後、私はとても悲しくて涙を抑えることができませんでしたが、とにかくあなたがあなたの次の仕事で成功することを願っています。あなたの人生はいつも良いもので満たされます。 二度とそんなに悲しくなることはないということを私に約束しなければなりません...
さようなら麗麗し！ いつかまたお会いしましょう:(
17/8/2020-24/2/2022"
UgwBOOlgqPObuf701Lx4AaABAg,1646092800,せりか,7,この回のるしあマジですき
UgyaD8W9CXqjG5XspRx4AaABAg,1646092800,るしあ おそ,0,30代売女の成り上がり
UgydD5ti0KUrEw-QrPN4AaABAg,1646092800,ああああ,3,52:31
UgxME-yE-ydfZ27isgV4AaABAg,1643673600,深海のくまさん,1,24:20　　50:29
Ugz_hcVR2KvLTFfTcdl4AaABAg,1643673600,よしわら: yoshiwara,4,"初号機が聴けるらしいので見てみます。
初っ端、るしあちゃんは実況者に回ってみんなに譲ってあげるのな。気遣いにも程がある。好き。自覚ないのだなあ、おしとやかはとっくに達成されてるよ。"
Ugx70-sPgQ_x0pt9_J94AaABAg,1640995200,Norman Widad Nordin,1,does anyone have a link for the thumbnail?
Ugxsxp-594FlmNc979l4AaABAg,1640995200,池田幸正,1,小澤と同じくらいの頭の良さを感じた
UgyjbkfQI6CnkVf6Uxp4AaABAg,1640995200,ALL Might Ӝ,1,全員動きぎこちないのやっぱ、かわいいな( ꈍᴗꈍ)
Ugy9AO3OjigUuLl1vk14AaABAg,1638316800,victhor343 Kono gotoku,4,22:52 EVA UNIT 01 AWAKES
UgwXby6WfqYJDQGDRjl4AaABAg,1635724800,爆弾投下 カタツムリ,2,11ヵ月前の111万回視聴………
UgzNqUIeitLGIkgFech4AaABAg,1633046400,ぽてと,0,4:09  ノエフレの流れるような手口。俺でなきゃ見逃しちゃうね
UgzvAzlCCf2vhoyXJsZ4AaABAg,1633046400,ともっちtv(350人目標！),0,サムネクレしんで草
UgwYPcH3Qjkb0hHSH_V4AaABAg,1633046400,Hi All,0,"スマブラやる時終点にするのはわかるけど
アイテム無しにするやつがマジで理解できない

寿司に醤油付けずにバクバク食うようなもん"
UgxJVoGAm845VWKtSul4AaABAg,1630454400,まつ,2,"28:32 じゃあなぁぁぁぁ
29:12 闇に染まっちまうよ"
UgyXbePjz0wxeCfxHU54AaABAg,1630454400,ペペロンチーノ,1,8:51ここまじツボ笑
UgxJRliWtalExav1iud4AaABAg,1630454400,納豆ちゃんねるん,0,35:51ここもこうパルシェン
UgzHB5Z-dVOCTTof36l4AaABAg,1630454400,shortvideoman [戦闘シーンmad作る人],0,サムネはクレヨンし〇ちゃんかな？
Ugxhd7nSplqzznk_OxV4AaABAg,1630454400,スパイダーマッ！,0,暗黒タマタマ懐かし
UgzW3oZ2cHWTORldUN54AaABAg,1630454400,菊池正彦,0,サムネどうにかならんの？w
Ugwa4YM36hRnIHIuSe94AaABAg,1630454400,RYOPE,1,るしあのリアルリドリーいいね
UgxuqFK53jC3SpDOVwl4AaABAg,1630454400,ワァオ君,0,カオス組wあと、サムネがクレヨンしんちゃんみたいで釣られたw
UgxuqFK53jC3SpDOVwl4AaABAg.9QYNidOeEvI9QYOWTEoQnS,1630454400,ワァオ君,0,船長のピカチュウ感な
UgwO4mvLmaED1aohsFJ4AaABAg,1630454400,ぺぺるん。,9,まじでいつも思うけど、3期生マジ豪華というか、クセが強すぎる
Ugzsz5j7djSkBWSBj1N4AaABAg,1627776000,りょん,0,3期生ほんとすこ
UgzslhwMwWsOZYYnWcF4AaABAg,1627776000,虫眼鏡,0,ぺこらの笑いは浜田に匹敵するな
UgxVlMNni1VuWLzTdwN4AaABAg,1627776000,RobJoker,0,lmao 51:57 that parry was sick hehe.
UgyOGuJZZ3-3lrIwjEJ4AaABAg,1627776000,何かよくわからん人,2,"100万再生おめでとー
まだ見てる人いるかな？(グッド稼ぎではないです。怒らないでくださいお願いします)"
