id,timestamp,author,likeCount,text
Ugw_4bbkFWJr4bFt30V4AaABAg,1643673600,とりかわ,0,1:39:40 ぼそっといったギャグをみんな聞き逃さないw
UgwE8rerDWuuiIuwCth4AaABAg,1643673600,とりかわ,0,"あちきも
普段用の眼鏡は強いから
パソコン用に眼鏡作ったー。
弱めにしてブルーライトカットのにしたー。
しばらく使った後に普通の眼鏡にすると、
普段どんだけ強いので見てたかがわかるー"
UgyEHcBMd2ZEglaS_1h4AaABAg,1643673600,Xalphire,0,I'm not Japanese and I can barely understand but I love watching you anyways :D
UgxgE94ADDq4mI9_ynJ4AaABAg,1638316800,that green neko,0,"The necromancer, a person who talks with and revives the dead, screams at dead bodies."
UgzBZNnhX0LQ9xnmh7N4AaABAg,1617235200,天野てん,0,"るしあが登場した頃に流れてるBGMの名前誰か教えてください！

るしあ可愛い🥰"
UgzlMYEMOOh9aS4qFQt4AaABAg,1617235200,YURA,0,るし鳴トンネルだったか…
UgzKEVq31qfmZWlQ9tJ4AaABAg,1617235200,Mouse The,0,This vtuber is boutta make me act up and learn Japanese so I can understand her without subtitles OTL
UgxsjFaYXSvlk6r9G0d4AaABAg,1617235200,Sal Shoker,0,Thanks For The Streaming Rushia Thank You For Your Scream So Blessed👂👂🙏
Ugx0EQs3EUDuv4q2Dvh4AaABAg,1617235200,ひみつのあっこちゃん,0,"るしあ、ゲーム下手だから、素直に教えてって言えて偉い
悲鳴よかった、悲鳴プロ"
UgwjPvWQl1g-EQPohXZ4AaABAg,1617235200,俺は悪くねぇ!,1,結構怖かった…
UgwZ2savGYc2OeLxYAB4AaABAg,1617235200,でらずー,0,濁点がおおすぎて笑える
Ugz6tKTQCrTQnfOzFYN4AaABAg,1617235200,ふわくん\Fuwakun,0,オープニングの曲名知りたいです！
Ugz6tKTQCrTQnfOzFYN4AaABAg.9ILS2vHCHAh9JAgxdvVWaY,1617235200,Arecsia,0,しゃろうさんの summer triangleです
Ugz6tKTQCrTQnfOzFYN4AaABAg.9ILS2vHCHAh9JB1wK_wgh9,1617235200,ふわくん\Fuwakun,0, @Arecsia  ありがとうございます！
Ugxtk_B8xQkn6TrWyFt4AaABAg,1617235200,Aaron Pedrajas,0,When was rushias b-day agai?
UgyBo-AyPpJQUJ-LwFV4AaABAg,1617235200,peyj,0,I came here from a vid of a japanese girl and people theorize that it's rushia's old channel 'cause of her voice. And goddamn
UgyBo-AyPpJQUJ-LwFV4AaABAg.9IKT_z_A6BW9IMRU0DHKZ4,1617235200,Rizanisya Putri,0,Yeah me too
Ugya2Fu3AWql1zmF3n54AaABAg,1617235200,ぜりー,0,"犬鳴トンネルは内容知ってたんだけどるしあの反応のおかげでめっちゃ楽しかった！怖がってるるしあには申し訳ないけど、良い…悲鳴でした…:_きゅん:

ただ、蝋燭のところで急にハウリングしだしたり、マジで霊障やばいのでホラゲはほんとに封印＆真面目にお祓い行ったほうがいいかもしれません:_あせり:
自分は霊とか全然信じてない方なんですけどそれでも心配になってきました…"
Ugy4KB6J8qlvJNvGxJV4AaABAg,1617235200,カニマサロ,0,叱られたい
Ugz8x9ty4_VtQ7vH1zl4AaABAg,1617235200,MS‐06FZザクII最終生産型,1,"ある知人が聞いた話だけど、恐山の樹海に入って取り憑かれちゃった人の話を聞いたことがある。（数年前の話）
幽霊とかが実際いるかは知らないけど、「憑かれやすい」って人がいるのは現実の話。

るしあちゃんの「心霊スポットに行かない」という判断は正しい。"
Ugw3Cwat49ONqLCvU014AaABAg,1617235200,Kaos Dantes,1,No entiendo nada pero está chido el vídeo
UgzLEvajBiq9Y1UFwUp4AaABAg,1617235200,aoi Fuse,0,魂からでる絶叫がすき
Ugw4MbDp8jI9h2rkDb94AaABAg,1617235200,ベルキュー,2,"2:03:12 自分
臨兵闘者皆陣烈在前(りんぴょうとうしゃかいじんれつざきぜん)"
UgxROYbUj-4R05gQHft4AaABAg,1617235200,Karma110,6,I like how Rushia is scream first question what it was later.
UgxrYuY0kNwe9iAXicB4AaABAg,1617235200,緋米婭Himiya,1,るしあお姉さん~お疲れ様　live回放中
UgwbXrPTuM-a2iTqSQV4AaABAg,1617235200,KisseAkiYu,1,Watching Archive
UgzK-AdgvWWjfaW2Qth4AaABAg,1617235200,カマチー,0,"るしあちゃんお疲れ様！
ホラーナイスファイトだったよ💪"
UgzT5AUsqHMPOpMyYwV4AaABAg,1617235200,ふぃん,2,6:30 自分用(  ´꒳​`  )
UgwYoRBTzMOYGrjfzdp4AaABAg,1617235200,たぬまゆう,0,お疲れさまでした！素晴らしい動画有難う御座います！
UgzfD5HfjtY1LRm-RVl4AaABAg,1617235200,ゆ♨️,0,"思ってた以上に怖いゲームだった…
るしあちゃん本当にお疲れ様でした！"
UgzA3g9F0bTnBEPG5jV4AaABAg,1617235200,Weiss Rice,13,Rushia is my medicine for depression
UgzuXJebN7cG-IlD6cN4AaABAg,1617235200,"04, Neo Andres",1,Btw guys where can I watch it with subtitles??
UgzuXJebN7cG-IlD6cN4AaABAg.9IIF9rKJymd9IJVkUBiPHV,1617235200,Simon Hauser,1,"create the subtitles on your own by studying japanese lol.                                           no sorry, i don't even understand 5 percent of what she says myself so legit question..."
UgzuXJebN7cG-IlD6cN4AaABAg.9IIF9rKJymd9IL6m-D4NrA,1617235200,Space Wargamer,0,"There are channels that sub the videos, its weird to see one that subs it completelly however"
Ugxs1TJ33LJBZDedWSp4AaABAg,1617235200,夜勤りん ご,0,"配信ありがとう〜！
るしあちゃんすっごく頑張ってた…！
ゆっくり休んでね🦋"
UgxZXNG3WSba67O6pa54AaABAg,1617235200,ラーメン,0,Sorry I late
Ugx7g9f1VVHHAPgWZb54AaABAg,1617235200,『Krønøs Prøductiøns』,1,"Memelords,get to work."
Ugx-f8ShLKuFbj7NZh14AaABAg,1617235200,メランコリィ!,65,"2:30 開始 / start
2:55 新PCの設定がまだ / I haven't set up my new computer yet.
5:19 メンバーラッシュ / membership rush
9:37 昨日非公開でテスト放送した / I did a private test stream yesterday.

13:46 ゲーム開始 / game start
15:50 強行突破を試みる / attempt a forced breakthrough
16:30 ビックリ① / surprise①
16:44 ビックリ② / surprise②
19:51 トンネルへ / enter the tunnel.
24:58 今日あった怖い話 / a scary story that happened today
25:40 明るさに感動 / impressed by the brightness
26:20 主人公はyoutuber / Main character is a youtuber.
29:40 悲鳴① / scream①
30:37 忍者？ / NINJA？
34:08 悲鳴② / scream②
37:00 悲鳴③ / scream③
39:07 お歌 / sing
40:06 トンネル脱出 / escape the tunnel
42:06 ビックリ③ / surprise③
42:26 なにこれ！？ / What the hell is this?
45:20 なんかいない？ / Is there anything?
47:37 時計動かす実況 / Live clock movement
50:18 お風呂中のふぁんでっどに向けて / to the fandead in the bath
56:04 完全に理解したるしあ / I understand completely.
58:53 時計攻略完了 / clear the clock problem
1:00:16 やばい / yabai
1:01:16 悲鳴④ / scream④
1:09:22 アイテム発見 / item found
1:13:04 なんか聞こえた / I heard something.
1:15:46 電話ボックスにおかえり / Welcome back to the phone booth.
1:17:06 車発見 / car found
1:19:00 ビックリ④ / surprise④
1:25:12 悲鳴⑤ / scream⑤
1:25:38 ノイズに張り合うるしあ / Rushia competing with noise
1:40:50 短い灯籠発見 / Rushia found a short lantern.
1:43:50 井戸クリア / clear the well
1:46:39 道路に出た / I'm on the road.
1:47:32 悲鳴⑥ / scream⑥
1:48:35 エンド / end
1:52:02 ED / ED

1:53:26 ED後トーク / talk after ED
1:56:48 スパチャお礼タイム / superchat reading start
2:27:40 ED / ED"
Ugx-f8ShLKuFbj7NZh14AaABAg.9IID5nd15UG9IIMNe7OSZ0,1617235200,Fairenard,0,Very Nice Ceasar-san
Ugx-f8ShLKuFbj7NZh14AaABAg.9IID5nd15UG9IJPm3qUgfU,1617235200,ACR,1,ありがとうございます
Ugx-f8ShLKuFbj7NZh14AaABAg.9IID5nd15UG9IJbD3v5klR,1617235200,カニマサロ,1,All right
Ugx-f8ShLKuFbj7NZh14AaABAg.9IID5nd15UG9PC77Ty3xbU,1625097600,Karlolo,0,Arigatou
Ugy8fXZjwr_8Zr0gz914AaABAg,1617235200,Eileen Vehembrist,5,Lmao comedy gold 30:47
UgySGlcAlNiJCv0-l4F4AaABAg,1617235200,Morales モラレスCarlos カルロス,0,今日、恐怖が私たちの心を引き継ぎました。😮 この信じられないほどの配達をありがとうございました。 とても楽しかったです👏👏👏👌👌
UgzuVSrFJxY2l5KxXNp4AaABAg,1617235200,GravityHurts,4,I might start using Rushia's scream as my everyday alarm clock. Having such blessing to start the day will led to a great day.
UgwBPfMsjQSRkF55TW14AaABAg,1617235200,煉夜,0,お疲れ様❗大変でしたね❗
Ugy5c4HUfRwOGCptLnB4AaABAg,1617235200,あるか,1,"2:15:02 自分用
るしあちゃん連呼ありがとう:_おこなのです:"
UgwZ_EufT6pJeqNqAip4AaABAg,1617235200,Nexcell Pride,1,"A worthy gameplay... ""Inunaki Tunnel"" :_ちょうちょ:
As gameplay is too new, many surprises were present... But game also was a total mystery.

Let's see... It's a puzzle and recording... One part I couldn't understand: the clock at 4:00 a.m. (Or p.m.?)

And Supaachaato Orei Time went too interesting, despite today was too lazy at activity... Maybe it's Saturday and at least Sunday... First January's weekend... New Year celebrations are over... Everyone is resting. :_きゅん:

2:07:23, 2:18:20 and 2:23:31, Personal Marks :_るんるん: Itadakimasu‼️"
Ugzo3yETppsSGAPV1NB4AaABAg,1617235200,まお,0,暗いしびっくりするところ多くてめちゃ怖かったね…！最後までやり切れて凄い！
UgyG3IqCAkOx15KDES54AaABAg,1617235200,Show,3,Thank you for the stream Rushia ❤️
UgxEgHtexXk5ByEfO394AaABAg,1617235200,Sharky Gawrrr,9,"Thank you Rushia, our ears are blessed with you.
Warning:Bless your ears
29:45
34:10
42:03
1:01:20
1:25:18
1:47:37"
UgxEgHtexXk5ByEfO394AaABAg.9IIBMcnAvS29IIGN7KxULO,1617235200,はあちゃまの ぼにゅう,1,"If no one is clipping this.





Edit: (wait for it)"
UgxEgHtexXk5ByEfO394AaABAg.9IIBMcnAvS29IIMGbXUmuf,1617235200,Sharky Gawrrr,1,"I'm waiting for a loyal clipper of Rushia named Soju translate.
He does only Rushia and just Rushia, watch his chanel for never enough Rushia moments for you.




Bu-ruhhh"
UgxEgHtexXk5ByEfO394AaABAg.9IIBMcnAvS29IIMXAb8kZ4,1617235200,はあちゃまの ぼにゅう,1, @Sharky Gawrrr  you can literally see me commenting on every videos soju makes. He's our priest from the rushia cult.
UgxEgHtexXk5ByEfO394AaABAg.9IIBMcnAvS29IINPoHBKJ1,1617235200,Sharky Gawrrr,1," @はあちゃまの ぼにゅう  yea I saw you on every clip he made, wait I think I wrote it wrong.
I actually saw you everytime but I think my comment got it wrong. Oof, Sorry about that
And I can see you also comments very fast, keep it up"
UgyWxeOO1ZsFoY_1Xu54AaABAg,1617235200,ベタワっ!,0,るしあちゃんは今日も頑張った！
Ugy3YpY3aLyC10vYYAJ4AaABAg,1617235200,AJ Manongsong,0,so basically a screaming stream 💀 BLESSED
UgxxFIlBW1pwjjqErJJ4AaABAg,1617235200,ひなみざわ,28,1:40:13 カッコ良すぎて惚れた
Ugxt-of0xq4cCkYoik14AaABAg,1617235200,"fire,",0,"お疲れ様
久々のホラゲー怖かった～
けど楽しかったよ。いつもありがとう"
UgyIms-HouYeEsQb0il4AaABAg,1617235200,Redan Kenneth Uy,80,"16:32 人形からびっくり Surprised from doll
17:20 人形が立ち上がった Doll stood up
29:45 逆さまにぶら下がっている Hanging upside down
34:10 地上の死体 Dead body on ground
37:03 車のエンジンが突然始動する Car engine sudden start
42:28 地上での執筆 Writings on the ground
56:08 時計を動かす Moving the clock
59:04 時計が鳴った Clock Rang
1:00:18 公衆電話ボックス Phone Booth
1:00:26 電話に出る Answering the phone
1:01:20 電話ボックスに何かが当たった Something hit the Phone Booth
1:06:04 水中で自分の足跡から驚いた Startled from own footsteps in water
1:19:02 犬？ Dog?
1:25:17 突然の高音 Sudden high pitch sound
1:47:37 バッドエンド Bad End"
UgyIms-HouYeEsQb0il4AaABAg.9IIAHOLCeK89IIRz9AAsM8,1617235200,RIE.月代 理恵,0,nice tag Thanks
UgyIms-HouYeEsQb0il4AaABAg.9IIAHOLCeK89IIpB2-RrYS,1617235200,Aloloy,0,ears blessed
UgzpmGnpgBv9uS2aS1J4AaABAg,1617235200,Hololive Cut,99,30:47 Rushia interrogating a dead body
UgzpmGnpgBv9uS2aS1J4AaABAg.9IIA8FZz2u59IIhYTYnDdW,1617235200,Crilled Gheese,1,you must be new here
