id,timestamp,author,likeCount,text
Ugxd2_fQU1V288Naoe54AaABAg,1648706400,Samoth Wang,0,"Thank you, Rushia.
Thank you for everything.
We'll never forget you.
おつるし!"
UgwcnkMobYhez_KtpTd4AaABAg,1617235200,HA RUKI X,0,どこであなたのストリームを見ることができますか？
UgxnbbfHjCCVdRnVV3B4AaABAg,1617235200,DoG_Go,0,no entiendo nada
UgyHw7ziwwDfHLDS9eh4AaABAg,1617235200,しぎー,1,どなたかスパチャ読みしているときに流れているBGMの曲名わかる方いませんでしょうか？
Ugz2RrJB74kM2rkp1qB4AaABAg,1617235200,ら。,1,32:30自己紹介ですね？とても上手だと思います
Ugy9ODS7CBNTtRtDXy54AaABAg,1617235200,Ryan Nguyen,4,2:40:08 Solution: Makes your brother even more embarrassed.
UgxqRnLrHkTKd_hJPeB4AaABAg,1617235200,Madame Ghostie,2,"I love this BGM, anyone have a source?"
UgxqRnLrHkTKd_hJPeB4AaABAg.9FS616JaSA59FW8Kc3FoZ9,1617235200,TheMotionSoft,0,You found it?
UgxqRnLrHkTKd_hJPeB4AaABAg.9FS616JaSA59FWmlYhtZB0,1617235200,Madame Ghostie,0, @TheMotionSoft  Not yet.
UgxQiKR7NqWq1cAcRKN4AaABAg,1617235200,ZeroToHero,1,We Will remember you Joseph
UgwtZ4iOh2YAWbqeBQF4AaABAg,1617235200,Audio Kajian,0,I want screaming asmr... Rushia please read it! Daisuki
UgwtZ4iOh2YAWbqeBQF4AaABAg.9FQSO9vfk2N9FQemee_1x_,1617235200,YT C,1,"40:08




You can thank me later"
UgwtZ4iOh2YAWbqeBQF4AaABAg.9FQSO9vfk2N9FQjP5zvoZW,1617235200,Audio Kajian,0, @YT C  i need it in asmr mode too... Lol
Ugxr1K9uUkj6KvJZt614AaABAg,1617235200,新人潰しのトンパ,2,コメ欄チャット見て見てキモすぎ
UgxMc75pPICCCbhj8J54AaABAg,1617235200,planetsector9,0,"LOL Watame poisons Miko at almost the same time Rushia poisons Subaru, just a little earlier, what a coincidence"
Ugx_2ML_zjlZC5_N2Vt4AaABAg,1617235200,焼きたてエッグタルト,7,3:37:36 自分用
Ugx_2ML_zjlZC5_N2Vt4AaABAg.9FPSqsJ2rB99HYc0X4D7cF,1617235200,野菜ジュース,0,おめでと！
UgyexiFcP6NGGbjpRrF4AaABAg,1617235200,Aakash Shrestha,1,btw whats the name of bgm?
UgzorgD4p6kxiX8WLRV4AaABAg,1617235200,Pepet ng Multo,4,これは私の提案ですが、ライブストリームの終了後に英語の字幕を付ける方が良いと思います。それは間違いなくチャンネルに利益をもたらします。
UgzRX7U9673WYnC9FLh4AaABAg,1617235200,IdkNulliguess?!🤔,0,SIMPS
UgxaFHAjGdkK-LZmS954AaABAg,1617235200,Arcmen,1,Rushia use fence with carpets to trap the zombie down below if you want to do it again.
UgwF95xbspxyUU6sGUR4AaABAg,1617235200,asa gao,21,40:08　このキョトン顔、最高のリアクション
UgwF95xbspxyUU6sGUR4AaABAg.9FOociO2XLL9FQeXEPMDts,1617235200,YT C,1,"Thanks JP bro, this is blessing"
UgxeGiqM9ofDwAWh35l4AaABAg,1617235200,Flying Nat,1,"Does anyone know what the intro bgm is called? I really like it, and I wanna play games to it as well. Thank you to anyone who finds it."
UgxeGiqM9ofDwAWh35l4AaABAg.9FOlfEpmgIe9FQeeiH8fna,1617235200,YT C,1,Apparently it's specificly made for Rushia
UgySTFK-iqAEGbRNeVV4AaABAg,1617235200,Diize,0,RIP Tamaki
UgyGpyw124x2kWU3e114AaABAg,1617235200,Anonim Anonimus,1,U know i am crying :(
UgzxgVvBvcoA0VlPLdZ4AaABAg,1617235200,bottle o' games,1,I want to know the bgm
Ugz7NLEuP4U790TFOm54AaABAg,1617235200,alice,1,"お家が素敵な感じになって嬉しい
リフォーム完成が楽しみ"
UgyqB6IE7Z4OB8qR6iZ4AaABAg,1617235200,ヤシロ犬丸、,8,"57:24
1:00:47

るしあ嫉妬"
UgwOGcEHU8KJcVJ4oWh4AaABAg,1617235200,Eka Aprilia,2,I love how her expression change really fast from rage to surprised pikachu face when she fell in 3rd dungeon
UgwCZuDnI8Up0nkFsJ54AaABAg,1617235200,T Circle,1,"深夜配信お疲れ様。明日は仕事のため、配信を全部見ることができません。仕事が終わってからアーカイブを見ようと思います!

Thank you for the midnight stream, Rushia!"
Ugxny-kz5GFgLyhtaVx4AaABAg,1617235200,ろいろい,2,"途中で寝ちゃったからアーカイブで見たよ😌
こうゆったりと建築するの楽しいよね
スバル先輩にイタズラしてるるしあちゃんがただただ可愛かった(*´ω｀*)"
