id,timestamp,author,likeCount,text
UgxNPiy3UJ3gUydCGwx4AaABAg,1648706400,Samoth Wang,0,"Thank you, Rushia.
Thank you for everything.
We'll never forget you.
May PekoRushi's friendship last forever...
おつるし!"
UgyqdiRw1NURnl3m8294AaABAg,1648706400,Yogurt,1,"配信当日に日本語が理解全くできなかった。今でも難しいけど大体できたから嬉しい、本当に楽しかった。この二人まだまだ見たかった…

おつうーぺーるーぺー"
UgymCnPDME-jqY8UPHh4AaABAg,1648681200,Pekora Cutest,0,😭
UgycsVG_bhw-Y7WGA3d4AaABAg,1648512000,しろわっさん,0,見た
UgzRbgbs9OX_5kLE8EF4AaABAg,1648425600,COCO o7,0,o7
UgwYq0o78ZQRii5PBmV4AaABAg,1647820800,donaco.どな子,3,やっぱりこの二人よ
UgwfpxPJ5N2p8X2n89J4AaABAg,1646352000,ソフィアアルライネ,9,こうやって昔の幸せに浸りたい…
UgyXb5js1iwIDgljWMV4AaABAg,1643673600,ぜりー,0,"初心者同士のアソビ大全面白かった！
るしあがオセロで勝つところ初めて見たわ…いつも謎の自信でイキリ散らかして負けてるところしか見てなかったから感動した"
UgwL-D2MH7LrPkvXrrR4AaABAg,1635724800,わーはら,1,なに止まってんだぺこら！！！！を発見した
Ugx2Q_Y2Hvif5lY2bM94AaABAg,1630454400,全ロス,1,こんぺこー
UgwOV0BsfWug6TFohAx4AaABAg,1630454400,ガチャン,1,るーちゃんぺこちゃん最強やな今はマイクラていてい❤️
UgwoNwlRkelwm03_TuF4AaABAg,1630454400,ジェシャン,1,"アソビ大全めちゃおもろいねwwるしあのオセロは強すぎる、さするし！
ヨットの最後は惜しかった~"
UgyCgxnfYF-tbPBjTZ94AaABAg,1630454400,バーニングバーマン,0,44:08~のるしあジワるww
UgyjqJ7qxh-myRebdrd4AaABAg,1630454400,ミルクのポン氏,1,神経衰弱で足し算引き算するのなんでや笑
Ugwp6EMthYLW38nCJhd4AaABAg,1627776000,フィル,0,"ぺこらやっぱ運いいなあ
ギャンブル強いわ"
UgyEZkqLdonjmMxKNDN4AaABAg,1625097600,ウィーくん,0,おいサムネのぺこら大きすぎだろ！Cはあるぞあれ！盛ってる！
Ugxtsy_oEDNF4RhLSjB4AaABAg,1625097600,ねこみ.,3,"33:30
ぺこらにこれぐらい注意されたい"
UgzOJv_HqLZG5MvlUk14AaABAg,1625097600,銀炎の翔太,0,弱い者苛め駄目だよぺこらちゃん。
UgwskQT2i_0fvRCuvWp4AaABAg,1622505600,G A,1,何やこの微笑ましい配信w
Ugx7S8UQ9ZQXF_GsVP54AaABAg,1622505600,Mashiro,0,33:33 와!!!!!!!!!!!!!!!!!!!!!!!!!!! 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
Ugxp6s2AcUfS7ytKEz94AaABAg,1622505600,Mashiro,0,와 루시아 야추가 있네!
UgzkpZbNFUCnmFN4khd4AaABAg,1619827200,ゆうなぎ,3,"海外勢が
狂った笑いvs狂った叫び
って言ってて笑った"
UgzVxJoXUmnzDXA-0vZ4AaABAg,1619827200,ナナバッハ,49,8:30 例のMAD素材
UgzVxJoXUmnzDXA-0vZ4AaABAg.9LwuqJ6dtoP9MifsMLCSvz,1619827200,ニャルラトオデブ,1,あの今話題のシン・エヴァンゲリオンですねわかります
UgyVfRkHYM5HKIuolit4AaABAg,1617235200,3歳児【雪民】,0,ストレートは狙うものではない
UgwPNbyTMEzAJYOPe_x4AaABAg,1617235200,Aーと,2,なにとまってんだよぺこら！ここにあったのか
UgwPNbyTMEzAJYOPe_x4AaABAg.9JAoN2jP6Rd9QoCiSvmxUb,1630454400,ぺったん,0,8:32
UgwkSHe_joX_ISNaJgh4AaABAg,1617235200,ぴっぴどん,0,このハッシュタグ間違えてたんか
Ugz9uGceBHIGMcPWAlh4AaABAg,1617235200,メガネフィッシュ,0,ちょっとボコってしてるまな板と完璧なまな板が何してんだろうw
Ugxp8UFxC0PcJcy8KQZ4AaABAg,1617235200,yu yu,2,ぺこるしの姉妹感やばない？
UgxowhAaXime0fu174R4AaABAg,1617235200,まっこじっきー,4,44:15　余っと出されたときのるしあの顔ｗｗ
UgxpZTvat0RIxq-dbNF4AaABAg,1617235200,マムシ,0,"ｱ""ｯｱ""ｯｱ""ｯｱ""ｯｱ""ｯw"
Ugytyt1nv2uoFfkj04x4AaABAg,1617235200,Kaiカイ,0,サムネのぺこらがアレだと思った
Ugx0RoBqTgyNnWgESUZ4AaABAg,1617235200,v pika,14,8:32 何止まってんだよぺこら
Ugx_AovF3glgz1erdJV4AaABAg,1617235200,Noah :cutout,1,18:55
UgwW1YH9t1CgmByJ44t4AaABAg,1617235200,抹茶レモン,2,"ヨットの時コメント欄が1残すか捨てるかで軽く争いが起こってる…w
みんなガチすぎて怖い(￣▽￣;)
僕はもうこの可愛い二人眺めてるだけで満足だからどっちでもいい勢w"
UgxHavlupWsANIPvs594AaABAg,1617235200,ike ryou,4,"るーちゃんの煽り可愛すぎてヤバい
この2人のコラボええなぁ"
UgzdQCfwZ3bgjvoGFCd4AaABAg,1617235200,名無しの華水樹,1,最初からかわいい
UgyDUYLa2yMDUqEbdbt4AaABAg,1617235200,Suck_At_Aiming,1,pain-peko
Ugz0EaAsxyNSEwm5WYd4AaABAg,1617235200,MISTOLD,1,pekora best girl
Ugy1SYRSVa2Z8nb5-pR4AaABAg,1617235200,ピピピッピ,9,サムネのクオリティが高い！！
UgxDK0MSXddafKviJ2p4AaABAg,1617235200,Trom be,36,"18:57 あ""っあ""っ""！あ""っ""あ""っ""あ""っ""あ""〜！（ネクロマンサー特有の笑い声"
UgxeSgCtBn-mEF-pBs54AaABAg,1617235200,アシスタント!!,1,さすがに、トランプの11、12、13は覚えよw 
UgxCS7OfuOr-_-2TCzp4AaABAg,1617235200,Hakan Çakıcı,8,30:07 neee
UgxqkDQP4DBlCFikvaF4AaABAg,1617235200,かるぼ,5,ぺこらマジで運すごくて笑うw
UgzZmOzXzXEdd-m_U5Z4AaABAg,1617235200,るしあG CUP 9999% BOING BOING,0,"whyyyy still has vietnamese spam 
i am vietnamese and i want to sorry about vietnam spaming if i saw some spam ill do somtin bad with them :))"
Ugy7uKwxVobmDl63k7R4AaABAg,1617235200,もふもふ,5,ペコらとるしあのポンコツ具合がたまらなく好き
UgzFXCjOWb1FreViRN14AaABAg,1617235200,佐野琴音,0,プレミをちゃんと教えるぺこらの優しさ
Ugzp9pLyvJXVg8LatEV4AaABAg,1617235200,いっちゃん,3,"るしあちゃんはトランプを知らないのか…
トランプって複数人で遊ぶ物で…あっ…"
Ugz1V22Lwf5Yzw8CB8V4AaABAg,1617235200,たいちゃ,0,どっちも下手すぎわろたw
UgxvUAqBqlTwhsFZDUx4AaABAg,1617235200,睦月双葉,22,"るしあがウサギと猟犬選んだ時、
コメ欄の野ウサギたちが一斉に「あ・・・」ってなったのが面白すぎたｗ"
UgxMsRXdK4xtkq3Q4kh4AaABAg,1617235200,睦月双葉,4,ぺこーらって本当に笑いの神に愛されてるなあって思う
Ugy77NawveNE5nVN4Qp4AaABAg,1617235200,はるかな,19,考えに考えて角を献上するぺこらに草生える
Ugy77NawveNE5nVN4Qp4AaABAg.9CVsvzo8E6k9NTIEzUGhAA,1622505600,まみむめも。,3,"""兎に角""勝ちたいが故"
Ugwrg-GGw7Vb_UzKVRx4AaABAg,1617235200,きびじゅん,0,"ぺこるしめちゃくちゃ好き
ぺこら豪運すぎて怖い"
UgwJrgMjzkUSW1yj_uh4AaABAg,1617235200,木村健一郎,0,足軽の立ち回り見せたれよ笑
UgxS2Qok_ZOfIVmpWsZ4AaABAg,1617235200,木村健一郎,0,"爆笑
言ったれよ（笑）"
UgzSc4p65esDxC0X_gB4AaABAg,1617235200,かっぺー,0,サムネぺこーら胸ちょい大きすぎない？
UgyMbpzJ2npBqLYtfd94AaABAg,1617235200,Arikuloli Pekoyo,0,Konpeko~!
UgxWqWYsZgEkbhh67MZ4AaABAg,1617235200,加藤学,0,アソビ大全、初めてのプレイが３期生の、それもぺこーらということにてぇてぇものを感じてしまう。
UgwBRSSHMQmnX3ydJMR4AaABAg,1617235200,Yến Phạm,0,Hello
UgxfqgKQxtxJgK56EGd4AaABAg,1617235200,張恆瑜,0,44:05 pekopekopekopeko
UgxOUOcAoATRVOGjO5Z4AaABAg,1617235200,Auruora,0,tfw they don't employ the strategy of picking the same card again in the concentration card game to force the other player discover new cards
UgxvpNBRW9MBfbgw7cx4AaABAg,1617235200,Ty,0,Peko isn’t that big
UgwtdCJvHD1CKp4OtSh4AaABAg,1617235200,ピピピッピ,0,殴り合いかと思いきや、あまあま仲良し配信でしたね！次回、ルールを把握した状態でのヨットリベンジにも期待しています！！
UgyFy8YMYwGLdKzfe9J4AaABAg,1617235200,Nguyen Nguyen,0,Cute =)))
UgySm_cMmjuCj-rgKq14AaABAg,1617235200,高校21年生,14,ぺこるしは二人のレベルがちょうど合ってる
UgzWXun-per3DTqTxPt4AaABAg,1617235200,雪だるまになった謎の生命体【凛】,0,"配信お疲れ様でした〜(*´ω｀*)
0:26開始"
Ugxx9uwuQTyn53ZVSUh4AaABAg,1617235200,46 62 65 68 75 42 78 75 68,0,Sad I missed this collab :c
Ugwv_0ueyRjWNPm_XZt4AaABAg,1617235200,Jack anko,0,ほんとぺこらの運ゲーの強さどうなってんだ・・・ｗ
UgzzoZ2E8VcYIHrRU_Z4AaABAg,1617235200,おみさん,1,ペタンコラボ
Ugyq52Jk7nN6JQJZ3sZ4AaABAg,1617235200,てゃい,0,"ヨット戦のぺこらめっちゃ優しくて草
良い子出てんね"
UgxHKNbxdQvctRr7xWR4AaABAg,1617235200,啓司,2,この二人ガチてえてえ(*ﾟ∀ﾟ人ﾟ∀ﾟ*)♪
UgycJwZJyncjsC4fwQ94AaABAg,1617235200,Lon,1,"ぺこらめっちゃ優しいぺこ
説明も物凄く分かりやすいしサポートも完璧ぺこな"
UgzKszJV64agoBZh1wR4AaABAg,1617235200,9/5 nguyen thien tin,0,"Well I'm think ...... Hmmmmmm well ........ Hmmmmmmmmmmmmmmmmm 















Lol I don't have anything to say














 Welp if u read my comments h willl see nothing 





















KING CRIMSON IF ANYONE WATCH THIS COMMENTS TELL ME SO I DELETED IT thx"
UgyUDUazf9PW_VNgoix4AaABAg,1617235200,Sulthon Ajuna Reyhan,4,15:33 the most villain laugh i ever heard
UgxWQZnxoIOX069yNwV4AaABAg,1617235200,MomonKusa,4,"Crazy laugh vs crazy scream

Pekora and rushia really make me kusa the entire stream"
Ugy9ovEiayzp4PrFCuh4AaABAg,1617235200,Kamineko,0,como me encanta el pekorushi
Ugxufn1bjGMUu84EOjV4AaABAg,1617235200,Hưng Ăn Hành,0,Peko?
UgyflqU70C-SWadXPnl4AaABAg,1617235200,Rudesaka Çeviri,1,HOLOLIVE YAYINCILARININ KOMİK ANLARINI TÜRKÇEYE ÇEVİRİYORUM KANALIMA BİR GÖZ ATAR MISIN <3
UgwZosVJ5EwzxhEQ7ip4AaABAg,1617235200,Tact,0,Rushia is a secret Othello Master?! <3
UgwM5j8dK46JH4fR9qh4AaABAg,1617235200,フェニックス鈴木,7,3期生チビ組たすかる
UgzZBppn8Oqk8KqV0j14AaABAg,1617235200,リンリン,0,るしあ盛り上げるの下手やなwいつもすげぇ空回りしてる
UgwoRJjid5-jea3fIJx4AaABAg,1617235200,KurgKnyanK [ID],18,"Its been a while i ever seen Rushia at her true bright smile and laugh.
Good for you Rushi, Peko-nee chan can play with you again."
Ugw8gfCcawbEZWAeu4t4AaABAg,1617235200,Lightning NaruCammy,3,I could only watch for a few seconds and I'm sorry I just started college for the first time and I'm kinda scared of having a roommate but hopefully Rushia's Streams will get me through this unique college life.
Ugw8gfCcawbEZWAeu4t4AaABAg.9CLvqNhy3s69CMASfPcToX,1617235200,46 62 65 68 75 42 78 75 68,1,"Having a roommate can be a very nice experience, I hope your new situation becomes something positive for you c:"
Ugwll_0Y0pKVhiO1jpd4AaABAg,1617235200,無職の旅人,0,るしあ音割れやっば
UgwU5k5XqgeptTYNauB4AaABAg,1617235200,お前よりはイケメンだけど,1,ルール知り過ぎるとイライラ厨になるから見るのしんどい。
UgwU5k5XqgeptTYNauB4AaABAg.9CLsmypNTe69CM3eCGN6qy,1617235200,ねねむい,2,じゃあイライラしないように見るの止めれば
UgwU5k5XqgeptTYNauB4AaABAg.9CLsmypNTe69ColkBwp-dt,1617235200,ペンガチャン,6, @お前よりはイケメンだけど  煽り運転して捕まっても、煽り運転をした自分を早口で正当化しそう。
UgxVVzjKva-iayv0EOd4AaABAg,1617235200,kurousa9i,25,47:53めっちゃあくあ
UgyBQMX_XxFW5QPCRsh4AaABAg,1617235200,WEI HUA,0,音圧が気持ち良い回でした。
UgxvBi3Oml5CY9fCrih4AaABAg,1617235200,mine,2,神回なんだよなぁ…
UgyVn19tkic-8EwH8rB4AaABAg,1617235200,柊,0,何回同じ失敗を繰り返せば治るのかアーカイブ見ます
UgyHHEUky-fLQjtDcG14AaABAg,1617235200,椎名まちお,18,"このコンビってほんと最高。
癒しだわ"
UgzG8ponET-Ip5Fh5JF4AaABAg,1617235200,"fire,",0,"うーぺーるーぺーおつるしでした。
るしあちゃんのオセロが本当につよつよでびっくりした。"
Ugz1RogQDgBUSMvb2kZ4AaABAg,1617235200,フローズンバタフライ,0,人気と不人気の差がわかるコラボだったな二人ともお疲れ様
Ugz1RogQDgBUSMvb2kZ4AaABAg.9CLe2gyQFID9ConBiuYPtZ,1617235200,ペンガチャン,0,ん？人気(ホロライバー)と不人気(フローズンバタフライ)って事？
Ugz1RogQDgBUSMvb2kZ4AaABAg.9CLe2gyQFID9HkejWHG_GJ,1617235200,シャクティ,3,どっちもアホほど人気やんけ...
UgzZ6xOfnF8y4o-RYl94AaABAg,1617235200,ちょむ,36,"ぺこるしは最高にすき
バチバチバトルだったけどなんだかんだでお互い優しいんよなぁ〜
またコラボ待ってんで(｀･ω･´)ﾉ"
UgyM9m4ax-vO0Icej_14AaABAg,1617235200,Charalito,0,Que bonito! Kawai!
UgwSz0egfoKlGCEHYG14AaABAg,1617235200,マーボー,9,"るしあちゃん上手い下手がハッキリ分かれ過ぎてて笑ったw
でも下手な時はちゃんとぺこーらがサポートしてて微笑ましかった"
UgxcyB9tbEV7pP5Jlpd4AaABAg,1617235200,ななけん,0,ホロライブって基本みんな頭悪いよね
UgxcyB9tbEV7pP5Jlpd4AaABAg.9CLYkV0XA_Y9CMJJ5OuqDx,1617235200,ななけん,2,こいつはたまらん そうだね。反省するわ。
UgxcyB9tbEV7pP5Jlpd4AaABAg.9CLYkV0XA_Y9CSqA0CDrXc,1617235200,ああ,3,"知識はあるとは言えないけど、頭は良いと思う
自分が何を求められているのかを理解していて、そこからはみ出るような事は決してしない
そこをわきまえない配信者は人気が出なかったり、出ても炎上騒ぎを起こして消えたりする"
UgxcyB9tbEV7pP5Jlpd4AaABAg.9CLYkV0XA_Y9ICe-TMImNk,1617235200,シャクティ,0, @ななけん  反省の瞬発力高くて草
Ugw-JQ9ehHp00LeoiNp4AaABAg,1617235200,sake,0,ヨット兎さん汚くて草
UgwpiUX6zx3ZuTYVXXt4AaABAg,1617235200,Jon_Thenightwatch,0,Lmao Pekora having war flashback against Marine with that dog-bunny game
Ugy0WrVQ7HxkS8YRb4F4AaABAg,1617235200,しわしわビニール,39,"41:36
ここからブリーチのトークが始まるの本当に草"
Ugy-VzS6HPCVWyGQ9RV4AaABAg,1617235200,ChaCha Channel,6,"Isn't this cute of a collab, though I'm waiting for Marine reactions to this and maybe a certain trap's reaction too."
UgzTuyLKlRUeXopDQ9J4AaABAg,1617235200,GravityHurts,2,"I missed the stream completely T_T
And the one with Rushia x Pekora collab of all things :("
UgxHBHW2SiXwtXIBW9N4AaABAg,1617235200,ノワール,14,"10:39　スピードのるしあはポンコツだったけど
リバーシは余裕そうなうえに何気に4角取ってたのは草だった"
UgyRM2N5n6IuObiqTwN4AaABAg,1617235200,9/5 nguyen thien tin,0,I don't know Japanese so I just can say hi
UgyRM2N5n6IuObiqTwN4AaABAg.9CLSYgg0EiJ9MS8PPGHSIj,1619827200,ゆうなぎ,0,"nomal=konnichiwa
rushia=konrushi
pekora=konpeko"
Ugypz_HNYl5-96sjfZF4AaABAg,1617235200,Rohan !,27,"ぺこるしいいコンビだよなぁ～
豪運ウサギ、頭脳戦だとクソザコのぺこ、ポンコツるしあと見所たくさんあって面白かった！！！
また見たい！"
UgyKwq6XFx1GLmH9i-54AaABAg,1617235200,The Mad Salvi,0,"ah, i missed the stream. Was fun to watch on replay!"
Ugx9WOI9HZXy5mkorWp4AaABAg,1617235200,AsianJesus,1,smol gang is so cute
UgxvDFn1-w3aSeMI0bt4AaABAg,1617235200,Nexcell Pride,2,"Despite losing at last moment, Rushia also have her own style... But better moments of this stream were the too many laughters of Pekora (Crazy Laugh) and Rushia (Maniatic Laugh)"
UgxihWC-Hn8GX0QSZHh4AaABAg,1617235200,Malfegore_,0,"Smug Rabbit vs Grandma Necromancer

Sasuga peko~"
Ugy7ifZrF_Ej-ONPuB14AaABAg,1617235200,sin sn,0,"If Rushia played (2,1) at 18:12
Pekora would be 9 left
poor bunny."
UgxkwRtCMdhd-1mC8V94AaABAg,1617235200,ミルキー,97,ぽんるしあに優しくわかりやすい説明してからしっかり対等な立場で煽る辺り兎田の性格の良さにじみまくってて微笑ましかった。
UgxWZt0EhzWVE0rsgPt4AaABAg,1617235200,baus meat,2,sasuga pekora-sama
UgwFcr-wvZEX5hp9laB4AaABAg,1617235200,Maul Alfat,4,She made the same mistake with marine kuso peko 23:12
UgwFcr-wvZEX5hp9laB4AaABAg.9CLO3pIIre09CLQMmhEadX,1617235200,diego1marcus,0,sasuga perkora
UgwFcr-wvZEX5hp9laB4AaABAg.9CLO3pIIre09CLy8NSZoNq,1617235200,KurgKnyanK [ID],0,It called Pekora stance
Ugwyk-AiGoU5LTAlYNx4AaABAg,1617235200,Hoàng Vũ 46,0,Djtme wibu
