id,timestamp,author,likeCount,text
Ugxbglq3uzqxYXprpAN4AaABAg,1648731600,仮面ライダーKG,1,今までありがとう……るしゃ
Ugzi479zkp2LoCTYsul4AaABAg,1646092800,yameteee~,1,I love you rushia!!!
UgxtIgaUkiw0uia93xR4AaABAg,1640995200,納豆,0,家族想いなるしあちゃんに泣いた
UgxbaBSxUnb80w0rV2p4AaABAg,1640995200,とら ちゃん,4,"個人情報はほぼ漏れてるかと…
不明な郵便物、メールが届くなら早目に引っ越すことを薦めます"
UgxqOGxf0C3YrDwf2e94AaABAg,1640995200,クロ,2,"その手の業界のインフラをかじってるのでおひとつ
クレカの不正利用があったとなると、個人情報が漏れてる可能性があるのでクレカ停止（これはやっていらっしゃったので問題なし）とお引っ越しをお勧めします
あとは、各方面のパスワード変更や、PCのパスワード、ルーター等のパスワードの変更もお勧めです"
UgylspjYZKUSY3926Kd4AaABAg,1640995200,ちゃまるちゃ,0,:_おつるしのる::_るしあのる::_おつるしのお:
Ugy05qYLKTF4F4lYmFZ4AaABAg,1640995200,硫酸かな？,0,すいせいちゃんがるしあのことまな板っていってましたー（小学生のあれかつ事実）
Ugxm0dj1lT3NS2JbvEN4AaABAg,1640995200,カエルの香草焼き,1,"McAfeeが何回も動作するということは恐らく検知できないマルウェアがすでに入り込んでいてそいつが他のマルウェアをダウンロードしようとしてブロックされてるんでしょうね
Windowsサポート画面は最近はやりのサポート詐欺っぽい"
Ugxm0dj1lT3NS2JbvEN4AaABAg.9VXDPaK93Sx9WEZ8S_A93h,1640995200,GG GG,0,"ていうか、マカフィー入れてセキュリティ対策してたんかい、と色々不安にさせられる。
これ経由で他のホロメンにウイルス撒き散らしたらシャレにならんから早めの対策して欲しい"
Ugx8RI9f0QDoyLCY3RN4AaABAg,1640995200,Hoàng Nguyễn,0,You are so cute :'3
Ugw4vfXvlzjRRAP3hQZ4AaABAg,1640995200,ほちほちお,0,次は金コイキングが釣れるといいなー
Ugy6oC7k_iYtDyRmao14AaABAg,1640995200,Đăng Kim,0,Tôi nghe nói có đứa vào rep solo yasua nên hóng drama
UgzAOss1jt2oVeS4JwN4AaABAg,1640995200,ぴー,0,:_おつるしのお::_おつるしのつ::_おつるしのる::_おつるしのし::_なのです::_るんるん:
Ugw4il5bceHHAtvU95d4AaABAg,1640995200,SqeR Aqxly,6,マhoトに捨てられた女に貢いでる図滑稽すぎるだろ
UgxKDJqqCQLoELjj4Xt4AaABAg,1640995200,ふぶき姫♪,0,"149万人突破！
あと1万人だぁ☺️"
UgyfCjtUirhmu1T4Zax4AaABAg,1640995200,nooby,6,個人情報だけではなく会社の機密情報もあるわけで、普通の企業ならインシデント扱いなんよな。るしあの危機意識が低すぎるし、coverもしっかり対策してくれ
Ugzj7jly6tXEtlr3ZRZ4AaABAg,1640995200,しるふ,2,"かなるしてぇてぇ
色々踏んだり蹴ったりだけど頑張っててえらい❗

悲鳴
2:23:51

自分用
2:16:37"
Ugx56HF71SCILS_2Eix4AaABAg,1640995200,暗黒魔界のぉぉおおお ぉおぉぉおおおドラキュラデーモンサタンでびるショー君草www!!タマネギかw何,0,おつかれさまあああ
Ugxcn9SGUmB396sRaUN4AaABAg,1640995200,Leela,1,"Awww Rushia, I'm glad she seems happy here considering her loss 😔❤️"
Ugww0Q7Tqu9HqsmX2nN4AaABAg,1640995200,project dml2,0,23:00 chuu
UgwfLyAVXQBVaOZTQc14AaABAg,1640995200,john reye,1,still watching even though i can't understand a single word they said hahaha
Ugx0CGBKx7tZhZ5bTKh4AaABAg,1640995200,tang roro,0,"Why do I feel like these sort of things happens to Rushia a lot? She really needs to be more careful to her privacy, thank god she was streaming with Kanata when she found it out, even if something happened at least Coco is there, who's really good at these kind of things"
UgxhvN2KPyXUj78vnM54AaABAg,1640995200,That Filthy Weeaboo,2,"Rushia, keep in mind. You don't have to force yourself. If you need a break, we understand. A lot of us are pet parents too. We know what you're going through."
