id,timestamp,author,likeCount,text
UgyOSjkGp2m-9_ZpxQ14AaABAg,1648674000,張紘綸,0,:_るんるん::_おこおこ::_しょぼん::_ぺったん::_ちょうちょ::_ドクロ::_きゅん::_あせり::_るしあのる::_るしあの::_るしあのあ::_おつるしのお::_おつるしのつ::_おつるしのる::_おつるしのし::_なのです::_こんるーー::_ハート::_えはてな::_くさｗ::_ふぁんちゃん::_待機中::_おこなのです::_ばんっ::_どんっ::_サイリウム碧::_サイリウム紫::_大泣き::_やんでれ::_猫耳るしあちゅう::_猫耳るしあｚｚｚ::_ぴよこ::_姫るしあジト目:
Ugxc4ymlnaJJUsHUZBd4AaABAg,1647561600,Teaway,1,:_ちょうちょ::_しょぼん::_しょぼん::_おつるしのる::_おつるしのし::_るしあのあ:大好き
Ugxgp2o_gzRiib7mRMV4AaABAg,1646956800,Maple May,1,"She sings really well. Thank you Rushia:_きゅん:
(guess I won't have a chance to hear her sing again)"
UgzI6rbM35dij7akUyN4AaABAg,1646352000,Re:恋夢,4,今までほんとに:_おつるしのお::_おつるしのつ::_おつるしのる::_おつるしのし::_大泣き:今まで笑顔を本当にありがとうね！！！お元気で、
UgwRkvs5sfX_UueJyKR4AaABAg,1646092800,Kita🦋🌂,3,"今メン限全部見ようとしてるけど時間足りないよぉ〜:_あせり::_あせり:
早く心と携帯フォルダに留めなきゃ:_ハート::_ハート:
いつまでも応援するよ！:_おこなのです:
元気を笑顔をありがとう:_ぴよこ:"
Ugzu8F0Ieae5AO4p8Yd4AaABAg,1646092800,[Shinigami],4,すべてに感謝します！ 何が起こっても私たちはあなたと一緒にいます:_るんるん::_きゅん::_ハート:
UgzLycfvBx5fMq_s_JZ4AaABAg,1646092800,ビソ丸,4,メン限動画巡りでもしてないと落ち着かない。これ程好いてたんだなって気付く。
UgwKvXlqq9UJ1abmxk54AaABAg,1643673600,우마루,0,:_おつるしのお::_おつるしのつ::_おつるしのる::_おつるしのし::_なのです:
UgwohPmIRQRssKmyDit4AaABAg,1627776000,そそそ,0,:_るんるん::_おこおこ::_しょぼん::_しょぼん::_しょぼん:
Ugyr0YzuUokLGqQYIWV4AaABAg,1617235200,ぴっぴどん,0,1:20:00
Ugx6nbxRMt9QVe79ZDp4AaABAg,1617235200,さいだー,0,ハロハワユ　31:42
Ugy9Jy-CNL5t4QMEsmp4AaABAg,1617235200,折れたきのこの山の復元師,1,開始　1:18
Ugz8m1wH_lfjwvcQWDZ4AaABAg,1617235200,A H,0,:_ハート:
Ugy8tRU_RGiVfylS2ol4AaABAg,1617235200,しぐしぐ・る・ろーらんさん,0,2:28:00
Ugx2lmxydrplcw9UfYZ4AaABAg,1617235200,こはくん,0,"初めて生でメン限配信見たんだけどめっちゃ楽しかったよー:_おこなのです:
2時くらいに起きちゃったってコメントしたらちょうど寝てくれって言われてびっくりして逆に起きちゃったw
次の配信も楽しみにしてるね！！大好き:_きゅん::_きゅん::_きゅん:"
Ugy_luseUgANRnMDqR14AaABAg,1617235200,グレイ,0,るしあちゃんの歌声まじ好きです！癒されます:_きゅん::_るんるん:
Ugx6aAeXUTnDm_eRmCZ4AaABAg,1617235200,C-Tundra,0,Rushia's singing is too godlike! :_るんるん:
UgyS1ctlZXu99ep9OuN4AaABAg,1617235200,ペガサスナイト,1,ハピハロー
Ugx0VStDVadXVWTkisN4AaABAg,1617235200,祟。,0,"るしあちゃんの歌もダジャレも聞けてすごく助かりました。
2:39:56  これ使わさせていただきます。"
UgyXJT-ijhtrHW11a4N4AaABAg,1617235200,ホレスSSRB,0,Happy Halloween Guys ~
UgxtsGhzq4lFr0y5DI94AaABAg,1617235200,Hank,0,rushai お疲れ様
Ugwep71xxAb5kd6yGvZ4AaABAg,1617235200,Hank,0,:_きゅん::_きゅん:
UgwQPYlUm4wUztk8N2J4AaABAg,1617235200,ねくろまさお,0,"今日も安眠できたよ！ありがとー！
今日も１日がんばるしあ！"
UgzruxxC72Y-s4vChgt4AaABAg,1617235200,Staynight,0,Happy halloween ~~:_ハート::_きゅん:
Ugy8mSRG24bdFHiehJF4AaABAg,1617235200,Redan Kenneth Uy,1,"スーパーチャットの雨が止んだのは残念です。 I'm sorry the superchat rain stopped.
Youtubeが続けさせてくれません。 Youtube won't let me continue.
国の限界に達してしまいました。 I reached my country's limit.
止まったところで明日も続きます。 I will continue tomorrow where I stop.
計画性と準備がなさすぎ。 Too much planning and preparation.
今、手紙の行の一部を修正する必要があります。 Now some of the lines of the letter need to be revise.
Youtubeに阻まれているからといって、これを辞めようとはしていません。 I am not quitting this just because Youtube is preventing me."
UgzabniJieRyqCjrgFh4AaABAg,1617235200,ディアウスピター(ФωФ),1,全然スパチャ出来てないけど、読んでくれてありがとね‼️
Ugxajw7_iuPQyuTwZtJ4AaABAg,1617235200,drewsuismclovin,0,:_ハート:
Ugy8vYK1jXOudZYjoBZ4AaABAg,1617235200,まお,0,オラァ！るしあ！今日も癒しの時間をありがとう✨綺麗な歌声を聴けて幸せだよ🎶緩やかな空気で心地いいっす💺
UgzWWYzOTpzIRZNwg_V4AaABAg,1617235200,DrReinH,0,Happy Halloween Rushia:_ハート::_ハート::_ちょうちょ:
Ugw117VMWTntYTJLYs54AaABAg,1617235200,暇時free,0,"今日も素敵な時間をありがとう✨
るしあちゃんのお歌が聞けてとても良かったぜ👍️
とても楽しかったし幸せで癒されたよ～
いつもありがとう✨
るしあちゃん大好き‼️愛してる‼️"
Ugy4IVnagHNvKV0EjW54AaABAg,1617235200,いろは*,0,"おつるしー！

るしあちゃんの歌は聴いてて本当に幸せになれる😌✨

スパチャお礼の時の脱線雑談もすごーく楽しかった٩(ˊᗜˋ*)و

明日も楽しい時間にしよーね☻"
UgzeHBnQuwrwoS-vm4p4AaABAg,1617235200,kijiやまどり,0,"すごく楽しい時間だった！

やっぱりるしあちゃんの歌声は綺麗で素敵だね:_きゅん:"
Ugy6s3Khredd5nknxgl4AaABAg,1617235200,あめみや,0,"めっちゃ幸せな時間ありがとう〜るしあ
そしてこの名前つけてくれてありがとう〜今日から名ずけ親はるしあだ"
UgzlGs6VLVrQNv3M7D54AaABAg,1617235200,Doro,1,"Happy halloween, I hope you sing ""今宵はHalloween Night"" soon! > <"
