id,timestamp,author,likeCount,text
Ugy3QWb3HukJm-4bvJ94AaABAg,1648710000,Umiko,0,Rushia rap?!
UgxvcqSkpLHgWoOYKE14AaABAg,1617235200,Okita Souji [新選組の人],1,GPU Driver　インストールしていないのかな、わための場合みたいな感じ。
UgwhEkc8CA7H_HMkoOt4AaABAg,1617235200,Some Dude,0,2:23:36
Ugw6dHCzf0-grEMpDhh4AaABAg,1617235200,なず,0,1:41:05 自分用w
Ugwqk07rKmTffrMBi-V4AaABAg,1617235200,Ban Arkoy,0,"I love you Rushia, everytime I watch your stream, you complete my day. ❤❤❤"
UgxZPvkwTZ2J19McOMl4AaABAg,1617235200,FateOfUnity,0,Rushia Might not be boing boing. But she is still pretty girl. Big boobs fill a mans hands. But. Small boobs fill a mans heart!
UgwL_Tg8TDyYY_txoGl4AaABAg,1617235200,พัฒน์ณสรณ์ คล้ายเจริญ,0,So cute
UgxYKf73V0wEioJ9i394AaABAg,1617235200,Violet -chan,1,watashi ga paham
Ugy53KeGpTbc6Dpz-WF4AaABAg,1617235200,Violet -chan,1,helpp
Ugw_7EYWkjuagVRO_8p4AaABAg,1617235200,Violet -chan,1,helpp ga paham
Ugz-u2PRVy4EUvGixf14AaABAg,1617235200,Violet -chan,1,kaseh sub inggris woe:<
UgwA4tL3sqstnxD5Syx4AaABAg,1617235200,Christopher Mendoza,0,I love the thumbnail
UgzWBw6CtJyjwnW5dF94AaABAg,1617235200,Dereck Chen,0,Train goes CHOOO CHOOO
UgxIbV5ojC_41SCNsOR4AaABAg,1617235200,Raiden,0,Rushia has to finish this rap. It actually sounds like it'd be a good song
Ugw4GQ0oXUjd7eVhnxl4AaABAg,1617235200,apeturesci,1,50:20 Rushia encounters her unfaithful husband.
Ugwts9LKP6LiJAcZcSd4AaABAg,1617235200,fof,0,なんだろう......このデジャブ感......
UgzrzwDfY2hrsAyxOcl4AaABAg,1617235200,Isaías Tejeira,0,"Rushia sinceramente, me quiero casar contigo :)
❤️"
Ugzl_PeF-n_1H_42NM14AaABAg,1617235200,柊,0,"潤羽るしあの体験した心霊現象全てが欲しい

深夜の歌枠て難しかったりしますか"
UgzzAb8UXMP59CTOBSd4AaABAg,1617235200,Motoyo Makoto,1,Her laughters make me laugh tho i dunno why lol
UgzdhzAMHLWj42beQwV4AaABAg,1617235200,Schwi Chan,8,Enjoyed the stream today as well. Thanks for making my day. Just can't get enough of your cute voice.
UgzA1EzwBVAsh5_7pSx4AaABAg,1617235200,Ukyaうきゃ,1,"Windows10のゲームモードを一度確認してみてはどうでしょうか？
有効になっているなら、無効にしてみて下さい"
UgxVopB_MUFLX0FJdmp4AaABAg,1617235200,鯛焼きうぐぅ,0,これ垂直同期オフになってない？フレーム制限しないとパワー使い切るから重くなるよ
Ugxd_XnSsTQ8iO2DpoB4AaABAg,1617235200,Paxonite,0,2:05:38 for me
Ugy4j5KIsHk-MQe8oVV4AaABAg,1617235200,Elias .G,0,Rushiaaaaaaaa🥺👉👈
UgyEZ4i-zgnbQW7Jxyt4AaABAg,1617235200,アンハッピーリフレイン,0,"幽霊列車おつるし🎶

今回は残念だったけど次があるよ✨

何度挑戦してもいいから！

ずっと付き合うからね。"
