id,timestamp,author,likeCount,text
UgzItgkN7n5P01wei6V4AaABAg,1617235200,Zuls,0,timestamp for myself 27:55 50:12 43:36
UgybCWYlmtMOIvs5hdx4AaABAg,1617235200,Rangga Kusumua,0,Flat but kawai
UgwY98jaKvxy8cAb0Ql4AaABAg,1617235200,Sal Shoker,1,28:20 Noel's Scream Is So Blessed When Rushia Went To Unit-01
UgzDsy7mlOPSIgCBslt4AaABAg,1617235200,岡田ヴォイ,2,32:39誰？！
UgxUF_IpMFGHarWD9S94AaABAg,1617235200,Michael V.,3,43:36 boing boing
UgwqR_LFy5lh44VTyvR4AaABAg,1617235200,Kei Morisue,6,44:52 スポコンるしゃ
Ugz54uf38RIrEUtMIc94AaABAg,1617235200,Kelvin Lai,0,Rushia Protecting our Ears Thank you!!
UgwsXiem-NmQSg2nXlF4AaABAg,1617235200,負け組オタク・,1,ここのメンバーほぼつよ杯行ってるね～
UgxtFee13wob5NpwcTt4AaABAg,1617235200,Redan Kenneth Uy,4,"Youtube。大嫌い。Youtube. I hate you.

Match 1 (9th Place)
Start: 12:09
Blessings: 12:23 13:22 
Bullet Bills: 14:45
Lightnings: 14:14
POG: 13:51
End: 15:02

Match 2 (10th Place)
Start: 22:14
End: 24:17

Match 3 (9th Place)
Start: 25:45
Blessings: 26:13 (Banana) 27:05 (Heavy Breathing) 27:25 (Max Volume) 27:59
End: 28:13

Match 4 (12th Place)
Start: 29:55
Blessings: 31:03 (Fiya)
End: 32:05

Match 5 (4th Place)
Start: 33:34
Blessings: 34:49
End: 34:58

Match 6 (7th Place)
Start: 38:40
Blessings: 39:18
Bullet Bills: 40:57
End: 41:02

Match 7 (2nd Place)
Start: 42:33
Blessings: 43:37 (Boing Boing?)
End: 44:36

Match 8 (10th Place)
Start: 46:07
End: 47:59

Match 9 (12th Place)
Start: 49:38
Blessing: 52:06 (Luna Ora Ora Ora)
End: 52:11

Match 10 (4th Place)
Start: 55:38
Blessings: 56:40 (Frustration Sound) 57:22 (Ora)
Lightnings: 58:01
End: 58:20 (Error)"
UgxtFee13wob5NpwcTt4AaABAg.9IMzPZEbUao9IMzWEXtF8Z,1617235200,Staynight,1,"Thank you, Redan!"
UgzIR9M2cTf-MsxeZox4AaABAg,1617235200,69liar,1,58:28 😳
Ugz4QLgdcRlvZsMQyWN4AaABAg,1617235200,めたるましゅまろ,1,るしあちゃんが本当に上達なさられて…
Ugy50-h-LFxlIw3OSQt4AaABAg,1617235200,淡水,0,"最初個人戦のレインボーロード
ボロボロ(^_^;)"
Ugx3u1mJePzU3X1sA514AaABAg,1617235200,たーくん🍤,0,"4位と2位すごい
今日も頑張って！"
UgyvB47ERn2VDtiu5rR4AaABAg,1617235200,幻想騎士,14,28:20 初号機の咆哮(但し、るしあ本人では無い
Ugwczv-LZOKxNDKqcHh4AaABAg,1617235200,クロ,10,るしあがめっちゃ静かな上に団長の方が初号機してんの面白すぎるでしょw
UgzGPkN70WsZp3rbkfp4AaABAg,1617235200,電脳猫ぽよ,0,初号機のドリンクホルダー販売してるらしいで。
UgyJhL7DLZAgNnC_pbx4AaABAg,1617235200,毒林檎,0,"るしあちゃん普通にすごくない？
練習の結果めっちゃ出てるやん
願わくばリアタイで見たかった…"
Ugzip2CsAh-K23nJwu94AaABAg,1617235200,モンすば,0,"屈強なリスナー達に揉まれてるせいかめちゃくちゃ高順位取れてんね笑
なんかいけそうな気がしてきた"
UgyU636ESr0IXxPbKst4AaABAg,1617235200,El Leviatan,0,"Rushia's luck with the items was pretty high, mushrooms bullets and golden stars consistently"
Ugxay_oZ7aeegx74Dtp4AaABAg,1617235200,あさかぜ,10,58:30
Ugx4RC__iDdk-vTzozd4AaABAg,1617235200,シンカイのクジラ,10,57:53　ここからゴール、通信エラーまでの発言が遠慮なくて最高だった…
Ugx4RC__iDdk-vTzozd4AaABAg.9ILAoqBWO1R9O3pXnLaH1R,1625097600,琉弥1210,0,時たまあるイケボるしあ最高
