id,timestamp,author,likeCount,text
UgzsF4J82U2PqZmxKVJ4AaABAg,1647561600,こしあん,0,かあいい:_ハート:
UgyXbO9qs7rAOeEqfnR4AaABAg,1646956800,IdenityX Unknown,0,"Hello Rushia-Chan:_るんるん::_るんるん:, COVER CORPORATION PLS DON'T DELETE RUSHIA YOUTUBE CHANNEL:_しょぼん::_しょぼん:

Rushia React to her old stream is entertaining indeed , Pink Rushia react to Green Rushia 
talking so slow that you have to speed-up yourself :_なのです::_くさｗ::_くさｗ:, time-manipulator Rushia 
40:04 , Rushia watching Rushia watching Rushia streaming , now that is a multiverse moment 
58:05 Rushia Nyaaaaa:_猫耳るしあｚｚｚ::_猫耳るしあｚｚｚ::_きゅん::_きゅん:
1:11:22 Rushia died:_ドクロ: and revived again:_ちょうちょ: , unbelievable 

There are still a long road ahead , stay strong Rushia-Chan , We love you :_ハート::_ハート:"
Ugz2GmDzTtNtsyPYZex4AaABAg,1643673600,まいっち,0,首に違和感がない！
UgzyDz_7R_zPbzij18F4AaABAg,1638316800,ぜりー,0,過去の自分へのツッコミがマジで容赦なくてほんとおもろい
Ugzs0IH1wdRTD-4QS1p4AaABAg,1630454400,Đạt Sky,0,Cho tui xin cái đoạn mà bọn vn viết bình luận đi
Ugz_XaZISvxfx30Rmfx4AaABAg,1627776000,Yoshikage Kira,0,2:35:06
UgxAcMbUHEChfepiPFR4AaABAg,1622505600,上田中栗洋,1,"るしあちゃんの振り返り配信は定期的に見たくなるけれど、
反省も大事かもしれないけれど、このまま突っ走ってほしい！！！"
UgyzJ3EGvHelYISBTTh4AaABAg,1617235200,りーん,0,"46:11
わかったわかった
可愛ええ"
UgyB-V4AdQziaHcjqhh4AaABAg,1617235200,Nyein Chan Aung,0,24:46  Vietnam war flashbacks
UgzGA7-23OHA-KbgFFR4AaABAg,1617235200,Ray Ray,0,死靈法師>戰士>狂戰士😏
UgyFZ6Ea9lf6SX1PQJh4AaABAg,1617235200,メア,0,"自分用
24:50 目を見開くるしあ"
UgwuBRxB9Z_oda-GglJ4AaABAg,1617235200,Kusa Itazura,0,ストリーミングありがとう
UgxM_xzAfG3TDC5qtJB4AaABAg,1617235200,Thug Goku,0,U guys are simping to much
UgwHsD1sx96-mEwn1Ap4AaABAg,1617235200,It's LEISURE TIME,0,Hi
Ugz4vpaPRLF4Y9ES9Jp4AaABAg,1617235200,M H,0,"behind her avatar, she's just young girl, keep it civil.."
UgzU_H1NBYnMb4dYDEp4AaABAg,1617235200,nope.,0,Beautiful intro :3❤
Ugz1FOYKcwLYEPxElt14AaABAg,1617235200,삼억 이천삼억 이천삼백,0,Link fb
UgwqcXKlmfl8qPI5TSR4AaABAg,1617235200,Hà Lê,0,"Hello.  I'm really sorry for some disrespectful Vietnamese comment at the end of the stream.  You know, they just want to attract the attention of young people today, which many people find very uncomfortable.  I hope you will find a way to prevent them from invading your chat box.  We are sure that they will be criticized.  Go ahead rushia, you have good voice and good content, I really love that."
Ugz7khaFWRFIUGFfwMJ4AaABAg,1617235200,Minh Duc Nguyen,0,I am from Vietnam I am very sorry for the trouble that Vietnamese people have caused you we sincerely look forward to your forgiveness
Ugyi3_XX35TqWXKmvgd4AaABAg,1617235200,Death Channel,0,hello I'm from Vietnam I know there are some people in my country who spam a lot of negative comments on your live stream so I hope you forgive our community. So sorry
Ugxm99hItVN2482j20p4AaABAg,1617235200,Hải Nguyễn,0,❤️❤️❤️
UgzvqODzCQ769bb0iZd4AaABAg,1617235200,tử lôi vu,0,wibu
UgynRgYj78c__ps57194AaABAg,1617235200,Polphin,0,I'm really sorry about spammers
UgzbjmZ8LBwNZrtHFbZ4AaABAg,1617235200,ghoulixia,0,what did the vietnamese people do D;
UgzSMEiHV8lxbUfygJd4AaABAg,1617235200,Đức Anh Nguyễn,0,"oh Man, that was bad"
Ugyt1NplzWOHD3Hr7Xh4AaABAg,1617235200,Nh4T4n,0,....
