id,timestamp,author,likeCount,text
UgxXQ9ftXYYH21IMlZh4AaABAg,1648717200,パルン,1,るしあありがとう
UgwdHXjQDjn-QpMoFxR4AaABAg,1647734400,ゆり彦,1,マジでるしあしかいないんだよ
Ugwr88ZASVYxGoU3zaN4AaABAg,1646956800,蔡国庆,0,"Thank you Russia,l'm very happy 😊,🍫yummy😋"
Ugxr0b0dUmGBxRpHiZV4AaABAg,1646956800,IdenityX Unknown,1,"COVER CORPORATION PLS DON'T DELETE RUSHIA-CAN'S YOUTUBE CHANNEL , PRETTYYYYYY PLSSSSSSSS:_大泣き::_大泣き::_大泣き::_大泣き:"
UgyUE1OZXsfyGtbJe1J4AaABAg,1646956800,IdenityX Unknown,1,":_きゅん::_ハート::_ハート::_ハート::_ハート::_ハート::_ハート::_ハート::_ハート::_きゅん:                                                
:_ハート:HAPPY VALENTINE‘S DAY:_るしあのる::_るしあの::_るしあのあ::_ハート:
 :_きゅん::_ハート::_ハート::_ハート::_ハート::_ハート::_ハート::_ハート::_ハート::_きゅん:
It is a wild request , but ........................... can I have a little taste of Rushia hand made tart PLSSSSSS , just one bite pretty plssssssss:_大泣き::_大泣き: they look so tasty :_きゅん::_きゅん:"
UgxKWdXeuaY2C8omzH54AaABAg,1646956800,kenトリー,3,"1:01:00 今見るとこの辺りからの流れで泣く。
ファンになる前からこの人ファンに対して優しい所あるなって思ってたし、愛情は本当にあったと思う。
それすら否定されて、そんな人じゃないのになって思うような言葉を言われてるのを見ると悲しい。
今まで明るいコメントだけ残そうとしてきたけど。
終わり方が残念な形でも、それまでの心の籠った言葉をファンは忘れないであげてほしい"
Ugx4ha-uNeWfGN7FSeh4AaABAg,1646092800,佐藤,1,"残り１時間無いけど
仕事の休憩ギリ間に合った
るーちゃん
ハッピーバレンタイン～(*ゝω・*)ノ
いつも癒しと幸せ貰ってるから
今年はチョコは我慢しておこうw

るーちゃん
今日も１日おつかれさま"
Ugw_Q3KTumtF8UQejyd4AaABAg,1646092800,Fandead Forever,1,On t'aime beaucoup Rushia 🦋
UgzDfRtsr5Czh0jx5wJ4AaABAg,1646092800,Takeo Hikari,0,Stop being Selfish Rushia respect other people
Ugzb_EqDQyEMi12DTtd4AaABAg,1643673600,"fire,",0,"クマタルトめちゃ美味しそうでかわいくて好き！
バレンタイン配信ずっと大好き"
Ugw1BPgkPHivIw1Lvpd4AaABAg,1627776000,ぜりー,0,"めっちゃかわいい
アーカイブ見たら去年のバレンタインも一緒に過ごしてたことになりませんかね…"
UgwpkKl3K2HT89TbpNx4AaABAg,1625097600,AHYAI,0,"お料理もそうだけどお菓子を作ってる時の女の子ってどうしてこんなに魅力的なんだろう…:_きゅん::_ハート::_ハート:
こんなに可愛い声で素敵な笑顔で作ってるところを想像しただけで思わずよしよししてぎゅーってしたくなる…(⑉• •⑉)❤︎
右下のくまちゃんがかわいくて一番好きー🥰"
UgwK9ymaJklE74x4l3N4AaABAg,1619827200,donaco.どな子,0,るし子ないなった(´・ω・)
UgwbAm_PuSpAuTTh7-t4AaABAg,1617235200,Ena Nebres,0,Rushia-tan is soo cute
UgznQ7xkyFKWetHVpyd4AaABAg,1617235200,something is universe,0,Ohayo
UgyO9jNZH6GnL47lJAh4AaABAg,1617235200,Cathy / Cathy-Chan,2,"1:08:04
Rushia wake you up with echo"
UgwEes23au-UxKnEM_d4AaABAg,1617235200,david mateus,0,very cute outfit :D
UgxYVzqmXGUJX2lBzX14AaABAg,1617235200,そるてぃー,0,"12:40 生活音ASMR助かる！一緒のお部屋にいる感じ最高！るしあちゃんにお菓子作ってもらいたい～！！
1:04:09 ずっと一緒にいたいかわいいすき"
UgwGM1WaEFXmF72_km54AaABAg,1617235200,Հεɾσ *σmní_єldєѕtgσd_fox form/king*,0,"So about pptenshi....
I heard she or a trap has a cute voice

























I SUMMONEd the beast"
UgxJnUCLno1gQyRPUB94AaABAg,1617235200,Cow Snot,0,Anyone know the background music?
Ugz26chM6ouvTbT96bd4AaABAg,1617235200,ゆうゆう,2,53:44
Ugww1SwQ8S1Gv6JVnmN4AaABAg,1585699200,danoobiest gamer,12,"2:10:45 dont mind me and my personal timestamp, feel free to use it too
btw the idol rushia (correct me if im wrong) is too cute, my heart is melting >w<"
UgwZdAqJeX2Xmtr2zH54AaABAg,1585699200,La Water,3,bgm name/link please?
UgwZdAqJeX2Xmtr2zH54AaABAg.96azRz2k_DY96xUIGY2h_w,1617235200,Niles Loh,2,Stewart Ball It’s part of the Tasokare Hotel OST
Ugylsc17HU9RG-DpA0Z4AaABAg,1585699200,Maria Cooke,1,Does anyone know which BGM this is called?
Ugylsc17HU9RG-DpA0Z4AaABAg.96P5O4WhPzp96xUFVZKK2x,1617235200,Niles Loh,0,Cameron Cooke It’s part of the Tasokare Hotel OST
Ugylsc17HU9RG-DpA0Z4AaABAg.96P5O4WhPzp96xZymeGBKD,1617235200,Maria Cooke,0, @Niles Loh  thanks
UgzVxjgRKGV56DqriZ14AaABAg,1585699200,ゆーた (ローディー＆ベタ飼いオタ),5,また、料理配信して欲しいな…お願い
Ugz-PHcYYNEbKicIiaJ4AaABAg,1585699200,URUZ018,1,What's the BGM this time?It's interesting
Ugz-PHcYYNEbKicIiaJ4AaABAg.95PRg_yHDEO96xU9OBJtgl,1617235200,Niles Loh,1,URUZ018 It’s part of the Tasokare Hotel OST
Ugz-PHcYYNEbKicIiaJ4AaABAg.95PRg_yHDEO97iEzxuCDd3,1617235200,URUZ018,0," @Niles Loh  not really ost of this game i think,i guess it's a free bgm from maodamashi because i've heard it in some other games(that's why this mobile game could use it too),but i just dont know which bgm actually"
Ugz-PHcYYNEbKicIiaJ4AaABAg.95PRg_yHDEO97iGVMG4OME,1617235200,Niles Loh,0,"URUZ018 Ah Okok cool, thanks!"
Ugwboc3Kvd8PM93kheR4AaABAg,1585699200,ꪜⅈꪮꪶꪖ𝕥ꪮ𝕣,1,Happy Valentine's desu
UgxS2y5sk-GfQo4wTsF4AaABAg,1585699200,でんでんぱ【ホロライブ解説Ch】,30,1:07:33
Ugx6we6n10W0SDfKvUd4AaABAg,1585699200,Tan-taros_タンタロス,35,"1:48:20 〜　""why are you talking about other girl on my stream...?""
Rushia felt jelousy over those listeners who spork about P.P.tenshi on her stream."
Ugx6we6n10W0SDfKvUd4AaABAg.954c6BRrdcw95CHwaRlr1_,1585699200,Arif Gunawan,0,drama incominggggg
Ugx6we6n10W0SDfKvUd4AaABAg.954c6BRrdcw9FxRMhtATGd,1617235200,sleep deprived 69,0,That one guy who said he only knew Rushia saved us all.
UgychqcRi4h_UqkXkUN4AaABAg,1585699200,GravityHurts,8,You might not have a date today but you have a cute necromancer greeting you. That's more than enough if youask me 💜
UgwtQ91G0ecxc9Bu-1d4AaABAg,1585699200,Patrick Feraro,0,Shiawasena barentainde Rushia 🦋💘
UgxrK7XbDxioS6ZBJGV4AaABAg,1585699200,カルビと麦になった猫🐾,1,るしあたんのお菓子枠…………………美味しそうなのだ(*´﹃`*)
UgzhzX_a_5AeiPseiI54AaABAg,1585699200,もーちゃん,0,"今までで最高のバレンタインデーになったよ！
るしあちゃんありがとう！"
UgwxHuovV1l5UBvD0VB4AaABAg,1585699200,ちょむ,0,"最高のバレンタインになりました
ありがとう〜
とてもお菓子美味しそうでした😋
これからもずっと応援してるよ〜！"
UgyEgorrnvrP5mZegnB4AaABAg,1585699200,もりもりもり,28,1:48:30
