id,timestamp,author,likeCount,text
UgzqaXLEG3JgYUDLdqp4AaABAg,1625097600,白༒黒,0,うるさい
Ugw2wzkudMNM11HPypd4AaABAg,1622505600,のらねこ,0,0:55
UgzFCgjei-_zqSt2OuB4AaABAg,1617235200,媽爹獸滷,0,これ何??
UgxD_rA1gWfUUTs2AlJ4AaABAg,1617235200,黃榆絨,1,你還敢裝女的啊男的就男的真是的
Ugy1_aY2GM3ILD-yu5R4AaABAg,1617235200,zeinsein,0,"kombawaaaaaa
i scream"
UgwB_VENBCDj7qqGRWN4AaABAg,1617235200,Gren tree m,0,"AH YES THE BEST STREAM IN EXISTANCE, THIS WILL BE A LEGEND"
Ugw0tl2viijmSivVNVl4AaABAg,1617235200,秀司鄭,0,ちゅっ
UgyUXl8aECW3R-CIA7d4AaABAg,1617235200,{,0,Let Marine finish introducing herself :(
UgxLSjHeN8aamFMYOZN4AaABAg,1617235200,ジョージ,0,野ウサギたちに鍛えられたぺこらは違う。
UgzB-7R4gbRdoKp8-ql4AaABAg,1617235200,yupebet gaming,4,"World knows that this stream will be so epic that Internet blows up after 5 minutes. 





Also here was 105k peoples."
UgztpEuBdcIbNoDxiFl4AaABAg,1617235200,汗明,0,サムネが暗黒タマタマでワロケル
Ugw805O-gBFIMBC_oCl4AaABAg,1617235200,The King of Antarctica,0,These thumbnails just keep getting better and better.
Ugw8PfCeAuWETdWUHpB4AaABAg,1617235200,たなましん,0,大乱闘前に枠がボコボコw
UgysAhR6tgl3gLhJjKZ4AaABAg,1617235200,jamy03影-ジャミィ-,1,"自己紹介枠か！把握！
配信お疲れ様です！"
UgzMtzeFie65_k7QUxJ4AaABAg,1617235200,☆シャーロット☆,0,サムネがどう見ても映画版のクレしんやんw
Ugy_PGC482-SA6RA7hV4AaABAg,1617235200,まともなぐだ子,0,み、見えねぇ……(配信終わるの)早すぎて目がついていけねぇ……
Ugzn8b1FcWIujx4zXCR4AaABAg,1617235200,トリリンガル,37,自己紹介動画として生き続けるんだ…
UgzJFE0vYiFWm2AHxOR4AaABAg,1617235200,"fire,",0,自己紹介枠助かる
Ugw8rU41V898Sq-4u4Z4AaABAg,1617235200,友,3,クレオンしんちゃん　暗黒タマタマ
Ugw_73hFM6T3Q_6Su0l4AaABAg,1617235200,モケモケ,10,この枠残して欲しいw
UgxQh5ucL-hlK5h1PQ14AaABAg,1617235200,Keita,0,＊これはバク枠です
UgxV_1OdRxhP4qxlEPd4AaABAg,1617235200,ヨッスウィ〜,21,自己紹介枠たすかる
Ugx8KrXEyTMiKgNIyMV4AaABAg,1617235200,桐ケ谷きりと,18,サムネがクレヨンしんちゃんで草
Ugx8KrXEyTMiKgNIyMV4AaABAg.9Fn_42-IlyP9GcDKarRLA6,1617235200,新世界&新時代トビ介,2,暗黒タマタマの車シーンかな
Ugx8KrXEyTMiKgNIyMV4AaABAg.9Fn_42-IlyP9KLdN7-xKMs,1617235200,スタミナムアルファ（編集済み）,0,途中で道を尋ねて来た人を殴り倒しそう
UgzHgvhJJD_lrsGAd2V4AaABAg,1617235200,最近ギャグセンスが低い矢印,1,サムネイルの元ネタ知ってる人少ない説
UgzHgvhJJD_lrsGAd2V4AaABAg.9FnYeTBnAGI9FoIrMFuqvF,1617235200,しばいぬ,1,"クレしんの映画だったよね？
たしかオトナ帝国の逆襲のまさおくん運転シーン"
UgzHgvhJJD_lrsGAd2V4AaABAg.9FnYeTBnAGI9FoNfG7l23N,1617235200,最近ギャグセンスが低い矢印,0," @しばいぬ  
クレヨンしんちゃんは合ってる。だけど映画が違う。"
UgzHgvhJJD_lrsGAd2V4AaABAg.9FnYeTBnAGI9FtANephOLe,1617235200,如月かなみ,0,"暗黒タマタマ。
うろ覚えだけど車、電車にのって移動してる時のシーン"
Ugw4Ji8TGog0C5ns6-x4AaABAg,1617235200,YAGOO VIRUS,13,I'm late from stream I though it ended already
UgyrsZhTbGUHxb77Ezt4AaABAg,1617235200,ボカロ大好きみーとまーと,17,歴史に残る素晴らしい戦いだった…()
UgypeqDKNVh6KKuY4414AaABAg,1617235200,King bolt,10,切り抜きかと思ったら出来たてホヤホヤの動画で草
UgwiBa9n_9r3I-wX9V94AaABAg,1617235200,Cosmetic,2,why the stream is so short
Ugw_iUVNJtAUdbUf8Zh4AaABAg,1617235200,edHerman,0,Rushia and her internet
Ugw1UNlAz-ukNybJ6yd4AaABAg,1617235200,思い出し笑いを我慢する黒人,6,楽しくてあっという間でした！
Ugw1UNlAz-ukNybJ6yd4AaABAg.9FnXBitAghJ9Fq04YRFgPx,1617235200,おかゆんまじ女神,1,ほんとにあっという間なんだよなぁ()
UgziSrWn8dhbEocSNgh4AaABAg,1617235200,MS AlbCH.,0,NOoOoOoOoo llegué tarde :´{
Ugy_VQsgJvaNzb46c214AaABAg,1617235200,ApexValkyrie,8,え、何が起きたん？ww
Ugw0a94VQMgtqLa5FYR4AaABAg,1617235200,ハラマキチキン,6,ルシアのメテオが美味すぎた。GG
Ugyb766gzakWKuTt1sN4AaABAg,1617235200,魂魄妖夢,1,Thank you for the stream!!
