id,timestamp,author,likeCount,text
UgxgbdNu7HWcpUpxwv14AaABAg,1625097600,んあんあ,1,ああああ　　　　　　　　　　　　　　　　　　　最高
UgzMXJc_da2lxg_ahFF4AaABAg,1617235200,Singa,1,1:39:00のBGMなんですか？
UgzMXJc_da2lxg_ahFF4AaABAg.9LW7SKfRroi9LW84ON6YvT,1617235200,たけのこ,0,すみません、わかりません
UgzJ9BT3cQChXA-TlR14AaABAg,1617235200,Pokopokonopu !,0,"この動画のOPの曲名はなんでしょうか？
良い曲なので知りたいです！！わかる方がいましたら教えていただきたいです。"
UgzYniN1IpjWeLeeEkR4AaABAg,1617235200,からかい上手の高木さん,1,"潤羽るしあ....



peko~"
UgzBRT75cAetMEkCPZ14AaABAg,1617235200,飛鳥「月」,0,Cutting board
Ugz_N7Pa3TXE9v9r-AB4AaABAg,1617235200,オクタビオ・シルバ,0,あんぽんたんるしあ助かる
Ugw4MiSwBPUnZSAxvRt4AaABAg,1617235200,tYu .K,0,Pain-peko
Ugza4N1KTZw19WhUv3x4AaABAg,1617235200,かきごおり,0,明るく振る舞うるしあが1番！
Ugyyn77A5HSi79EPoOV4AaABAg,1617235200,ミュウ,0,初見です‼️可愛い❗これからも頑張ってください❗
Ugw6jMY14wS6yXlkrlB4AaABAg,1617235200,うるふwolf,0,バイトやです。バイト休みたかったですでも前日に配信見れて楽しかったです…来年はバイト入れないと誓います
Ugxu8By-5LIK0MpzWkp4AaABAg,1617235200,わったはぽん,2,"るしあちゃん、ガチ恋増やすのはいいけどサイコガチ恋勢も増えるのが本当に心配だ…

護らなきゃ…"
UgxU2yym6NYYd88DSKJ4AaABAg,1617235200,Sal Shoker,1,Thank You For The Streaming Rushia Congratulations At Beyond The Stage 2nd Fes🦋❤
UgwHbdtJiVwrYafEF1h4AaABAg,1617235200,青野武,1,ベーコンレタスなんて初めて聞いたわｗ。ＢＬのことやったんやな。
UgwDDWjPSaPaeIWqM3d4AaABAg,1617235200,WHY BOTHER ? LOL,0,NAISU.. PEKO
UgwFDE6yL1itFVfLq6h4AaABAg,1617235200,Texas 【SSRB】,1,20:20 Okey Rushia Mad.....
Ugy84InMRDrrVUFvvTd4AaABAg,1617235200,ғᴜʙᴜᴋɪ.,0,Subtitles pleaseeee😭
