id,timestamp,author,likeCount,text
UgyAwtffRjq2efb2Pcl4AaABAg,1622505600,こう,7,素直にナガレさんの「悲しい」が好き
UgxLj2Q7Oafb9fB8EQd4AaABAg,1619827200,こうき,1,"ナガレさんを知らない人よう
ナガレさんは日本最強リドリーの一人でスマブラの非公式レート戦サイトスマメイトにてリドリー単騎でレート2000を達成している人です
はいぞくにいう化け物ですね"
UgycKtkGJN6Jr2JDBN54AaABAg,1617235200,利座丼太郎,0,ナガレさん若干舐めp(((魅せプしてんなあ
UgxYgUWBIVe0C-lpngF4AaABAg,1617235200,「賢い」田野田,0,るしあ崖掴まないんだねぇ
UgxYgUWBIVe0C-lpngF4AaABAg.9HWhu5CwaQk9R_dBVtaBgM,1630454400,べる,0,崖だから...w
Ugx98DpWsRUX-eYAnk94AaABAg,1617235200,可愛いは正義,18,"1:06:38 リドリー全一
ナガレさんです"
Ugx98DpWsRUX-eYAnk94AaABAg.9HUb3bu76z_9IyoK2iq6MB,1617235200,あかさたなと言いたい,0,助かる
UgwEuXKo90-s6-5Ie2x4AaABAg,1617235200,Lord Agustin,0,I love you Rushia let's have children
UgxTvAuzce1IC8qyQil4AaABAg,1617235200,ああ,7,1:20:41 楽しそうでなにより
UgwLICfZh31NI5VHCdV4AaABAg,1617235200,キスショット.,2,"1:56:00

 自分用m(_ _)m
 ありがとう(▰╹◡╹▰)"
UgxMdyN7VLFVAOounOR4AaABAg,1617235200,お前よりはイケメンだけど,0,男の影を感じました
UgxMdyN7VLFVAOounOR4AaABAg.9GvDloPF7im9GvDonQl4FC,1617235200,お前よりはイケメンだけど,0,玄関開けっ放しと話題変えた辺り怪しいと思いました
UgxMdyN7VLFVAOounOR4AaABAg.9GvDloPF7im9H4wD5V5DxJ,1617235200,おでんくんツンツン男,0, @お前よりはイケメンだけど  それ俺だよ
UgxMdyN7VLFVAOounOR4AaABAg.9GvDloPF7im9IfzD6e5PEG,1617235200,お前よりはイケメンだけど,0, @おでんくんツンツン男  いやまぁ誰でもいいんだけど()
UgzI3CS0AFIwIDN4-U94AaABAg,1617235200,yardan alvis,0,ntah apa yg dia bilang tapi betah nontonnya
UgyJdfrQPaCXafUPpXF4AaABAg,1617235200,イアン,1,14:35
UgwvEOU1tkK67Yex-Qp4AaABAg,1617235200,赤,8,るしあが可愛いので今日も元気です。
Ugxbdp2U3Qif9l95oTB4AaABAg,1617235200,ChemyNoSurfea,1,Was our little necromancer having joycon/procontroller drift?
Ugwhc3VeRbC723sw1VR4AaABAg,1617235200,dustyegg,0,I love Russia~~
UgyBmTExfG2AEe2bfmR4AaABAg,1617235200,Flyパン,14,1:07:21カービィの声真似上手いですね
UgyIoxmS-oo2nErq2D54AaABAg,1617235200,ショボ昆布R,1,"26:38
ここ某パックマン使い全1"
UgzJIq0qh19ZXQwe_WB4AaABAg,1617235200,Tony,0,:_ハート:
Ugzl0ZKCwNDgq67tonZ4AaABAg,1617235200,C. Hunter【C.ハンター】,23,"1:03:26
Before this, I had such a miserable time playing this game online, probably the worst day yet... Getting to play Rushia felt so 
relieving that I don't care about the people I've dealt with before! I'm in the process of learning Japanese, so in time I'll reach that 
level of understanding the language better

I'm thankful I got to join and this really made my day... :)"
Ugy12_n49_Jz8aQEJKl4AaABAg,1617235200,Haachama’s Bath water,4,24:55
Ugwo2Huq47Rd9uHgJUB4AaABAg,1617235200,MyGuyMatt,5,51:44 ORAAAAAAAAAAAAAAAA
UgzqxyIFKVn6vP94hR14AaABAg,1617235200,Ethan Emsweller,2,The corrin player at 1:26:00 was pretty bad ngl
UgzqxyIFKVn6vP94hR14AaABAg.9Goeczk2Eo39GpMPBMQ2Ow,1617235200,Honey Taters,0,ngl you're ngl opinion ngl is ngl noted ngl
UgzqxyIFKVn6vP94hR14AaABAg.9Goeczk2Eo39GpMcpPtjSY,1617235200,Ethan Emsweller,0, @Honey Taters  big ups
UgwVM_iWqasUz7lA6t14AaABAg,1617235200,しょうごん,1,"改めて73万人おめでとう🎊
そして、メンバー3ヶ月突破を祝ってくれてありがとう愛してる:_ハート:

最近は忙しくてリアタイどころかアーカイブすら見れてないけど、見れるように時間を確保するからおゆるしあ(´・ω・｀)"
Ugy8TD84_t9mV9n8wN54AaABAg,1617235200,Loli Masuta,3,35:33 Pettangelion.
