id,timestamp,author,likeCount,text
UgyG9kBUtvLfguC5brp4AaABAg,1646092800,夜星ハヤヌ,1,この動画も、もう見れなくなるのか。マジで悲しいな。これからも頑張ってください。ずっと応援してます。
Ugzi5iTDBT_SFtHZztZ4AaABAg,1646092800,/dev /null CH ルキ,2,やっぱるしあの話面白いな🤣
UgxxXBRrIY0WHrn_i9V4AaABAg,1643673600,塩酸舐めてぇさん,0,"1:02:50 1:02:50 1:02:50

1:03:00  1:03:00 1:03:00"
Ugx6B5FFdmh0jI1G0JN4AaABAg,1640995200,くんバブルス,0,2:18:00 ネクロマンサーなのに霊視してもらうのか？？
Ugyv3PQ46CUvNHufT2x4AaABAg,1640995200,くんバブルス,0,全く関係ないんだけど流死愛って書くと我愛羅みたいでかっこいいよね。ネクロマンサーっぽいし。
UgxPNxOxQB0sR-0NCJ14AaABAg,1633046400,Gustavo Ch.グスタボCh,0,Rushia fue asombroso directo de [雑談/charla] Nuwa ah ah ah! !! ;;;;; [Uruha Rushia/Hololive] y fue relajante directo teniendo una charla contigo gracias por este momento siempre es tan maravilloso verte a ti ah eres tan linda Rushia te amo.
Ugz3TLdBJErxFu24opN4AaABAg,1633046400,ジュンペイ・クライン,0,るしあのおばあちゃんはマイメロ
Ugwpv8Siv4IVAicRdJp4AaABAg,1630454400,Aaron N,0,Does anyone know the BGM that plays during loading...?
UgxVsi3ZWoVuaHuGcsx4AaABAg,1630454400,よんきゅっぱ,0,"22:02 22:02
22:02 22:02
33:35 33:35
33:35 33:35
34:36 34:36
34:36 34:36"
Ugw7g0Sanm6ueZsDwNV4AaABAg,1627776000,Kitzuru,1,You could physically feel Rushias pain over hearing her past now exposed to her mother of all people. 😅 I bet she will tone it down a bit fron now on.
Ugxs3r2wdR9GPpV-izx4AaABAg,1625097600,きりりん,0,1:38:29 自分用
UgxyqiKgLbShRvLFFR94AaABAg,1625097600,katudo2nn,0,2:29:29　おりんぴっきゅ
UgzdBh-sfGGQuF9y55d4AaABAg,1625097600,Him,0,雑談:_きゅん:面白かった
UgyHU-iV7Tt9fOPu_Jp4AaABAg,1625097600,𝑪𝒉𝒂𝑪𝒉𝒂,0,今までゲーム配信は見てたけど雑談は見た事なかったんだけど、雑談めちゃくちゃ上手いし面白い！！リスナーのコメントも拾うし、対話してる感あるね！
UgzkY0dROidKV4VZcDB4AaABAg,1625097600,烏龍パンカニー,0,お母さま、内容よく知らないのにいけいけドンドンだったんだぁ…
UgzFRm1MLnqp-Ku_1yR4AaABAg,1625097600,Sino ch.しのセリア,13,"るしあイケボファンに向けて～
48:20"
Ugya9Oyh2d4hO_nOzkx4AaABAg,1625097600,福岡市民のササキ【こら隊🍊】,0,自分の初号機モードの声聴いてるとき達観したような表情してて:_くさｗ:
Ugz6UQN-8xj51zYEetJ4AaABAg,1625097600,かな,0,34:00
Ugw60TNgxiPFYf9Ur5p4AaABAg,1625097600,死ぬ直前の関羽,0,るしあのママってそれマザーボード・・・
Ugz1k2i95H_J6UEO4394AaABAg,1625097600,ちっちき【ちいか】,0,"うるは家めちゃくちゃ面白いな。
そしてあったかいな。"
UgycpoeIvQ2dsEca8d94AaABAg,1625097600,板チョコブラックサンダー,1,"14:42
UberEatsの話題"
Ugww-6i9G_DFG4CaoQZ4AaABAg,1625097600,nao,0,Oi rushia 🏃‍♂️🏃‍♂️💌
UgxJz49_oliDAKHyOz14AaABAg,1625097600,ミケ猫Hz,2,"33:46　ここで目閉じるの好き



あ、そして……………草"
UgzxCQ3671PDboFeBXl4AaABAg,1625097600,トマトっち,0,楽しかったです
Ugw93DFAhV7Di7ES8yp4AaABAg,1625097600,Kbosong,0,말을 너무 재밌게 하셔 ㅋㅋㅋ
Ugz94_VnWcA5gQY771J4AaABAg,1625097600,Sir Fapalot,2,"I love the way you talk about your wholesome family, as one of your husband i shall demand more something like this, especially your parent, they are my future parent in law afterall :*"
