id,timestamp,author,likeCount,text
UgykWLXU0IrKk1ySNmh4AaABAg,1648684800,Yuncue,0,楽しかったよ、ありがとう。
UgyazP82101Bzo2MTd94AaABAg,1640995200,C a r l o s,0,"Rushia is a example of warrior, she Nevers give up. You're the best Rushia!"
Ugyw_3hiogJjbAwP-V94AaABAg,1640995200,よしわら: yoshiwara,0,"寝坊して30分遅れるも正直にごめんなさいと、待っててくれてありがとうが言えて根が真面目な方なんだなあと思う
自分の動画チェックするくらいに本当に真面目だ！笑
コメント閲覧の詳細を説明いただく珍しい回はちょっと興味深かったな〜"
Ugx0pN2Nv1qmrRP20IV4AaABAg,1633046400,Red?,0,"2:48:52 ...








2:57:10 ... ... ... 😓😅"
UgzxvCUmiPinrDL0DGZ4AaABAg,1633046400,タクアリ,0,エンドラやったー靴どこー？で笑ったww
UgwBp9XcvuovqMExygB4AaABAg,1633046400,TSK,0,"11:33
自分用:_きゅん:"
UgzMAHJOxsaCZLnHdKB4AaABAg,1630454400,TOFU,0,37:30
UgxB_0wsllTBWnwlzY14AaABAg,1630454400,鞥,0,21:20
Ugyhe89yxfKfzrUgO394AaABAg,1630454400,凜祢,0,2:36:15
UgyzPhJ-7-9H1dYi2Bx4AaABAg,1630454400,凜祢,0,1:37:50
UgyzFl1RcvUyO6Dvywp4AaABAg,1630454400,凜祢,0,1:33:59
UgwEcJCA8RKsP2W4Oo54AaABAg,1630454400,サイダー,0,"リゼロの話題出してくださったの
超嬉しいです。"
Ugw15-Bz2xpgV0WEF214AaABAg,1630454400,ケピちゃま!,1,2:58:30 自分用
UgyTnkIuvQO9f9XWte94AaABAg,1630454400,ろくろ,0,"2:48
可愛いことで、、"
UgzO5hto-bnw4wh7DDd4AaABAg,1630454400,Koto-Sama,0,did anyone told her how to get it back?
Ugxg3yjgIm-uJ-h5D614AaABAg,1630454400,ZERO.B-ぜろびー,0,"うーん2回聞いたけどやっぱりお礼言われてなかったっぽいな…
お礼のために投げてるみたいな感じになるのもアレだけど、モヤモヤするな…"
Ugw_87z6gSBPt0do55p4AaABAg,1630454400,Chien Chu,0,2:31:00
UgzgwV_wjDY2z52PR-h4AaABAg,1630454400,mouns,0,"エンドラ討伐さするし！おめでとう！
テンション高めに探検を進めるるしあがかわいい上に見ていて楽しかった！
事前の準備や調査も頑張っていたのがよくわかったし色々試しながら何度も挑戦する様子を見ていたから討伐を見届けられた時はすごく嬉しかったよ！"
UgwiHlwolvTO91A5FQp4AaABAg,1630454400,Vyse,0,"Love watching Rushia always trying her best in games especially Minecraft. It's always fun to watch Rushia and her reactions are always adorable. The choices Rushia makes such as punching a block even though she has a Diamond Pickaxe or blocking off monsters with blocks but makes only 1 block high wall.. Rushia's play style is just always so great. Nice job, Rushia!:_るんるん::_ハート:
See you soon.:_猫耳るしあｚｚｚ:"
UgwgrtO5A8V4nE8RZlJ4AaABAg,1630454400,えーた,1,クリスタル探してるとき節穴でかわいいw
UgzT1zFEkQ9D7kXgBjR4AaABAg,1630454400,nosuke,0,かなりPON連発してたな～
UgxnWCgp0KZzWqQM2Nl4AaABAg,1630454400,林泰宏,0,F(フラット)カップ！
UgxbLqzhUQVuF58Vvd54AaABAg,1630454400,umi Ch.天神ウミ,0,将来猫飼う時猫の名前にゃんこ先生にしようかな
UgzlEeRZHN1MAlfvKmd4AaABAg,1630454400,Koronoice,0,Pain Rushi..
UgzVBRpWP8MKyWpFpx54AaABAg,1630454400,まっさん,0,"エンドラ討伐おめでとう🎉🎉🎉
アーカイブで観させてもらったよ！
これで3期生コラボの時にはマウント取り放題かな！？コラボも楽しみにしてるよー！討伐おめでとう🎉🎉🎉"
