id,timestamp,author,likeCount,text
UgybBgfxWdiiizFZjA14AaABAg,1647648000,IdenityX Unknown,0,"Hello Rushia , Byebye Rushia :_くさｗ::_くさｗ:, COVER CORPORATION PLS DON'T DELETE RUSHIA YOUTUBE CHANNEL PLS:_しょぼん::_しょぼん:
6:43 desk-kun OOF
11:48 everyone is probably confuse why you go there :_くさｗ::_くさｗ:, there is literally a guy walking slowly to the other platform , sleepy Rushia can't remember :_くさｗ::_くさｗ:
12:43 Ouch , that hurt :_ドクロ:
13:10 well I guess the slap works , this part is really a Kami Play 
Rushia the best girl :_きゅん::_きゅん:"
Ugwc_WEaoKNbajhkgXN4AaABAg,1617235200,Mai Shiranui,0,Llora nenita
UgxjCz2pR6L7RK0QQIp4AaABAg,1617235200,naight wasted,0,2:03:09
UgxCyWvP0s3PIT9iwFN4AaABAg,1617235200,naight wasted,0,2:03:09
UgwdgZ4OLx0iqrfvr6p4AaABAg,1617235200,Young,0,9:47 14:39 21:15 27:42 35:54 37:14 39:56 41:49 50:06 52:49 53:41 59:10 1:10:40 1:16:10 1:16:41 1:19:57 1:21:25 1:34:34 1:38:40 1:52:44 1:54:54
Ugw3685s3Z_HBfg6A4J4AaABAg,1617235200,Bracc,0,"1:57:31
泣かないで
あなたはすでに勝った"
UgxI81-u-UUaPQwcZrx4AaABAg,1617235200,imagination,0,"50:28キッズをあおルシア
52:25若干センシティブ
52:47おたんこなす！！！！
53:10キッズ化
54:39悲鳴→冷静 チーターへの怨念"
UgxvRn77NbkjjY_MMZR4AaABAg,1617235200,啓司,1,"自分用
2:18:50
2:31:30
ぎゃあああヽ(・∀・)ノ"
UgyUYFG2sniBqeoXutF4AaABAg,1617235200,Kiro_YT,0,Hola bnas tardes 🖖🏻
UgzjS9AC501EPCkRBWB4AaABAg,1617235200,エライア,0,サムネトモヨヒさんのやつだ
UgxOnDBGRSuqu_SEUet4AaABAg,1617235200,中西翔之,0,"サムネからしてもう面白い

サムネの元ネタとか分かる方いますか？"
UgzScfC_Yxsd9hXcT014AaABAg,1617235200,gg ff,0,このbgm教えてクレメンス
UgxNeZNBLUwNm3aSFul4AaABAg,1617235200,Denis Cruz Benitez,1,Nambe alguien k hable español
UgxNeZNBLUwNm3aSFul4AaABAg.9CyQDDLZs9W9D6KiA_LvFX,1617235200,Clon300,0,Buenas superviviente XD
UgwExg-R-FB8w0kMzgJ4AaABAg,1617235200,おやすみ丸,0,"意見聞くことも大切だと思うけど○○が嫌って意見ばっか聞いてても何も出来なくなっちゃうよ
言いたいこと素直に言ってもろて
我慢して窮屈そうにしてるるしあよりのびのび楽しそうにしてるるしあが見たいな"
UgwExg-R-FB8w0kMzgJ4AaABAg.9CxlxjH1fLX9DEV4VYtFDm,1617235200,Denis Cruz Benitez,0,Concuerdo contigo onichan-senpai
Ugw8kMN_gQAlasS22h94AaABAg,1617235200,Mendizer,0,Flat
UgwM_RuF-1IokEgKQbl4AaABAg,1617235200,Huon9g Vuong,0,I am Viet Nam
Ugx4W0UtVtYvtpF0oxR4AaABAg,1617235200,麺。,1,ずっと関羽るしあかと思ってた
UgwEbt_OcyDoi4lUaQt4AaABAg,1617235200,すがすが,0,サムネのるしあちゃん上向いた時の丸顔るしあちゃんじゃん🤭
UgxMAdDlvv2todYF2A14AaABAg,1617235200,hhung,0,Hello i from Viet Nam and i love anime
UgxuzIldWCZn2mDgztp4AaABAg,1617235200,solar,1,"2:54:04(自分用)
まじ幸せっす"
UgwNOSc44RXc7hUVQEN4AaABAg,1617235200,caleb mh,0,Umai
UgxeB_sUQTIAja6_LNt4AaABAg,1617235200,Hanna Humaira,0,Mosyimosyi
UgyyubuAIpVVCyvWQbN4AaABAg,1617235200,thegamingcerato,0,I wanna marry rushia
Ugyu4MGpilBWGq1AvLV4AaABAg,1617235200,[English vtuber] Mignar,0,14:55 Mama....
Ugy_j8tR7Lxik6n9CjV4AaABAg,1617235200,Edm Remix,0,Đồng bào tôi đâu rồi
