id,timestamp,author,likeCount,text
UgyxN-j_PBsOdgJZeWV4AaABAg,1648735200,緋村抜刀斎,1,るしあ元気でね。　おつるし！！！
Ugx-Z-Stn6x3fC1OzGJ4AaABAg,1648724400,非常口,0,"この頃は頑張って清楚を保っていた
そんな努力を感じる"
UgzZv-xKyqihgGLxS7Z4AaABAg,1648724400,Septentrion,0,Gracias por los recuerdos. Por todos y cada uno de ellos.
UgwMRB4SYp_u9OQdTXR4AaABAg,1648717200,パルン,2,るしあありがとう
UgwmYEkM0OzOo1tF4mt4AaABAg,1648598400,Umiko,4,No quiero que eliminen estos recuerdos
UgzVpGr9gnY1VBCRWdp4AaABAg,1647907200,ねっぺぺぇのネペンテス,4,うーぱーるーぱ仲良くてかわいいｗ助かった:_るんるん:
Ugxy4IpsWhjMlhHy-FV4AaABAg,1647648000,龍牙神,1,🦋
Ugx7C3kvaNrr56Mbyxl4AaABAg,1647561600,銀河系犬皇,2,ライブありがとう
UgzSBLK7FAYQiD_d4Ox4AaABAg,1646956800,じゃいろMk.C,3,3月に入ってから知りました。これが現状残っている最古の通常コラボなのかな……初々しさもやりとりも声も全部かわいいです、見られるうちにできるだけ記憶に刻み込みます
UgyCIfzX5VNzlr2LY794AaABAg,1646956800,まきずし,2,ぺこらちゃんとのコラボ初期はたどたどしかったけど、今見たら新鮮さがあって良かった！:_きゅん::_きゅん:
UgxkZc8D1Mk_9EzzL5F4AaABAg,1646956800,HerDey 28,0,I/we will not forget about you rushia.. now only clippers can help us to remember you once this channel will be delete (hope not).. thanks for the memories ♥️ we will keep supporting you no matter what
UgxHripBI-7x0_Pa75J4AaABAg,1646956800,IdenityX Unknown,0,"First time watching Splatoon gameplay :_ハート:, PLS COVER CORPORATION DON'T DELETE HER YOUTUBE CHANNEL

Rushia got a bit sticky today:_くさｗ::_くさｗ:, going to need some cleanup after this Rushia"
UgwfAFU-B0y5aXwirld4AaABAg,1646352000,Andrew Munro,0,deez
UgzARrpA3uBxaxfKZc54AaABAg,1646352000,PatoTM,0,潤羽るしあ
Ugw8Bq7sMpVyKxq4u9F4AaABAg,1646092800,うㄜぎちゃん,2,"6:17
20:00"
UgyNlUz6pORX3H3xWLB4AaABAg,1646092800,cuchi,1,thank you
Ugxiti3DzGhDwBxGOMx4AaABAg,1646092800,n m,1,"懐かしい
この配信のぺこらは「わたし」呼び多いな～"
Ugx3auzdln85Q9jWfkR4AaABAg,1646092800,パンケーキ,10,"残り1ヶ月しか見れないのか。
全部のアーカイブを見返すには全然足りない。
もっと前から見返していればよかった。"
Ugx3auzdln85Q9jWfkR4AaABAg.9YxyOS9T9GF9_EpTioT6ng,1648734960,こたわふ,0,あと1時間ですね…
UgxmIwFTn9Zcigv7NGt4AaABAg,1646092800,Salmagros,1,This IS PAIN!!!
UgxWWVcxsJs2qNmqE454AaABAg,1646092800,L,1,69!!!!!!! COMMENT
Ugyd9Fn_k7GL2Wg2kNx4AaABAg,1646092800,L,1,68th comment
UgzwGz3WpnV4YjHKo_Z4AaABAg,1646092800,L,0,67th comment
UgwvHHnWzkeoNQLQuWV4AaABAg,1646092800,Alpha Angeloid,2,1:49:00 く○がきw
UgzCEZBvdY7NABcFonN4AaABAg,1646092800,Gilberto da Paz,1,T-T
Ugz2aGTt03IKS9aFxYN4AaABAg,1646092800,Alpha Angeloid,1,1:28:54 雲隠れの術
Ugxolw5-nsgZuTajVLx4AaABAg,1646092800,夏海,2,........好き
Ugxbdj5WFaF8ijt-tGx4AaABAg,1646092800,Azur Lane Fan,0,<3
UgwduiPSY4yuyz2cDWJ4AaABAg,1646092800,LÀ CHÂN LÍ LOLI !!!,0,goodbye😔😔
