id,timestamp,author,likeCount,text
UgyovnWaQ7zhwOhEwJ14AaABAg,1622505600,椿ブレイド,1,"るしゃーの頑張りは解るけど
一旦剣持さん尋ねに行こうか。"
UgwoNpC6694S7TmKDs14AaABAg,1619827200,Mashi,0,Rushia is not a girls reason why boys are flat .Rushia is a boys .Rushia is a male that dress like a girls .think about it Rushia is best boy
Ugx4XHlAb7q_5JlJCGV4AaABAg,1619827200,mazer322,0,I can hear another death metal compilation incoming
UgwHTKHD27sKS2dQ17V4AaABAg,1619827200,Zレダラ・カル,0,"さっきるしあとデートする夢見たー。
これで半年は生きていけそうだ。"
UgwjV4a5xJ0u_fESHy14AaABAg,1619827200,たけし*,0,"わかんないけど
休めるときは休むんやで
それで時間かけてもいいし
気持ちが落ち着いたら
帰っておいで"
Ugw16ZKLSu_9EeK0ZvF4AaABAg,1619827200,Cris AIM,0,^-^
Ugxo6McwGbR7ZOFXDvR4AaABAg,1619827200,いろはす,3,"るしあちゃん( இ﹏இ )
自分のタイミングでいいから、絶対戻ってきてね！！るしあちゃんが孤独な受験の唯一の精神安定剤だったので… 心配で心配で心配で授業や寝る時もるしあちゃんのことでいっぱいだよ😭 無事で、それで元気でいてくれればそれで良いんだっ！ 好きだよ、るしあちゃん！"
Ugxo6McwGbR7ZOFXDvR4AaABAg.9MK5B4sUrff9MKMPynsFoY,1619827200,傍に居るの地縛霊 HNMR Jack,1,"Me, too :_大泣き:"
UgwlLNYDe6wDrEPXoWR4AaABAg,1619827200,桃子弟,0,あなたが大丈夫だといいのですが、あなたはあなたの健康に注意を払い、あなたを悪意を持って批判する人々を無視しなければなりません。最後に、私はあなたをサポートし続けます、私はあなたを愛しています:_ハート:（あなたが私のケアを見ることができることを願っています
UgwaWIBRoV_fjZTXgLd4AaABAg,1619827200,Satsumaimo Ch.,1,"こんにちは、Rushia。私たちはあなたを愛していますので、元気を出してください。フィリピンのファンの皆さん、心から。
❤️❤️❤️❤️❤️"
Ugwam-rZqTS2Mw039-F4AaABAg,1619827200,Летящий в Харю,0,"Кто бы знал, что я сюда попаду!))) Привет из России Рушия!)"
UgxmsSrPfGBNedSRQGx4AaABAg,1619827200,秀司鄭,1,"≡ω≡おまい動画けさんでもよくね
時々イライラしすぎで心配するわ"
UgzGtTl0pCFgw-Qz54t4AaABAg,1619827200,sempre que vc ler os comentários eu vou estar lá,2,Contém promoção paga
Ugx8KpzaXSLzW2EMDY94AaABAg,1619827200,うーる🦋兼エビがアルビオ,0,昨日？一昨日？の誤配信大丈夫だった？
UgwDq76bEQEtnacoc1d4AaABAg,1619827200,岸辺露伴.,3,"今朝2回無料プレイでタペストリーやったら取れたのだが...
これからやる人へ
たこ焼きのやつはオススメです(運が良ければすぐ無料で取れます！)"
UgyYVC-LF_G4b1AcWXN4AaABAg,1619827200,tyitto pote,0,やってみたらアクキーが無料でもらえたポイントでゲットできたー！！
UgxMOAoiaA_MMou1uMZ4AaABAg,1619827200,Gren tree m,1,I really can't manage my time properly
Ugy1T7c7HgLWSwa2t0t4AaABAg,1619827200,ありあ,5,"鉄壁ペアか……
掴みにくそうだな(笑)(´・ω・｀)"
UgwMxEefWosiot7ZUZl4AaABAg,1619827200,OverCute 69,0,P together strong
UgzarJhyx7VE2NJYIu14AaABAg,1619827200,うまる隊長,0,見渡す限りの絶壁
UgzffGdLHnHTrpfxIUN4AaABAg,1619827200,うみぃ,2,"かなた「握力は50(入れろ)」
モーリー「はい。」"
UgxXsv6BUADzVcM-YXp4AaABAg,1619827200,kou ryu,0,アクスタとタペとクッションGET 🐙で全部沼って今月オワッタ
Ugxsc6JDqAw5IagQQnl4AaABAg,1619827200,金欠,2,さっき無料プレイ2回でるしあのクッション取れたんだが、、、、、、タコ穴のやつオススメです。
UgzD-mKOpqxkigDYvyF4AaABAg,1619827200,たんたん🛸💜,0,"改めてコラボおめでとう🎉
かなるしの姉妹感楽しかったです！！"
Ugw_CWhfgUiynABSYvZ4AaABAg,1619827200,たこ焼き,3,これ獲れた人の最高額と最安値気になる
UgyUObRNws6knX1LU_R4AaABAg,1619827200,Floating Sunfish,2,"Can someone explain what's going on here?
Are they playing a real crane game remotely and just streaming a camera feed?"
Ugzd-Kz_u9g81RdiJlN4AaABAg,1619827200,しょーた,3,ホロの双璧は面白いなぁ
UgxNE0S2ZA5T_UqmMCh4AaABAg,1619827200,朱鷺戸沙耶,24,鉄壁と言うべきか絶壁と言うべきか
UgxNE0S2ZA5T_UqmMCh4AaABAg.9MCOzpn3Os69MCpOLr-miB,1619827200,秀司鄭,2,"掴みやすい形状。。。。
えっ。。。。の。。。。
ノイズひで。。ぇ"
UgyUTqJ7mc2BcAagN-94AaABAg,1619827200,紫薇安吉,0,這娃娃機真坑…
UgwfBhfZpfc7YLAtsNd4AaABAg,1619827200,うたchan,0,アクスタとりました！
UgzVC0BK3w4BJAQu_0h4AaABAg,1619827200,Akizuki Kanra Ch.,28,"this is the most blessed scream compilation, my life is complete now."
UgxAU55C6DLOR6o-AGx4AaABAg,1619827200,884,16,かなるし……鉄板コンビやぁ……
UgxGLa99va1w95YVDHd4AaABAg,1619827200,Vyse,2,"Rushia those new merchandise items look cute, but I don't think overseas can get them. I wish you the best though!:_るんるん::_ハート:👍

Gorilla Grip Claw vs Pettan Box. That's what was on my mind the whole time. I'm sorry Rushia."
UgzM11WywZNxio-zv6h4AaABAg,1619827200,うすみどり,2,"改めてコラボおめでと🥳🎉
戦利品もたくさんGETできたね！
2人のわちゃわちゃトークもいっぱい聴けて楽しかったよ！
クレーンゲームド下手だけど自分も挑戦してみるね…！:_きゅん:"
UgxbcQ3kqc2V_-r_Wvp4AaABAg,1619827200,ディアウスピター(ФωФ),0,今日見られなくてごめんね～( ´ー`)
UgzUfgbiLiKiAz4v6BJ4AaABAg,1619827200,バタモン╰ お兄ちゃん,0,"お疲れ様だよ〜
早速プレイしてきたよ〜
今日もありがとう、大好き！"
UgwBhsaTw0rbNm66v5x4AaABAg,1619827200,Aozora Haru,0,取った瞬間めっちゃ音割れしてる（笑）
UgwHutrEOHnCbnDHgHp4AaABAg,1619827200,Stormray the Skeleton,1,Pettan 🧐
UgwHutrEOHnCbnDHgHp4AaABAg.9MC66aq8ihH9MCKBSda5BG,1619827200,1234,3,is the best
UgwHutrEOHnCbnDHgHp4AaABAg.9MC66aq8ihH9MCQgn9lqnY,1619827200,Dirck the Dork-Knight,0,NEEEEEEE
Ugyra2kKvcfINUflzSJ4AaABAg,1619827200,Sharky Gawrrr,27,"These two are really cute together, Rushia Angy face and laughing Kanata is such a blessing.

Also Rushia 'accident' stream went off with like 7k views lol"
UgydGuld7VG9qEntF-J4AaABAg,1619827200,s_s Dierah98,1,Lol rushia accidentally mistake turn on the stream...🤣🤣🤣 Btw tQ for the stream rushia & kanata...🥰🥰🥰
UgxsZiib-H4bJA1uCE14AaABAg,1619827200,新垣kakki,0,"クッションとタペストリー全部取ったら8000円も使ってしまった‥
だが後悔はしない‥明日からもやし生活だとしても（ ;  ; ）"
Ugyas-puTi01gXNswFB4AaABAg,1619827200,まお,0,仲のいい姉妹っぽいやり取りかわいかったよー！観ててとっても楽しかった！
Ugw2vXbR7-rjQjOzOMp4AaABAg,1619827200,Tin Jie Yu,0,❤❤❤
UgxEtY89DeRXjDKGdGl4AaABAg,1619827200,蒲焼さん太郎,0,"かなるしコラボ楽しかったよ！
2人の掛け合いかわいかった"
Ugx7NMDJDcegNcbBLX14AaABAg,1619827200,Kect kun,0,Gak bisa bahasa inggris:v
UgzYT3hpS20SCFE_kRJ4AaABAg,1619827200,Kurochloe (山内),4,After that NEW stream accident! With 7k viewers!!
Ugye_VjZnrZY9PJdadh4AaABAg,1619827200,iisakanaaa57,2,What happen ru~chan?
UgzlI1b_6yA-Aw5oKsl4AaABAg,1619827200,ああ,8,"かなるしの姉妹か…最高だが
かなたんが姉で逆らったら握りつぶされるんだろうなぁ…"
Ugx30l4Nhi3_vX5UpuJ4AaABAg,1619827200,Doro,0,I want these goods but they are not available to me:(
UgxmXyFpWbvVP_9bqGZ4AaABAg,1619827200,Redan Kenneth Uy,39,"8:42 Introduction
1:08:21 No More Credit

Game 1
17:17 Start
25:11 End
Game 2
27:09 Start
38:28 End
Game 3
39:29 Start
52:58 End
Game 4
53:55 Start
57:56 End
Game 5
58:51 Start
1:04:42 End
Game 6
1:05:24 Start
1:08:21 End"
UgxmXyFpWbvVP_9bqGZ4AaABAg.9MC2a1lciiO9MC2aliM6rA,1619827200,Redan Kenneth Uy,2,"Bless
20:52 21:37 26:23 32:24 33:29 33:49 34:49 36:06 38:30 43:12 47:26 52:55 57:56 59:23 1:04:15 1:04:42 1:08:21"
UgxmXyFpWbvVP_9bqGZ4AaABAg.9MC2a1lciiO9MDWSgsvxyq,1619827200,Velveteen Sallet,1,10q for the timestamps.
UgwpsHqdxeJT4yl3Yhh4AaABAg,1619827200,Lost Identityy,0,Naisu 🐣
UgxLkYNhjLrf-TRT6LJ4AaABAg,1619827200,ケイタン,0,おつるし様！
UgxemWL2gpnY-VGnDYJ4AaABAg,1619827200,RIE.月代 理恵,0,"Thanks for your Hardwork
Congrats for getting Prize:_きゅん:"
UgyxgbkhRG3x6gwGnzd4AaABAg,1619827200,abc8773,0,I'm too late x(
UgxK1SmKQ-eyV7KxGZ14AaABAg,1619827200,Kuro Usagi,16,Really loved this KanaRushi collab ~♡
Ugwfb-yFzu4DFW80hgt4AaABAg,1619827200,唐刃カグト,15,おい、なんでるしあちゃんとかなたんのクッションが分厚いんだ()
Ugz4t6jnfSh1gafemz54AaABAg,1619827200,BT麻雲,2,"久しぶりのかなるしコラボ楽しかった！
てぇてぇトークで大満足
グッズ取ってきます！"
UgwIDrMKhbwYRLVRtIB4AaABAg,1619827200,Wil Han Ch.♠︎,40,"Those rushia x Kanata in the background...


I really want that, damn"
UgyJ51hoQwYqG1BoukB4AaABAg,1619827200,ぴっぴどん,0,案件おつるし！
UgyRibPuI1liY7wFpkN4AaABAg,1619827200,iisakanaaa57,1,Wuhuhu
UgyhgQdzmpxuWZIy1Ih4AaABAg,1619827200,"fire,",0,"コラボおめでとう！
たくさん遊んでゲットするね！
楽しい配信だった！"
Ugx5CDgasSY574gAUoV4AaABAg,1619827200,ボリサムSam★,7,":_おつるしのお::_おつるしのつ::_おつるしのる::_おつるしのし:とおつかなた〜
二人の姉妹感は本当に楽しかった！かなるしグッズは絶対全種類ゲットします！"
UgyvA6Qm7lpUbddSvdh4AaABAg,1619827200,7525 sadame,1,！？:_あせり:
UgxWFv7JGjTOGSZLYiR4AaABAg,1619827200,SADBOYfr,10,"arigatou for the stream KanaRushi :_ハート::_きゅん:
edit: it was chaotic in that accidental stream :_くさｗ::_くさｗ::_くさｗ:"
UgxWFv7JGjTOGSZLYiR4AaABAg.9MC1u0kNgnV9MC7Fwy52_A,1619827200,Aetheral,2,What happened? Did she accidentally click the stream button
UgxWFv7JGjTOGSZLYiR4AaABAg.9MC1u0kNgnV9MC7WOMV0n2,1619827200,SADBOYfr,2," @Aetheral  most likely, Rushia or manager-san probably noticed then ended it."
Ugw6Ilg02dmkOYwIF_J4AaABAg,1619827200,あんころ,37,"今からタペ取る人へ
このはしおとしはアームギリギリで寄せようとするとアームが片方しかかからずにパワー不足でまともに動かない
だから中央から左右に少しズラしたくらいのアームが2つともかかる位置で少しずつ動かすのがコツ！
46:55こんな感じ！"
UgzIqkN48XhsdNFZvfp4AaABAg,1619827200,KON,3,Bye bye~~:_ハート::_ハート:
