id,timestamp,author,likeCount,text
UgyW_43QS7HxaPNtXkh4AaABAg,1646956800,BILLIE JEAN,0,;-;嘘だった
Ugx0AhkvcZJsVclYpJB4AaABAg,1646092800,Ghazzz,4,Goodbyeee....
UgyNK01QXE7WN4N8ziR4AaABAg,1640995200,よしわら: yoshiwara,0,"るしあちゃんのトークはコメントちゃんと掬い取って話してくれるから面白いよー！
声聞いてると落ち着くから眠る方もいるかもね〜褒め言葉よ☺️作業するときにはラジオ感覚で聴いてますー
温泉浸かって茹でた卵になります〜🥚"
UgzadrJDMCizOivQKMl4AaABAg,1640995200,よしわら: yoshiwara,0,"この回か！偶然見つけた汗
序盤チューニングするイケボるーちゃんかわよいなあ

加湿器買ったんかな〜"
UgxbFfou2X_VxJVzQ8h4AaABAg,1635724800,Bruce OvO,0,"もう一度見ました！
明日はワクチン1回目打ってきたからるしあちゃんのお話を聴けて色々参考になりました！
るしあちゃんありがとう:_きゅん::_ハート:
明日がんばってくる...！"
UgxmGQ-P57BoQKEkgx54AaABAg,1635724800,いよてん,1,"体調悪いときは無理せず何もせず考えずが一番(*_*;
時にはしっかり休養も大事、お風呂なら一日位なら大丈夫よ！"
Ugxq741mLa4QpWSb8wV4AaABAg,1633046400,Mau :D 🐳✨,1,"5:48 - 6:05
6:08 - 6:13
6:30 - 6:40
7:04 - 7:28"
UgytTFN85lCg-yhhKLd4AaABAg,1633046400,あばばん,0,"冷えピタより保冷剤とか氷枕タオルに包んで首とかに当てるほうが良いですよ
冷えピタは気持ちいいけど冷却効果は無い"
UgxJd_V0alKpMlyfZsp4AaABAg,1633046400,S級ニート,0,"るしあ
ルキア"
UgwIBNwfH3LyqPXjfDN4AaABAg,1633046400,長葱戦士,2,"40:50
配信で暴れてることを知っている…
それってつまり…？🤔"
UgxOX2YVCOYrhn-OLCl4AaABAg,1633046400,ピカねる,1,"乙です！大変でしたね。
周りにコロナに感染しても苦しんでる人は全然いないのに、ワクチン接種で酷い目にあってる人がとても多いのでかなり不安です。"
Ugx56pnlzpQ0bXstCd14AaABAg,1633046400,はるはる,2,"るるの声は超好き!
お大事に🙏"
Ugx03BXNggxHgmAQQsN4AaABAg,1633046400,ギル,2,"んー…
家族に流されたり周りに流されて打つ打たないを決めるのではなくて
一旦落ち着いてちゃんと深く調べて
自分で考えて自分で打つ打たないの判断をして欲しい。

難しい問題だと思うけど、頑張ってね"
UgyVgeyAAU1Bxhe1OpR4AaABAg,1633046400,RAMPAGE SUPERCAR,0,"Well, rushia need vaccination, because corona virus is a dangerous virus i never seen before. If she don't, everything is going to get worse!"
Ugyz3rgXUtilOBlADvd4AaABAg,1633046400,くまン蜂,0,"リアタイできずに後日アーカイブで知ったのが少し残念だけど、副反応は身体が予防接種に反応している証拠だから宿命なのかもしれません。

これ書き込んでいる時点でモデルナ２回目終わって約24時間経過したんだけど、もしかして俺にとってこれからが本番かな？"
UgyouAZfc33iSczEzB54AaABAg,1633046400,大河むにゅ,0,"「どのブランドのワクチン打った？」……製薬会社をブランドと呼ぶ女……
ホロライブみんなワクチンやな。
職域接種あったんか。
まあ、ライブやるなら演者スタッフの全員接種は必須だろうからな。"
