id,timestamp,author,likeCount,text
Ugz7qg7WG8smEMJWvK14AaABAg,1643673600,ワラソティス,1,"るしあちゃん画伯過ぎて終始爆笑してたｗるしあちゃんの絵は優しいタッチで見てて癒やされる！
自分の絵が売れたときの嬉しそうにはしゃいでて可愛かった！流石美術９"
UgxvsY3ljtCzAQbPBT54AaABAg,1627776000,AHYAI,0,"るーちゃんとお絵描きしたのが楽しかったので見に来ました！
るーちゃんの概念を絵にするコーナーが特に良かった…
めちゃくちゃ可愛いんだけど、可愛さの中に時々ふっと見せるダークな部分がるーちゃんが実は思慮深い人物だって物語っていてすごく落ち着いた女性を感じられて好き…(∩˘ω˘∩ )♡
この頃のふぁんでっどちゃん達も、るーちゃんが何も言わなくてもいつもと違うって時は分かってたんだね…
僕はみんなに心配をかけないようにしてくれてるるーちゃんが大好きだし尊敬してるし、るーちゃんが自分から言わない時は何も聞かずにそっと寄り添ってあげたいなあって思いました。"
UgxUuzWoA1cjF_ZGqo94AaABAg,1617235200,ぼぼらぶ,0,"るしあは凄い、天才だ！
""希望""と言う題名の絵はまさに碇ユイとシンジとATフィールドの関係性をあらわしていると思う。
ユイのATフィールドに希望であるシンジを迎え入れ守ってあげようとしている様に見える。
るしあは本物の初号機か？"
Ugwb4Xs8IfN789EvCg94AaABAg,1617235200,Hito Kikoeru,0,"45:00
I started to worry about rushia
We forgot sometimes that she's a normal girl. She feels anxious here and there. And I'm this chance she let us know what is she feeling through her tone as a vtuber or an idol by drawing her anxiety.

I love you rushia not only as a rushia but the person behind it.

Jinsei Ganbare rushia
Ganbarenai kutemo mo daijoubu"
UgyED7DliVZyO95JRdV4AaABAg,1617235200,白月,0,"Ibに出てきそう…。

タイトルと絵がマッチしてイメージが膨らんでくるからじっくり見てしまう。"
Ugzk0YtPL3tptq3Q3at4AaABAg,1617235200,fumi,0,ホロライブのゴッホ
Ugwuiu12VQIfXNjyISh4AaABAg,1617235200,avarisu,0,"Bruh, Rushia is an actual philosopher"
UgzNi-8SfGz4seaaZ_14AaABAg,1617235200,spicca,1,現代美術って難しくてよくわからなかったけどなんかるしあちゃんの絵を見たら何となく分かってきた気がする
UgwGIQyVWYwHFPKnv-x4AaABAg,1617235200,e- eison,3,絵がとても上手いので参考になります。
UgyS-JvazMJqdphCC754AaABAg,1617235200,李宗彧,1,"ゆっくり休んで、
健康に会えることを願っています"
UgziZwhN4wel8FrsneZ4AaABAg,1617235200,瑞樹漢化,0,I love you
UgyS5ZDT3usQXUsG34J4AaABAg,1617235200,はなかっぱ#UGK。,0,a
Ugy4BBu5Gwue9qGxzGB4AaABAg,1617235200,Uvuvwevwevwe onyetenyevwe ugwemubwem ossas,0,33:57
UgwUhAmpA_1SbNivm3B4AaABAg,1617235200,葛餅,0,1番最初のBGMめっちゃいい
Ugyrm6mt8nakAzHar614AaABAg,1617235200,Robert Simmons,0,"1:21:11
 Deutsche Reichs-Adressbuch für Industrie, Gewerbe und Handel? 
German Empire Address for industry, trade and commerce? 
ドイツ帝国工業・貿易・商業用住所録 ?"
Ugz0cBMFqIDEuDaOq-J4AaABAg,1617235200,猫ねうす【雪民】,0,世界２位おめでとうございます
UgxnKJjPSnUyugYRMLV4AaABAg,1617235200,Cycløps,0,"No boing boing.

Flat forever :>"
Ugw0TYZjeV2RtyGFM3J4AaABAg,1617235200,おと,0,1:50:10 完全自分用
Ugy6-GfnZ1En3PrzWy94AaABAg,1617235200,Vidrios,0,What game is she playing?
Ugz6nZj9W9c2NTQp__J4AaABAg,1617235200,ZZ27,0,2:20 ？？？？低血圧？
Ugwa-i-CHCwyYr0EU5l4AaABAg,1617235200,俺は悪くねぇ!,0,"シオン先輩の眉毛で笑いが止まらない…笑
いつも元気をありがとうね！"
UgzE3tm6ywyupNQvg_J4AaABAg,1617235200,ぷてら。,1,3期生の絵描いた時自分じゃなくてマリンを真ん中に描いてるのに愛を感じた
Ugz-JI1-hUbA_jEZHfJ4AaABAg,1617235200,焼きしいたけ,0,破産してから絵のスタイルがゲルテナみたいになるの草
Ugxa4X6wf2AAph_5kZ54AaABAg,1617235200,ごだ,0,"☆画☆伯☆
他の人とは違い、抽象的なもの描きまくってておもしろいw"
UgwZNyytkJdp79ndjDV4AaABAg,1617235200,Kiddmigz,2,34:56 thx me later
UgyKJEGLcfKe3cSVVj54AaABAg,1617235200,Thai Anh Hoang,1,1:21:13 Rushia lives in the German Empire???
Ugwm22lVglghvLGBGrR4AaABAg,1617235200,ZeroXIris,0,1:04:58 Angry Rushia = very very cute Rushia :_きゅん:. Thank you the stream Rushia-chan.
UgziR0u9mB8iGLSidRN4AaABAg,1617235200,Ayasa Urakami,0,ピアノ教えてほしいです_(:3 」∠)_
Ugy2oyUIhqO5RnYZO6h4AaABAg,1617235200,うより,1,"おかしい…仕事終わりに癒しを求めて落ち着きのあるパスパル配信を見ていたはずなのに気付けば笑いが止まらないぞ…？
まあ、癒されたから良いんだけどね:_きゅん:

44:21
1:12:42
割とマジで考えさせられる作品だと思った(小並感)

1:17:52
色を塗らなかったのは「この絆は色褪せてほしくない」って捉え方も出来て、僕は好き。"
UgxR1OgToapbQ5ii2gN4AaABAg,1617235200,てぃ,0,暴走普通にすき
Ugyprb9XJi2XWKZn3_Z4AaABAg,1617235200,ライオンRyon,0,天才るしあ
UgxJl_e5Oy2EFlST0Mh4AaABAg,1617235200,あでにん,0,"自分用2:20:42
連呼ごちそうさまでした…🦋
あと半月も無事仕事頑張れそうなのです！"
UgwkPgST0d_S5-eqloB4AaABAg,1617235200,Ana,0,I love you love you!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Ugz_0Jd-GPAg9DN3sTB4AaABAg,1617235200,白い影,0,Did Uruha Rushia draw Boing Boing Rushia Coz I the steam Miss it😭😭😭
UgzgBlZw7ztIfIJ3Vod4AaABAg,1617235200,やきやき,1,初号機罰ゲームは何処へ?笑
UgzbCB69s4oscOpoWVp4AaABAg,1617235200,alice,1,るしあちゃんのイラスト好き
Ugw2ZnEOID-1Bz4E_Ix4AaABAg,1617235200,i saka,1,maxまで交渉する卑しさ可愛い
UgwQKE-xfcMCiDpbLiF4AaABAg,1617235200,ろいろい,2,"深いイラストや、るしあちゃんらしい可愛いイラストばかりでほっこりした😌

たまにはこんな配信もいいね"
UgyuYejEIKsM5Zwes354AaABAg,1617235200,柊,4,全部好き
UgyuYejEIKsM5Zwes354AaABAg.9G9oKAW-OrZ9GA4rK-XLKZ,1617235200,わあさた,1,"それな❗声も仕草も風呂入ってるときもトイレしてるときも可愛いよね❗




え？"
UgzTbtIjgcgmee7y6oR4AaABAg,1617235200,Gren tree m,0,Pikachu lel
UgzD3dAzCDZHUhI-z6B4AaABAg,1617235200,焼きたてエッグタルト,4,1:04:51 よしよし、ちゃん伝わっているよ、るしあの狂気が:_きゅん:
UgzcMJ33wzTLkOT2UQ94AaABAg,1617235200,Staynight,17,"Rushia's is creative! I have no idea on how to draw with those topic but she can draw it immediately with a deep meaning. (my opinion) Anyway, thank you for the stream. We enjoy this!"
Ugx7OqDRfE_URl7dveB4AaABAg,1617235200,Redan Kenneth Uy,11,"Thank you chat for live translating painting title names
5:08 Desk-kun -30 HP Triple Hit

1st Try
13:56 Draft 1: Self Portrait
16:44 Draft 2: Shion's Eyebrow
19:03 Draft 3: Pikachu
22:00 Painting 1: Corn Snack
25:06 Painting 2: Grandma's Cookies
28:56 Painting 3: Pekora (Pettan)
35:42 Painting 4: Marine 1 (Head Only)
41:16 Painting 5: Marine 2 (Game Over)

NPC Reactions:
23:33 Painting 1: Corn Snack
28:10 Painting 2: Grandma's Cookies
34:52 Painting 3: Pekora (Pettan)
40:15 Painting 4: Marine 1 (Head Only)

2nd Try
44:30 Painting 1: Life
46:38 Painting 2: Light
48:40 Painting 3: Resonance
52:21 Painting 4: Philosophy
54:46 Painting 5: Past and Future
58:02 Painting 6: Heart
1:00:50 Painting 7: Madness 1
1:03:32 Painting 8: Madness 2
1:05:40 Painting 9: Anger
1:08:24 Painting 10: Hope 1
1:10:57 Painting 11: Hope 2
1:12:16 Painting 12: Runaway
1:14:35 Painting 13: Bond

NPC Reactions:
45:45 Painting 1: Life
48:09 Painting 2: Light
50:41 Painting 3: Resonance
54:25 Painting 4: Philosophy
57:16 Painting 5: Past and Future
1:00:00 Painting 6: Heart
1:02:24 Painting 7: Madness 1
1:04:18 Painting 8: Madness 2
1:07:44 Painting 9: Anger
1:09:50 Painting 10: Hope 1
1:11:42 Painting 11: Hope 2
1:14:06 Painting 12: Runaway
1:18:08 Painting 13: Bond"
UgyIAKiX8heUp52U31R4AaABAg,1617235200,まお,0,"まったりお絵描き配信楽しかった！
今日も照れ照れるしあ可愛かったよ。"
Ugw4H8CxXibd8wzVnMV4AaABAg,1617235200,Homaru Tengen,0,"Rushia, the artist ❤️❤️❤️"
UgwxqyRH_aKaehPcMvN4AaABAg,1617235200,炭酸がす,2,聞きながら宿題やろうと思ってたら、るしあちゃんの想定外の可愛さに目が離せなくなって全然進まなかったんですけどぉ！！！:_ばんっ::_ばんっ::_ばんっ::_ばんっ:
