id,timestamp,author,likeCount,text
Ugxfy0PPQeQTECObph54AaABAg,1648735200,くらりからり,0,"この配信でるしあと出会って、ホロライブを好きになりました。
上手な言葉は浮かばないからシンプルな言葉だけど、今まで楽しい時間を本当にありがとう。
いつまでも大好きだよ、おつるし！！"
UgzcMArjJQ55QwJ5pNt4AaABAg,1633046400,Louis Daza,0,Kawaii indeed
UgwdQCO9FIcCvnvF2MR4AaABAg,1630454400,Gustavo Ch.グスタボCh,0,Rushia fue un genial directo de [Minecraft] ¡Una pobre arquitecta le hace un regalo a Coco! [Uruha Rushia/Hololive] y genial directo fue este jugando Minecraft siempre es tan relajante verte jugandolo aparte viendote interactuar con las otras miembros fue tan adorable excelente trabajo estas haciendo con ese projecto ah eres tan linda Rushia te amo.
Ugz7sA4HDDVrlpRZsdF4AaABAg,1630454400,Tiny Hands Peter,1,2:45:25
UgxvtJxzTkIRPBhBnZ14AaABAg,1630454400,Kai Tetsujin,1,2:45:20
Ugz5l16G2gAZs5tKDTx4AaABAg,1630454400,A Cow,0,2:45:27
UgxFAy7DbGwtm3G8DHx4AaABAg,1630454400,RuMi,0,30:21 i saw something
UgzddrWvBw1Rybf45tt4AaABAg,1627776000,Kitit lown,0,Why is the first second random text
UgwPB8INTakhLUsoUFl4AaABAg,1625097600,DaSniper2 [Watame's Apostle 6th of the Twelve],1,2:45:30 BIG KUSA
UgyEGlRtAOI0DsxoSYl4AaABAg,1625097600,アンジェロ,0,🦋🦋🦋
UgzMmKpSIL6dIJNj80d4AaABAg,1625097600,cos. mos.,1,0:00⁇?
Ugwma8K1OvYzoMsrdNx4AaABAg,1625097600,とあるしゃちょー&バロリ&広瀬すずと大江梨久がすきな高橋コトノハ&ごには?ロバート数ノ子、石川依与吏,0,"るしあちゃん
助けてください😭"
UgySWlih3xrQdyAgaGt4AaABAg,1625097600,とあるしゃちょー&バロリ&広瀬すずと大江梨久がすきな高橋コトノハ&ごには?ロバート数ノ子、石川依与吏,0,"るしあちゃん
許してください💦😞💦"
Ugz0r01KFMW8ZbFnMVh4AaABAg,1625097600,洛熙🍑,0,私はあなたがmcをプレイするのが大好きです
UgxJsL_qWYpNpxrmJFh4AaABAg,1625097600,とあるしゃちょー&バロリ&広瀬すずと大江梨久がすきな高橋コトノハ&ごには?ロバート数ノ子、石川依与吏,0,"るしあちゃん
頑張ってください‼️
応援しています✨"
Ugx4tnqB-x7DjUb23Tp4AaABAg,1625097600,とあるしゃちょー&バロリ&広瀬すずと大江梨久がすきな高橋コトノハ&ごには?ロバート数ノ子、石川依与吏,0,"るしあちゃん
助けてください！！"
UgyW-HAmnNTDLp-k6DJ4AaABAg,1625097600,煉夜,0,見れなかったのでアーカイブから見ます
