id,timestamp,author,likeCount,text
UgzRf7J2RCrVRxQBwSJ4AaABAg,1635724800,KisseAkiYu,1,"(comment updates until this line is deleted) 

3:14 :_こんるーー: also cute whiskers

6:57 😯 kowai

13:00 nice english I think he/she appreciates that."
Ugz9s4HgA38sFNvYiLZ4AaABAg,1627776000,AHYAI,0,"やばい、るーちゃんのフォールガイズ見るのめっちゃ楽しい…😳✨
こんなに楽しそうにゲームする女の子初めて見た…(*´`)♡ｷｭﾝﾃﾞｽ"
Ugz4PlCqUdW-VCK4w2p4AaABAg,1619827200,まろ,0,この動画の最初に流れてるBGMの名前知ってる方いたら教えて貰えてください！！
UgyW4sN4tWfiPGeh5h54AaABAg,1617235200,Silly VGAMER,0,とてもかわいい
UgzGfOZ9sR_BBhnHWop4AaABAg,1617235200,Sal Shoker,1,57:03 Rushia's Powerful Scream
Ugwlg4qAax0vHNeMkIF4AaABAg,1617235200,Papoy,1,1:34:17 - 1:34:24
Ugxv36cLsKfs_mL5w4d4AaABAg,1617235200,及川龍,0,どなたかオープニングのbgmのタイトル教えて頂けませんか!凄く好きなんです
UgzT4Epu4k7O2MG3Anx4AaABAg,1617235200,ナナセレイ,0,1:49:10かわいくてくさ
UgxuYw9xgg21xOEwkuZ4AaABAg,1617235200,Thenoob Thailand,0,こんにちは小さな女の子一つは、あなたは私より年上です。
UgzWv-kHls2tZNDmLER4AaABAg,1617235200,ムラカミ,0,37:40とらドラのスキー会見ようここだけでも見よう。
Ugw42SbyqlHpsiK0BDd4AaABAg,1617235200,door,0,ずっと邪魔してくるやつうざすぎ
Ugz4S8Ar-epDU91jat14AaABAg,1617235200,ぜりー,0,"ゲームで怒るのはそれだけ真剣にプレイしてるってことですよ！
1位はとれなかったけど、新シーズン初めてなのにどんどんうまくなっていって最後は3位もとってたしさするしでした！
めっちゃ楽しかったー！:_るんるん:

にゃんこも早く元気になりますように:_あせり:"
UgwaqstEzXjLQhXFadF4AaABAg,1617235200,Megararo65,0,19:12 - Rushia is saiso because she hate sensitive stuff!
Ugwnzsz8CNEayU8wUap4AaABAg,1617235200,JDZ Reacts,0,Ahh sh*t here we go again.
UgzcnFq8LEZfTA0K2Gp4AaABAg,1617235200,Certain Account!,0,:0
Ugyf3EycMjO1YJEHnN94AaABAg,1617235200,俺は悪くねぇ!,0,"あと少し…あと少し…！！！！！
ハニートラップ…笑"
UgwHBziKmW44Dl9L6St4AaABAg,1617235200,Max,1,36:48 orange <3
UgzijDBym1VGvPesH5h4AaABAg,1617235200,KisseAkiYu,0,Sorry I missed the stream Rushia. Watching archive.
UgyvRG0oxLlIKVVO3yZ4AaABAg,1617235200,Nagisa,0,"ところどころイケメンるしあおるんやけど




かわいい"
Ugy7JRquFVMMy1AFK_p4AaABAg,1617235200,Collin1877,0,Thanks for the stream Rushia!
Ugzi82LadjCsT7NpAaN4AaABAg,1617235200,キンヘイ おとうと,0,1:49:21 so cute
UgxLY2yA5DfwHhcNlxl4AaABAg,1617235200,Slope,0,Fall guys characters look like skittle abominations
UgxD9vjhr1Ldtw7LvV94AaABAg,1617235200,フェザー.,0,Anyone know what is the intro music of the stream
