id,timestamp,author,likeCount,text
Ugy972cYLtW7r8MjoEZ4AaABAg,1646092800,中澤,0,"3時間があっという間やった
上位安定して取れるん凄いな"
Ugz7BAvcuoxmquF8_bt4AaABAg,1617235200,Young,0,9:38 13:20 17:17 19:58 25:26 26:15 29:42 32:02 37:41 42:25 43:49 44:31 49:43 55:36 59:38 1:00:40 1:03:00 1:06:00 1:12:29 1:15:31 1:17:15 1:28:54
Ugzekykb2bxYCixZm3Z4AaABAg,1617235200,ひふみん,2,2:38:30ここ面白すぎて何回聞いても笑う、マジでるしあ史上一番ヤバイw
UgxhZ_V_yeJLGgcNy6p4AaABAg,1617235200,N40,0,I like your big voice
Ugw7BHsD_OcP6yMFtYN4AaABAg,1617235200,Star Drim r TH ไทย,0,"3:53:30 i commwnt ""hell low"""
UgyCD0MqulCgA9vne1p4AaABAg,1617235200,Pyro,0,Mặc dù ko phải lolicon nhưng mình vẫn thích những bé loli :v
Ugx_GTvDhzyAIAfdXjR4AaABAg,1617235200,Mario SH,6,Donkey Kong country crocodiles: 2:38:30
Ugyyx-hPDTgw-taXb514AaABAg,1617235200,marimoss,0,???: 항상 태보하세요!!
UgzPHjVTBrhTARWohYV4AaABAg,1617235200,Genshicken,0,hello
UgxSEdBpYcwr0gPyKDB4AaABAg,1617235200,よしみ💍💭,0,"おつるしー！
つよつよプレイ最高だったよ"
UgwrXwxvPD5fXxwdj814AaABAg,1617235200,HAKU（ハク）,4,50:17あっ…w詰んだw
UgxOaiVL1J8lQ2DAQhR4AaABAg,1617235200,HAKU（ハク）,0,るしあちゃんマリオ凄く上手くなったよね…！😳
UgxsDgsDF1bSswVCbAF4AaABAg,1617235200,HOLLOW knight,0,Haha you think by deleting a video with your age and wieght will stop is from knowing
Ugw-crFZuybroZ0m0TZ4AaABAg,1617235200,小木木　優麻,0,秋ネイルかわいいですね
UgzByaENB2JqDSHJ5KR4AaABAg,1617235200,mee091000,1,That thumbnail is a gift to mankind
UgycP3lawIewx4MlkUJ4AaABAg,1617235200,ず〜みん,0,":_おつるしのお::_おつるしのつ::_おつるしのる::_おつるしのし::_なのです:
るしあちゃんの可愛いプレイが見られて良かった～:_るんるん::_るんるん:"
UgxDrD5gsI4r-gLT8K14AaABAg,1617235200,Donny Lane,1,Hi Rusha I hope enjoyed to play Super Mario Bros 35 game had great fun!
Ugz8tfGqEk2_gBnfTEp4AaABAg,1617235200,Leon Heart,7,50:15 I swear this kind of fail is Rushia's speciality
UgxJOt1Jy3xVkNOvM-54AaABAg,1617235200,うより,3,"3:14:28
取り急ぎるし姉さま

配信のあと気になったからDLしてみたけどかなり奥深いね…初見で3位取れたのって改めてすごいなって思い知らされたよ。

次は勝とうぜ！"
UgwJdF81um4VkGp2lZd4AaABAg,1617235200,まお,0,"2位と3位の間の壁は分厚かったね…！
魅せ場盛り沢山で楽しかった✨"
UgzhBrPF-PXR5BeZ__t4AaABAg,1617235200,ろいろい,0,"配信おつるし～🦋
確実に上手くなってるし、次は1位いけそう！😌
次こそはスナイプするぞー"
Ugx7OmVIPvqxCxhWkZZ4AaABAg,1617235200,ちょむ,1,"次は一位とろう〜
余裕コメントした瞬間に落下したりフラグ回収上手すぎたw
ずっと見てられるくらい面白かった〜"
Ugxc0uw1Fvl3j1X3k2d4AaABAg,1617235200,はらぺぇにょふらぺちぃの,1,これは多分裏でやったら1位取れそうやな…👀✨
Ugzx5r1Q_ILe8rEW8yp4AaABAg,1617235200,マーボー,19,2:38:30 マジで誰ww
Ugzx5r1Q_ILe8rEW8yp4AaABAg.9EMJaFnodE_9ENK5-RfIUL,1617235200,YTR_たいやき1号,0,アーカイブ見ながら爆笑しちまったww
UgzKEe6ljrHircu4h1F4AaABAg,1617235200,Pbyn,7,2:39:43 How would you jump that?
UgzKEe6ljrHircu4h1F4AaABAg.9EMJIQbAvcR9EMX884Y1KO,1617235200,Kevin Peixes,0,you jump?
UgxpyiZVoj-XpkZ4b-R4AaABAg,1617235200,Pbyn,0,Time for me to watch the archive bois!!
UgxUjNSDc6Xy05Rmn0V4AaABAg,1617235200,コルヒドラエ,2,1:06:03  閃いた
UgwiKJVqQuDtpFfQim14AaABAg,1617235200,konniy,4,"3:19 
i thought something was unplugged from my computer lul"
UgwfZ3NcIfTJViGD9-94AaABAg,1617235200,Yuki FUJI,3,1:36:33 ぶちゅちゅ〜のちゅ〜
UgzfRA1XEPDB58nue2V4AaABAg,1617235200,Amai Ta. Yume,2,"I was to busy today, but today, I was literally happy for seeing Rushia at least for a couple of clips before going back to my busy state. Thank you Rushia for the livestream, it helped me continue on my work and find some reason to move on forward."
UgzbyIQ0Fq1C3R_ZZ1R4AaABAg,1617235200,The King of Antarctica,23,2:38:30 This literally shattered my eardrums.
UgzbyIQ0Fq1C3R_ZZ1R4AaABAg.9EM87IXD8qG9EMAvATNlWz,1617235200,Joaquin,3,beeg voice
UgytrDMFku9jGjd0Pnt4AaABAg,1617235200,Hiryū Ran 草,0,Aaaw rushia thank you for the stream uwu
Ugx-8r4AiIiVZFmU4JF4AaABAg,1617235200,shinra,29,2:38:30 wth?!
Ugx-8r4AiIiVZFmU4JF4AaABAg.9EM5bTjyQpy9EMF8gSCR6K,1617235200,konniy,3,thats very manly of her lol
Ugx-8r4AiIiVZFmU4JF4AaABAg.9EM5bTjyQpy9EUtXF2iM9f,1617235200,Mario SH,0,Big voice beautiful big voice
Ugw7Ge9IKeWr9js5r714AaABAg,1617235200,ピエロのグレア🎪🎣,5,3:00 開始
Ugw7Ge9IKeWr9js5r714AaABAg.9EM52kNj-_d9ETtlhNkq_v,1617235200,Star Drim r TH ไทย,0,Windows sound?
UgxNZUPb194W8M7C1Tp4AaABAg,1617235200,Harley Geslani,74,"Girls talk in a higher pitch when talking to someone they like

Girls when talking to me: 2:38:30"
UgxNZUPb194W8M7C1Tp4AaABAg.9EM29NtnNzm9EMgwgEckoA,1617235200,るしあファチェラ,3,Jajajajajja 🤣🤣🤣 Lmao bro
UgxNZUPb194W8M7C1Tp4AaABAg.9EM29NtnNzm9EPSOqUkeAp,1617235200,Datu Roxas Mangelen Jr.,1,Wtf was that voice?
UgzFLHnoGxE_Nph02zR4AaABAg,1617235200,unicornio felix,0,Me pregunto si seré el único fan que habla español y no entiende lo que dice
UgzFLHnoGxE_Nph02zR4AaABAg.9EM1tqaiip09EM6-qxWTFA,1617235200,Krowkuervo,0,No eres el unico pero yo solo entiendo un poco de japones xd
UgzFLHnoGxE_Nph02zR4AaABAg.9EM1tqaiip09EMIPQ4wXON,1617235200,leonidass v,0,Yo entiendo la mayoría de lo que dice gracias yo del pasado por desidir aprender japonés
Ugz-jZrTZ-dtWbGSyrx4AaABAg,1617235200,社畜だワン,0,マリオバトロワどんなゲームか気になってたけどメチャクチャ面白いね:_るんるん:今日もありがと✨
UgzygowKY7dQzXHbArt4AaABAg,1617235200,NoiroDy,0,Dynamite cute!❤❤
UgyW0-UwlQVccFC9q_B4AaABAg,1617235200,Yveee,0,💖❤💖
UgyW0-UwlQVccFC9q_B4AaABAg.9ELzQKqrQp69EM-ari9SzY,1617235200,NoiroDy,0,Aren't you suppose to be with dio?
UgyW0-UwlQVccFC9q_B4AaABAg.9ELzQKqrQp69EMAddOSkFw,1617235200,NoiroDy,0, @Yveee  read it again you read it wrong
UgyW0-UwlQVccFC9q_B4AaABAg.9ELzQKqrQp69EMEiGPXgb2,1617235200,Yveee,0," @NoiroDy  damn im so sorry
Yeah"
Ugwy6uKtTDfyjNzmMiJ4AaABAg,1617235200,hiro schneider,6,今回のサムネめちゃ良くてスクショした
UgzDR84bqGkTRzKdxcJ4AaABAg,1617235200,Nexcell Pride,2,"A great streaming with a challenging game: ""Super Mario Bros 35""... :_ちょうちょ:

Just like ""Tetris 99"", the gray enemies are the junk from other 34 players as a handicap.
Rushia-hime did her great effort, she learnt about the combos (Also the jump after stomping enemies) and the form for survive at least to get a 3rd place. :_ハート:
Also not only she, we have fun too...
The weak point is her memory: perhaps she can't remember clearly the hidden items and where are placed some visible items.
But the great highlight is her english at 2:34:22, and during 1 or 2 gameplays...
Maybe Rushia-hime deserves a future challenging English Stream, since her english speaking skills are spreading. :_るんるん:

We are waiting for more from our Necromancer Princess :_きゅん:"
UgzkhNecQkPzAGbBf2B4AaABAg,1617235200,たなか,3,前回から思ったけどマリオのセンスはホロ１かもしれん
UgwRaEoa69drGjf70lR4AaABAg,1617235200,ごはんのおとも,0,ライブお疲れ様でした！！次は１位取れるよう、応援してます！！！
Ugw8YhIqbjs3-2HEO454AaABAg,1617235200,"fire,",0,"マリオおつるし～
1位は取れなかったけどスナイプできて楽しかった！
ほんとに上手かったから次ぐらい1位取れそうだね！"
UgzHxnrVzrzKt_afajR4AaABAg,1617235200,alice,6,"るしあちゃんの試行錯誤しながら少しずつ上手くなっていくゲーム好き
昔友達とあーでもないこーでもないって攻略法探しながら遊んでた時期を思い出して楽しい"
Ugw_G42xIyOWQn-5-Ft4AaABAg,1617235200,Lacticx,0,hi
UgxZIBiK8MH5CAmAPs94AaABAg,1617235200,LeechTa【リーシェ】,24,"おつるし！1位の壁は思った以上に高かったね...(￣▽￣)


3:49:14るしあちゃんの充電ボイス"
UgyrXGyRNPeuEaR3e154AaABAg,1617235200,Morales モラレスCarlos カルロス,7,実はとても面白いマリオゲームですが、こんなマリオゲームは見たことがありません。 私はとても感動しましたが、同時にそれを愛していました。 あなたがゲームの各レベルをプレイするのにどれだけ苦しんだかは知っていますが、元気を出してください。あなたがこのゲームで大きく進歩することを私は知っています。 きっとそうなるでしょう。 ルシアさんは休んで素敵な夜をお過ごしください。 グアテマラからのご挨拶 👌👌👏👏🎆😉😉
