id,timestamp,author,likeCount,text
UgwUp9oHAbZ1rS7g15l4AaABAg,1646956800,IdenityX Unknown,0,"Konbanwa Princess Rushia :_るんるん::_るんるん:, COVER CORPORATION PLS DON'T DELETE RUSHIA YOUTUBE CHANNEL:_大泣き::_大泣き:

It is always nice watching you just talking to your fans :_きゅん::_きゅん:
dudududududu~~~~:_ハート::_ハート:KAWAI :_ハート::_ハート:, OUCH biting tongue :_ドクロ::_ドクロ:

Rushia Arigato :_ハート::_ハート:"
Ugz3meIXnCMdvfwqIRV4AaABAg,1643673600,"fire,",1,"ピンクるしあちゃんは妖麗な雰囲気あって大好き
ぽしゃけ雑談も癒されて大好き"
UgxaAS79pTGahdG-UCl4AaABAg,1638316800,ぜりー,0,"自分がいないお礼枠でも聞いてて楽しいって思えるのはるーちゃんが本当に魅力的だからなんだろうなぁ
好き"
UgyKX0hfJgYKR4MhpRp4AaABAg,1627776000,桃の権化🍑🔧,0,甘酒でｗｗ
UgxpT-fZw-EKezMna7R4AaABAg,1619827200,おsiluこ,0,57:15 いろは↑すぅ↓～可愛い
Ugyi-7LZ8t9uoLbwyH94AaABAg,1617235200,くすりが好き【薬lover】【星くず】,0,可愛い(/ω＼)
Ugxkk0WRYGbE713fJyh4AaABAg,1617235200,WTR_ J's_Misaki,0,"96%のスピリタスか
喉が心配"
Ugw_xkSWzp1OGf1d_Yp4AaABAg,1617235200,[零_zer0 ],0,"自分用
57:14
いろはすって言ってるだけなのに可愛すぎる"
Ugz-sq06SoTJjYiiypB4AaABAg,1617235200,Your typical hololive lover,0,2:00:25 shes very drunk at this point...
UgxkpH16EGip70EwEnV4AaABAg,1617235200,GB BP1,0,xD
Ugws0XL5zKq3wShGi9h4AaABAg,1617235200,Nexcell Pride,3,"How to forget that memorable ""Supaachaato Orei Time"" special stream? :_きゅん:
About few streams before this, Rushia-hime obtained her New Live2D, with more new features like glasses, a shadow face (Yandere), more moves and also an option for change to her previous hairstyle, but instead of only add these features, Rushia changed a lot, with a princess dark dress and a long and shiny pink-purple hair.
But something happened in that streaming: There was a huge rain of Superchat messages, and that's why ""Supaachaato Orei Time"" was shortened at this time and the following stream (""ARK"" stream) was unable to receive Superchats. (Superchats disabled) 

However, despite getting the new Live2D, Rushia can return to her first form at will, as seen at ""Tanabata Minecraft"". :_ちょうちょ:"
UgzAig6Bxkt-oURMx194AaABAg,1617235200,さもありなん,0,改めてやっぱ｢ありがとう｣っていい言葉なんだなって
UgyvWeZZxZ5-L1iQcpJ4AaABAg,1617235200,mars moon,0,me likey
UgyNlHn2Xi5S7gEQYwl4AaABAg,1617235200,鍾正祥,1,"自分用
2:00:25
2:40:04"
Ugz-uzKlqbUpDMTBLH54AaABAg,1617235200,absolute,1,"るしあちゃんは配信とかしてて色々辛いこととかアンチの声とかもあると思うけどそれ以上にるしあちゃんのことを好きだと思ってるふぁんでっどの人が私も含めて沢山いるから嫌な言葉が目に入るのは仕方ないけど辛くなったら好きでいてくれる人達のことを思い出して少しでも気持ちが楽になればと思います、そしてこのコメントが目に入ればいいなと思います。これからも配信頑張ってください！！いつまでも応援しています！
長文失礼しました"
UgwrmKBECFP9we761oJ4AaABAg,1617235200,Trùm Allain Vũ Trụ,0,solo yasuooooooooo
UgyAHVr3V6_nYGsMnMF4AaABAg,1617235200,Kiệt Lê,2,Your voice is very cute~
Ugxuupmf-E2qrB3BY9d4AaABAg,1617235200,しょこらコピックたまにVtuberになるへい民の絵描き,2,"自分用(*´◒`*)✨
7:04"
Ugx1G4J0orVCPhPjswt4AaABAg,1617235200,私は不審者です,1,"1:19:58　1:22:53　読んで貰えてうれしかったです。

活力になります！！ありがとうございます！！！"
Ugx1G4J0orVCPhPjswt4AaABAg.9A9qBHTKY-19Auq-ti-l4z,1617235200,oren,1,あんたのおかげで毎日助かってる
UgyDZ8lzFd7iFZTisyJ4AaABAg,1617235200,なりほど,1,2:55:38
UgxZiR8HXiEknB3fRiZ4AaABAg,1617235200,r a,3,新衣装縛られてるように見えた…笑
