id,timestamp,author,likeCount,text
UgzHga4eVq9FsIdwJOJ4AaABAg,1633046400,凜祢,0,るーちゃん運良すぎる！w
Ugy9Zc8cznBCA-Dh-tV4AaABAg,1617235200,geneva conventions violator [ジニーヴァ],0,Damn bros. Rushia chan is hella cute
UgxNhfQLjbH7DxBqRwZ4AaABAg,1617235200,Red_Axel,0,I'm back Rushia
UgwjS-q2I6R5gaHN_7N4AaABAg,1617235200,Yuan Plays,0,Onegai dekimasu ka? Sukoshi ōkina merittodesunode go yōsha kudasai. Horosutā ni naru made omachi kudasai. Narubeku intai shinaide kudasai. 6 〜 8-Nen omachi kudasai. Sore ga subetedesu arigatōgozaimashita.
UgznABRNJIGTNgql-WN4AaABAg,1617235200,精霊王ねこ吉,0,かわいいね
UgznABRNJIGTNgql-WN4AaABAg.9HyYGxtEdM99HyYXqibQmq,1617235200,ぴえん太郎,0,確かに可愛い
UgwphAJp9m0wWZ0Uzqt4AaABAg,1617235200,Karasu vn,0,hello rushia
UgzwofqhDAhGMH6TGqx4AaABAg,1617235200,PCD10,0,Happy new year Rushia
Ugxl1s0Bwjxjy3BDe8x4AaABAg,1617235200,alvarox951,1,"Happy new year Rushia-chan! Thank you for all your hardwork!
Salutes from Argentina"
Ugx4d-FoLXGrji7v6nl4AaABAg,1617235200,ふにさん,0,今回のダークプリンセスモードは強かった。チェストはアレだが
UgywesX50c0gx4bFzUh4AaABAg,1617235200,Outrider Knight,0,Happy new year!
UgzXEAGL45HoBEwsSs94AaABAg,1617235200,R4iGa,1,HAPPY NEW YEAR
UgxipK8uOPix5uUO5f94AaABAg,1617235200,小岳,0,潤羽さん 2021新年快樂 Happy New Year ~
UgzUGW6htqGuFAej4Sd4AaABAg,1617235200,DiO Clover,1,🎊HAPPY NEW YEAR 2021!🎊
UgyNGopO4cPhuPIXSaZ4AaABAg,1617235200,the spirit,4,I dont underdtand but it makes me smile
UgyNGopO4cPhuPIXSaZ4AaABAg.9HwLQWunUJp9HwfWsHk_FG,1617235200,David Rado,0,Haha kit talaltam
UgwAVnEwVRiBPRkaIjZ4AaABAg,1617235200,Nam Nguyen,2,こんにちはルシア、私はベトナム人ですが、5か月前のベトナム人とは違います。あなたをとても愛しています。チャンネル登録しています。動画が好きです。ライブゲームセッションをお楽しみください。私はグーグル翻訳を使っているので、翻訳は少しばかげています。よろしくお願いします。😋😋🥰🥰
Ugz_8XmBWlui5C1M-tF4AaABAg,1617235200,電脳猫ぽよ,0,年初の公約まで・・・残りわずか。　マイクラしてて良いの？　３D逆立ち確定しちゃうよ＾＾
UgxxybLyl_pFU-NpCRN4AaABAg,1617235200,CZ2128 Δ,0,:_ハート::_ハート:
UgybRrRwmwBzT7kUJ014AaABAg,1617235200,しょ郡ライデン,0,Hmmm omoshiroi
UgxTik7hf7abbQPsQiF4AaABAg,1617235200,dezz the one,0,Peko
Ugzby3eOK40ijgQEMYF4AaABAg,1617235200,TristanMT,1,The bgm slaps 🔥
Ugx-zBelZo4ZfLpq4q94AaABAg,1617235200,アホライス,2,るしあありがとう😊大好きです❤️
UgzApNzcW5l-oPxbfJl4AaABAg,1617235200,潤羽響チビキ [Hibiki Chibiki],11,I never though in the end of 2020 i can jealous of saw pink princess and pigmen tee tee moment colorized on stream
UgzApNzcW5l-oPxbfJl4AaABAg.9Htxr_FTTaL9HxtqsayCRv,1617235200,Ben Henderson,1,I think I gotta clean my mind out the gutter cause when I saw ur pfp...... 😳
UgzmAz7BTjVmTflszTN4AaABAg,1617235200,はらぺぇにょふらぺちぃの,22,2:05:53おい豚、そこ代われ…！
UgwS8NKm3p31RPhPRhx4AaABAg,1617235200,Hiryū Ran 草,7,"私はいつも放送に遅れています
Sorry, Rushia xd"
UgwS8NKm3p31RPhPRhx4AaABAg.9HtpzkCEbTo9HvK9OUtEbc,1617235200,パトランプ,1,見ないよりは良いと思います！
UgxWPD6RbotLkX_8BhJ4AaABAg,1617235200,sure keen,8,So... I know this is not related to the stream but... 3D handstand Rudhia when?
UgxWPD6RbotLkX_8BhJ4AaABAg.9HtoZ0rRkTr9HvCs_jVN-d,1617235200,Outrider Knight,0,Next 3d stream?
UgxAyCRIEVAnOXxw6h54AaABAg,1617235200,Muhammad Busthami Fadillah,18,THIS IS SO CUTE 3:18:00 UWU
Ugxa8t-XhGTVSMWpS094AaABAg,1617235200,二福,3,3:05:28 3:06:05 自分用
Ugxa8t-XhGTVSMWpS094AaABAg.9Htko_bdeyJ9HuJduLKsV7,1617235200,RIE.月代 理恵,1,Thank You for cute moment stamp
Ugy3JCzIqtBJbMeChyB4AaABAg,1617235200,WIXOSS DAL,4,La rushia oscura 🤭🤗
Ugy3JCzIqtBJbMeChyB4AaABAg.9Htj-nujNzW9HtqW3KlgxH,1617235200,Harucchi,0,Omg un hispano :0
Ugy3JCzIqtBJbMeChyB4AaABAg.9Htj-nujNzW9Hvd0rcN2et,1617235200,kennethJosue R.S,0,:O
Ugwac4FaqOeCTWzxsXN4AaABAg,1617235200,焼きたてエッグタルト,7,3:38:20 自分用
Ugwac4FaqOeCTWzxsXN4AaABAg.9HtcXVetMfX9I-yjbLoGW3,1617235200,rIiko,0,おめでと！
UgxX5gcTMupy9x1l_3p4AaABAg,1617235200,Nexcell Pride,2,"Rushia-daitenshi is more unstoppable this time... :_るんるん:
And with that Minecraft Update...
And the adventure was in Netherworld (Dante's inferno or Hades) for obtaining too rare minerals and interchanging gold to ""warriors"" for obtain goodies like... Some rare materials...
Sorry sorry... I don't play Minecraft with the few things I can see... Well... :_きゅん:

We were with the heart pumping due to Yabainess of making a bridge over magma and trying to not to fall...

Also stream had the good BGM selection, starting with Ucchii0-sama's ""Be Happy"" :_サイリウム碧: :_サイリウム紫:

And Supaachaato Orei Time had ""Summer Triangle"" mainly.
Noticed about these Rainbow Naisupas... :_ちょうちょ: Totally ideal to end the 2020 and start 2021.

Nice for Rushia at second form. :_ハート:"
