id,timestamp,author,likeCount,text
UgzUdRVn9ONCRymjVNl4AaABAg,1648735200,STER,1,o7
UgyP2wz9XVawhlTGrzt4AaABAg,1646092800,CR Talon,1,"I have tried for months to find the BGM used in the video but now, without you, everything is meaningless, o7"
UgzLripszyN-6LLaBHp4AaABAg,1633046400,あぴゃぴゃ,0,後半の畳み掛けエグいなw
UgyV4F5I8xFggXmhy3l4AaABAg,1627776000,ホワイト,0,サムネの絵めっちゃ好き⁉️
UgyAcsASFylrQr96u514AaABAg,1625097600,Edward Huang,0,29:30 樂極生悲
UgxZ1DoW_Z2MzqIf2nR4AaABAg,1625097600,爹家舖,2,want bgm plz....
UgxqvHNYIEJKjrrCnXl4AaABAg,1625097600,のりのりののり,4,こちらの動画でるしあさんが使われている格好いいBGMのタイトル判る方いらっしゃいますか？概要欄を参考に探してみたのですがなかなか見つかりません。教えていただけたら幸いですm(_ _)m
UgxzyhQoibPKKuPPGUF4AaABAg,1625097600,夜永秋,1,サムネに釣られた
Ugx69u6kgBb6pT9jHVl4AaABAg,1625097600,たちゃまるん,1,るーちゃん祭前から可愛い😍
UgzPJUc-fS9Qt8QPWs14AaABAg,1625097600,ZDitto,1,"I hope Botan or someone can help Rushia fix and/or upgrade her PC in time for the Summer Festival. If it's already struggling, its going to be a lot worse with all 30+ members"
UgxrFGcibEX3DCptZt14AaABAg,1625097600,Sus Montelfalco,0,Pc broke
Ugx0QndQITAt7MHdwpp4AaABAg,1625097600,T T,0,"i love how she died at the end, it just goes:

tricks Peko with fire
laughs
casually walks on the fire
silence
screams
pc crashes with morse code
stream ends"
UgwPwM2Rmr_IPrC6WRZ4AaABAg,1625097600,Kumagami,0,Rip pc kun
Ugzm3_1j_TRW0tAxis94AaABAg,1625097600,たんたん🛸💜,0,"リレーおつるし〜
お洒落なテントが出来たね！！
めっちゃ楽しかったよ！
るしあちゃんありがとうね🥰"
UgzytDW4mIk_1PdUGeB4AaABAg,1625097600,サカナイト,0,トウヒの現実逃避いただきました！
