id,timestamp,author,likeCount,text
Ugxc8iimRrWRXuCvxHR4AaABAg,1648737600,バーバラ,0,このコメントも消えるらしい
UgyYnCGH121SLsXBTcF4AaABAg,1648735320,Faris Daffa,0,LOVE
UgxjUeOujn0deAOzADF4AaABAg,1648735320,Faris Daffa,0,LOVE
UgxvNPXDnthGaMb6y5N4AaABAg,1648735200,寺村幸司,1,:_るんるん::_おこおこ::_しょぼん::_ぺったん::_ちょうちょ::_ドクロ::_きゅん::_あせり::_大泣き:おしまいなんですね。😭
UgwQv3IqDm0qU3YACSB4AaABAg,1648731600,仮面ライダーKG,1,今までありがとう……
UgzytWwVGODbvJNmFIN4AaABAg,1648728000,Samoth Wang,0,"Thank you, Rushia.
Thank you for everything.
We'll never forget you.
おつるし!"
UgxBQ6JI6GWyuDa2hDJ4AaABAg,1647561600,みこ✡,0,ユニコーン
UgyPLVCT7cgvn1mOOoh4AaABAg,1646956800,victhor343 Kono gotoku,0,"16:33 
(NEEEEEEEEEEEEE!!!💭)"
Ugw8P6e6IS55g_xte214AaABAg,1646956800,じーまる君,2,"すごく遅くなってごめん。

お誕生日おめでとう!!(;_;
るしあさんがまた来年誕生日を迎えたときは、2倍の愛を込めて心の中でお祝いします。
今までありがとう。"
UgxaXv0xaeASwOpovqF4AaABAg,1646956800,Miyuki,0,h.b.d.:_ちょうちょ::_猫耳るしあちゅう::_ハート:
Ugz2KH_WQjkAhOD6LDx4AaABAg,1646092800,고길동 gogildong ゴギルドング,11,"She gave me hope when I feel depressed about my surroundings. This is our turn to make her happy.
We love you rushia forever!"
UgzKs3BIBtjMlso0kfN4AaABAg,1646092800,Green man,1,Damn it this month sucks
UgxAiQZnwe_7fIKb3xx4AaABAg,1646092800,yameteee~,1,I love you rushia
UgwqhTM4fRgi0t7TJr14AaABAg,1646092800,MaCCha XW,1,farewell
Ugxl61ThK8CbYwCRDah4AaABAg,1646092800,That Time I Got Reincarnated by 🦋🦋,4,"soft voice Rushia and screaming Rushia. I love them both.
Happy Birthday RUshia!!!"
UgwgVrgYZkWvXCbxW2t4AaABAg,1646092800,asis desu,2,Happy Birthday Rushia!!!!♥️♥️♥️
UgykCw_mwo3m4CoRZY54AaABAg,1646092800,楓,1,٩(ˊᗜˋ*)و
Ugz57mBLp2UvXxftSrV4AaABAg,1646092800,ふぁんでっどA,0,2:06:00
UgxA2yDEt19eNUBvT114AaABAg,1643673600,อุซากะ มารุ 宇坂,0,Hahaha
UgzKibAujP38aej2y2h4AaABAg,1643673600,sama,1,たんおめです！
Ugwd9EAoM_pXTuhnP5N4AaABAg,1643673600,yuusuke,1,"お誕生日おめでとうございます

僕と同じ日だったのでびっくりしました（笑）"
UgzIUMnNdhVaEa7b6JZ4AaABAg,1643673600,江羽蘭,1,"配信お疲れ様でした
ハッピーバースデー！これからの人生が幸せであふれますように。"
Ugz6FCGf2tVOqpdiPu54AaABAg,1643673600,Gatou,3,Happy birthday rushiaaa!!!
UgyOSBVVEz00IYV53cl4AaABAg,1643673600,YGking,1,お誕生日おめでとう、一日遅れましたが
Ugxymhvs5JyUW-myKr94AaABAg,1643673600,FirstMo  ,1,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
Ugy0EPHEBAL7e_Q26FJ4AaABAg,1643673600,dsdsdsd7667,1,生日快樂(*๓´╰╯`๓)♡
UgzUaANFk-YIyAPwWG54AaABAg,1643673600,ken,0,Happy Britdhay
UgzXgycwCauNAMj3ASJ4AaABAg,1643673600,小林,1,るしあ誕生日おめでとう🥳
UgzeH5kjj57fbIftaLh4AaABAg,1643673600,焼肉,1,えええええええ誕生日おなじだぁぁぁ
UgzO6sYfvVpOEWc0Cpt4AaABAg,1643673600,Badjet 01,1,Happy Birthday Rushia!!!
UgyamkISwfCdj5Cup494AaABAg,1643673600,シンカー,0,"誕生日おめでとうございます



2:39:36"
Ugwmnym2_dluhYri_iN4AaABAg,1643673600,YR Low,0,❤️❤️HAPPY BIRTHDAY ☠️❤️❤️
