id,timestamp,author,likeCount,text
UgwTBVi37IjmQ-MfiGl4AaABAg,1617235200,Tec PhIn,0,"Ah sheet, here we go again"
UgzwqXz231h_Hm1qJ814AaABAg,1617235200,ゆうま,0,夜に駆けるしあから
UgwrkhY_XJNt4Diqm754AaABAg,1617235200,Lucho Pierce,0,We need more screams rushia!!!!!!!!!!!!!! necesitamos mas gritos :')
UgwM-h2u7-Qi6P8DdwF4AaABAg,1617235200,나비효과,0,金魚頭かよファイア使うなよ頼むから
UgwjDzAjLsCbyxlmPYx4AaABAg,1617235200,0906 Yosh,3,3:10:17 気になる声
UgyGf3Eu36F7uOQdfo14AaABAg,1617235200,おれおれおれ,1,台パンが確定してるサムネで草
Ugy_SUkRyMLRWbgHH6N4AaABAg,1617235200,Life Kirishima,0,Хм.... Куда это я попал? >~<
Ugz881zPR9KpYVvnOh94AaABAg,1617235200,Zork 98,0,"New Rushia video
My ears:
YA BE!"
Ugz881zPR9KpYVvnOh94AaABAg.9HT8je9XfY19IBz-y0c32N,1617235200,Duck 1828,0,TRUE
UgwNqlE6PNo3MfoXvCN4AaABAg,1617235200,ゆうり2021,0,最近伸びてんねるーちゃん
UgypnZOgd2UgNkUcMaB4AaABAg,1617235200,przemol,1,Привет)
UgyVn9eGD4Ln5oqjbxB4AaABAg,1617235200,weebsarentpeople,5,That thumbnail reminds me about how rushia ended the era of the dinosuars with a single desk slam
UgyVn9eGD4Ln5oqjbxB4AaABAg.9HRUbA-z7hh9HSwRxsS1YY,1617235200,Nasir Amani,1,Haha desk kun
UgyVn9eGD4Ln5oqjbxB4AaABAg.9HRUbA-z7hh9HSx9h2X7nB,1617235200,weebsarentpeople,0, @Nasir Amani  may he rest in pieces
UgzIUqdP1GpfAO71lBF4AaABAg,1617235200,Juice Jamo,0,大変申し訳ありませんが、昨日は地震があったかと聞いたとこ私はただ、尋ねている本当に申し訳ない（Googleによる翻訳
UgzIUqdP1GpfAO71lBF4AaABAg.9HRNj-el1Xr9HRQ2eG1U_v,1617235200,Juice Jamo,0,2:39:17 that cat blue blue 本当に申し訳ない
Ugy4s97npd08CX8Xm7Z4AaABAg,1617235200,SplopoDop,51,1:42:46 Poggers
Ugy4s97npd08CX8Xm7Z4AaABAg.9HRJEp0xy9k9HR_T5q-r_1,1617235200,MUHAMMAD Assyraf,6,Thank You
Ugy4s97npd08CX8Xm7Z4AaABAg.9HRJEp0xy9k9HWbDzi1xBu,1617235200,Hemaglox,3,PogU
Ugz1saZTstG1gl0R3CV4AaABAg,1617235200,スルメソース,0,学校から帰ってきたら終わってた
UgzButxAcCIglpXRrm94AaABAg,1617235200,Redwan Ahmed,0,Hey what's up
Ugzb2s719DbrIEpIUON4AaABAg,1617235200,Towaマジ 天使 [SSRB^35P^星詠み],1,Thank you for the stream Rushia
UgzU8c0vIRTJE2lfg-94AaABAg,1617235200,AniKhang,12,1:35:52 This song do be popping tho
UgxZU1KKEn5Z_G4q6cB4AaABAg,1617235200,ろいろい,0,"久し振りに沢山話せて楽しかったよ！！✨
ライブ楽しみにしてんで！！"
Ugw1c-8NWuN5Wb6OnyZ4AaABAg,1617235200,Based Department,0,Oof. That Lakitu party in game 9 is how you know she had some tough opponents. Impressive she got 6th with them in her game.
UgyF56NMVl0mLCReI-J4AaABAg,1617235200,【TKG】,1,:_るんるん:
UgzcbzPU14Rfrs0KQeZ4AaABAg,1617235200,デスク君,2,"2:27:57 私のコメント！！
るしあ　大好き！！！"
UgxPJWO8o748wV8eVI94AaABAg,1617235200,Hiryū Ran 草,1,Nice streaaaam
UgzCNr22fYZncFwZJDt4AaABAg,1617235200,Nexcell Pride,3,"Wow, an intense stream ever :_ちょうちょ:
BGM Opening: Summer Triangle.

This time, Rushia-daitenshi didn't get at least the 3rd place than previous streams of this game, but despite the result she at least seems too calm and with a good sense of humor.

Who said about the Necromancers can't laugh, smile or grin? If that was true, so Rushia broke her character's shell.
This makes it ever closer to those who see her. :_きゅん:

And ""Supaachaato Orei Time"" was too long and more interesting, because Rushia told us about Yesterday's Cross-collab between Hololive and 2434. It was pure Daiya 💎

And... Personally talking... Well, nobody asked me about one Superchat with the following message: ""Stop the jokes. Not pettan, not Boing boing, she's just an Angel enclosed inside a Necromancer body""
Please forgive me about the previous point, but you can ask me already... 😳❤️"
Ugyvlrj4LjqWZC55nAR4AaABAg,1617235200,KiRa.,0,77万人おめでとう！！:_るんるん:
UgwUWSLqJ9e_jrS2_WV4AaABAg,1617235200,BLVZE,20,1:54:48 スパチャ自分用
UgwkAOQ8DMB0qLH6FfB4AaABAg,1617235200,しのぶれど,0,今日も楽しかったよ！いつもありがとう！
UgyWi2USkEqoH5XSjoZ4AaABAg,1617235200,えーっ!?,0,面白かったです┏●
UgwXEI0_9NOfwyKLd_x4AaABAg,1617235200,Redan Kenneth Uy,22,"Game Start and End
13:21 Game 1  15:33 22nd Place
16:14 Game 2  23:38 7th Place
24:18 Game 3  28:54 12th Place
29:32 Game 4  39:27 6th Place
40:16 Game 5  52:51 7th Place
53:42 Game 6  54:07 34th Place
54:47 Game 7  1:06:47 4th Place
1:08:11 Game 8  1:14:40 12th Place
1:15:25 Game 9  1:25:52 6th Place
1:26:38 Game 10  1:27:41 24th Place
1:28:21 Game 11  1:35:31 6th Place

Blessings (Squeal, Screech, Rant, Scream, Panik)
Game 1 14:49 15:26 
Game 2 21:04 23:04 
Game 3 25:35 28:24
Game 4 31:35 32:40 34:41 36:40 38:14 (long) 
Game 5 42:50 44:52 46:10 49:58 52:10 (long) 52:45 (long)
Game 7 59:02 1:04:49 1:05:06 1:06:30
Game 8 1:12:07 1:14:02
Game 9 1:16:24 1:20:33 1:22:38 1:25:15
Game 11 1:31:27

Best Moves and Lucky Moments
Game 2 23:08
Game 3 26:28 
Game 4 38:58 39:08 (Both with Blessings)
Game 5 52:36 
Game 7 1:04:54
Game 8 1:10:47 
Game 9 1:21:09 1:24:31 1:25:32
Game 11 1:35:13

Bonus
7:25 Manager-san and Taxi-san
10:49 Tamaki-kun
11:23 Penta SC + Desk-kun
57:37 Rushifer
1:42:47 Pogchamp SC
2:15:51 Desk Slam
2:33:31 Babu SC + Ara ara Rushia"
UgwXEI0_9NOfwyKLd_x4AaABAg.9HPjMKcvv1W9HPlQ-6LBhs,1617235200,Doro,0,Thanks :D
UgwXEI0_9NOfwyKLd_x4AaABAg.9HPjMKcvv1W9HPsIUFIJth,1617235200,GnoelRak 99,0,wow we got our hero here
UgwXEI0_9NOfwyKLd_x4AaABAg.9HPjMKcvv1W9HQmSCIQF2x,1617235200,Ryan,0,"Arigatou, fellow Fandead! 💀"
UgxnlPOlj9rgMDDROZF4AaABAg,1617235200,バタモン╰ お兄ちゃん,0,"2:33:32自分用
読まれないと思って油断してたら無事昇天しまｓﾊﾞﾌﾞｰ！！！"
