id,timestamp,author,likeCount,text
UgwIHJEB3Jkkk1wDDl14AaABAg,1646956800,みっくすch,1,"3:19:38
3:24:32"
UgwukePcSounpjwmpCJ4AaABAg,1622505600,INKK,1,someone check if ayame can move
UgxGAS0ZXFi9a6OZypx4AaABAg,1622505600,INKK,1,smol ayame
Ugx9o2kK-ICPzx0sCK14AaABAg,1622505600,Gustavo Ch.グスタボCh,0,"Rushia fue muy divertido directo de [MONSTER HUNTER RISE] ¡Monster Hunter,una demonio y una Necromancer! !! !! [Uruha Rushia/Hololive] fue muy divertido como la pasaron tan bien las dos seiso mientran derrotaban a los monstruos las dos son muy linda Rushia y Ayame."
UgxVrVME83WC-shPSMV4AaABAg,1622505600,Imposter,1,"2:03:01 イナズマイレブン
ザ　るしあ
無限のるしあ
フェンス　オブ　ダイア"
UgxZnz8gIhiX3iOoHeZ4AaABAg,1622505600,ギブ・ア・オノノキ,0,3:03:46
UgyVTHE0gJn5cNj6q454AaABAg,1622505600,Noxzar,2,diabetes colab
UgzYjXvfxbjpO39paet4AaABAg,1622505600,Royal Austin,1,せいそ と かわいい。天国 だあああ
UgwRq4D54qD9fqS1F5t4AaABAg,1622505600,Mahdi Umran,1,Personal Use : 1:39:13
Ugz-CozI0Sl5fqzzYtR4AaABAg,1622505600,秋月ワタル,0,"配信おつです
上位は強敵揃いで大変だけど楽しみながらがんばってほしい！"
UgxVElL2yWtFPJdT2EB4AaABAg,1622505600,Amuos アムオス,0,"百鬼とゴシャハギ・・・・
鬼同士の対決・・"
UgxyN537ZX1muZ9DbWx4AaABAg,1622505600,通りすがりのぴぴひつじ,0,"頼むからNPCたちと話してくれ~新しい団子食べれるし新しい武器作れるしいっぱい報酬もらえるし誰でもいい勇気だして話し掛けてみて~
こんな大量な対話バブル見てイライラしないのか...:_あせり:"
UgzTQKCUjsCDfAO_3l14AaABAg,1622505600,ワドぅ～,1,こんなに可愛い二人の配信見たことあるか？
UgyXoqrXwedVzj4_0Et4AaABAg,1622505600,Calon OTAKU Id,0,"sayang banget Avatar nya gk gerak Ayame... kalo gerak pasti lebih lengkap 👍👍👍
Trus juga Rushia Terlalu Banyak Gunain Dodge jadi staminanya cepet abis... liatnya jadi gregetan sendiri njirr 😂"
UgyOH4qFuDbGWizXsAx4AaABAg,1622505600,とあるしゃちょー&バロリ&広瀬すずと大江梨久がすきな高橋コトノハ&ごには?ロバート数ノ子、石川依与吏,0,"るしあちゃん
助けてください‼️"
UgwnFZ1LUuLCJpzMAXR4AaABAg,1622505600,陽日輝,0,オロミドロあたりで寝ちゃった:_大泣き:
Ugx0ClbudDTV7ZdHkbV4AaABAg,1622505600,伊織,0,"おつあやるし〜

二人ともモンハンで一番難しいランクのモンスターに挑んでるから、そりゃもうモンスターも強いよねー。

お金集めて防具強化したり、アイテム屋さんが売ってる力の護符と守りの護符を買うともっともっと強くなれると思うよ。これからも頑張ってね:_きゅん:

るーちゃんが楽しそうでとっても癒されました:_るんるん:"
UgxEtJBYG0FNvCgjDoZ4AaABAg,1622505600,たんたん🛸💜,1,"おつあやるし〜
コラボめっちゃ楽しかったよ、ありがとう〜:_るんるん:"
UgyBIx_VwzUysOK-F894AaABAg,1622505600,Xcool Crin,0,I have vegetables.
Ugx0mQHK052ZhNAjw7t4AaABAg,1622505600,ろいろい,2,"お嬢との2人きりのコラボは約1年ぶりだったのかな..??
本当に仲良しだね😌✨"
UgxFySCtRHPpO2BecKl4AaABAg,1622505600,百鬼桜田ねねみょーん,0,いくら自分の壁に自信あっても、乗ってすぐYじゃ当たらなかったね( •̀ᴗ•́ )/
Ugxn2Q1AQVCjBpCNAdR4AaABAg,1622505600,徒桜,4,こーゆー配信が見たかった。ありがとう
Ugzk8Nzh7yDby98P4LF4AaABAg,1622505600,DD,7,ayame+rushia=kawai collab
Ugxb_F2kPQBZuVl97bx4AaABAg,1622505600,箱庭師KONG,0,今回の配信も楽しかったです！格段に上手くなってる:_ちょうちょ:
Ugx84vXFypsRlmMT5K54AaABAg,1622505600,igalth21,17,28:55 開始
Ugxcab7KIhA48F6CtaV4AaABAg,1622505600,Player Now,1,Rushia i love u
UgzH_M1ZuuICUf7J9hJ4AaABAg,1622505600,リューサン,1,"上位リオレウスソロの切り抜きからきました
双剣というスタミナ管理が難しく癖が強い武器かつ初心者なのにゴリゴリ上達していて見てて気持ちいいです
カメラ設定の見直しをしてターゲッティングをできるようになると戦いやすくなり相対的に被弾が減ると思われます（モンハンは避けゲーなので無駄な被弾を無くすことが何よりも重要なのです）
初心者モンハン楽しみにしてるので頑張ってください！"
Ugy3D_fpx6FTXgvTog94AaABAg,1622505600,Kira Asuka,2,"コラボありがとう！
そしてありがとうティガレックス先生"
UgyLoYd5UcqPSfNRLy54AaABAg,1622505600,アガレスマグノリア,3,"二人とも癒やし成分を凄くて、とっても和やかに見ていられたわぁ:_きゅん:
そしてるしあちゃんが楽しそうで何より:_るんるん:"
UgzC417UWcMWGvYfqoh4AaABAg,1622505600,funa ηβ,0,これで出来るのかな？( ˊᵕˋ ;)💦2:00
Ugx2OwgGyWD30MqOFnx4AaABAg,1622505600,ぜりー,3,"わずか4時間の間に凄まじい成長を感じる回だった…やはり愛は人を強くするんだな。あやるしてぇてぇ
次のコラボでレッツリベンジ！"
Ugw34vPQr-EbID1s1eB4AaABAg,1622505600,オマール海老,0,乙はそんなに悪いことじゃないから、楽しんでいこうね
Ugy8W3cvieXUzLbi9sV4AaABAg,1622505600,バタモン╰ お兄ちゃん,1,"お疲れ様だよ〜
2人のコラボ楽しかった〜
今日もありがとう、ゆっくり休んでね〜"
UgyqraD9hf4am4tPD4V4AaABAg,1622505600,愛してルシア,0,"上位でダメージ気になるなら防具全部最大強化してもらって、
おまけに今作は食事で体力スタミナが50%しか増えないのがデフォでヒトダマドリかき集めて上限まで上がるシステムだからなぁ…百竜は最初に上限まで上がるトリいるからすぐ上限行けるけど通常クエだとかき集めるのに時間かかるからあまり気にしないでもらって
まだ一時間くらいの見始めだけど太刀は居合い抜刀鬼神切りと見切り切り使えると一方的に殴れる、仕事だから続きは帰って来てから見ます
こういう配信見るとつい参加したくなるよね"
UgwQaRAuQQf9lcyVFJV4AaABAg,1622505600,Pi ck,1,1:57  18:54  start
UgwQGqPnRHr9M-UuTZR4AaABAg,1622505600,Nightmare Hellscythe,1,Semangat mba Rushia ❤️
UgwmzFMst-WOMDxRgYd4AaABAg,1622505600,ゆっくりRubyルビー,0,今日も今日とて可愛かったよ〜〜！今日はリアタイ行けたら行くね！
UgycJxwNN-BQkWEu5SV4AaABAg,1622505600,望月夜行,2,"コラボモンハンおつるしだよ！
ティガとマガイマガドは強敵だったね:_あせり:
ティガは後ろ脚付近が比較的安全なポジションだから、ティガの動きに慣れるまでは後ろ脚とか尻尾に攻撃していくと良いかも！
マガイマガドは鬼火纏い（何か赤紫みたいな色の炎）してる部位を攻撃してくとダウン取れて攻撃するチャンスに繋がるから狙える時に狙ってみると良いよ！（即死コンボみたいな技もあるから翔り虫は一つ残して置くと◎）
少しずつ覚えていって頑張るしあだよ！:_るんるん:

（防具に空いてるスロットがあったら防御殊沢山付けてくと被ダメージがかなり下がって乙しにくくなるからオススメだよ！）"
UgzL_bWfNycGuZGMa-N4AaABAg,1622505600,ちまちま,2,るしあちゃんの「汚い」に興奮してしまった...オロミドロになってきます。
UgwfVq0Pg0eyr0U8Ahh4AaABAg,1622505600,里見賢五,4,"るーしー＆あーちゃんのコラボはほのぼのしてていいね～
２期と３期の末っ子ポジのコラボで癒されました♪

長時間コラボお疲れさまでした。"
UgxzDAywnWTqgQcPLOh4AaABAg,1622505600,oppa gold,0,I love you both of you
UgwxVYUzMqc009FSrjF4AaABAg,1622505600,はむすけ,0,ルシアさんもしかして機械音痴？
Ugyx7JtGlcD_S__ZsDV4AaABAg,1622505600,ディアウスピター(ФωФ),2,今日は珍しく、コラボ長く楽しめたね(*´∇｀*)良く休んでね！
UgxNhN6pnCQ3lSAdZv54AaABAg,1622505600,GravityHurts,9,"Two of my most favorite members together. This is so much blessing. Also, good to see how they both improved so much as hunters."
UgzvVppK45EnGMU-_LB4AaABAg,1622505600,WHITE BOY SUMMER,0,Bruh that 20 min afk lol
Ugx5c6m_O1Q7qh9YkfF4AaABAg,1622505600,ゆーくん！,0,"おつるし！
コラボめちゃくちゃ楽しかったよ♪
マガマガやティガレックスはまた次回リベンジだね！！次こそは倒せるようにがんばるしあー
るしあちゃん今日もとっても可愛かった🥰"
UgyAfEK-elL7cgixe3p4AaABAg,1622505600,Vyse,2,"Thank you for the interesting and fun collab! It was fun to watch Rushia and Ayame play Monster Hunter. Nice team work, you both did very well, no monster could stand against two cute Pro Hunters. Good job!:_るんるん::_ハート:
Rest well Super Cute Nekoromancer."
UgxcwUn0OhD1lVs4cZN4AaABAg,1622505600,うるはヴァジラ,0,"おつるし！
素敵なコラボありがとね！
めっちゃ楽しかった:_きゅん:
今度はティガマガマガリベンジきめよう！
るしあちゃん回避やっぱり凄いなぁて見とれてたよ！
かわいいるしあちゃん沢山見れて幸せすぎたし、てぇてぇ姉妹だったなぁw
2日ぶりにるしあちゃんに逢えて心から嬉しくなっちゃった:_ハート:
いつもありがとう！ずっと愛してる！"
UgyZJoFuIwNMVT0HwSB4AaABAg,1622505600,Misaka 9982,0,Misaka thought Rushia is a kuudere at first...Misaka was wrong
UgyAekxJz5x6D6g73bJ4AaABAg,1622505600,KIRUA,0,"おつあやるし！
あやめ先輩とのコラボ楽しかったよ！
ティガレックス強かったね！
あやめ先輩と楽しそうにモンハンしてるの見てすごく癒されたよ！
マガイマガドは捕獲のところまでいってたから本当に惜しかったね！
今日はるしあに会えて嬉しかったよ！
いつも楽しい時間ありがとう！"
UgzD0qEdkB9Q6Yjolzl4AaABAg,1622505600,Pokemon VGcard,8,"Solo dos seiso jugando MH, ¿Que más se puede pedir para disfrutar el día?"
Ugw-U7Ry92Cr9dX7u7N4AaABAg,1622505600,うすみどり,0,"コラボモンハンおつるし〜！
るしあちゃんとあやめ先輩のほのぼのモンハン楽しかったよ！
いっぱい癒されたぁ…😊
今宵も素敵な時間をありがと〜！！:_きゅん:"
Ugyqtj0lDOFIGmrGcb94AaABAg,1622505600,H.R Ira0ne,6,"もう終わりか…じゃお休み私の最愛のるしあちゃん。

I love you so much~"
UgxYSFey_TFkRnAr87p4AaABAg,1622505600,蒲焼さん太郎,0,"おつあやるし！
コラボお疲れ様！終始わちゃわちゃしてて見てて楽しかったよ！"
Ugy_0dmTB5snEBYvPGR4AaABAg,1622505600,apeturesci,1,This was a very nice and calming stream.
Ugx_RhnFyS73o5VzJ0x4AaABAg,1622505600,KON,1,Bye bye~~:_きゅん::_きゅん::_きゅん:
UgzcykxpePpm-kaDGcV4AaABAg,1622505600,"fire,",1,"おつあやるし！
コラボ楽しかった！討伐してる最中なのにほのぼのしてしまって面白かった！"
UgwM8JEQHivYym9_kqZ4AaABAg,1622505600,Paul desu,26,1:39:12
UgwM8JEQHivYym9_kqZ4AaABAg.9N7tKwNakDg9N7v1VkD_-h,1622505600,Boris Chan,5,1:39:13
UgwM8JEQHivYym9_kqZ4AaABAg.9N7tKwNakDg9N8A3OtDfXe,1622505600,gicu _204,0,culture
UgwM8JEQHivYym9_kqZ4AaABAg.9N7tKwNakDg9NDQWn3HQDz,1622505600,ひろたん,0,thanks.
Ugz_0ouPAk0wZNqmakd4AaABAg,1622505600,YinG,2,It was fun~ see you next time~:_るんるん:
Ugz8xeygY0N-EClYo6d4AaABAg,1622505600,しすこん,5,"おつあやるし〜
2人とも可愛くて楽しかったよ、ありがとうね！"
UgxGdD0U2VV7Hn1zE3R4AaABAg,1622505600,モリタロ,1,"ナイスファイトでしたw
ティガの突進とか初めのうち避けるの難しいと思うので閃光玉で足止めするのもありですよ！
光蟲って言う虫を捕まえるとゲットできますw
脚も優先的に部位破壊したら更に狩りやすくなりますよw
龍属性武器で疲労を狙ったりするのもアリと思います👍
お疲れさまでした！"
UgxAlfnCx7C0VhO3PvZ4AaABAg,1622505600,YT C,41,Rushia and Ayame collabs = double the diabetes. They're just so cute
