id,timestamp,author,likeCount,text
UgzfkYrtRKIIW38M31V4AaABAg,1635724800,はる!,53,28:40
Ugxup9_zZv0FG9I--m54AaABAg,1635724800,こね子koneko,4,"長時間いろんなるしあちゃんを見れた僕は幸せです:_きゅん:
今日も楽しかったよ！だいすき"
UgyTsnWEjx7ilK2xYzV4AaABAg,1635724800,無名＠ガブリアス,4,最高だったよ!!おつるしぃぃ!!
UgwiRJQZPkDu6lSPAFB4AaABAg,1635724800,mouns,5,"3Dるしあも最高だったよ！普段見られないところをたくさん見せてくれてありがとう！
るしあ一押しの背中や肩は綺麗で、お尻から脚にかけてのラインは絶妙なアングルのとても良い眺めで、近くで見るお顔と表情にどきどきして･･･どこを見ても魅力的だったよ！動きもかわいい！
長時間ありがとうね！まったりした時間を一緒に過ごせて嬉しい！"
Ugz5kVFgmUTqFTirJvZ4AaABAg,1635724800,Y Y,17,53:40 谷間あるもん
UgzHmShgUdY53kJGmUJ4AaABAg,1635724800,Redan Kenneth Uy,343,"5:20 Introduction Start
6:15 Camera start moving
6:31 Early Yabe Teasing
9:24 Side View
12:35 Onigiri Head
13:22 Peko Ears
13:46 Brown Berret
14:16 Sunglasses, Demon Horn, Scar, Spider Web
17:46 Golden Bells
18:46 Pumpkin on head
18:59 Asserting Dominance: T-Pose

23:28 Long Yabe Teasing
28:40 What you are looking for
28:16 That Angle
32:18 Doing a wink
33:45 Yabe Oof
34:18 Yabe Teasing
35:12 Yabe Teasing
35:53 Feet View
37:52 Candy Aura
37:56 Bat Wings then Pumpkin on head
39:50 Distance View

42:06 Low Angle View
43:14 Multiple Winking
44:46 Very Long Yabe Teasing
53:39 Side View
55:22 Onigiri Head
55:58 Peko Ears
56:10 Demon Horns and Pumpkin on Head
56:37 Rushifer Time but Model Froze
59:07 Rori Time
1:00:30 Onee-san Time
1:04:37 Giggle Laugh

1:07:30 Side View
1:08:47 Wearing Sunglasses
1:09:13 Weapon Drawn
1:09:33 Yoyoyo English
1:11:37 Rushi Rap
1:15:07 Imitating Phone Ring
1:19:33 Munching you
1:21:10 Witch Hat then T Pose
1:22:20 Princess Crown and T Pose
1:24:12 Bat Wings and Spider Web on...
1:26:08 Yandere Roleplay

1:27:53 Feet View
1:28:44 Distance View
1:30:02 Checking the board
1:31:32 Multiple winking
1:32:18 Multiple winking
1:33:52 Green Screen
1:34:50 Black Hair
1:37:52 Closing Time
1:39:42 Superchat Reading

You may kiss your screen
10:55 --- --- 11:04 --- --- 11:20 --- --- 20:16 --- --- 1:18:15 --- --- 1:18:41 --- --- 1:19:01 --- --- 1:35:42 --- --- 1:35:50 --- --- 1:36:05

Bless Timestamps
15:09 --- --- 15:48 --- --- 16:33 --- --- 25:56
Panik Timestamps
21:25 --- --- 28:40 --- --- 30:08 --- --- 1:07:38 --- --- 1:12:01 --- --- 1:13:01 --- --- 1:16:30 
Kawaii Timestamps
38:47 --- --- 1:01:09 --- --- 1:04:37 --- --- 1:15:07 --- --- 1:16:48
Vibe Timestamps
20:32 --- --- 21:03 --- --- 39:13 --- --- 42:50 --- --- 1:18:03 --- --- 1:24:44 --- --- 1:30:42"
UgyTzmPM09KFzvlNWbB4AaABAg,1635724800,白銀聖騎士団YOYO,4,長い配信お疲れ様:_きゅん:
Ugxnuqv47ufhnz0f8GB4AaABAg,1635724800,ミスるな！ひっきー,7,"おつるし！おうち3D初めてだったけど、最高すぎた！！るしあのありとあらゆるところを見れて幸せだったぞ…
癒されすぎたよー☺️
次回も楽しみにしてるね:_きゅん:"
UgwLwwxafNrskjX-V3Z4AaABAg,1635724800,ゆーすけ ふぁんでっど,10,"お家3Dのるしあちゃんめっちゃ可愛すぎる･･･！！耳のピアスも靴も服のレースも全部可愛かった！！笑った顔も見てるだけで本当に癒された･･･☺️
太もも最高"
Ugw0tcSr0b8_UMKEH_Z4AaABAg,1635724800,キョロ,5,"おつるし～！今日も楽しかったよ！
まさに神回と呼ぶに相応しい配信であった…
かわいい…感想がそれしか出てこんかったわ…
生足最高！ぺったん最高！！黒最高！！！"
Ugycvld-hzjOI7PiVQd4AaABAg,1635724800,Izhaarステルスダークイエロー,2,:_ちょうちょ:Blessing ! :_きゅん::_ハート:
UgwMGhwGiTL_3qP1BDd4AaABAg,1635724800,ZERO.B-ぜろびー,7,"おうち3D配信おつるし！
本当にもう可愛いの沢山溢れる配信で良かった！
素晴らしいの一言に尽きるな！！
またやってくれることを楽しみに待ってるよ！！！"
UgwXfeHnVxhC7orM-gB4AaABAg,1635724800,That Time I Got Reincarnated by 🦋🦋,2,"Otsurushi Rushia. 

The Home3D is amazing!!"
UgxFFT_SEnBDpD46ZlB4AaABAg,1635724800,じゅん【ちゃま】,4,"めちゃめちゃかわいかったのでかわいいしかコメント打てなかったかわいい

:_おつるしのお::_おつるしのつ::_おつるしのる::_おつるしのし::_きゅん::_ハート::_るんるん:"
Ugyq3Iz6vE4Bzhln3yF4AaABAg,1635724800,ぽいまる,9,"5:19start
るしあちゃん:_おつるしのお::_おつるしのつ::_おつるしのる::_おつるしのし::_ハート:
めっちゃおうち配信楽しかったよ暖かい気持ちで今日は良く寝れそうです
おやすみなさい:_おこなのです:"
UgykXsip39_qRQi5gLt4AaABAg,1635724800,Mao Magnaye,32,"Watching Onigiri head Rushia was a Golden Experience that was found by Fandeads to be Made In Heaven.
Thanks for the great 3D accessories stream. Miss Rushia."
Ugz-NqYpmNPmDCYVrZJ4AaABAg,1635724800,バリィ,6,"おつるしでした！！
ほんとに今日の配信、最初から最後まで可愛すぎました！少しだけだけど、スパチャ投げられてよかった！！
夜ご飯いっぱい食べてお肉つけようね!おつるし:_おつるしのお::_おつるしのつ::_おつるしのる::_おつるしのし::_なのです:"
UgzvXLLynJDtT1f63Kl4AaABAg,1635724800,S.S,6,"おつるし〜
今日の3Dデート最高だったよ〜👍
るしあちゃんのガチ恋距離、キス顔いっぱいでもう最高だったよ:_猫耳るしあちゅう:
次回の配信も楽しみにしてるね:_きゅん::_猫耳るしあちゅう:
大好きだよ:_きゅん::_きゅん:"
UgzrfAsU--F-0-9UhI14AaABAg,1635724800,守名しづき,47,色んなアングルやガチ恋距離で見せてくれて幸せだった！ありがとう！
UgyE4_5l7D8pE7AotpN4AaABAg,1635724800,Chung,4,:_おつるしのお::_おつるしのつ::_おつるしのる::_おつるしのし:
UgxtAMoCJ3IGRz2Nb9d4AaABAg,1635724800,長谷川煌己,7,今日も相変わらず可愛かった
Ugz9wjqB1VicAWvhQnB4AaABAg,1635724800,"fire,",3,"お家3Dほんっとにかわいかった！！
るしあちゃんのかわいさがより一層増しててずっとドキドキだったよ。
ずっとだーいすき！"
UgyR6nVQVDO_c_ceAXZ4AaABAg,1635724800,KON,28,"Yes, for me today is really a very special day.  And today is also the cutest day for Rushia. I'm obsessed with Rushia's new Live 3D. I'm really happy today.  I don't care if she has breasts or not, but I still love Rushia from the bottom of my heart.  I can't live without you one day.  However, recently I heard the news that she was sick.  Don't forget to take care of yourself, Rushia.:_きゅん::_ハート::_るんるん:"
Ugw2BVGaABCBtrI67-R4AaABAg,1635724800,kusalebady,2,nice 3d rushia chan ^^
Ugw4AXsaBDKU47BeJx54AaABAg,1635724800,水無月Minazuki,2,Rushia daisuki:_ハート::_ハート::_ハート:
Ugz-JQyC2G3pNBR2RpN4AaABAg,1635724800,蒼い鳥,16,"おつるしです！
見たとこない所やレアな所、色々な動き
などが見れて、素晴らしい配信でした！
笑顔がとても眩しかった。
まったりと雑談していて幸せの時間だったよ！ありがとう:_きゅん:
次回も楽しみに待ってます♪

サングラスめっちゃ似合ってて可愛い！！"
UgxCJINhl_rT5ANrZ9h4AaABAg,1635724800,kusalebady,0,waaaaaoo
UgxFMb5YyNvqzovgwJF4AaABAg,1635724800,りんSTANLEY🐳,6,"るしあ配信Liveお疲れ様です
5:19開始"
