id,timestamp,author,likeCount,text
UgxTyxdczhe5XCYRHj14AaABAg,1648738390,brian,0,thankyou😭🦋
UgyPHzLtQNKwEVys4PZ4AaABAg,1648738382,田中ありがとう,1,忘れないようにします
UgxjlU--TgFwl8UcTUB4AaABAg,1648738378,内田慎吾,1,"ありがとう
全部大好き"
Ugy9K9wfgNlepdi1JnR4AaABAg,1648738377,Cliff V,0,o7
UgxKrE4y3qFXsreHcMN4AaABAg,1648738370,詹茗睿,2,再見
UgznjdynMmrewegztAB4AaABAg,1648738367,チョッパーマン,1,ありがとう
Ugz9ER4w-qgPkx0qTid4AaABAg,1648738364,Megaman334,0,"Listening to this while I still can in the final moments. Thank you for all your hard work and trying your best at everything. Always look forward in life, and don't let anyone hold you back. My friend was also a big fan of you, and we would get up early to watch you together. While we may not be able to do that anymore, we will still always be true fans of you. Once again, thank you for everything Rushia o7"
UgyfCRUMzfbwkA7VYbF4AaABAg,1648738363,遅咲,1,おつるし
Ugwisf3ohh-JgXaQXF94AaABAg,1648738355,pupple,0,don't delete
Ugwej-jtBk24-AGYcHR4AaABAg,1648738352,ストらいく@卍恋友會,3,"ホロライブを知るきっかけになってくれたこと感謝しています
「潤羽るしあ」はずっと忘れません
大好きでした    お疲れ様でした
ありがとう"
UgxqnV7PgO6ouQnq5NZ4AaABAg,1648738351,月夜見サチ,2,"忘れないように
色褪せないように
笑顔も声も、共に過ごした時間も……

大切な宝物
沢山くれて、ありがとう
:_おつるしのお::_おつるしのつ::_おつるしのる::_おつるしのし::_おこなのです:"
UgyHqwciSLSHe1GrmOJ4AaABAg,1648738350,ねぎの王様,1,ありがとう。
UgysRit0taH2vKOlKPp4AaABAg,1648738349,うゆ,2,あと10分を切った頃に初めて聴きに来ました。もっと前から聴いておけばよかったです、
UgzL07HnA2iXVRX6Jg54AaABAg,1648738344,ちゃがちゃが,2,"言葉じゃなくて時間を、時間じゃなくて心を
ありがとうございました"
Ugy0NqU1003tBiPEs314AaABAg,1648738341,brian,2,😭❤️🦋
Ugzji8n8EKTptLWwu9d4AaABAg,1648738340,柊秋斗,2,ありがとう、るしあ。運営さんの寛大な心でアーカイブ復活を祈ります
UgxrQjx56d0TYuxOUI14AaABAg,1648738340,NK_琥珀,2,10分きってる…ありがとう！るしあ！
Ugw7LEiTIyDvNoRAOJB4AaABAg,1648738339,自称進学校ガチ勢,1,これで最後と決めてきました
UgwObajkIyKQ_YcuIh14AaABAg,1648738337,なつ,1,"ありがとうございました
大好きだよ"
Ugx1dDTmOl_IxFB4abl4AaABAg,1648738320,너카츄,1,2년7개월동안 수고 많으셨습니다:_ちょうちょ::_ちょうちょ:
UgxAOaj05T5gNqCEbup4AaABAg,1648738320,すたかと,1,最後に聞きに来たよ
UgwXJCWnt1Eb5lf6LQB4AaABAg,1648738320,ねむい(˘ω˘),1,ほんとにありがとう😢
Ugx0zmvxz2mVklf9Bpd4AaABAg,1648738320,かくすけ,1,今までありがとう
Ugxd0MwTzekRGAkLFFh4AaABAg,1648738320,池沼浪,1,ありがとう
UgzvtW56XsaIf495D9d4AaABAg,1648738320,きさら,2,6000年ぶりに泣いたわ
Ugzahua7jhAnv9GJchF4AaABAg,1648738320,もくの撮影部屋,1,あと9分か…
Ugwioz2fa65YznmYsJJ4AaABAg,1648738320,Yến Đỗ,0,"Good bye, Rushia"
UgyDXZpPxPDWOmAIkRN4AaABAg,1648738320,かみとき,1,"ありがとう。
おつるし"
UgxXPq3zRMNILCvbqMZ4AaABAg,1648738320,タクミ,0,今まで本当ありがとう( ；∀；)またね
UgzwHnnLr-7aOy9p-qN4AaABAg,1648738320,yama 1203,0,最後に聞きます今までありがとう！お疲れ様でした！！！
UgwmtNkYz9elnuUwqeV4AaABAg,1648738320,わかる,0,"お疲れ様でした。
色々あるでしょうけど、お元気で。"
UgxXKJ8ZEnQH1Rqj-1J4AaABAg,1648738320,呪いなんてないだろ常識的に,0,ありがとうございました。
UgxdeMeMYO8eLoExhgN4AaABAg,1648738320,悲しい人,0,お疲れ様でした　今までありがとう
UgxsQXeNLkavI_SZsc54AaABAg,1648738320,𝐑𝐎𝐙𝐄,0,(お別れする5分前にコメントしています。)自分を楽しませてくれたのも笑わせてくれたのもるしあでした。本当にありがとうございました。そしてさようなら
UgyFrIYIEcnzfKEVM_F4AaABAg,1648738320,えむじ〜,0,ありがとうございました。
Ugwifvv3rapV4ee6jD54AaABAg,1648738320,Δゆき⌬,1,今までありがとうございました！これからも大好きです
Ugwbl_DehrNh-msFA7d4AaABAg,1648738320,まー,1,今まで本当にありがとうございました。
UgzPGBEp7fBJD_nW-A14AaABAg,1648738320,古明地幽夜,2,"るしあちゃん大好きでした
出来たらもう一度会いたかったな
楽しかった思い出をありがとう
:_おつるしのお::_おつるしのつ::_おつるしのる::_おつるしのし::_ハート::_きゅん:"
UgxBovjmXMALcDjR0fF4AaABAg,1648738320,ラスカルラスカル,0,いままでありがとう。お疲れ様でした
UgwLYfrqTwDJ78v_71p4AaABAg,1648738260,ほわぁ,0,ありがとう
Ugx8wE0UZk1YQkBycKB4AaABAg,1648738260,釣魚達人,0,"It's time to say goodbye 😊
Maybe you channel will disappear but we always love you Rushia"
UgwYVzRK64mCKmwxIsp4AaABAg,1648738260,帥馬大大遊戲解說,0,thanks for you …good bye
