id,timestamp,author,likeCount,text
UgyeDFmBbX6ofarCCUx4AaABAg,1648717200,パルン,0,るしあありがとう
UgzeN-dB19NOcelilwt4AaABAg,1648339200,楓 堀之内,0,1:24:28ここすき
Ugz0mo5j_7HDZcdaNAt4AaABAg,1647561600,こっちみLUNA,0,"僕、全てを知ってから好きになりました。
辞めるのは勿体ないでやんす( ´ ▽ ` )ﾉ
社長さん辞めさせないで…( ´･ω･`)くそ〜今の方が人間らしくて未練タラタラなメンヘラでええやんけ…←個人的な意見なので前からのファンの人には失礼なコメントでごめんなさい🙇‍♂️"
Ugz-8RI8i1YlSEmYM454AaABAg,1646956800,kenトリー,0,2:20:08 おちゃめ機能
UgwIhWo9b5XuZtJAdLp4AaABAg,1646956800,IdenityX Unknown,0,"Let's talk Konrushi:_こんるーー::_きゅん:, COVER CORPORATION PLS DON'T DELETE RUSHIA'S YOUTUBE CHANNEL:_大泣き::_大泣き:

And wtih this stream , Stickman Rushia was born:_るんるん::_るんるん: 
And those cat drawing was cute , in a weird way :_くさｗ:,don't get me wrong , it is cute especially the one with little body:_ハート::_ドクロ:
Although I don't understand Japanese , I just have to say , I does sleep like this before 31:41 , it was when me and my friend were still study , and have this club activities in which we have to stay at school for couple days , and my friends took over all the table , and all I could use was just 3 chairs and them in straight line , then sleep , you might wonder why we don't sleep on the floor , well , we just like sleeping on something instead of cold concrete floor board:_ぴよこ:"
Ugz3IIcrExR3DVPWuQN4AaABAg,1646352000,Nobody NOSE,0,もう新しい配信が無い現実を受けて過去を漁りに来た…私みたいな奴はどれだけいるんだろうか…
UgxgDijH5rMvylyrlQ94AaABAg,1643673600,りんご,1,1:21:00
Ugx61Qj-0rGHfC8BA_54AaABAg,1640995200,"fire,",1,"るしあちゃんの喋り方すごく好き！
癒されるし楽しくてずっと聞いてられる"
UgzFoWxUdJGr9VYQ6l94AaABAg,1633046400,ZERO.B-ぜろびー,0,"限定配信のアーカイブを見始めたよ！
るしあの部屋の間取りが知れて嬉しい！
おつるし～(・◇・)ｂ"
UgwLjQGbQx3tYbGDPKN4AaABAg,1630454400,ぜりー,0,"寂しがり屋なところもリスナーと話してる時の幸せそうなところもほんとかわいい
大好き:_きゅん::_ハート::_猫耳るしあちゅう:"
Ugyw_Z2HEE5oIpQwk0V4AaABAg,1622505600,donaco.どな子,0,"1:24:03 生贄にしてやろうか？

すき"
Ugx14BZJ8cFIwV8bo8t4AaABAg,1617235200,黒切東條,0,"別のクリップリファレンス 
1:21:31"
Ugx5cpdsGWHewsHg1mV4AaABAg,1617235200,Vladimir Marcelo.,0,Alguien por aqui??
UgyjY_FdhtFT3N_qHc14AaABAg,1617235200,えだにぃー,183,1:24:25 切り抜きのコメ欄にあったやつ
