id,timestamp,author,likeCount,text
Ugx9VNRXIf8LmqEU_Vl4AaABAg,1646092800,Jona,0,？？？？？
Ugz1jqMcBHbNWpuoCHh4AaABAg,1646092800,joy,0,٩(ˊᗜˋ*)و
Ugzm2hSxvIoFq981y8V4AaABAg,1617235200,Dog Egg,0,A
UgyHiDqU-2ATtsUQml54AaABAg,1617235200,meifray,1,5:03 YAMERO!!!!!!
UgxBfmb51B7hec14YXJ4AaABAg,1617235200,黒エス,0,"るしあちゃんがOPで使ってるBGM「summer triangle」って名前だっけ？
いい曲ですよね〜"
UgwhfL1BLerFO7tqoV54AaABAg,1617235200,"fire,",0,"最近マイクラで色んな事してるからか戦闘とか慣れてきてて安心して見られる。
さするし！"
Ugx15BQKusiUwvl3YYB4AaABAg,1617235200,青野武,0,配置最高でしよ。何を見に来てると思う？。るしあを見に来てるんだからね。
Ugzq6lQ9lkCYr0FYCeB4AaABAg,1617235200,Arowmorth,3,"""Our eye's met""
BRRRRRRRRRRRRRR"
UgwDDs6ecUQsQPj5OdF4AaABAg,1617235200,The King of Antarctica,1,"Rushia, it's fine, I'll marry you. I sent you the marriage application on Twitter. See you at the chapel."
Ugz9ugpg8qptCSnqgQt4AaABAg,1617235200,ハゲ頭てかりん,0,このbgm名前教えてください
Ugw49vezVJI5HPk7S-x4AaABAg,1617235200,Nick,0,Can someone send me a link to the op bgm?
UgzpBpq34FsCKe29zlx4AaABAg,1617235200,Ла́йкa,1,opの曲わかる人誰かいますか...？いたら教えて欲しいです...
UgzpBpq34FsCKe29zlx4AaABAg.9GWWQdGwpuH9I45PFajQRE,1617235200,ネ.,0,summer triangle
UgwJ2g7li5G0U2wZU894AaABAg,1617235200,Nurul Aida,3,"We'll wait for the ultra chad simp guy to send married registration to her  , Lmao"
UgxFgZ5uslGjgc-T6EJ4AaABAg,1617235200,ZeroToHero,17,11:37 0 to 100 real quick
UgwOr-ojkw27IRc9NoR4AaABAg,1617235200,nailwind,1,The way Rushia's feelings tend to spill out deserves an Oscar award
UgxrGQk9aL8mNgNA9Qx4AaABAg,1617235200,Night Sky,0,Waifu Rushia yesyes
Ugx9RvtOHs-4dzCFRhZ4AaABAg,1617235200,ガッチョン,0,待ち時間のBGM名わかる人います？
Ugxh50HRs3M63EJFe6F4AaABAg,1617235200,x vpn,0,Flat
UgwFQP25SoV-yzyKJ294AaABAg,1617235200,Crisandre,0,Soy de Colombia y me gustan tus directos :'3
UgxFsHhl9c2ErK-5q6l4AaABAg,1617235200,Dereck Chen,0,Hello
UgzCldNRWQtbC1vgGA14AaABAg,1617235200,なな,0,昨日見れなかったからこれからみるのです！
UgxqwLVb8REZlgY0vix4AaABAg,1617235200,Keke Desu,0,Finally I got some spare time to watch Rushia. Love you as always
UgyeWJnYx0cPPb_Hkfp4AaABAg,1617235200,Kimiko ♥️♣️,6,11:35 love this abuse😂
