id,timestamp,author,likeCount,text
UgwJUcr9wRdhpTo13It4AaABAg,1647561600,IdenityX Unknown,0,"Rushia Wyvern Army ! !:_るんるん::_るんるん:, COVER CORPORATION PLS DON'T DELETE RUSHIA YOUTUBE CHANNEL PLS:_大泣き::_大泣き:

Rushia when she met something she wanted 14:22 this is not animal abuse , this is Rushia love , cause she is a Necromancer :_くさｗ::_くさｗ:
41:51 A happy little bird hunter scream :_きゅん::_きゅん:"
Ugw6qn9M1GPIp1W6dDN4AaABAg,1640995200,ぜりー,0,グリフォンテイム、初めて罠を作ったとは思えないぐらいスムーズでめっちゃつよつよ！
Ugzba0aNuqW1-lIH0aB4AaABAg,1617235200,Tommasito,0,"""Te amo"", jajaja i remeber that 😂."
Ugyj4kUniG56T-NWj-p4AaABAg,1617235200,Agustin Troncoso,0,Sacame de latinoamerica rushia😢😢😢😢
UgypdtTWm0S1tmp3-cN4AaABAg,1617235200,나삐 MAHO,0,この時は配信アーカイブで見るつもりだったので無言でした
UgxmKZLUJ1xeKEgI2GZ4AaABAg,1617235200,yuvil,0,赤な玉やり花束
Ugx9IFoydSqMhhLxAcJ4AaABAg,1617235200,MomonKusa,0,blessed ark stream from rushia
UgzEfutbMiwINSB_BJZ4AaABAg,1617235200,KGR -,0,It honestly hurts as ark pro seeing her play
UgxyTw7qfDA10IgDzsh4AaABAg,1617235200,KJtheTrashGod,1,"I really wish I could read and understand all this, Japanese is hard 😥"
UgyugAXIyRIBFTrkHcJ4AaABAg,1617235200,Jose De Jesus Martinez Enriquez,0,"""Arigato neeeeyyy~~"" 
""Kudasaieeee~~"" 1:23:00
Aaaaa la amoooo!!!
Como hizo que volviera penta?"
UgzqEeKHENP7Aezp1sJ4AaABAg,1617235200,ゆう,0,るしあさんの笑うはめちゃくちゃかわいい
UgzV765Qg0oz1k3P0I14AaABAg,1617235200,Møn Bear,0,¡SALUDOS! RUSHIA たえｓき
UgwlJPw_2fyjBiGAI8F4AaABAg,1617235200,ChileanBoy,1,Rushia_chan pls sub spanish
UgwAJMOpp_d7MgQdIth4AaABAg,1617235200,_ keffer _,0,"Just lazy tap-tap text , > Just : Kono 🚩🚩🚩 Da !!!"
UgyDNIC87VvCYswyfH94AaABAg,1617235200,Ten suke,0,逞しくなったなぁ〜( ◜ᴗ◝)و
Ugz_Y9KSwQY9oK4aHXd4AaABAg,1617235200,Ten suke,0,逞しくなったなぁ〜( ◜ᴗ◝)و
UgzgNXHSKo7Dj-eRrwF4AaABAg,1617235200,アンハッピーリフレイン,0,"るしARK配信お疲れさまでした🍵
何だかんだで生かしてあげる✨
るしあちゃんは本当に優しい子だね🎶
ただ、名前はもう少し可愛いのを付けてあげてね💦"
UgxAAc5b9im3kSFLXKF4AaABAg,1617235200,Michael López,1,Sácame de latinoamerica :(
Ugy6i7QzqumekEel7FJ4AaABAg,1617235200,HAKU（ハク）,0,"るしARKお疲れ様でした！
つよつよグリフォンテイムおめでとうございます！！！！！
ぺんたとるしあちゃん可愛かったです！！凄く楽しめました！！！！
1:22:42ぺんた（・・・・・）ここ面白かったw"
Ugwo0FIl79PY_wUbMIB4AaABAg,1617235200,Not Chimu,0,Rushia gracias x tanto perdón x tan poco
UgxWHg8sa9Yhh-n9QZN4AaABAg,1617235200,ロハスかき混ぜ,1,Y muy buenas ha todo guapísimos :v
Ugz5et1qPzGkZlLpHp54AaABAg,1617235200,パペット使いヨP閣下のチャンネル,1,今日の配信お疲れ様です╰(*´︶`*)╯
UgwSdZMLO2Db55ZLKDJ4AaABAg,1617235200,Lightning NaruCammy,1,Sorry I missed the stream but I hope Rushia and the chat had fun.
