id,timestamp,author,likeCount,text
Ugz08MD8geg6Vek73y54AaABAg,1648738620,高海千歌,0,thank you rushia !
UgyzjS0PNvprnf8w0lB4AaABAg,1648735260,Faris Daffa,0,LOVE
UgztWdIUzVOWKO0fRld4AaABAg,1648731600,仮面ライダーKG,0,今までありがとう……
UgyMAGDXjP1lAHDrY9t4AaABAg,1648659600,typeZEROにるゔぁ,1,みれなくなる前にみにきた
UgwdHKbg1vnT3FpL3v54AaABAg,1648512000,らいとぶるー,1,"1:5:24
初めて僕のコメントが読まれた瞬間！
めっちゃ嬉しかったよ！
ほんとに今までありがとう！"
UgwdHKbg1vnT3FpL3v54AaABAg.9_6C56VUlEQ9_Apx-V613I,1648684800,くろあ,1,読まれて良かったな！！
UgzUX97erjzUB4QrLFR4AaABAg,1648339200,Gilberto da Paz,1,T_T
UgxcHmWL1yYzxe1QauF4AaABAg,1647561600,LZ,0,:_ハート::_ハート::_ハート:
Ugz3uFm7vLlJ8y4JKRJ4AaABAg,1646956800,泥。,0,好きだぞ。♡
UgwdP2ANgnJSHTzgRt94AaABAg,1646352000,できん,0,るしあの配信観たいなあ
UgzIGZlda85FS2JWbpN4AaABAg,1646092800,想 志渡,2,結局出来なかったなプロセカ…泣るしあぁぁぁぁぁぁ 居なくなるなあぁぁぁぁぁぁ泣
Ugx6kpTi1Q5wuNstput4AaABAg,1646092800,Virgiyo,1,👍🏻
Ugz8Gt2sJiQEIDm4bL14AaABAg,1646092800,Blase Gress,1,🗿👍🏻
UgyX_qa_HpxmZQE66zB4AaABAg,1646092800,robson joao,1,Nós te amamos muito Rushia-chan! Nós sempre seremos seus fandeads!
UgyMSyHZyc-3WOR2TjV4AaABAg,1646092800,고길동 gogildong ゴギルドング,1,るしあちゃんは私の希望です！　今は私が希望をあげるよ！　がんばれ！
UgxnN5udsy3mL5arFWJ4AaABAg,1646092800,あかちゃん,0,( ＾∀＾)ｹﾞﾗｹﾞﾗ
UgyLIFXFFRRDeODzD_p4AaABAg,1646092800,Yukin Ch. 作村裕助,2,裏切り者め。
UgxYzkztw97P2wsF3ul4AaABAg,1646092800,Yuuyake Ch.  マントゆうやけ,4,"そして、私の友人はまた、あなたに将来の幸せで良い人生を願っています。彼はまたあなたに会いたいと思っています。 あなたが私たちに戻ってくることを願っています:(
さようなら潤羽るしあ"
Ugzux5oNrQOLKyvWB394AaABAg,1646092800,Yuuyake Ch.  マントゆうやけ,3,"こんにちは、私はベトナム人であり、あなたのファンでもあります。あなたのニュースを聞いた後、私はとても悲しくて涙を抑えることができませんでしたが、とにかくあなたがあなたの次の仕事で成功することを願っています。あなたの人生はいつも良いもので満たされます。 二度とそんなに悲しくなることはないということを私に約束しなければなりません...
さようなら麗麗し！ いつかまたお会いしましょう:(
17/8/2020-24/2/2022"
UgwmR4d8CwSj_nDQN0N4AaABAg,1646092800,yameteee~,3,I love you rushia
UgxNA1M9fH3b6jq4TK94AaABAg,1646092800,【ルクス】Lux,10,"あなたの配信のおかげでエペのモチベが戻り、今までプラチナ3止まりだった自分が初ダイヤ帯までこれました。

この先、色々大変だと思いますが応援してます。
本当にありがとうございました。
お疲れ様でした。"
