id,timestamp,author,likeCount,text
UgwzxFyCxKm9PCWIPkt4AaABAg,1646956800,IdenityX Unknown,0,"Let's Vroommmmm ! ! :_るんるん::_るんるん:, COVER CORPORATION PLS DON'T DELETE HER YOUTUBE CHANNEL :_しょぼん::_しょぼん::_しょぼん::_しょぼん:

Ahhhh , really want to play with you , but well I can't cause I don't have Nintendo and I'm from overseas , sad :_大泣き:

This stream show how much Rushia hate ""Pettan:_ぺったん:"" as she keep hitting them , even as a Rocket she still keep hitting them , but at what cost:_おこおこ::_おこおこ:

BIG TAMAGO ! !:_るんるん:

Poor Rushia keep getting bullied in this game:_大泣き::_大泣き::_くさｗ::_くさｗ::_くさｗ::_くさｗ:"
UgwNRJp2GLS-Rd1H9C94AaABAg,1635724800,ぜりー,3,"こうやって昔のアーカイブと見比べると今の方が明らかに上手くなってるなぁ
るしあは伸び代がある"
Ugw749_eOiKb3JCs7y94AaABAg,1633046400,Artudela 00,1,"saw a clip of 3:18:00 and thats what started my fall into the vtuber rabbit hole, thank you rushia for introducing me to a great community"
UgzvrfGGvTXaYiQsfg94AaABAg,1617235200,籠法師,0,キレた後すいませんっていうの可愛すぎ:_やんでれ::_しょぼん::_しょぼん:
UgzV3EM26nd7fdvCmj14AaABAg,1617235200,Nexcell Pride,0,"Oh... This stream returned... And it was the first time when Rushia-daitenshi pronounced my name as ""Nekusuzeru-san"" (Probably at this time she recently was familiarizing with the english pronouncing) :_ちょうちょ:"
UgyV-Krf8ZYNy0r-tS14AaABAg,1617235200,LordOfLemmings / レミングの王,0,なまで見なかった本当に悔しい…見なかったごめん
Ugw2P76CPQbHqq5AzOh4AaABAg,1617235200,Spork,0,if only i knew what shes saying
UgwqXce99IkOAhkJ6N94AaABAg,1617235200,Owen    Ch。,0,🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝
Ugyvkz71eavjqnZlrEN4AaABAg,1617235200,Wallet Royal,0,ちょうど見に来た
UgxVIVmUSjzSGWXAqe94AaABAg,1617235200,猫好き,0,ちょっと下手...。
UgwDEwSTCu0YhC4fdkN4AaABAg,1617235200,19Biohazard88,0,I wish she made video’s to learn to understand Japanese though
UgwlYf8RXdNvah-EYpV4AaABAg,1617235200,皆無,3,1:49:10 ベルマークのくだり好き
UgxKiF86-hH8JmPlvD14AaABAg,1617235200,Night,2,"自分用
1:23:00"
UgyflMecIwl2F0p5wxx4AaABAg,1617235200,るまつか,2,2:53  本田用
Ugz_v9sY7sHUHL52jVt4AaABAg,1617235200,サンタクロース,0,これからも頑張ってください応援してます
UgzfAIW0ykMGme4OhmV4AaABAg,1617235200,みやま,5,絶妙に外してくるけどクセになるモノマネシリーズすき
UgwUfEIVaxKQHLcwfIV4AaABAg,1617235200,カルビと麦になった猫🐾,0,るしあ姫♪マリカ配信楽しかったのです〜ヾ(●´∇｀●)ﾉ
