id,timestamp,author,likeCount,text
UgxYehPE6QHIvny0t3J4AaABAg,1646352000,てぃん,0,20:35 こんなん笑うわ
UgwQdaQm_MrX2j_HUhR4AaABAg,1619827200,iisakanaaa57,0,22:44
Ugx1_PxGxKjO5tgkND94AaABAg,1617235200,つなざわ,0,"7:43
10:01
18:22"
UgzSLK6lvYHtCRbUZCN4AaABAg,1617235200,はるはる,0,"Everyone be aware of typing when saying something which might really hurt people, and especially our Rusia"
UgyQRUiAM8lkjCVBHC14AaABAg,1617235200,Анимешная жабка,0,Ничего не понимаю но очень интересно
UgxFwLBSBxQeoCfeagp4AaABAg,1617235200,THEDARKKNIGHT 846,1,March imperial star wars strike imperial
UgyigjYdQ_bUB7fNjXt4AaABAg,1617235200,テルテル,0,"ヤバイんだけどこの二人w
子芝居がぱないパナイ。やらし～圧。"
Ugz_9DYqShVikYFFiXx4AaABAg,1617235200,秀司鄭,0,とむぢぇり風なコンビいっとく？
Ugw2hrU6j44fYvFFnEl4AaABAg,1617235200,ときわ,0,お互いに地元じゃ有名なワルふたりがつるんじゃった感でてるな
UgzQZdFkNLGc_LZ_0t94AaABAg,1617235200,NO MIKU,0,They are looks like sisters
UgxnX0VFW8i3ULQxGaF4AaABAg,1617235200,藍沢真一郎amp藍沢マナaizwaema,0,ファミリーマートコラボキャンペーンおめでとう。シオンちゃん
UgyBBpslvkY6ys2xZXF4AaABAg,1617235200,Yusuke. MAN,1,"迷子を防ぐためには、松明を自分の右側か左側におきながら進むといいと思いますよ。
例えば、行きで左側に松明を置きながら歩けば、帰りはその松明を右に見ながら歩けば、必ず元来た道に戻れます。"
UgwJ98gdCGX_Z45Ks5Z4AaABAg,1617235200,Pandora Hoshinova🔮,0,Flat or flat
UgxV69czYO1PgKBWKil4AaABAg,1617235200,Motoyo Makoto,0,"1:36:41 wooh nice 
Redstone tehcc
Ever noticed that shion is staring at rushia all time?"
