id,timestamp,author,likeCount,text
UgwsAP3m11-TT5rcwqJ4AaABAg,1648738500,五条勝,0,可愛いほんとに最高
UgzWpMDEsKKBTMJFkNl4AaABAg,1648738380,てぃーがー,1,"百鬼組です
最後に聞きに来ました
今までありがとうございました"
Ugw422rngv31pYINul54AaABAg,1648736040,匿名 希望,0,😆
UgwuZ_vFs89tWUBHnq14AaABAg,1648735200,一味の🎣オレオ【ホロ】,0,ハアアアアかわええええええ
Ugz_RwpxjBgrANFfO2F4AaABAg,1648731600,March Hare,0,O7
Ugx9Ce1_vfmbzu1kvyR4AaABAg,1648728000,Allen-Royce,1,"Oh, this video is nice...

OtsuRushi o7"
Ugwpy1q3DwJ46aJpYQ14AaABAg,1648728000,JegErAce 5,1,❤
UgzWV59xpzrhwBFPq8Z4AaABAg,1648724400,古川礼旺,1,いつまでも大好きです
Ugyn4vmmNpc3dV8Wse54AaABAg,1648720800,Pucca露西亞我會永遠愛你,2,啊啊啊啊......YT推薦愛我....
Ugye9CH-WGSoWLIm05x4AaABAg,1648720800,NHP,2,"We will miss u Rushia , Good bye Sayooonaraaaa!!!!!!!!!!"
UgxUDn-IVTloLdPvGdB4AaABAg,1648710000,Reaper295,1,"We miss you Rushia, sayonara!!!"
UgybKg-0-B0qkwJW6zF4AaABAg,1648684800,Malevolent Q,4,"Download these while you still can bois, these clips gonna be hard to come by"
UgyI8s6qOCcYWTHNsOd4AaABAg,1648684800,Merit,4,A glimpse at what may have been missing from Link Your Wish Day 2...
Ugyh4bJpfBgVsxT2TtV4AaABAg,1648684800,オクト,4,色々たってからホロライブ見てなかったけど久しぶりにるーたんの歌声聞いたら元気出てきた  るーたんには感謝 愛してる
UgxWOsPPiLCrQMMnokV4AaABAg,1648598400,あしか,4,"るしあの歌声いいな
お嬢かわいい余"
UgwEN_80B1w_rbVDC7h4AaABAg,1648425600,Konrushiiaa_01,3,this account will be closed.. maybe i won't be able to see the re-stream again :)
Ugxt5T_cCIV52u8Cuut4AaABAg,1648425600,紅魔,1,大好き
Ugw6ATQsq3UDJL7wRUt4AaABAg,1648339200,あはは,2,最高
Ugydcm9-hL7EDThewF94AaABAg,1647993600,Jaycee,1,Too cute man
UgznAcPml_8m5F-aLQR4AaABAg,1647820800,さき,15,ライブでこれ歌う予定だったのかな〜(◞‸◟)
UgxaJzdNydrEz53g_Gp4AaABAg,1647561600,nightand2,1,:_きゅん::_きゅん::_きゅん:
UgzCKC64-j_t4kXo8kV4AaABAg,1646956800,Mr Holysoup,5,"bro, someone better reposte this masterpiece righ here"
UgzihHf1Wa9ElZUFa014AaABAg,1646956800,ShiraiRika,5,:_大泣き::_大泣き::_大泣き:
Ugy2Sjt_XehYVxxPC6N4AaABAg,1646956800,?!?!,32,"ずっと忘れないよ。大好きだよ。
また聞きたいな…。"
UgzS4cTawpbAuMEaLnx4AaABAg,1646956800,Demopublic Ball,3,"rushia videos keep recomending me after her retirement
yamerooo stop making me cry"
UgywPO1OdeL0lf7Finh4AaABAg,1646956800,Ki Ch.,8,Rushia.. We never forget you:)
Ugx0oeZi1YV0GHgACaJ4AaABAg,1646352000,本能的に生きたいいくら,14,このコラボも見れなくなってしまうのか
UgxzWGxLdfvh7pscYWV4AaABAg,1646092800,Mateusz navarro,4,bye
UgwxWfIXh7YHmpgYQ7h4AaABAg,1646092800,P.K. Slider [Discount VTuber],3,I hurt my hands clapping along. XD Sucks it took me so long to find this.
Ugw_f0QlZTzbfLUKOVp4AaABAg,1646092800,Hoàng Anh Ngô,4,I suprised that this haven't in my favourite list.
Ugwys_ugluLlcBRqDRR4AaABAg,1646092800,Goukenslay,5,"o7 Rushia, we will always support you wherever you are"
UgyJq8WI1eJSXtoTNGd4AaABAg,1646092800,コロスケ〜,16,お嬢かわ余〜消えないでー
Ugx3DyV8ueLeAkvhUDl4AaABAg,1646092800,K,7,im gonna miss her
UgwKY__L-xxWiEw9FNJ4AaABAg,1646092800,Holoホロ,10,無くなってしまうんだなぁ
