id,timestamp,author,likeCount,text
UgxvOFNCESAwjA_1bFR4AaABAg,1648731600,せいちゃん,0,"今更ながら！
:_るしあのる::_るしあの::_るしあのあ:ちゃん100万人おめでと！"
UgwbAa6JpNJkOGsNClJ4AaABAg,1648724400,龍牙神,0,🦋
UgwTKucxBzDP_nfK0Bt4AaABAg,1648710000,C a r l o s,1,"Rushia Number 1!!!!!
thanks for everything and sorry for so little:("
UgxShNXydQbvarKeEqF4AaABAg,1648684800,中ちぇ,0,30:00
UgztkXDYyyF0dDEFzXh4AaABAg,1647561600,LICC,0,잘가라.
Ugxkuqyw8A_lKKk3Bqd4AaABAg,1647561600,PeeE,1,Just reviewing million moment chatting part...It felt even more touching now...
Ugx-fFyA3oRjcNSR8Od4AaABAg,1646352000,ねっぺぺぇのネペンテス,0,"100万人達成できてすごい
たくさん頑張ってたの本当にすごい
いつもありがとう。これからもよろしくね"
UgxLwDSkUX1mcwHane94AaABAg,1646352000,Teamate,0,"I remember being here for this entire stream. Even when she hit 1M she still continued to stream and sing for us. I still can't grasp the fact she is gone completely, but streams like this are proof that we meant the world to her, and she meant the world to us. I love you and always will Rushia. Farewell :_おつるしのお::_おつるしのつ::_おつるしのる::_おつるしのし::_るんるん::_ハート::_きゅん:"
UgyAwbsWqQaVXNwk5_N4AaABAg,1646352000,Ding Teng,6,"るしあ～今日で登録100万件から1年ですね！私は1,00万件の時に入会して、1年経ちました...。:_きゅん::_きゅん::_きゅん:
200万の瞬間を見れなかったのは残念ですが:_大泣き::_大泣き::_大泣き:、これからも応援しています!:_おつるしのお::_おつるしのつ::_おつるしのる::_おつるしのし:"
UgyDS_iehZm-Dr-MHAt4AaABAg,1646352000,Ben Lin,0,おつるし
Ugy3E7sGxea8nUdKfXB4AaABAg,1646092800,まろん,1,この頃はまだるしあを知らなかったから、いつか200万人いくときは一緒に迎えたいと思ってた。寂しいなぁ。
Ugw10yERwbAcdbvjN7V4AaABAg,1646092800,【ゅぅれい】DatWanWolp,1,"This was one of the first Rushia streams ive tuned in to. It even inspired me to learn fingerstyle guitar as well. This stream made me appreciate Rushia a lot more. I still cant believe she's gone now, but... We will never forget you Rushia-chan! All your hard work, we will never forget it! You have provided comfort for a lot of us, and even saved some of us, and made us all smile or learn to smile again... so all I can say is...

Thank you for everything... ;-;"
Ugyi-SHS42Wvf32is7p4AaABAg,1646092800,mogumogu,0,"man, Why am I crying over a anime women😭😭
Goodbye Rushia (╥_╥)7 We will always love you"
UgyA7VPLOvz_ySYw9-54AaABAg,1646092800,Azur Lane Fan,0,22:40
Ugwi3vzELrQmyvAc_8t4AaABAg,1646092800,Ueno Dora,0,Hasnt even been a year since she got a million subs. Bye Rushia
UgyWCT5VqzHJMO7vn9l4AaABAg,1646092800,もるげんろーと,18,"ずっとずっと頑張ってくれてありがとう
これを見る度涙が止まらなくなる"
UgxG52LBTv60uHrI19N4AaABAg,1646092800,もるげんろーと,8,200万人、1000万人、どこまでもでっかくなろうよ
UgyP5Q-QWFkt3zVvtpx4AaABAg,1640995200,Fanach,0,where does she gets ost
Ugz69iloTis9Or7n4X94AaABAg,1638316800,C.J. O'Dell,0,"Earning $63,006 in Superchats, this is Rushia's most Superchatted stream so far."
UgwwW3Qhb-wYj7OwJ1F4AaABAg,1638316800,kei kuro,1,Can i know what bgm did rushia use when she was crying?
UgykFyX2Dcup5sVruVZ4AaABAg,1633046400,ふわもこ。🍓。,0,"るしあちゃんが歌う曲はどれも素敵だけど、
アイロニすごくよかった！ほんと良い声🎵:_るんるん:"
UgzrzfW2ZUScgk470wt4AaABAg,1630454400,もるげんろーと,2,"久しぶりにまた見に来た…
やっぱり感動する… ダメだやばい

金魚花火を歌ってるとき、何とも言えない思いが…上手く言葉にできないけど 

今思えばこの頃は割とROMってたかもしれない…(多分)
200万、何百万でも応援し続けます"
Ugxf49MxMhfUp57CMyp4AaABAg,1630454400,ZERO.B-ぜろびー,0,"るしあが泣いていると分かった時、もらい泣きしてしまった。。。
ここまで色々あったことを思い出しながら泣いているんだろうなと思ったら涙が止まらなくなった。。。
歳をとると涙脆くなっちゃっていけねえな。
100万人、本当におめでとう。このアーカイブに出会えて本当に良かった。
200万人の節目の時はリアルタイムで盛大にお祝いしたいな。"
UgxgLypFsp2vzn6d-YZ4AaABAg,1627776000,ExZhonya,0,"1:15:08 




is this what you finding?"
UgxPEXWnZSFvO2HwYMp4AaABAg,1622505600,ショウ TV,0,21:47るしあちゃんが泣く瞬間がここ！
UgzdCNXYD8d13yQS7xB4AaABAg,1619827200,知ってる?ワタシはホモガール!,0,こんなんガチ恋不回避やん
UgwgW-xxSHC1LTxQX3B4AaABAg,1617235200,nao 2047,0,"今更だけど涙が出る配信だね
これからも応援してるよ
みんなで楽しもう"
UgxN7eqK2O4qVbDqUbR4AaABAg,1617235200,飯テロ,0,俺の誕生日に100万人記念ってこれもうあれやん、あれやん
Ugxkp7X2f3eLUYwyvlJ4AaABAg,1617235200,月光あきら,0,"私わたしたちはいつでもあなたを応援おうえんしています。頑張がんばれ！
大丈夫だいじょうぶ、一人ひとりじゃないよ
無理むりしないでね。"
Ugw6VU8RbRUUEUt2ZKR4AaABAg,1617235200,団長の椅子あーちゃん,0,"おめでとうございます(*’ω’ﾉﾉﾞ☆ﾊﾟﾁﾊﾟﾁ
これからも応援しています🎵頑張ってくださいね:_ちょうちょ:"
UgzhhlawwLJnVW53SrR4AaABAg,1617235200,もくこく,1,悠木碧さんの曲歌って欲しいな。低めのタイプの曲だったら絶対合う
UgwbFE1qMWOR8BbCwNZ4AaABAg,1617235200,F.M,1,ありがとるしあちゃん、あなたは強い。誰もが私たちのネクロマンサーを愛しています!
UgzSKre-AoEJDJnYGv94AaABAg,1617235200,Dendrum,1,Grats 1M Subs!
UgyIYP1_bgcBW6Kn4Cd4AaABAg,1617235200,frankie 01,1,¡¡Felicidades¡¡.. Rushia... por el 1M .. y q bonitas tus palabras...  y a seguir¡¡¡
Ugy_V1GAWEW2Hw2wyIV4AaABAg,1617235200,レモンティー,0,100万人おめでとうございます🎊
UgxWx8ERQRuZkk4JCnx4AaABAg,1617235200,E.T,1,Late congrats on the millions
Ugyui8OwlFf9K7GPBi54AaABAg,1617235200,素数57,2,"初号機優しいな…マリンとの通話のときに
「鳩来ちゃった？」って
みんなは鳩やめようね！！"
Ugxx9_Z6ozLc5p77K5R4AaABAg,1617235200,Leonardo Leiva,1,Congrats
UgwdUUIwxYw7EYHm6I94AaABAg,1617235200,TheLastGhost Legendario,0,"Congratulations , now its time to reach the stars, to the 2M AND BEYOND <3
Dont change , be yourself and have fun n.n"
UgwIKJL613ACkcYD1vN4AaABAg,1617235200,Baalshazar,0,"Grats, you in the big leagues now!"
UgyPIb6dMbtKFq3tCdR4AaABAg,1617235200,Historia Sangey,0,"Congrats with 1 million, it's a huge milestone!"
Ugx4DICAiEuPN6DjxGd4AaABAg,1617235200,Pitt Tom,0,恭喜 百变小棕（盖亚）百万订阅😙
UgwzJvRK9CUXaKaInOh4AaABAg,1617235200,Viktor Gabriel,0,i am so happy tot hear this just wish youtube would not unsubscribe me
UgyJ7BHCOy6-4mI_cDt4AaABAg,1617235200,あざらし,0,3月3日、僕の誕生日にるしあちゃんが100万人突破16歳になった僕の中の最高の誕生日プレゼントです(T . T)
UgzHaMT20XvTRGKeiDx4AaABAg,1617235200,こたつダヨ,1,"100万人…嬉しいですな(*`∀´*)
これからも大好きですぞ(´∀`*)"
UgxNC-kp4YlDSGwPxqx4AaABAg,1617235200,BruH xD,1,"18:12 ""someone in the chat ""so much money""
Laugh while crying"
UgwGJ-1JIQyj7_4kxBl4AaABAg,1617235200,军师,0,:D
UgwgMNOSIj6x7mbH5bV4AaABAg,1617235200,土谷ハヤト,2,"2:04:28
自分用"
UgwgMNOSIj6x7mbH5bV4AaABAg.9KVtuFU3L4j9KWd8TRklem,1617235200,耳を失ったぺこら𓃹𒀱,1,おめ
UgxsBLlHeZeMcYrqgLZ4AaABAg,1617235200,phoenixwhittaker,0,"Marine and Rushia together was so adorable, I'm glad they've found such loving friends in each other, congrats to both of them on their milestones."
Ugy6pg2EiEsHX5-aElt4AaABAg,1617235200,Bosheng Jiang,0,露西婭  恭喜妳100萬達成
UgzU1tMjqzTXUvU5aed4AaABAg,1617235200,Jcamilo V,0,so cute
UgxnwjkatvBo07WcIup4AaABAg,1617235200,YaMaDarkness,0,congratulations 1000k !!!!!!!!!!
Ugw2WHtGHuJtJH5zW-h4AaABAg,1617235200,Ton_D'_Chicken1493,0,"Ah, We've done it again, Boys!!! Congrats to Rushia!!! Pettan's hard work surely paid off, huh!!! Congrats."
Ugz-6NxnMrBlFK1D-kV4AaABAg,1617235200,鈴音,0,"１００万おめでとう:_大泣き::_大泣き:
遅れだこめなさい　これからもるしあちゃんと一緒にします　愛しています:_ハート:"
Ugw3I0RU8EOl4XLLzgR4AaABAg,1617235200,The King of Antarctica,0,"Congratulations on one million, I guess. I'm not really sure what to say, and I don't want to sound like a dad by saying ""they grow up so fast"" so this is about all I can do. Good job."
Ugw57BZx8d1SMabUTaR4AaABAg,1617235200,霧沙 /kilisa,0,"自分用
2:26:20"
UgxXWsY_-20-EmTBFiV4AaABAg,1617235200,ゆゆ,0,100万人おめでとうございます！！
Ugy0aM1R_qzq71PQWaV4AaABAg,1617235200,El Bryan,0,Congratulations on reaching the million and always being with us
UgwlHQFOKmGjLSr4gnJ4AaABAg,1617235200,Antwaine Horton,0,I'm clipping this.
