id,timestamp,author,likeCount,text
UgzWJqNFRD5ET7Q-Tll4AaABAg,1648717200,パルン,1,るしあありがとう
UgzniUUbfI3lSbCF_SJ4AaABAg,1647907200,ピクルス大佐,1,ちーんーちーん
UgygLy50WwebukzJBkF4AaABAg,1646956800,まきずし,1,"この時団長とすいちゃんとるーちゃんが最下位争いしてたんだね・・・ｗｗ
この時と比べたらみんなほんと上手になったなぁ:_きゅん:
もちろんるーちゃんも！！:_姫るしあジト目:"
Ugxan2XGIs3B_ZHPMW54AaABAg,1646956800,IdenityX Unknown,2,"Rushia driving:_あせり::_あせり:, COVER CORPORATION PLS DON'T DELETE RUSHIA CHANNEL ! ! !

Rushia driving skill is ......................... concerning , Rushia dontsu drive :_どんっ::_どんっ:

BEWARE OF BANANA ! ! ! :_くさｗ::_くさｗ::_くさｗ:"
UgyUefHXmA-3NWQRdXV4AaABAg,1646956800,kenトリー,1,"最初を見ると今上手くなったのがよく判るな
活動期間の中でしっかりと上達していったんだなって"
Ugzyqttv9I5VgRuxaXJ4AaABAg,1646092800,#ぱんぱあす,0,来年のマリカ大会にはるしあは参加できないんだよね、寂しいなあ
UgzR_VyPCPkdaCzxA_B4AaABAg,1646092800,ひややっこ,1,"おつるし！
やっぱりまりるしてぇてぇ！"
Ugw_uZ5Df16ejFpuWqJ4AaABAg,1646092800,ないす,1,:_おつるしのお::_おつるしのつ::_おつるしのる::_おつるしのし:
UgwZMi1SY9eL7Pwkpht4AaABAg,1646092800,やくみつゆ,1,黙祷
UgzaHROdZcY-1H1Hn3x4AaABAg,1635724800,船長推Molly,0,楽しいな
UgxZfUF8ioB5rPoB6KJ4AaABAg,1627776000,右手,0,この頃にはもう既に初号機になりつつあるね
UgyHaCxAb5RrESUcetp4AaABAg,1617235200,Aetheral,1,Still love rushia till this day
UgyTgPhm4apoCCf-k354AaABAg,1617235200,はあちゃまの ぼにゅう,5,"Ahhh~ where it all started





The noob rage quitting rushia we all know and loved

NeEEEeeEEEeeeeeeeEEE"
Ugw66bJFEm6QCpYUoJV4AaABAg,1617235200,そるてぃー,8,"25:25 るしあちゃんは今日も元気！！
30:17 ここは…ｗ"
UgwT44Fdw7sdsicGppZ4AaABAg,1617235200,かっぺー,2,雷るしあだったんかwwノエル激おこだった奴w
UgzUZRx86FS8uqUlI594AaABAg,1617235200,제츠나-ゼツナ,2,"え？いいねが1千以下のは初めに見ますねｗ
VTUBERを最近知ってだから新しいから古い動画を少しずつ見るんですが1千以下は初めかなｗ"
Ugw1EPj-AXgyVhEDWxN4AaABAg,1585699200,yabu kuro,1,ノエルガチ勢
UgyS5yQUQ-FHugDtFqN4AaABAg,1585699200,ケルビム,6,"1:25:00
るしあの天体観測"
UgzGSkHhm7XY8jUgqJ94AaABAg,1585699200,干し芋の妖精さん,8,49:09爆音聞けやァーー‼
UgzEBSqv691bE1XENdN4AaABAg,1585699200,ここのえないんch,1,"配信おつるしー🦋
チーム戦めちゃくちゃ頑張ってたね！！すごい！！(*´ω｀)
徐々にでも確実に上手くなってるね！(*´▽｀*)
今回もすごく面白かったよ～


アーカイブ復活ありがとう(/・ω・)/"
Ugy8UN1wiWPkA5VSg0V4AaABAg,1585699200,光紀,8,49:33
UgyUKgGLOQ5zzb6B6kJ4AaABAg,1585699200,よっけ,2,アーカイブありがとう
UgyI4LAswQCdG-7-cQl4AaABAg,1585699200,てんゆー,1,"めっちゃ楽しく見れましたよ～
団長との勝負が熱かったですｗ
スバちゃんと今度はチーム組めるといいですね！
練習して次回はみんなびっくりさせよう！"
UgxxGt_OtZkYpNMhf8N4AaABAg,1585699200,ふくろー.,1,"おつるし～🦋
アンテナつけてから走りが安定しててよかったよ！
もっと練習して皆に勝てるくらいつよつよになろうね！"
UgxbP0hSDh2s8fX46BF4AaABAg,1585699200,歩く伝説アルク,1,るしあおつかれさん(＾∇＾)凄く面白かったよ(^_^)b練習あるのみ(ドリフト・アイテムの使い方)やね(´▽`)ノ
UgyJU1YjQaeavTEMqfZ4AaABAg,1585699200,けろちゃん,3,"楽しい配信でした。るしあちゃん、よく頑張ったね👊✨
次回に向けて特訓して、皆を驚かせてやろうぜ！"
UgwLNVD8IZcUGP3LjoF4AaABAg,1585699200,SSINN-シン-,1,"すっごい面白かった！次は勝とうね！
そんでもって色んな声が聞けてよきよき"
