id,timestamp,author,likeCount,text
Ugy_VV4j14sktyctJ254AaABAg,1648731600,仮面ライダーKG,0,今までありがとう……るしゃ
UgzlGQZdJ7P-1C7E-lB4AaABAg,1646092800,yameteee~,6,I love you rushia!!!
UgyKBmntVhQk5QcLRr14AaABAg,1646092800,OneForAll Plus BullyMaguire,3,"I truly believe what ever problem u facing now is only temporary, and once the storm is over u gonna come out stronger than ever, if anyone could do it am 100% sure u can ruhsia ^^ even if am not here to see it, I know u gonna come out of this stronger than ever, this might not mean much, but I truly love you and wish only the very best for u, will keep supporting & cheering for till u get back on your feet as long as i can, hope u take very good care of yourself, my queen ^^"
UgxmaNRPViSkU1aW2p54AaABAg,1640995200,Kyle S.,2,"10:36
reflection up left"
Ugw9zNh75rcT_HBcjpp4AaABAg,1640995200,A.C.O.T Minh,2,I think my head is explosion in 10:36 - 13:35
UgzLE2C6h847YERY8Rx4AaABAg,1640995200,manatee,0,"手袋だったかぁ～
るしあの手見たかったなぁ・・・"
UgwSSaLmlkdV88vLzW94AaABAg,1640995200,cool scout,4,11:32 bless ears
UgwHZppXbU7H4-MZGAJ4AaABAg,1640995200,S級ニート,0,かわ(* ॑꒳ ॑*)(* ॑꒳ ॑*)いい‼️
UgwIrUdXlW7TZoYuiXN4AaABAg,1638316800,暇人さん,3,"14:22 素材準備
14:24 完成"
UgzZrjtFH7KBb2dubCd4AaABAg,1638316800,cloister star,0,19:59
UgwBYwBIRO63ENyY2Y54AaABAg,1638316800,クリプトと元気な俺,2,"( ﾟϖ ﾟ)ﾊｧｰﾊｯﾊｯﾊｯﾊﾊｯﾊｯﾊｯﾊ!!
お顔！見破ったなり！"
UgxTKamfEdSmcZjLFsZ4AaABAg,1638316800,お味噌,19,"初見です！チャンネル登録しました(｀・∀・´)
鼓膜強化シーン10:36〜13:35"
Ugyv5iIizFOQWghzn5V4AaABAg,1638316800,just bot,0,Nice
UgwUMBZrMhiRsQ2o2sd4AaABAg,1638316800,Alioth,0,anyone knows the bgm from the start?
UgxmmZBYl5uIv4wdjgN4AaABAg,1638316800,ひろ書き込み用,5,12:09　の初号機登場で庭で遊んでたうちのハムスターちゃんがダッシュで逃げたんだけどｗ
UgxbljcFHbTWBtsj3Ch4AaABAg,1638316800,雪花小可愛,12,私は新規加入者です、あなたのビデオはとても面白いです、私はあなたのビデオがとても好きです
UgzERtuW9i6BQWPCveJ4AaABAg,1638316800,アンハッピーチャンネル,2,終始笑ったわw
Ugwf_snQSFnF8ejDUaZ4AaABAg,1638316800,サロン,2,30代ってまじ、？
Ugwf_snQSFnF8ejDUaZ4AaABAg.9V4UNklmAds9V4n_u9qYiw,1638316800,サロン,1," @アンハッピーチャンネル  初めて見に来たけど30代なんだーって思っただけだよ
YouTuberがコメント返す方が珍しい。
むしろかえってくると思ってる方が凄い"
Ugwf_snQSFnF8ejDUaZ4AaABAg.9V4UNklmAds9V5gntlERKu,1638316800,アンハッピーチャンネル,6," @サロン  
普通マナー的には言わないものだよ…！

しーだよ🤫🤫"
Ugwf_snQSFnF8ejDUaZ4AaABAg.9V4UNklmAds9VEYlfC6huM,1638316800,たんたんめん,0,え…まじ…
Ugwf_snQSFnF8ejDUaZ4AaABAg.9V4UNklmAds9VHlaSw4UM9,1638316800,さか,0, @アンハッピーチャンネル  本人の目には入るだろ
Ugwf_snQSFnF8ejDUaZ4AaABAg.9V4UNklmAds9VI7pUWkn8z,1638316800,アンハッピーチャンネル,0," @さか  
マナー違反を正当化しようとするなっての(´-ω-`)w
異性の前で歳言っちゃう奴ヤバいで…！マジ…！
空気読めないどころじゃないで…！"
Ugwf_snQSFnF8ejDUaZ4AaABAg.9V4UNklmAds9VI9IbiU9IF,1638316800,アンハッピーチャンネル,0,"まあこんな所で口論なんて本人望んで無いと思うしここで消えるけど、コメント消しといた方が良いと思うよ。

人が不快になる様な事は基本的にやらない事
現実もネットも人と人、変わらないからね🤫"
Ugwf_snQSFnF8ejDUaZ4AaABAg.9V4UNklmAds9V_9asBkx-j,1640995200,米倉。,0,コメ消しな。もう目に入ってるだろうけど、せめてもの誠意見せよ。
Ugwf_snQSFnF8ejDUaZ4AaABAg.9V4UNklmAds9V_J2Rc52HL,1640995200,サロン,0, @米倉。  誠意ですかー、
Ugwf_snQSFnF8ejDUaZ4AaABAg.9V4UNklmAds9V_JThOweOI,1640995200,サロン,0, @アンハッピーチャンネル  30歳って噂で聞いただけなので自分も本当かどうかは知らないです🙂
UgzNtJGrCcHlu7Du5z14AaABAg,1638316800,ブライア,2,1:20:00
UgyrztidIkamRr-KyV94AaABAg,1638316800,Kaimine08,3,"A tip for flipping pancakes, Rushia. Look at the bottom edges. If they start to get golden brown, flip it.Pancakes are easy to make and taste great but may require a few tries to get the flip just right."
UgwnyrgLTR5UMW5sJWZ4AaABAg,1638316800,星詠み-七瀬,1,10:36 not funny
Ugx24xED9hWXbUHWsnd4AaABAg,1638316800,羊好き,3,気をつけてね！でも焦ってるの可愛かった。
UgzcFWNvHfwZjyd9QCt4AaABAg,1638316800,EUPATHÉIA  gamer channel,7,10:55 Cool
UgxOv-DLHmUyg5uxPsB4AaABAg,1638316800,どん,7,"リスナーの過剰な反射ネタ要らない気がする…
映るわけないものにいちいち反射が…とか、るしあも反応しちゃって配信の流れ途切れちゃってるじゃん…:_あせり:"
