id,timestamp,author,likeCount,text
UgwfnITJGLAsieBJdWh4AaABAg,1648425600,COCO o7,0,うまる🥺
Ugxv3eCfFPmenwD5XM54AaABAg,1648252800,IdenityX Unknown,0,"It have been a long time :_るんるん::_るんるん: , COVER CORPORATION PLS DON'T DELETE RUSHIA CHANNEL :_大泣き::_大泣き:

2 minutes in and Rushia already freaking out  :_くさｗ::_くさｗ:
4:22 die from fla....... ahem , cuteness :_なのです:
5:57 Imma get BIG , Nope your not :_おこおこ:
6:54 and that is when you know how close you were from the finishing line :_ドクロ:
11:38 Speedrun = ScreamRun 
12:56 From ""OK OK"" to ""AHHHHHHHHH"" , Amazing
14:25 Congratulation :_るんるん::_るんるん: , so close from snapping :_ドクロ:"
UgzQknP9QD4Hq0R4H8B4AaABAg,1643673600,ワラソティス,2,シオン先輩のコースクリアまでの道のりは激アツだった！るしあちゃんの負けず嫌いな精神がゴールに繋がったと思う！さするし！
UgwdQ-fZXqJ9kNk0x8l4AaABAg,1630454400,アパー,2,衛門が作ったステージに絵が苦しんでて不覚にも”興奮”しちゃった
UgwjCZxLaesRWughkZF4AaABAg,1617235200,ひでいきろ,3,ここにコメントしてる衛門くん達ガチのマジで精神疾患患ってそう
UgyYwxhdkxnJeLLmYvt4AaABAg,1617235200,ぼたもち,3,えんとろちゃん！？
Ugy31dovrONjDitnaQF4AaABAg,1617235200,Drageon Academy,0,awww cute
Ugx2v7LCSXJXsWQMtoh4AaABAg,1617235200,Bread Boii,0,Why the dislikes?
UgxX9YMvImrnNi09x5h4AaABAg,1617235200,rimuntora,0,踏めるパックンは、３Ｄワールド（ゲームスタート前の真っ暗画面で、マリオが正面を向く）スキンのマリオだけ。
Ugxmd_E12BU8xFPd1cF4AaABAg,1617235200,ヘキサ,1,"全世界に公開されてるから何も問題ないと思うけどね
加藤純一本人もタイムアタック動画見てるし
どうせならマグマグタワーをクリアできるまで何日もやったら面白かった"
UgyZF_JBU18YekHiyhh4AaABAg,1617235200,A A,12,でゅんのために作られたコースでスパチャを食い物にしたなんてゆるせねえ😡😡😡、今こそ流星街出身である俺たち衛門の底力を見せるときだよなあ！？
UgyZF_JBU18YekHiyhh4AaABAg.9DTh0aKYw-F9DXscXeatl3,1617235200,happy snow,2,明らかな釣りコメで草
Ugyljl-UouTsXJ1UsOh4AaABAg,1617235200,尼和火,17,この動画のおかげで加藤純一アンチ(梨民)がバチャ豚ってことが証明された
Ugx0nVTBKRoxbkDhKE54AaABAg,1617235200,ライミ,7,"衞門を取り入れようとした結果
つまんなすぎて荒れたただのgm配信"
Ugx0nVTBKRoxbkDhKE54AaABAg.9DN_0xJn6OF9SZwfqWqLGV,1633046400,アル大好き太郎,0,"衛門かよ
去勢するぞ"
UgyVqaUK50RgY1JRXaN4AaABAg,1617235200,Night Sky,7,3:16:30　おつーるしいいいいい
Ugx_Esi2Ufw4qa8zaWV4AaABAg,1617235200,柊,0,配信見てなかったけどどいつもこいつも元気で羨ましいな
UgxG_xRPOM8jscteC2V4AaABAg,1617235200,happy snow,13,サブ垢使って同じ考えをもってる人が何人もいるように見せて恥ずかしくないの？
Ugx-zA_L-iucReRs-XV4AaABAg,1617235200,MomonKusa,1,1:29:58 lmao rushia
UgxEpi9JAK3Fb-DjkiZ4AaABAg,1617235200,プリン,6,いきなりアラスカやらすのは可愛そう
UgyCT_T-CCz4mN-C3Wt4AaABAg,1617235200,るま,6,加藤純一最強！加藤純一最強！
UgyWylLyM6oJHTrru8J4AaABAg,1617235200,やじゅうせん,16,米消して低評価減らしてって必死すぎでしょ
