id,timestamp,author,likeCount,text
UgwcXzZEy1TtTgI_a0x4AaABAg,1648737600,KOLO,0,還有雙馬尾的樣子真的超可愛:_きゅん:
Ugy_lk2uKIVljZelYK54AaABAg,1648737480,KOLO,0,"在會長畢業大家都很不安時
妳把心心.詩音.大小姐都找了出來
妳真的很努力了呢
謝謝露醬....最後!!:_おつるしのお::_おつるしのつ::_おつるしのる::_おつるしのし:!!"
UgwxuOqk8E2ppVISzBZ4AaABAg,1648736280,Machina Forge,0,Here for the last time to see an event like this with Rushia one last time thanks Rushia
UgwtT8onFKPEvYLOvgZ4AaABAg,1648736220,𝓚𝓪𝓰𝓾𝓻𝓪 𝓢𝓮𝓷𝓪,0,ふぁんでっどでいられたことが本当に嬉しい。あーあ、最後なのに泣いちゃいそう。
Ugx1Edn9IAKRpyeMqMV4AaABAg,1648736220,Ying-えい 🍵🐠 ฅ 。.。ฅ,0,"Thank you Rushia♥️
I will always remember you.
ありがとう👍"
UgzQkobzBgXujLpyuTt4AaABAg,1648735800,𝓚𝓪𝓰𝓾𝓻𝓪 𝓢𝓮𝓷𝓪,0,3周年見たかったなぁ。るしあちゃんのVTuberとしての最期にこれが見終われそうで良かったです。本当にありがとう。あなたに出会えて幸せでした。
UgyJkHCbN_GZF45ywKx4AaABAg,1648735440,根っこ猫,0,もう……1本しか見られない   ( ω `)ﾌｯ  もうこれで最後かなありがとうな！
Ugyis9EgJeI-o_dGetl4AaABAg,1648735260,M N,0,このライブの虹の彼方にが大好きなんだよなぁ
Ugyc_8iZ_t5pBT7LHC94AaABAg,1648735020,Faris Daffa,0,LOVE
UgwP_ZO5CT1QcBTKZ1J4AaABAg,1648735200,Ahmed S,1,"ありがとう。
Thank you for last 2.5 years.
I will never forget you
Otsurushi Rushia"
UgwDvI452bQPHP_DWQZ4AaABAg,1648728000,Samoth Wang,1,"Thank you, Rushia.
Thank you for everything.
We'll never forget you.
May PekoRushi's friendship last forever...
おつるし!"
UgwVJoZJ8xFwb0BWzw94AaABAg,1648728000,キズゴコロ,1,"ずっとずっと覚えてるよ。
絶対に忘れたりしないよ。
だから、一言言わせてほしい。
「ふぁんでっとで幸せだった」"
Ugyq9Nyzxyb7fvfLTQd4AaABAg,1648717200,Septentrion,2,Gracias por todo. Por todo.
Ugyt83PBT5MG6lc1RSx4AaABAg,1648710000,n m,1,"保存したよ
ありがとうね、るしあ"
UgwGTztnyTuN0daD01V4AaABAg,1648706400,あを,0,"おつるし（ ;  ; ）
最後にこのライブは見ておこうとまわってきました！出会って4ヶ月ほどのにわかファンでしたが、すごくたくさんの笑顔をもらったよ！ありがとう。"
Ugwoe1IB-4lRvkwQaBV4AaABAg,1648706400,あせあせ,0,じゃあね
UgztB-HA9Yf5aSXOk2t4AaABAg,1648702800,tokaz,0,最後の告白、愛してる
Ugz4urzpS5iYfasMkU94AaABAg,1648699200,KV Law,2,"12 hour before this end 
YT: recommend me to watch lol🙃"
UgxehyKBAMk-7ppyeOJ4AaABAg,1648699200,Chavita,2,Good bye Rushia
Ugx07UzUa-XzJOhyw714AaABAg,1648692000,Alan Chang,1,"Thank you for all the good times, Rushia. I wish you health and happiness in whatever you pursue next."
Ugx_TIhhbasg4gVdGJ14AaABAg,1648666800,Yang Benjamin,2,"るーちゃん大好きだよ
o7 おつるし T_T"
UgyzpmuiYJnAGs3LdMd4AaABAg,1648684800,Adam Volný,1,"Good bye sweet green flat necromancer, hope you'll find happiness elsewhere, but you will be missed."
UgxOWufaKS02C7RTsPB4AaABAg,1648684800,K,5,:_るんるん::_おこおこ::_しょぼん::_ぺったん::_ちょうちょ::_ドクロ::_きゅん::_あせり::_るしあのる::_るしあの::_るしあのあ::_おつるしのお::_おつるしのつ::_おつるしのる::_おつるしのし::_なのです::_こんるーー::_ハート::_えはてな::_くさｗ::_ふぁんちゃん::_待機中::_おこなのです::_ばんっ::_どんっ::_サイリウム碧::_サイリウム紫::_大泣き::_やんでれ::_猫耳るしあちゅう::_猫耳るしあｚｚｚ::_ぴよこ::_姫るしあジト目:
Ugy7KzgIAx4FlDWXqU94AaABAg,1648684800,ぴ,4,3周年目は心の中でお祝いするね、初めてのVの推しです。これからもずっと大好きです。
UgwZlSOEVsWz-d_pY0N4AaABAg,1648598400,mondin alegrid,1,o7
UgwF1ZQxMK6j47bPh-h4AaABAg,1648512000,シャロP,3,"11:34 今年の8月、また会えることを信じていました…
るしあちゃん…お疲れ様でした。"
UgwkVzESe_uDQsr0kO54AaABAg,1648425600,Sammy [35-Usa],0,P A I N
UgxXwAyrAn_sGGKbqCF4AaABAg,1648339200,ホロホロ,0,あぁ、、自然に涙が…
Ugz8_c7fZMW8VckzrPl4AaABAg,1648252800,如月零,5,"3周年もみんなで見たかったなぁ…🥲
今までありがとう…"
UgxAA11_4zZok_GRh0B4AaABAg,1648166400,龍牙神,0,🦋
Ugy0GNnmo2Cx4YLWzld4AaABAg,1647993600,ピクルス大佐,0,ケケケッ(=´∀｀)
UgzAeHlqLCW-I93mTvN4AaABAg,1647993600,幸運の猫様,3,"我輩は定期的に見てるぞ!!
るしあは永遠にるしあ…だから"
UgzAeHlqLCW-I93mTvN4AaABAg.9ZqCx1GqEUL9_95hXMn-re,1648598400,ちろるチョコ,3,"私も定期的に見てるぞ!!
るしあは永遠に推しだから！"
UgzAeHlqLCW-I93mTvN4AaABAg.9ZqCx1GqEUL9_9c2EP5Txd,1648598400,幸運の猫様,1," @ちろるチョコ  
子を持ってもるしあの事は誇りを持って語りたい!!"
UgzFArl_tuZUB0A_zCZ4AaABAg,1647907200,PPHガチ恋🍿るなholo✖️er,1,:_るしあのる::_るしあの::_るしあのあ:みぃいつけたっ:_大泣き::_大泣き::_大泣き:
